wavelength,Back_SpoFrof,Belly_SpoFrof,Breast_SpoFrof,Crissum_SpoFrof,Crown_SpoFrof,DorTail_SpoFrof,Rump_SpoFrof,Throat_SpoFrof,WingTip_SpoFrof
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,23.6111666667,36.1111666666,13.8888333334,38.8888333333,72.2223333333,59.7221666667,58.3333333333,36.1111666666,47.2221666667
179.16,-74.9998333331,-72.2223333335,-24.9998333334,74.9999999998,50.0,58.3333333333,19.4445,-22.2223333333,-19.4443333333
179.54,-63.3333333333,-20.0,-56.6666666667,-20.0,23.3333333333,-6.66666666667,-10.0,-90.0000000002,13.333333333
179.93,-8.33333333332,50.0,-6.25,47.9166666667,70.8333333333,81.25,68.7499999999,8.33333333334,62.5
180.31,-83.7398333332,-36.9918333331,-85.366,-31.301,54.4715,47.1545,24.7968333333,-45.1218333334,-19.1055
180.69,-66.358,-23.4568333335,-58.0248333333,-16.9753333333,57.0988333334,45.6791666666,37.6541666666,-27.7778333333,-8.9506666667
181.07,-108.333333333,-47.9166666667,-97.0833333333,-35.4166666667,65.8333333333,47.5,38.3333333333,-50.8333333333,-25.8333333332
181.45,-171.666666666,-85.5556666666,-168.333166667,-91.1113333332,49.9998333332,31.1111666666,24.4445,-101.111166667,-55.5556666669
181.83,-168.8175,-77.4195000001,-163.440666667,-77.4193333332,59.6773333335,38.1721666666,38.7096666667,-83.8710000001,-59.6774999998
182.21,-194.642833333,-105.9525,-170.833333333,-98.2141666668,51.7858333332,14.2856666667,24.4046666667,-95.238,-91.0713333332
182.59,-226.086833334,-142.753666667,-190.579833333,-115.942166667,67.3915,15.942,40.5798333333,-122.4635,-110.869333333
182.97,-117.948833333,-70.0855000001,-88.8891666666,-38.0341666667,57.2648333333,25.2136666666,52.9913333333,-48.7181666665,-24.7865
183.35,-113.4145,-71.9511666668,-93.4958333333,-35.3658333333,54.0651666667,25.2033333333,39.8373333333,-32.9268333333,-24.3903333334
183.73,-103.846166667,-56.4101666665,-94.0168333334,-30.3418333333,58.547,19.6581666667,43.5898333333,-24.3591666667,-12.3931666669
184.11,-85.1851666667,-36.2963333335,-99.2591666667,-24.8148333333,57.4073333332,3.33333333333,18.1483333334,-25.1851666667,-2.9628333333
184.49,-72.1153333334,-20.1923333335,-77.2435,-4.80766666665,57.3718333333,5.12833333333,15.064,-15.7051666666,8.33316666665
184.87,-84.0740000001,-48.8888333334,-114.814833333,-28.8888333333,45.5556666666,-10.7406666667,-14.4443333334,-36.6666666667,1.1111666667
185.25,-62.5,-27.8843333331,-91.0258333333,-23.3976666667,48.3973333334,-7.69233333333,0.3205,-25.641,15.3846666667
185.63,-32.7683333333,-1.4123333333,-60.1693333334,-7.06216666665,64.4068333332,14.4066666667,18.6441666667,-0.2826666667,32.4858333334
186.01,-42.4528333334,-22.0123333333,-71.0691666666,-22.327,54.717,8.80483333335,7.547,-4.4025,28.3018333333
186.39,-48.611,-26.7361666667,-99.3056666666,-34.375,53.4723333334,14.236,-1.736,-8.6805,23.264
186.77,-41.6666666667,-32.0,-102.333333333,-32.6666666667,53.3333333333,13.3333333333,-12.0,-14.0,33.3333333333
187.15,-92.7776666667,-73.3331666665,-184.444666667,-84.4444999998,56.6666666665,-13.3333333334,-54.4443333335,-64.4445,15.0001666667
187.53,-348.148166667,-255.5555,-638.889,-335.185,75.926,-105.555666667,-198.148,-309.259166666,50.0000000002
187.91,-1288.88866667,-1061.11116667,-2105.55533333,-1344.4445,-38.888833333,-366.666666667,-933.333166667,-1266.66666667,-44.4443333333
188.29,568.75,502.083333333,760.416666667,589.583333333,127.083333333,189.583333334,387.5,568.75,64.5833333335
188.67,187.745166667,169.117666666,210.784333334,195.588333333,83.3331666669,102.941,145.588166667,173.529333334,62.2551666666
189.05,157.333333333,120.0,149.666666667,145.666666667,76.6666666665,88.9999999999,118.333333333,138.0,57.3333333333
189.43,131.372666667,113.7255,121.323166667,124.2645,83.5786666665,84.0686666667,115.196,119.852833334,56.6178333333
189.81,117.763166667,110.087666666,103.2895,116.228166667,79.8245,85.5264999998,114.035,109.43,52.1928333334
190.19,99.4253333333,90.4213333333,90.9965,104.214666667,73.7548333335,83.7165000002,98.4675,100.574666667,37.3565
190.57,93.1035,77.203,77.9696666666,98.4675,69.1570000001,84.4828333331,91.3793333335,98.8506666669,19.9236666666
190.95,92.0941666666,69.0171666666,65.598,99.359,67.3076666665,85.4703333333,84.829,103.846166667,11.9656666666
191.33,85.9651666666,62.7191666666,60.7455,102.193166666,66.0086666668,85.9650000001,75.2193333332,100.877166667,1.09666666667
191.71,85.7841666667,67.8921666666,61.765,112.254666667,70.0979999998,96.5685,82.3529999998,108.333333334,-9.06850000001
192.09,70.9595,54.0401666667,52.02,101.2625,60.3536666668,96.7171666669,62.1213333333,88.1313333333,-27.2726666667
192.47,57.3058333334,44.2921666667,46.8038333333,90.6391666666,51.1415,86.9863333333,57.3060000002,69.8628333334,-30.822
192.85,42.448,32.8126666667,38.8018333333,83.8541666667,41.4063333335,88.021,45.052,70.5731666667,-49.4795
193.23,27.0533333333,25.1206666667,27.053,81.4009999999,29.7101666666,81.1593333333,34.541,66.1836666667,-54.1061666667
193.61,18.1161666667,16.4251666667,14.4928333333,80.1931666669,22.947,80.9178333334,23.43,64.7343333334,-61.1111666667
