wavelength,Back_SpoHycf,Belly_SpoHycf,Breast_SpoHycf,Crissum_SpoHycf,Crown_SpoHycf,DorTail_SpoHycf,Patch10_SpoHycf,Rump_SpoHycf,Throat_SpoHycf,WingTip_SpoHycf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,50.926,46.2963333334,75.9258333333,51.8518333333,44.4445,20.3701666667,53.7036666667,96.2963333333,50.9259166666,94.4441666667
179.16,254.166666666,16.6666666666,187.5,133.333333333,108.333333333,-166.666666667,266.666666667,341.666666667,25.0,-66.6666666665
179.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.93,641.666666669,700.0,133.333333333,883.333333333,99.9999999999,516.666666667,133.333333334,183.333333334,100.0,1183.33333334
180.31,120.2135,98.9743333334,78.46175,85.8973333335,60.5128333333,51.7948333333,75.8975,111.025666667,52.4359166667,132.564333334
180.69,118.731027778,105.4055,85.8109166665,83.7836666666,61.9371666667,56.7565,84.685,111.937166667,64.5269166667,142.792666666
181.07,114.849138889,102.469166667,80.8640833334,88.2715000002,66.4611666667,60.9053333333,89.0946666666,107.2015,63.3746666667,133.127833334
181.45,110.829777778,106.539833333,72.2575,93.4598333333,63.9241666666,79.7470000001,95.5696666666,116.455666667,66.6669166666,144.936666667
181.83,116.743944445,108.333166667,67.2451666667,95.139,62.5,78.2408333331,98.1481666666,120.833333334,72.5694166666,147.222166667
182.21,148.526111111,141.836833334,73.1293333335,109.524,64.6258333334,88.4353333331,111.904666667,154.081666667,93.19725,174.149833333
182.59,135.729916667,136.2745,66.8303333333,105.882166666,56.8626666667,89.8691666667,88.8886666667,136.928,97.2221666666,176.797166667
182.97,198.569055555,217.676833334,92.42425,144.9495,70.2020000001,110.101,125.757666667,201.515166666,156.060583333,266.1615
183.35,879.166666669,936.111166667,223.611,688.889,147.222166667,341.666666667,397.222166667,838.888833335,624.999833333,1150.00016667
