wavelength,Back_SpoHycm,Belly_SpoHycm,Breast_SpoHycm,Crissum_SpoHycm,Crown_SpoHycm,DorTail_SpoHycm,Patch10_SpoHycm,Rump_SpoHycm,Throat_SpoHycm,WingTip_SpoHycm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,29.6296666666,83.3331666668,74.074,37.9630833335,98.1481666668,27.7776666666,68.5183333334,46.2961666666,122.22225,59.2593333333
179.16,108.333333333,258.333333333,-116.666666667,87.5,250.0,-208.333333333,200.0,50.0,187.5,0.0
179.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.93,583.333333333,1083.33333333,216.666666666,475.0,1016.66666666,200.0,816.666666669,450.0,600.0,550.0
180.31,73.8461666667,124.615333333,50.7693333333,68.5895,152.307666666,6.923,133.589666666,104.872,136.5385,89.2308333334
180.69,76.126,121.846833334,55.8556666666,76.8016666665,153.828666666,10.8108333334,134.6845,106.981833333,134.4595,98.1981666665
181.07,77.9834999998,115.432166666,60.288,85.1850833335,145.473166666,13.7858333334,133.539333333,106.584333333,124.07375,98.7655000002
181.45,76.1603333335,115.189833333,67.0883333333,89.4515833335,154.008333333,20.4643333333,138.396666667,111.6035,123.41775,103.7975
181.83,70.6018333333,121.296166667,75.6943333334,94.9074166665,157.8705,16.4353333334,143.055666667,109.722166666,127.4305,112.963
182.21,77.5508333335,141.836833333,90.8161666666,117.857416667,202.721166666,-4.762,182.993333334,142.177,169.38775,146.258833334
182.59,70.2613333333,139.542166667,66.6665,112.254916666,188.889,7.51633333333,180.392166667,132.353,173.5295,134.6405
182.97,100.505166667,215.1515,82.323,173.990083334,272.727333334,2.52533333335,259.596166667,193.939333334,284.84825,193.9395
183.35,355.5555,947.222333335,222.222,699.999916665,1244.4445,-144.4445,1191.66666666,855.555666665,1308.33325,927.777833333
183.73,1044.4445,1833.3335,616.667,1583.33341667,2594.44466667,-122.222166666,2472.22216666,1666.66666666,2625.00025,2027.77783334
184.11,-76.6666666667,-150.833333333,-26.6666666667,-195.416666666,-284.166666667,72.5,-276.666666666,-160.0,-271.25,-255.0
184.49,3.22566666665,-45.6988333333,20.9675,-72.5806666665,-112.365666667,92.4731666665,-101.075333333,-33.8711666666,-99.19325,-116.128833333
184.87,7.071,-22.7271666667,43.4341666667,-58.0808333335,-87.8786666665,93.9391666665,-82.3233333333,-30.3028333333,-82.5755,-93.4345000001
185.25,33.7038333333,8.5185,68.1481666666,-8.70366666665,-32.5926666665,89.2595,-20.0,12.9628333333,-27.77775,-35.5556666667
185.63,27.6315,9.2105,91.2283333333,-8.9911666665,-25.0,100.877,-29.8245,19.2981666667,-46.7105,-50.0001666667
186.01,33.3333333333,34.058,93.8406666666,13.9493333334,3.26083333335,107.970833333,-6.88416666665,29.7101666667,-27.71725,-25.3623333334
186.39,29.3333333333,2.0,106.0,-26.6666666665,-35.3333333335,166.666666667,-58.0000000001,13.3333333333,-87.0,-91.3333333335
186.77,75.9999999999,37.3333333335,105.333333333,12.0,26.6666666667,231.333333333,-9.33333333315,62.0,-29.0,-53.3333333333
187.15,225.000166666,180.555666667,304.1665,99.3054166665,118.055666667,565.277666666,48.6111666665,188.889,70.83325,-45.8333333332
187.53,641.666666667,695.833333335,991.666666667,233.333333334,187.5,1770.83333334,37.5,654.166666667,337.5,-70.833333333
187.91,-420.833333333,-439.583333333,-585.416666666,-262.5,-210.416666666,-929.166666667,-110.416666667,-439.583333334,-250.0,-25.0
188.29,-187.719333333,-185.965,-259.649,-122.806916667,-127.193,-387.719166666,-78.0703333335,-168.421166666,-93.42075,-34.2105
188.67,-76.3439999998,-88.7096666669,-137.096666667,-35.2149166666,-39.7848333334,-202.688166666,8.0646666667,-67.2041666667,-15.32275,8.60233333335
189.05,-55.5555,-54.8148333335,-87.7778333334,-35.0000833333,-36.6668333333,-135.185333334,8.148,-55.1851666666,-16.66675,2.59266666665
189.43,-28.0865,-35.8023333333,-58.3333333333,-17.2839166667,-23.4566666667,-107.099,22.2223333334,-28.0865,-0.46275,10.8023333333
189.81,-61.111,-70.9399999999,-86.325,-51.70925,-58.9743333334,-166.239333334,-3.8461666667,-64.53,-42.30775,-19.2308333333
190.19,-5.47633333331,-13.8095,-27.1431666667,-11.9046666667,-9.99983333334,-53.8093333333,13.5713333333,-17.857,-5.357,9.76199999999
190.57,-10.9053333334,-20.576,-35.3906666667,-22.8391666666,-15.2263333333,-48.354,0.411666666665,-22.4278333333,-15.43225,-3.70383333333
190.95,-6.30633333332,-27.7026666666,-42.3425,-26.3514166666,-11.0361666667,-38.7385,4.5045,-21.3963333333,-20.60775,-10.3603333333
191.33,18.8235,0.980333333333,-15.6861666667,-2.84283333333,2.157,-1.37233333333,18.6276666667,1.765,0.88225,11.7646666667
191.71,13.8018333334,-1.56266666667,-17.1876666667,-14.9741666667,-16.9271666666,2.34366666666,1.82266666665,-5.729,2.73425,-0.260666666665
192.09,9.46966666665,-8.71216666669,-32.1971666666,-30.3030833333,-40.1515,5.303,-8.71216666667,-10.6061666666,-31.25,-19.6968333333
192.47,37.3875,-5.85583333331,-26.5766666666,-29.2795,-31.0811666666,26.126,-2.70283333334,-22.0721666666,-32.43275,-7.20716666665
192.85,15.2778333334,-50.0,-75.6941666667,-100.6945,-97.2219999998,20.1386666667,-71.5276666666,-72.9166666665,-115.625,-33.3331666667
193.23,225.0,966.666666667,1150.0,1808.33333334,1816.66666666,316.666666667,1800.0,1366.66666667,2325.0,1091.66666667
193.61,91.6668333332,175.0,257.143166667,319.04775,280.9525,32.1428333335,326.190333334,235.714166666,387.5,225.000166667
193.99,163.333333333,320.0,448.333333334,465.833333334,425.0,70.0,488.333333334,381.666666666,560.0,346.666666666
194.37,97.7011666668,154.597666667,188.5055,161.494166667,213.792833333,58.0461666665,207.471166667,170.114833334,241.3795,168.9655
194.75,75.5556666669,163.3335,192.222333333,133.33325,215.555333333,27.222,202.777833333,165.0,220.833,150.555666667
195.13,71.8391666667,141.954166666,188.505833333,128.160833333,228.735666666,30.4595,208.046,177.0115,228.4485,149.4255
195.51,68.8273333331,108.9505,121.605166666,85.0309166667,148.148,55.8643333335,137.036833333,137.036833333,145.8335,108.950666667
195.89,87.1794999998,155.983,181.623833333,115.17075,205.128333333,83.7605,175.641,185.47,210.25625,141.8805
196.27,87.745,169.607666666,182.843333333,118.13725,231.862833333,82.8431666665,197.549,199.509666666,211.0295,140.196166667
196.65,131.745833334,252.381,251.587333333,184.920583333,364.285666666,111.904833333,284.920666666,274.603166666,350.00025,241.269833333
197.03,198.148166667,546.2965,505.555833334,357.4075,772.222166667,177.777666667,627.777833333,551.851833333,730.55575,585.185333334
197.40,155.9525,383.3335,353.571333333,202.97625,490.476166667,100.000166666,405.9525,351.1905,410.71425,416.666833333
197.78,201.666666667,563.333333333,445.0,283.333333334,696.666666666,181.666666666,565.0,501.666666667,625.0,538.333333333
198.16,74.0741666667,292.592666667,218.5185,153.240666667,368.5185,101.852,304.629666666,241.6665,343.05575,288.888666667
198.54,73.9583333335,329.166666667,218.75,217.1875,343.75,132.291666667,317.708333333,273.958333334,370.3125,310.416666667
198.92,73.9583333331,201.041666666,146.875,172.916666667,215.104166666,128.645833333,202.083333334,182.8125,247.65625,198.958333333
199.30,91.3333333333,275.333333333,170.0,195.666666667,264.666666667,154.0,251.333333333,212.666666667,320.0,235.333333333
199.68,109.259166666,280.247,181.481333334,229.938333333,261.110833334,167.901166666,245.061666667,194.444333333,334.2595,245.061666667
200.06,125.000166667,274.404833333,175.595333333,234.82125,263.690333334,168.4525,256.5475,199.999833334,326.78575,255.952333334
200.44,125.714333333,256.6665,180.476,212.38075,229.999833334,174.761833333,242.380833333,184.285666667,293.5715,248.571666666
200.82,114.583333333,222.916666667,150.0,157.083333333,209.166666666,142.916666667,222.5,170.416666667,250.0,211.25
201.19,90.5659999999,170.4405,121.0695,128.7735,175.786166667,102.515833333,176.415,139.937,189.15125,163.2075
201.57,65.5796666665,171.739,115.942166667,141.667,186.594166667,94.2026666665,176.449166667,156.884,195.1085,155.072333334
201.95,61.5941666667,175.0,117.391333334,154.16675,197.826,74.638,175.7245,151.811666667,185.32575,151.449166666
202.33,79.4326666668,189.361833333,117.021,168.971666666,220.567166667,81.2056666665,189.007166667,159.574333333,189.36175,156.737666666
202.71,73.5508333333,184.7825,121.3765,164.674083333,219.565,76.0871666665,183.695833333,142.753333333,191.304,155.434833333
203.09,62.2448333335,173.469166667,99.66,145.23825,202.721166667,44.8976666665,166.666666667,115.306166667,169.89775,140.816333333
203.47,45.5696666667,116.455666667,74.8945,108.75525,140.295166667,39.6625,114.346166667,78.27,109.81025,104.219333334
203.85,43.125,112.083333333,68.3333333335,108.75,144.166666667,36.4583333333,116.666666667,73.125,109.6875,99.375
204.22,27.1738333334,96.3765,50.906,91.93825,113.043333333,12.8623333333,90.2174999999,48.5506666667,95.92425,75.3623333333
204.60,21.2718333333,98.2454999999,36.4036666666,90.022,118.421166667,-8.772,83.991,40.5703333333,93.092,68.8598333333
204.98,24.4978333333,95.9838333331,38.9558333334,97.6906666667,105.221,-4.81916666665,77.1085000002,35.7428333333,93.6745,61.8475
205.36,28.9475,91.5788333334,35.9646666666,97.01775,88.7721666665,6.66683333335,69.6491666668,35.965,92.3685,65.614
205.74,41.3396666667,96.2416666665,42.9738333334,98.61125,90.6861666668,13.7255,76.3070000001,39.0525,100.735,73.6926666666
206.12,47.1471666667,90.3905,40.09,94.3693333333,85.5856666668,21.1713333333,73.2733333333,42.7928333334,100.225,74.3245
206.50,37.539,86.1371666666,33.645,85.0465,77.7258333333,10.5921666666,64.6416666667,31.6198333333,97.196,71.4953333334
206.87,36.6958333334,82.8948333333,34.9411666666,83.4066666667,79.532,8.62583333335,64.766,33.6258333334,97.807,69.5906666666
207.25,33.3331666667,80.0923333334,28.5496666666,79.3980833334,72.9938333333,-1.38883333335,54.4753333334,28.2406666667,93.98175,64.6605
207.63,37.6016666666,96.748,30.4878333333,90.54875,80.8943333333,-17.6828333334,60.9756666666,26.0161666667,124.08525,67.4798333331
208.01,23.4296666667,92.9951666666,20.7726666666,88.2850833334,72.7051666667,-53.1403333334,48.309,11.1111666666,134.7825,62.8021666665
208.39,23.3796666667,82.176,23.8425,84.4908333333,79.1666666667,-30.3241666667,52.7776666666,22.6851666667,131.25025,65.7406666668
208.77,18.4738333333,71.0843333334,27.3095,83.434,74.8996666665,-27.3095,46.5865,19.277,123.193,66.0643333331
209.14,20.0421666667,74.4726666666,32.7005,82.3838333333,80.5908333335,-23.4178333333,48.3121666666,25.1055,127.84825,75.3165
209.52,16.6666666667,85.9788333335,40.476,85.7143333333,102.6455,-33.3333333333,52.1163333333,29.6295,146.0315,83.0688333335
209.90,26.7758333334,90.9836666667,50.0001666667,87.8416666666,115.3005,-30.3276666666,55.1911666668,40.1638333333,156.96725,96.1748333333
210.28,2.42416666667,87.8788333334,45.7576666667,68.3334166667,101.515333333,-57.2725,39.0910000002,19.091,145.90925,86.3634999998
210.66,14.8146666666,82.8041666668,62.1693333334,72.2221666666,96.0318333334,-40.2115,39.1534999998,29.8941666666,141.6665,83.598
211.03,4.2555,90.0708333334,63.8298333334,63.82975,93.2621666668,-75.1775,31.2056666665,14.539,165.42525,94.6808333332
211.41,6.33333333334,83.3333333333,72.6666666667,63.5,88.3333333333,-59.3333333333,38.3333333331,15.3333333333,163.5,105.0
211.79,16.425,69.3235,58.6958333333,54.4685833333,65.4591666667,-24.1545,33.3333333333,17.8745,108.33325,88.8888333334
212.17,28.8618333333,74.5933333334,64.6341666667,50.3048333334,63.0083333333,-6.504,37.6015,27.2358333333,92.9875,85.3658333335
212.55,35.101,90.9091666665,72.2221666666,48.73725,71.212,-14.1415,42.9291666667,22.9796666667,110.2275,98.7374999999
212.92,45.652,93.9613333333,78.9851666667,51.6910833334,79.4684999998,0.0,54.8308333332,35.749,115.2175,93.4781666666
213.30,45.8905,86.9861666667,85.845,57.4200833334,83.5615,6.16433333335,55.9358333334,32.8766666667,104.1095,92.0089999998
213.68,56.0385,93.4783333332,92.029,58.092,90.0966666666,4.10633333335,60.8695,31.1595,110.145,95.6521666666
214.06,37.4998333333,83.8541666667,72.1353333333,39.4529166667,63.0208333335,-20.0521666666,41.927,1.56233333334,87.5,76.3021666665
214.44,47.5846666667,92.0291666665,73.4298333333,56.4010833334,79.4686666666,-2.89866666665,55.0725,20.7731666667,93.84075,82.6086666668
214.81,27.1316666666,98.0618333331,40.6976666667,26.9379166666,74.031,-64.3411666666,37.9845,-19.7673333333,81.97675,77.5193333332
215.19,30.8333333334,103.75,26.6666666667,18.3333333333,77.0833333335,-77.5,26.6666666667,-25.8333333333,68.75,67.4999999999
215.57,40.9723333334,159.027833333,9.7223333335,-10.7638333334,125.0,-139.583333333,14.5833333335,-61.1111666666,94.79175,62.4999999999
215.95,12.5,364.583333334,-45.8333333335,-21.875,397.916666667,-464.583333333,41.6666666665,-179.166666667,396.875,110.416666666
216.32,1416.66666666,-1333.33333333,1916.66666667,1066.66666667,-2200.0,4183.33333333,833.333333335,2750.0,-2550.0,0.0
216.70,-333.333333333,325.0,-245.833333334,-337.5,604.166666669,-1091.66666667,-179.166666667,-591.666666667,518.75,162.5
217.08,148.333333334,12.5,99.1666666667,142.916666667,-25.0,293.333333333,104.166666667,173.333333333,-27.5,39.1666666665
217.46,99.4625,4.30116666665,85.4838333334,108.871083333,13.9786666667,213.440833333,82.2581666665,123.118166667,-20.96775,24.7311666667
217.83,163.888833333,-98.6111666666,218.055333333,238.889,-1.389,484.722,161.111166666,236.111,-181.25,-16.6665
218.21,138.888833333,-955.555666665,188.888833334,622.222333333,-472.222333333,1516.66683333,105.555499999,394.444333334,-1350.00025,-411.110833333
218.59,8.33333333335,-379.166666666,-10.4166666665,280.208333333,-122.916666667,589.583333333,45.8333333335,175.0,-528.125,-135.416666667
218.97,1258.33333334,2541.66666667,1450.0,-41.6666666665,1500.0,-1275.0,816.666666666,508.333333333,3387.5,1641.66666667
219.34,321.212,531.818,340.909166667,151.515,374.242666666,-127.272833334,277.272666667,215.1515,756.818,396.969666667
219.72,163.725333334,283.333333333,203.921333334,78.43125,192.156833333,-109.804,175.49,134.313666667,460.29425,254.902
220.10,336.111333333,744.4445,383.333333334,-41.66675,275.0,-516.666833333,261.111166667,138.888833333,966.6665,536.111333333
220.47,883.333333331,1533.33333334,904.166666667,156.25,708.333333333,-591.666666667,825.0,575.0,1737.5,949.999999999
220.85,-680.0,-1266.66666666,-503.333333333,-168.333333333,-523.333333334,476.666666666,-666.666666667,-436.666666667,-1320.0,-616.666666668
221.23,302.941333333,503.9215,241.176333333,160.784333334,269.607833334,3.9216666665,289.215833333,214.706,498.5295,309.804166667
221.61,159.047666667,263.333333333,148.571333333,107.143,167.142833333,36.6668333335,179.999833333,132.857166667,279.99975,173.333333333
221.98,219.697166667,368.939333334,237.121333333,162.121,247.727166667,56.0608333335,282.575666667,171.969666666,397.7275,241.666666666
222.36,658.3335,1211.11116667,713.889,588.88875,838.888833333,177.777833333,816.666833335,483.333333333,1291.66675,708.333499998
222.74,627.778,1105.5555,738.888833333,590.278,913.888833333,255.5555,861.110999999,516.666666667,1245.833,694.444499999
223.11,-293.75,-595.833333333,-345.833333334,-282.291666666,-522.916666667,-185.416666667,-562.5,-214.583333333,-709.375,-341.666666667
