wavelength,Back_SpoInaf,Belly_SpoInaf,Breast_SpoInaf,Crissum_SpoInaf,Crown_SpoInaf,DorTail_SpoInaf,Patch10_SpoInaf,Rump_SpoInaf,Throat_SpoInaf,WingTip_SpoInaf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,70.5833333333,38.3333333333,28.3333333333,46.6666666667,47.8571428572,61.6666666667,46.6666666667,50.0,26.6666666667,96.6666666665
179.16,86.2499999998,63.3333333333,43.3333333333,33.3333333333,78.5714285715,50.0,49.1666666667,43.3333333333,53.3333333333,130.0
179.54,53.5255916667,85.8973333333,55.1285,60.2563333333,41.208952381,61.5386666667,89.1026666666,102.564166667,79.487,39.7435
179.93,50.3570583333,51.1906666667,10.7141666666,36.9048333333,34.0134761905,-34.524,19.0474166667,25.0,19.0475,65.476
180.31,23.6157916667,9.0395,-3.955,-7.0621666667,-2.0175952381,-35.0283333334,5.08458333335,0.84733333335,-34.1808333333,40.6776666666
180.69,32.2182166667,17.4018333333,0.98066666665,7.35283333335,7.63311904762,-21.0783333333,17.5245,12.4996666667,-24.0198333333,44.118
181.07,23.4697166667,0.60616666665,-14.8485,-9.69683333335,-8.61473809525,-51.5151666665,0.303,-6.6668333333,-47.2726666667,26.6666666667
181.45,14.4070166666,-15.3845,-16.6665,-14.1025,-18.5897142857,-54.8076666665,-3.68608333335,-13.4615,-55.1285,6.41016666665
181.83,-28.2525916667,-91.3979999999,-79.5699999999,-79.5699999998,-80.2612380954,-137.6345,-71.2365,-100.000166667,-164.516166666,-24.7315
182.21,-46.0985,-142.424333333,-73.4846666666,-106.818166667,-125.541166667,-149.242333333,-115.909166667,-141.666666667,-208.333,-30.303
182.59,-16.666575,-110.606,-38.6363333333,-64.3939999998,-105.519261905,-115.909166666,-116.287666667,-125.7575,-166.666333334,-34.8485
182.97,-156.458333333,-443.75,-164.583333334,-270.833333333,-422.619047619,-447.916666667,-484.375,-529.166666666,-600.0,-172.916666667
183.35,-340.625,-929.166666669,-391.666666667,-549.999999998,-1025.5952381,-987.500000001,-1064.58333333,-1062.5,-1054.16666666,-541.666666667
183.73,565.0,1883.33333333,583.333333333,399.999999998,1938.0952381,1625.0,2137.5,1925.0,1650.0,1275.0
184.11,502.333333334,976.666666669,343.333333334,370.0,976.190476192,883.333333331,1038.33333333,936.666666669,720.0,860.0
184.49,1084.99995833,1738.88883333,455.5555,761.111166665,1752.38090476,1477.77783334,1869.4445,1583.3335,1288.88883334,1555.55533333
184.87,223.659516666,303.623,120.289833333,146.376833333,306.521761905,257.971166666,331.52175,294.9275,249.2755,302.898333333
185.25,244.444616667,300.694333333,100.694333333,143.055666667,321.627119048,266.666833333,346.875166666,302.777666667,227.0835,302.777666667
