wavelength,Back_SpoLeuf,Belly_SpoLeuf,Breast_SpoLeuf,Crissum_SpoLeuf,Crown_SpoLeuf,DorTail_SpoLeuf,Patch10_SpoLeuf,Rump_SpoLeuf,Throat_SpoLeuf,WingTip_SpoLeuf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,95.5555555557,78.5185555556,117.037222222,77.037,74.0741111111,83.7036666667,92.5926666666,84.4445555553,105.185111111,79.2591111111
179.16,17.2222222222,20.0,46.6666666667,37.7777777778,12.7777777778,23.8888888889,15.0,25.0,50.5555555556,14.4444444444
179.54,-30.0,15.5555555555,-24.4444444445,-52.2222222222,-20.0,-40.0000000001,-18.8888888889,-12.2222222222,-62.2222222221,-55.5555555557
179.93,90.3703333333,79.2592222222,102.222444445,91.1111111109,77.037,100.740666667,72.5924444444,65.9258888889,116.296444444,95.5556666668
180.31,94.6316666666,60.5494444444,107.740333333,95.88,56.8041111111,74.6565555554,71.161,66.1674444444,109.737666667,85.3934444445
180.69,107.777777778,68.3333333332,130.416666667,113.888888889,68.0555555556,89.5833333334,83.8888888889,76.5277777779,133.472222222,97.2222222222
181.07,105.629555556,67.1111111112,127.111111111,121.925888889,66.3703333334,91.1111111112,83.2592222222,68.1482222221,139.259222222,101.481444444
181.45,133.680444445,83.3333333332,147.569555556,146.701666667,85.5902222223,115.104222222,101.909777778,91.3194444446,162.673666666,127.083222222
181.83,117.543888889,76.6082222221,126.169555556,127.924111111,75.1461111112,98.8304444443,90.7894444444,78.2164444444,136.403444444,110.672555556
182.21,139.784888889,93.0107777777,147.132666667,151.254555556,84.0500000001,110.752777778,101.612888889,86.9176666667,159.139555555,122.222111111
182.59,157.923444444,121.858,173.406,174.317,105.282444444,128.415333333,123.861555556,114.754222222,175.592,142.623
182.97,172.030777778,129.502,189.655111111,185.632222222,125.287444444,145.785444445,136.206888889,118.199333333,189.846555556,151.532555555
183.35,217.006888889,171.428555556,243.537444445,236.734777778,172.789,204.308444445,165.306222222,156.235777778,243.084,197.732444444
183.73,198.214333333,161.904555555,207.143111111,217.063555556,161.309555555,191.071444445,164.285666667,152.182444444,231.944444445,184.325333333
184.11,189.065333333,153.968333334,195.238111111,206.172888889,154.144444444,187.654222222,160.67,151.146555556,221.693111111,176.014111111
184.49,173.544888889,147.619,199.471,202.116222222,154.850111111,183.245111111,163.139444444,142.680888889,216.049333333,166.490333333
184.87,145.760333333,119.590777778,158.772111111,163.011777778,123.245666667,148.245777778,135.380222222,114.035111111,168.128777778,135.964777778
185.25,188.122555556,147.701222222,201.532444444,211.494222222,155.938777778,187.739555556,171.647555555,152.682222222,208.429111111,174.712666667
185.63,208.746888889,158.392444444,228.841555556,239.243555556,175.177333333,204.255333334,200.709222222,156.737666667,232.387888889,195.744777778
186.01,258.950555556,200.308444445,279.938444444,292.283777778,209.567888889,254.629666667,248.148,198.765444445,295.987666667,245.061555555
186.39,212.592555555,162.469333333,236.296222222,247.901111111,165.185333333,208.148111111,207.654222222,168.395111111,233.086333333,212.098777778
186.77,353.140111111,267.149888889,412.560555556,432.850444444,278.743888889,383.575,357.004888889,270.048222222,406.763222222,377.777888889
187.15,401.587222222,330.158777778,477.777777778,522.751222222,318.518333333,432.804111111,428.571444445,352.910111111,449.735444444,441.27
187.53,4.36428372981e+15,3.50422130097e+15,5.2314541126e+15,5.87827792272e+15,3.39049403765e+15,4.59173825644e+15,5.28831774426e+15,3.51132925493e+15,4.96845981618e+15,5.18880638886e+15
187.91,553.846111111,512.820555556,723.931666667,725.641,470.085444445,631.623777778,664.102555555,453.846111111,610.256444444,673.504333333
188.29,861.111111112,851.388888889,1097.22222222,1127.77777778,659.722222222,924.999999998,1033.33333333,662.5,976.388888889,1041.66666667
188.67,713.333333333,731.111111111,827.777777778,897.777777779,490.0,704.444444445,825.555555554,544.444444445,743.333333334,871.111111111
189.05,507.407333333,533.333222222,605.185111111,644.444444444,368.148111111,516.296444444,605.185333333,421.481444445,562.962888889,662.222333334
189.43,638.383888889,724.242444445,797.979888889,800.0,449.495,661.616111111,797.979888889,517.171666666,764.646555557,851.51511111
189.81,1083.33333334,1245.83333333,1219.44444444,1275.0,698.611111111,1044.44444444,1226.38888889,834.722222223,1187.5,1344.44444445
190.19,-952.777777778,-1143.05555556,-1122.22222222,-1165.27777778,-580.555555556,-866.666666669,-1102.77777778,-666.666666667,-1051.38888889,-1223.61111111
190.57,-285.507333333,-345.893777778,-342.995111111,-339.130444445,-176.328666667,-247.343,-363.285111111,-203.864777778,-336.231888889,-390.338
190.95,-272.946777778,-342.029,-291.787333333,-323.671444445,-159.903333333,-234.299555556,-363.768111111,-183.091777778,-314.492777778,-377.777777778
191.33,-679.012333333,-856.790222222,-664.197444445,-762.963,-337.036888889,-566.666777778,-898.765333334,-383.950444444,-758.024555555,-888.888888888
191.71,-806.944444442,-997.222222221,-843.055555555,-922.222222222,-347.222222222,-698.611111111,-1019.44444445,-513.888888889,-866.666666668,-1002.77777778
192.09,-199.177,-239.506111111,-193.827222222,-233.333333333,-35.8024444444,-138.271666667,-248.559666667,-110.699444444,-211.111111111,-241.975333333
192.47,-87.4999999999,-108.564777778,-86.8056666664,-120.138888889,-6.24999999999,-56.7128888889,-123.379555556,-50.6942222222,-87.037,-115.509333333
192.85,-127.627555555,-163.363333333,-141.741777778,-188.888777778,-35.4355555556,-104.804777778,-187.087,-95.1952222221,-150.450222222,-184.684555556
193.23,-82.9786666664,-135.933666667,-101.891333333,-149.881888889,-18.6761111111,-69.7396666666,-138.770666666,-68.5578888889,-111.583777778,-141.607555556
193.61,-101.262888889,-158.080777778,-118.181777778,-162.373666667,-18.1818888889,-83.5858888888,-148.99,-82.0706666668,-113.888777778,-153.030333333
193.99,-78.7036666664,-132.175888889,-112.499888889,-142.824,-14.5835555556,-70.8332222223,-129.398222222,-72.4536666666,-105.092444444,-130.092666667
194.37,-134.876555556,-199.691333333,-186.419777778,-226.234444444,-42.2838888889,-127.777777778,-206.481555556,-136.419888889,-159.876555556,-192.592555556
194.75,-118.918888889,-197.897888889,-159.759777778,-214.414666666,-32.1321111111,-127.327444445,-185.585444445,-135.435555556,-147.147,-172.672666667
195.13,-145.519666667,-229.749,-210.752666667,-273.835222222,-35.1254444445,-145.161222222,-223.297444445,-171.684666666,-178.136333333,-214.695333333
195.51,-114.722222222,-184.444444445,-169.166666667,-209.444444444,-41.1111111111,-123.333333333,-168.611111111,-141.666666666,-145.833333333,-178.055555556
195.89,-131.79,-209.259222222,-186.110888889,-237.037111111,-59.8766666667,-134.259111111,-190.740666667,-150.308555556,-157.407444444,-197.839444444
196.27,-106.349222222,-178.042222222,-162.963,-198.412666667,-47.3546666667,-105.82,-169.312222222,-122.751444445,-118.783,-177.248666667
196.65,-122.222111111,-206.349333333,-184.761777778,-227.936444444,-53.6507777778,-111.746222222,-185.079333333,-129.206333333,-132.698444444,-203.492
197.03,-85.8797777779,-140.277888889,-124.768555556,-159.490777778,-36.3426666667,-65.9723333334,-121.990777778,-84.2592222222,-79.8609999999,-137.963
197.40,-127.777666667,-159.420333333,-161.111111111,-185.024222222,-70.0483333334,-95.4105555554,-155.313888889,-121.739111111,-103.623222222,-160.386333333
197.78,-98.6354444444,-123.586666667,-125.731111111,-156.335111111,-60.038888889,-70.5653333335,-129.629888889,-96.881111111,-83.0407777778,-131.968888889
198.16,-120.634888889,-151.247222222,-149.206222222,-188.208666667,-76.4172222223,-92.0635555554,-161.451222222,-125.169888889,-109.070222222,-164.172222222
198.54,-186.928222222,-243.790777778,-243.137333333,-290.196111111,-151.634,-168.300666667,-265.032666667,-207.189555556,-184.640555556,-266.013
198.92,-227.609444444,-283.501666666,-281.144777778,-340.067333333,-191.582222222,-209.090888889,-304.713888889,-229.966111111,-217.171555556,-302.693555556
199.30,-246.180555555,-300.694444444,-292.361111111,-343.75,-198.263888889,-211.111111111,-313.541666667,-240.972222222,-227.083333333,-303.819444444
199.68,-168.686888889,-211.616333333,-201.010222222,-241.161666667,-116.666555556,-132.323111111,-218.686777778,-157.575777778,-154.292888889,-202.020222222
200.06,-141.666555556,-177.564,-159.188,-194.444555556,-96.7946666667,-113.248,-180.982888889,-135.683888889,-138.675222222,-162.393111111
200.44,-236.257222222,-281.579,-245.906333333,-303.216444444,-177.485444445,-201.754333333,-280.994111111,-233.333222222,-240.058444444,-253.508888889
200.82,-203.381555556,-240.338111111,-212.801888889,-251.449444444,-151.207777778,-174.637888889,-246.618333333,-204.347888889,-209.178555556,-204.589333333
201.19,-156.172888889,-199.176888889,-166.872444444,-204.938333333,-117.283888889,-145.473111111,-192.592666667,-166.460777778,-180.247,-156.172777778
201.57,-121.845666667,-169.491555555,-126.553777778,-165.913222222,-84.7457777777,-119.962555556,-148.964111111,-133.333333333,-152.542444444,-121.092444444
201.95,-191.798888889,-267.725,-205.555666667,-245.767222222,-143.915333333,-194.444444444,-228.835888889,-214.814777778,-238.624222222,-191.005222222
202.33,-113.333444444,-171.481333333,-132.222222222,-151.851777778,-89.2592222222,-120.370444445,-140.185111111,-137.222333333,-146.296333333,-116.111
202.71,-95.330111111,-140.579555555,-110.467,-120.612111111,-64.2512222223,-94.3638888888,-110.950111111,-107.246333334,-118.357555556,-85.5074444443
203.09,-116.296222222,-168.148222222,-139.259111111,-141.111,-82.4074444444,-117.037,-139.629666667,-133.889,-140.925888889,-105.925888889
203.47,-121.129333333,-180.327777778,-150.273333333,-157.012666667,-92.714,-135.519111111,-144.444555556,-148.633888889,-150.091111111,-124.407888889
203.85,-269.534111111,-392.831555556,-337.276111111,-354.480333334,-246.595111111,-313.261666667,-327.240111111,-343.010777778,-334.767,-298.207888889
204.22,-326.222222222,-504.0,-418.666666667,-448.0,-306.666666667,-374.222222222,-418.222222222,-430.666666667,-407.111111111,-393.777777778
204.60,-179.532222222,-303.508666667,-247.660777778,-278.947333334,-185.964777778,-221.052777778,-240.935555556,-251.462,-244.737,-226.900555556
204.98,-258.222222222,-460.888888889,-377.333333334,-413.777777778,-291.111111111,-336.444444445,-345.333333333,-378.222222222,-354.222222222,-351.555555555
