wavelength,Back_SpoLucf,Belly_SpoLucf,Breast_SpoLucf,Crissum_SpoLucf,Crown_SpoLucf,DorTail_SpoLucf,Patch10_SpoLucf,Rump_SpoLucf,Throat_SpoLucf,WingTip_SpoLucf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-470.833333333,-641.666666667,-479.166666667,-462.5,-400.0,-404.166666667,-600.0,-470.833333333,-479.166666667,-566.666666667
179.16,-216.666666667,-302.083333333,-164.583333333,-189.583333333,-193.75,-156.25,-175.0,-156.25,-141.666666666,-154.166666667
179.54,-412.5,-645.833333333,-450.0,-358.333333333,-358.333333333,-366.666666666,-333.333333333,-366.666666667,-283.333333333,-333.333333333
179.93,210.714166667,241.666666667,190.475916667,178.571416667,194.047666667,190.476166667,180.952333334,204.761916667,127.380916666,188.09525
180.31,437.745,610.294083333,566.1765,455.392166667,464.705916667,462.254833333,525.49025,503.921583333,382.843,478.921583333
180.69,1333.33333333,1908.33333333,1780.0,1348.33333333,1376.66666667,1381.66666667,1615.0,1575.0,1061.66666667,1461.66666667
181.07,690.625000001,1044.79166667,1028.125,713.541666667,778.125000001,769.791666668,876.041666666,854.166666666,521.875,759.374999999
181.45,336.90475,536.90475,577.380833333,360.71425,384.523666667,409.523916667,484.52375,451.190416666,257.738083334,426.78575
181.83,238.541666667,402.604166667,484.895833334,300.0,292.708333333,323.4375,396.875,352.083333333,192.1875,343.75
182.21,358.333333334,866.666666667,1101.38883333,654.166666667,605.555666668,656.944416667,920.833500001,726.388833333,375.0,719.444416668
182.59,173.958333333,541.666666667,702.083333333,353.125,328.125,319.791666667,597.916666668,416.666666667,117.708333333,415.625
182.97,75.0000000002,-197.727416667,-280.302916667,-64.3938333334,-34.0909166668,-22.7273333333,-233.3335,-74.2424999998,135.606083333,-59.8485833332
183.35,87.8205833332,-24.9998333334,-49.0384166667,34.2947499999,41.98725,47.1153333334,-41.98725,30.1280833333,122.756416667,46.4745000001
183.73,73.0070833333,15.7608333333,1.08683333335,35.5073333333,56.3404166666,52.8985833333,2.1739166665,42.0291666667,103.441916667,49.6376666668
184.11,70.9821666667,27.8274166667,18.4523333333,38.6905,58.0356666666,59.3750833333,20.98225,46.131,98.2140833332,49.7023333334
