wavelength,Back_SpoLucm,Belly_SpoLucm,Breast_SpoLucm,Crissum_SpoLucm,Crown_SpoLucm,DorTail_SpoLucm,Patch10_SpoLucm,Rump_SpoLucm,Throat_SpoLucm,WingTip_SpoLucm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-592.592592593,-394.444444444,-372.222222222,-572.222222222,-405.555555556,-366.666666667,-466.666666667,-511.111111111,-527.777777778,-566.666666666
179.16,-225.462962963,-105.555555556,-111.111111111,-241.666666666,-97.2222222221,-152.777777778,-161.111111111,-202.777777778,-238.888888889,-216.666666667
179.54,-274.074074074,-411.111111111,-238.888888889,-338.888888889,-305.555555555,-216.666666667,-488.888888889,-500.0,-244.444444445,-416.666666667
179.93,191.798944444,161.904777778,163.492111111,241.269888889,120.634888889,163.491888889,204.762,182.539666667,153.968333333,161.904888889
180.31,539.651444444,439.215555555,366.666666666,609.804,233.986777778,445.751444445,498.039222222,548.366111111,426.143777778,466.666777778
180.69,1637.77777778,1297.77777778,1006.66666667,1960.0,486.666666666,1344.44444444,1528.88888889,1682.22222222,1206.66666667,1388.88888889
181.07,873.379629631,698.61111111,523.611111111,1102.77777778,150.0,751.388888889,843.055555557,950.0,625.000000001,726.388888889
181.45,434.655962963,370.635,269.841222222,570.634888889,51.5872222223,389.682444444,433.333444445,494.444222222,293.650777778,373.809333334
181.83,356.712962963,272.222222222,215.972222222,461.111111111,-15.972222222,338.888888889,327.777777778,382.638888889,242.361111111,274.305555556
182.21,740.740703705,618.518333332,387.037000001,990.740666666,-229.629666666,788.889,675.925888888,837.037000001,509.259333332,555.555555554
182.59,372.222222222,361.111111111,177.777777778,630.555555555,-277.777777778,477.777777778,400.0,470.833333333,293.055555556,293.055555555
182.97,-35.1851851853,-37.3736666667,66.666888889,-227.272666667,359.596111111,-158.586,-44.4443333333,-115.151333333,36.3635555557,-14.1414444446
183.35,58.3333703703,50.8546666665,89.7435555553,-43.1625555556,216.666555556,-8.54688888877,47.0085555557,30.3417777778,84.6155555557,43.1623333333
183.73,60.5878148148,56.2802222222,78.2608888889,9.42033333333,143.719888889,14.7344444444,57.0048888889,44.4443333333,65.942111111,57.488
184.11,65.7739074074,59.7221111111,74.4046666667,28.1747777778,128.571444445,27.9763333333,68.0555555557,42.6586666667,67.8572222222,67.8571111112
184.49,62.1499074075,44.7154444444,65.8535555554,21.4092222222,134.959111111,8.129888889,64.7696666666,27.1003333334,49.0515555556,63.6856666666
184.87,8.0247962962,-57.7777777778,-13.3334444444,-85.185,179.259222222,-143.703666667,3.703666667,-108.888777778,-77.0370000001,-5.185111111
185.25,-98.6111111113,-355.555555556,-152.777777778,-394.444444445,544.444444444,-658.333333333,-105.555555556,-480.555555555,-472.222222222,-111.111111111
185.63,-43.5185185188,-166.666666667,-38.888888889,-136.666666667,217.777777778,-294.444444444,-52.2222222223,-201.111111111,-220.0,-5.55555555533
186.01,-2.8323148149,-70.588111111,25.490111111,-45.7514444444,120.914888889,-140.522888889,-0.653666666433,-77.124111111,-111.764666667,37.255
186.39,-42.3281296296,-87.3015555556,23.8094444447,-67.4602222221,114.285666667,-200.793555556,-19.0475555556,-95.2381111111,-153.968333333,69.0476666667
186.77,-126.094259259,-161.616111111,-8.081,-131.313222222,83.8383333332,-325.252555555,-61.6162222223,-164.646444444,-276.767777778,51.515111111
187.15,-2985.18518519,-3122.22222222,-1100.0,-2633.33333333,-200.0,-4977.77777779,-2100.0,-2833.33333334,-4211.11111111,-511.11111111
187.53,585.493796298,644.444444444,285.185222223,494.444555556,138.888888889,924.073999999,457.407444445,564.814888889,814.814888888,140.740888889
187.91,260.826203704,274.358777778,123.077,237.606777778,64.1023333333,389.743777778,211.111111111,275.213777778,380.341888889,95.7265555556
188.29,286.296296296,310.0,106.666666667,292.222222222,43.3333333334,485.555555556,256.666666667,314.444444444,480.0,100.0
188.67,862.037037035,872.222222221,-5.55555555667,888.888888889,-366.666666666,1977.77777778,672.222222223,905.555555557,1505.55555556,-61.111111111
189.05,-87.2685185183,25.0,162.5,-43.0555555556,226.388888889,-345.833333332,20.8333333336,-22.2222222221,-222.222222222,201.388888889
189.43,-26.1318148149,31.4815555556,84.567888889,-30.2468888887,100.617333333,-170.370333333,14.1975555557,-10.4937777778,-90.7406666664,119.136
189.81,-167.196,-9.5237777779,103.174666667,-187.301444444,122.222333333,-480.952444446,-61.905,-163.492,-325.396777778,282.539666667
190.19,-151.851851852,-95.5555555557,22.2222222223,-311.111111111,166.666666667,-626.666666667,-68.8888888887,-302.222222222,-446.666666667,455.555555556
190.57,-62.169259259,-31.7461111113,-65.0793333333,-230.158777778,28.5715555556,-393.650777779,-50.793888889,-314.285888889,-361.904777778,282.539444445
190.95,44.4443333333,58.0808888888,31.3128888889,-18.6868888889,56.0604444443,-68.6867777779,35.3536666666,-51.0101111111,-74.7475555554,141.919111111
191.33,124.444444445,126.111111111,89.4444444445,40.5555555557,110.0,-8.8888888889,95.5555555557,-6.1111111111,-59.4444444444,227.222222222
191.71,124.554111111,120.164555556,96.7080000001,62.9630000001,112.757333333,13.9917777776,106.172777778,30.8641111111,-6.99577777777,209.876555556
192.09,159.680148148,143.939444444,103.535222222,75.7575555555,127.272666667,-1.01022222233,124.242333333,64.1413333333,0.505,292.424444444
192.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.85,-292.284,-188.888666667,40.7405555553,7.40722222223,-114.815,407.407444443,-122.222222222,51.851888889,377.777777778,-822.222111109
193.23,-687.037037038,-347.222222222,-216.666666667,-83.3333333333,-349.999999999,516.666666668,-375.0,-113.888888889,336.111111111,-1500.0
193.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193.99,-441.152203703,-254.320888889,-156.790111111,-156.790111111,-227.160444444,99.999888889,-298.765444444,-239.506111111,9.87666666667,-645.679111111
194.37,-116.66662963,-77.7777777777,-42.3077777779,-27.3504444444,-43.5897777778,75.2136666668,-66.6666666665,-51.7092222222,42.735,-176.068555556
194.75,-117.716092593,-78.148111111,-44.8147777777,-26.6667777778,-53.7037777778,61.4814444444,-64.074,-65.9259999999,22.9628888889,-156.296333334
195.13,-41.9067592592,-16.2551111111,2.05766666667,8.84777777779,0.617333333333,57.8189999999,-12.3457777778,-7.40744444444,31.8931111111,-60.0821111111
195.51,0.521555555533,14.7104444445,27.0733333333,38.3411111111,30.9858888889,73.5523333333,21.5964444445,26.2912222222,46.0093333334,-4.69488888887
195.89,15.9351111111,18.9301111111,34.4307777778,47.5994444444,39.9175555555,73.5252222221,34.7052222222,36.3512222222,54.7324444444,5.3498888889
196.27,18.9594259259,19.7533333335,42.6806666667,57.1427777778,48.5008888889,90.8291111112,42.3281111111,50.0881111111,76.1904444444,11.1111111111
196.65,12.3959444444,6.57599999987,36.5078888889,51.2471111111,47.3924444444,101.133777778,38.5487777778,50.567,85.7142222221,4.30844444444
197.03,23.8473333333,2.7211111112,44.2176666667,56.6893333333,58.5034444444,108.616555555,44.6713333333,43.7641111111,95.6916666667,14.5125555555
197.40,57.8348703705,26.7094444444,77.3502222222,73.7178888889,84.6154444445,127.563888889,73.7178888888,68.8034444443,117.521444444,55.5556666666
197.78,70.2989814815,30.9828888889,90.5982222222,75.0,88.2481111111,135.897444444,80.342,78.8461111112,126.709444444,61.5383333333
198.16,99.7076666667,25.4386666668,127.193,108.771888889,118.713555556,197.953,105.848,100.292444444,172.807,78.9473333333
198.54,121.132962963,34.3136666668,158.169777778,125.490111111,129.084888889,229.411777778,126.470666667,109.477111111,191.83,88.2353333334
198.92,132.50337037,20.6896666665,156.705,124.904222222,127.586111111,256.705222222,130.268111111,102.298666667,205.747,81.2262222221
199.30,168.055648148,31.0185555554,190.277777778,148.611111111,150.0,313.888888889,165.740777778,121.296222222,264.814777778,108.796444444
199.68,288.889037037,30.5556666663,337.963111111,260.185222222,244.444444444,589.814777778,274.074222222,180.555444444,523.148,157.407444444
200.06,188.215296296,56.5656666666,240.404111111,182.323222222,194.949555556,374.747333333,180.303,122.727333333,325.757444445,156.060666667
