wavelength,Back_SpoMinm,Belly_SpoMinm,Breast_SpoMinm,Crissum_SpoMinm,Crown_SpoMinm,DorTail_SpoMinm,Patch10_SpoMinm,Rump_SpoMinm,Throat_SpoMinm,WingTip_SpoMinm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,65.3333333333,-6.6666666668,33.3333333334,1.33333333334,25.3333333334,-38.8235294118,-14.6666666667,29.3333333334,2.66666666661,29.3333333333
179.16,-333.333333334,73.3333333333,-100.0,-66.6666666669,-180.0,-2.74509803934,146.666666667,-320.0,40.0,-193.333333333
179.54,236.666666667,220.0,130.0,153.333333333,-10.0000000002,46.862745098,16.6666666666,136.666666667,-39.9999999999,110.0
179.93,31.1110666667,-4.4444,-40.0000000001,-35.5555333333,-108.888866667,-57.1240666666,-80.0000000001,6.6666666668,-151.111133333,124.444466667
180.31,367.333333333,148.0,344.666666667,312.0,238.666666667,271.764705882,127.333333333,494.0,32.6666666666,477.999999999
180.69,208.695733333,104.347866667,202.898533333,172.753533333,148.4058,153.486792157,90.7245333334,252.7536,43.1885333335,254.492866667
181.07,160.6666,91.7779333333,172.222333334,147.111066667,115.555466667,133.973807843,74.8888666666,202.222266667,42.2222666668,205.777733333
181.45,146.666666667,79.2857999999,175.9524,136.190466667,111.190466667,125.644203922,72.3809333335,195.952533333,29.7618000001,200.238266667
181.83,157.066666667,85.0666666667,194.4,155.466666667,134.666666666,154.917647059,83.1999999999,228.533333333,43.4666666666,240.533333333
182.21,188.666666667,115.666666667,261.0,200.333333333,195.0,204.901960784,125.0,296.666666667,83.0000000001,290.333333333
182.59,157.777866667,105.7778,200.666666667,166.2222,170.444466667,171.882203922,123.555666667,222.888866667,94.6666666667,230.444466667
182.97,197.9488,147.179466667,255.641,207.4358,214.8718,207.843098039,162.307733333,256.923066667,125.897466667,261.025666667
183.35,168.888933333,129.629533333,201.8518,154.444533333,167.222066667,167.004337255,130.7408,193.3334,101.851866667,191.1112
183.73,228.666666667,176.0,316.666666667,209.0,229.0,221.68627451,168.666666667,273.0,124.0,289.333333333
184.11,1100.0,864.444466667,1853.33333333,1044.44453333,1126.66666667,1107.05895686,864.444466667,1364.4444,442.222133334,1524.44426667
184.49,3066.66666667,2440.0,5586.66666667,2893.33333333,3453.33333333,2967.05882353,2786.66666667,4006.66666667,1060.0,4500.0
184.87,-91.9999999999,-75.2000000001,-186.133333334,-98.4,-113.333333333,-91.874509804,-97.6000000001,-136.266666667,-21.0666666667,-154.133333333
185.25,-45.6944000001,-36.6666666667,-89.8610666667,-47.5000000001,-61.5278000001,-48.4886156863,-56.6667999999,-67.9167999999,-11.9445333334,-82.5000666666
185.63,-86.6666666667,-82.4389333333,-129.756133333,-88.1300666667,-96.7478666666,-91.7743372549,-90.2437333333,-108.292666667,-35.7722666667,-140.000066667
186.01,-38.6163333333,-26.5409333333,-66.1635333333,-30.3144666667,-39.9999333333,-32.5857764706,-33.2074666666,-42.0126,9.81126666666,-68.1760666667
186.39,-39.2857333333,-16.6666666666,-59.1666666667,-22.0236666666,-34.4047333333,-21.8627137255,-22.2617999999,-31.1905333333,21.5475333333,-64.1667999999
186.77,-17.9569333333,2.79573333332,-35.0538666667,-1.18273333333,-10.9676666667,3.65609411765,-1.50533333334,-1.39786666667,43.1182666667,-31.0754
187.15,3.92846666667,20.1190666667,-17.2619333333,22.381,14.4048,32.3879960784,27.262,29.1668,74.5238666666,-16.3095333333
187.53,22.0429333333,29.2474000001,-4.40866666667,26.0214666667,25.914,46.4327215686,35.2686666666,43.2258666667,78.6020000001,-5.59153333334
187.91,19.2089333333,18.87,-4.18073333332,18.1920666667,18.9831333333,43.3234784314,30.2825999999,43.9548666666,79.3220666667,-5.87559999999
188.29,17.3333333333,10.8,-4.26666666666,17.0666666667,12.5333333333,56.3372549019,41.4666666667,46.3999999999,90.9333333334,-12.0
188.67,33.5802,23.4568,14.9382666667,29.2592666666,30.3704,70.5227333333,59.5061333333,63.2098000001,94.9380666666,11.7283333333
189.05,81.8390666667,50.8044666666,33.1035333334,71.0344666667,68.7355999999,149.1818,142.299066667,141.149466667,192.873533333,53.1034666665
189.43,140.5556,60.5556000001,3.88893333327,84.4444000001,96.6667333334,301.56865098,286.666733333,296.111133333,426.111066667,82.2222666668
189.81,605.0,263.333333333,35.0000000007,308.333333334,313.333333333,1054.80392157,859.999999999,1048.33333333,1316.66666667,489.999999999
190.19,10.2778,96.6666666666,136.111066667,96.3889999999,82.7778000001,-42.9738078431,0.277933333206,-46.6665333335,-85.0000000001,54.7222666667
190.57,16.5592,89.6773333333,111.612933333,94.6235999999,67.5268666667,-18.3932588237,9.6774,-28.172,-60.2149333334,46.2366000001
190.95,39.099,102.702666667,114.774866667,114.2342,86.8466666667,17.6259294117,31.1711999999,5.58566666666,-11.7117333333,71.1712000001
191.33,61.7886,111.707333333,120.650466667,130.5692,101.788666667,36.0496980392,60.9756000001,39.8372666667,18.0488,93.0081999999
191.71,68.9473333332,111.228266667,122.982466667,126.140466667,104.386,38.7822039217,68.5964,37.7192666667,28.0701333333,94.0351333333
192.09,71.4815333333,105.926,129.6296,128.7038,108.7038,44.0631764707,69.6296,36.6667333333,35.3703333333,98.5184666667
192.47,51.2819999999,85.2990000001,99.3161333334,108.888866666,81.1965333334,35.8973411764,64.2733333334,18.4615999999,27.5212666667,78.4616666667
192.85,28.8435333333,59.8639333333,72.7891333333,77.6871333333,57.823,20.9524235295,48.9797333333,3.94546666666,10.4762,55.5101999999
193.23,21.7282666666,76.7902666666,93.8270666668,115.0618,77.5308666666,4.31351764712,75.5555999999,-11.8517999999,-7.65433333339,78.7652666668
193.61,9.48713333334,66.1538666666,66.9230666665,97.6922666667,59.2307333333,-16.531035294,80.7692000001,-34.1026,-8.46153333326,48.9743999999
193.99,-18.6666666667,53.6666666666,41.3333333333,102.666666667,25.9999999999,-63.6862745099,84.0000000001,-64.6666666667,-24.6666666667,21.9999999999
194.37,-160.606066667,-56.3637333334,-61.8181333334,60.6060666666,-89.6969333333,-244.599054902,35.7575333333,-236.3636,-147.878866667,-95.7575333334
194.75,-83.3333333334,1.24999999992,-7.5,83.7500000001,-17.9166666667,-110.539215686,93.3333333334,-118.75,-7.5,-23.3333333335
195.13,-83.0303333333,-30.3030000001,-31.2121333333,31.8182000001,-42.7272666667,-108.056988235,53.3332666666,-118.181733333,-34.8486000001,-30.6057999999
195.51,-88.0000000001,-57.3333333334,-43.7333333333,11.7333333333,-52.8,-103.435294118,30.9333333333,-133.333333333,-38.9333333332,-43.7333333333
195.89,-62.5804666666,-36.3441333333,-23.2259999999,27.0969333334,-29.2472666667,-62.1000313725,21.0752666667,-89.6775333333,-27.5269333333,-29.2473333334
196.27,-57.6067333333,-34.3589333333,-26.8376666666,12.9914666667,-27.1794666667,-58.0493490197,12.6495333333,-71.7949333333,-25.8120666666,-35.0427333334
196.65,-34.8611333333,-15.6944,-4.44453333334,24.4444,-8.47233333334,-32.1324627451,24.0277333333,-47.0834666666,-6.24993333336,-15.6945333333
197.03,-13.718,0.51293333334,7.8204,36.1538,4.61533333334,-15.3620196079,35.7691333333,-37.9487333333,17.9488,-4.87173333339
197.40,0.50500000002,16.4646666667,17.6767333333,39.6969333333,17.0706,1.49743529412,41.6162,-23.0303333333,28.283,8.99
197.78,-18.5858,6.5658,1.01006666666,19.293,3.83833333333,-12.667772549,16.3636,-40.7072000001,9.79786666665,-3.13120000006
