wavelength,Back_SpoNicf,Belly_SpoNicf,Breast_SpoNicf,Crissum_SpoNicf,Crown_SpoNicf,DorTail_SpoNicf,Rump_SpoNicf,Throat_SpoNicf,WingTip_SpoNicf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,400.0,470.0,313.333333333,286.666666667,180.0,400.0,200.0,156.666666667,406.666666667
179.16,56.6666666667,91.6666666667,50.8333333333,15.8333333333,18.3333333334,35.0000000001,-4.16666666675,101.666666667,80.8333333334
179.54,14.3589333333,-13.8462,2.05146666665,22.564,15.8973333333,12.3077333333,34.359,9.74359999999,-13.3333333333
179.93,-330.0,-340.0,-243.333333333,-130.0,-173.333333333,-316.666666667,-100.0,-296.666666667,-370.0
180.31,8.99993333333,-2.22226666668,34.4444000001,64.6665999999,58.9999333334,29.2222666667,73.7777333334,10.1111333333,-7.5556
180.69,-7.38100000001,-19.7618666667,23.5714,64.6427333333,53.0952,19.6428666667,71.0713999999,-6.78566666673,-27.3809999999
181.07,-12.7045333333,-19.2453333333,22.8930666666,68.3018666667,52.7044,16.1007333333,69.0564666667,-17.7357999999,-37.4842666666
181.45,-19.4772,-24.183,11.3725333333,55.5556000001,41.4378666666,0.2612666667,55.9476,-26.7972666667,-53.7254666667
181.83,-18.6667333334,-14.074,26.5186,73.4814666667,58.3704666667,18.3703333333,71.4075333333,-25.037,-43.8517999999
182.21,-10.5882,-8.62739999993,43.3332666666,108.431333333,88.2352666668,36.8628,95.2940666667,-21.3725999999,-48.4313333334
182.59,-38.6110000001,-27.7777333333,42.5,142.500066667,101.666666667,60.5556666667,116.388866667,-63.6111999999,-78.6112
182.97,-193.3332,-158.095333333,90.4761333336,416.190533333,268.571533333,107.6192,339.047533333,-308.571466667,-421.904733333
183.35,141.515066667,142.424333333,57.5757333331,-61.5152,-9.39379999992,44.5454666668,-40.3032000001,166.6668,204.242333333
183.73,107.381,104.762066667,44.9999999999,-64.0476666666,-9.52380000007,16.1904666666,-27.3809333333,131.904866667,163.095266667
184.11,150.804666667,141.3792,86.8965333333,-13.7929999999,35.4023333333,54.4826666666,21.3791999999,172.184,201.149333333
184.49,137.904666667,148.1904,90.8572,17.7142,49.9048,77.7142666667,47.2380666667,160.952333333,168.762
184.87,107.037,128.3334,72.4075333332,2.2221333334,21.2963333333,57.4073333333,32.5925333335,135.925866667,134.814866667
185.25,93.9785333333,119.354866667,51.3979333331,-39.9999333334,-7.95700000001,21.2903333333,-2.58053333326,128.602133333,116.129
185.63,649.333333333,757.333333333,309.333333334,-306.666666667,-101.333333334,91.9999999999,-70.6666666662,737.333333334,688.000000001
186.01,439.2592,486.6666,246.6668,-109.6294,5.92593333353,139.259266667,36.2964000001,466.6666,508.148066667
186.39,4406.66666667,4466.66666667,2080.0,-846.666666666,120.0,566.666666666,73.3333333334,4293.33333334,4586.66666667
186.77,965.333333334,1032.0,496.000000001,-58.6666666664,185.333333333,225.333333334,136.0,873.333333334,1017.33333333
187.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
