wavelength,Back_SpoPlum,Belly_SpoPlum,Breast_SpoPlum,Crissum_SpoPlum,Crown_SpoPlum,DorTail_SpoPlum,Patch10_SpoPlum,Rump_SpoPlum,Throat_SpoPlum,WingTip_SpoPlum
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,102.359036667,83.0770666667,75.3845999999,84.6152666667,74.6154333333,86.6667333334,81.2819666666,99.6581555554,76.4102666666,112.8205
179.16,90.7556133335,81.3333333333,86.2222000001,70.6667333333,65.9999333334,75.1112666667,66.4445333333,65.0371333333,67.5556,103.555533333
179.54,54.1764133333,52.9410666667,58.4314,67.8431333333,47.2548666667,41.9608666667,43.3333,50.9804,53.7255333333,30.5882666667
179.93,-33.9523666667,-39.0476,-14.2858,-7.6190666666,-36.1904666667,-65.7142,-7.14276666664,-5.71428888889,-72.381,-78.0952333333
180.31,283.973333333,217.866666667,211.466666667,201.333333333,224.8,256.0,179.466666667,219.2,198.133333333,357.333333333
180.69,412.80394,304.705933333,308.235333333,287.843133333,327.0589,373.3334,261.1765,300.392155556,276.862933333,507.843166667
181.07,2160.99989333,1531.111,1628.88886667,1480.0,1741.11116667,2017.77766666,1345.55543333,1529.62962222,1335.5556,2712.2223
181.45,-211.813333333,-133.066666667,-124.8,-132.0,-160.4,-196.8,-112.4,-145.511111111,-101.066666667,-267.866666667
181.83,-596.030343333,-415.151466667,-391.515133333,-430.303066667,-458.7879,-561.818133333,-307.878633333,-421.818111111,-313.333466667,-677.878733334
182.21,-640.933333333,-438.666666666,-426.0,-471.333333333,-482.666666667,-598.666666668,-314.333333333,-445.777777778,-306.666666667,-718.333333333
182.59,-504.358973333,-316.4102,-315.384533333,-348.205,-367.9488,-474.8718,-229.743666667,-353.846111111,-233.3334,-527.1796
182.97,-1167.27764,-684.444333333,-727.777733333,-788.888933334,-842.777766667,-1099.99993333,-559.4445,-822.963,-565.555466667,-1093.33333333
183.35,-1842.08333333,-1145.0,-1181.66666667,-1230.0,-1389.16666667,-1755.0,-878.333333333,-1294.44444445,-976.666666667,-1654.16666667
183.73,-705.433333333,-420.666666667,-428.0,-456.666666667,-559.666666666,-650.000000001,-364.0,-511.333333333,-398.0,-624.333333333
184.11,-1440.13333333,-950.666666668,-946.666666666,-891.999999999,-1152.0,-1401.33333333,-720.666666666,-1112.88888889,-758.666666668,-1277.33333333
184.49,913.708333333,590.833333333,618.333333333,599.166666666,679.583333334,869.166666667,427.916666667,698.611111111,439.166666666,786.666666667
