wavelength,Back_SpoRuff,Belly_SpoRuff,Breast_SpoRuff,Crissum_SpoRuff,Crown_SpoRuff,DorTail_SpoRuff,Patch10_SpoRuff,Rump_SpoRuff,Throat_SpoRuff,WingTip_SpoRuff
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,70.9629333333,93.7777333332,34.3703333333,87.2593666666,86.9630000001,39.3333333332,89.9259333333,111.703666667,126.814866667,105.333333333
179.16,6.6666666666,3.33333333334,6.6666666666,-106.666666667,-66.6666666666,-40.0,70.0,-120.0,40.0,76.6666666666
179.54,28.3333333333,39.5238666667,42.6984,44.3649,43.8095333333,44.5634666667,68.1746666667,56.5873333333,66.5874,49.0475999999
179.93,-46.6666666667,-6.6666666668,-35.0000000001,-11.6666666666,59.9999999999,-110.0,46.6666666666,-6.66666666666,-150.0,-50.0000000002
180.31,62.6579333335,28.5554000001,44.2713999999,30.9755000001,18.3990000001,5.99130000006,-10.2564,-30.8129333334,-26.4541333334,-71.8199333333
180.69,50.7524000001,19.3155333332,32.7899333333,24.7909333333,17.1316666667,-4.4252,-23.9655333333,-39.2216,-36.1963333333,-74.6708000001
181.07,73.9208666668,48.7044666668,44.7494000001,57.5804333333,50.3370666666,21.4333,12.5107999999,25.6864666667,26.5584666668,-13.6084
181.45,81.6039333335,56.5749999999,45.0063333333,57.8211333334,53.0401333335,24.0999666667,25.4404666667,27.6758666667,43.9153999999,-6.08873333326
181.83,65.4588000001,49.1112000001,38.0043333334,49.4772,47.7917333332,26.0454333333,30.2841333333,26.3834666667,40.4440666667,-2.34113333336
182.21,62.3134666667,52.2913333333,35.5522666667,49.5971333333,49.3969333334,24.6893666667,26.2889333333,27.8827333333,41.8070666667,-3.21033333332
182.59,75.2955333333,65.2512666667,46.8646000002,65.9366333333,68.4958000001,32.7215666667,26.5189333335,31.6429999999,54.3794000001,-4.5154666666
182.97,84.8484666667,70.4848666667,51.5151333335,67.4545333333,72.6970000001,30.3332666667,30.3484666666,47.2121333332,66.7424000001,2.63640000014
