wavelength,Back_SpoSchf,Belly_SpoSchf,Breast_SpoSchf,Crissum_SpoSchf,Crown_SpoSchf,DorTail_SpoSchf,Patch10_SpoSchf,Patch11_SpoSchf,Rump_SpoSchf,Throat_SpoSchf,WingTip_SpoSchf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-80.0,16.6666666667,-36.6666666664,-203.333333333,-190.0,-76.6666666666,-86.6666666666,166.666666667,-66.6666666666,-83.3333333333,36.6666666666
179.16,71.5151333333,44.8484,71.5151,95.7575333332,79.3938666667,55.1514000001,52.1211333334,41.8182333333,59.3938666667,53.3332,69.6969999999
179.54,47.3333333333,29.0,43.3333333333,44.6666666667,41.3333333333,34.3333333333,38.6666666667,23.8333333333,33.3333333333,45.3333333333,33.0
179.93,27.451,24.7058666667,25.6861666667,34.9021333333,32.1568666667,25.4900666667,43.1373333333,8.23536666669,36.0784666667,37.2548,24.3137333333
180.31,54.9605333333,42.5198,56.5879666667,60.5249333333,56.5879333333,38.2153333333,62.7296666667,31.0497666667,55.6430666667,47.8739333333,52.861
180.69,53.1944,41.8519333333,53.6806,58.3796,54.3980666667,35.4628666667,61.3426,29.699,54.9073333333,44.9537333333,50.3702
181.07,52.6546666667,42.2356,52.3552,54.6906,51.5370666666,34.7704666667,60.1198,31.1177666667,52.6148,42.5549333333,48.9422
181.45,53.2940666667,42.3922,52.3529666667,52.7844666667,51.5294,33.7646666667,62.4314,31.5096666667,52.196,41.6470666666,47.1372
181.83,56.8098,43.9263333333,54.0286333333,54.4785333333,54.4376,34.8465333333,66.7893333334,30.818,55.1328666667,44.0490666667,47.9753333333
182.21,64.6022,49.2474,61.4194666667,63.1829333333,61.9785999999,40.6021333333,75.9140666667,37.2257666667,61.4624,49.3763333333,54.8387333333
182.59,66.8,49.7332666667,63.2889333333,65.2888,63.0221999999,39.6888666667,77.3333999999,37.3999333334,62.2666666667,48.0889333333,53.6000666667
182.97,65.4658666667,48.4058666667,61.2837,64.2651333333,60.0413333333,39.8343333333,76.3560666667,37.5982333333,61.0766666667,46.1284666667,50.3936
183.35,64.4,43.2444,60.3999333333,63.2444,56.9333333333,34.8445333333,73.9110666667,33.2443666667,58.0443333333,44.1332666667,45.9555333333
183.73,70.9522666667,45.9048666666,66.3570000001,66.8094666667,61.0476000001,39.8095333333,77.0000666666,35.381,58.8095333333,47.0952666667,46.7618
184.11,76.4406,42.5988666667,66.9207,68.3050666667,62.9378666667,37.2316,80.9039333334,32.9378,57.5141333333,46.3841333333,42.1468
184.49,85.7822,38.1632666667,69.0816666667,76.3946,67.9592000001,35.3740666666,89.2518666667,32.4829333333,55.6464,48.1632666667,39.7958666667
184.87,97.9591333333,44.2856666667,81.9388000001,88.4353333333,78.7075333333,46.3946,99.1156,43.0611666667,62.7211333333,59.7958666666,50.4082
185.25,106.594866667,48.5304666667,89.3907666668,96.4156666666,87.8135333334,52.9032666667,105.8064,49.3907333333,71.8996666667,67.5268666667,57.706
185.63,109.7674,48.2170666667,90.4262666667,98.7596000001,89.6124000001,55.3488666667,109.845,48.1395666667,74.8062000001,70.7751333334,60.6977333333
186.01,122.943733333,54.1125333333,104.069333333,113.593066667,99.3073333333,61.8181333334,122.510866667,59.394,84.3289333333,74.3722666667,67.4458666667
186.39,118.961066667,47.5324666667,101.1688,103.722933333,92.3808666666,55.1514666667,112.8138,54.7618333333,77.6623333334,68.0519333333,60.5194666666
186.77,131.466733333,55.2001333334,111.599933333,112.177733333,104.4444,66.7555333334,118.133333333,66.4889666667,87.6445333334,80.6224,68.6222666666
187.15,169.666533333,80.7777999999,146.777766667,142.2222,137.6668,88.0,149.888933333,90.8890333332,114.6666,107.111266667,93.4444
187.53,166.885333333,85.7924,149.562833333,142.622933333,143.278733333,95.9563333333,151.147466667,94.1529999999,115.847066667,108.852466667,96.2842000001
187.91,154.098533333,77.9233999999,134.6449,134.644866667,132.8962,87.9782000001,145.027333333,89.1803666667,110.929,100.655666667,93.7706666665
188.29,123.153333333,67.2072000001,115.089933333,117.387533333,111.6216,75.3153333333,123.333133333,79.3242666667,96.6665999999,86.2161333333,81.1712
188.67,110.881266667,71.4940666667,113.678166667,109.5786,103.295,77.0880666667,114.099666667,80.0381666667,96.2451999999,80.3063999999,81.3792666667
189.05,110.720666667,68.9189333334,114.955,107.927866667,103.693733333,76.1261333333,119.099133333,79.4143666666,96.8468666666,75.4054,75.7658
189.43,100.229866667,49.1954,110.9769,100.6896,90.9196666665,62.5287333334,116.206933333,72.7587000001,85.0574666665,58.9654666667,57.4712666667
189.81,85.4166666667,43.1249333333,97.3957666666,87.2916666668,74.8958666668,54.2707999999,105.000066667,66.1457666667,76.1458666666,47.0834,43.4374666667
190.19,57.4221333333,25.3332666667,68.3555333333,57.2446,49.2445333332,34.2221333333,73.9556,47.0667333333,49.9555999999,26.0444666667,24.9778
190.57,41.0185333333,13.7964,54.3983,42.5926,31.9444,21.5741333333,62.5926,33.6112333333,38.1480666667,10.2778,9.90753333333
190.95,32.9468,6.66673333331,44.1546666667,30.6280666667,19.8068,12.4638,64.8309333333,23.9614333333,32.657,1.54586666668,3.76813333335
191.33,9.60453333334,-23.5028666667,26.7796333333,6.32766666666,-7.11866666666,-9.15246666667,48.4746,1.75140000002,8.81353333332,-29.7174666667,-24.9717333333
191.71,-0.493999999994,-36.5432,18.7038,-9.62953333332,-25.8026,-22.5926000001,44.3209333333,-4.81486666666,-3.33326666666,-41.4814666667,-40.3702666667
192.09,2.30306666665,-33.2122,27.0302666667,-10.0606,-21.697,-23.0303333333,48.4849999999,-6.78793333332,-4.36366666667,-39.3939333334,-38.4243333333
192.47,11.1112,-28.7407333333,40.5926,-10.8149333333,-17.7778,-22.6666666666,66.0739999999,-2.74069999999,-4.29633333333,-42.2222666667,-36.1482
192.85,1.11113333333,-51.2962666667,34.3519333333,-32.9631333333,-37.7776666666,-42.5926000001,66.8519999999,-18.6111,-31.8518666667,-62.4074000001,-60.5556666666
193.23,6.51166666666,-32.8682,38.5273333333,-23.2558666667,-26.9766,-33.4884,57.0543333333,-3.87606666667,-27.1318666667,-41.2402666667,-40.6202
193.61,35.8333333333,1.52773333334,67.9167,7.63886666668,4.86106666668,-5.55566666667,81.2499333333,29.4444666667,-0.277666666666,-3.61106666664,-3.19446666666
