wavelength,Back_SpoSchm,Belly_SpoSchm,Breast_SpoSchm,Crissum_SpoSchm,Crown_SpoSchm,DorTail_SpoSchm,Patch10_SpoSchm,Patch11_SpoSchm,Rump_SpoSchm,Throat_SpoSchm,WingTip_SpoSchm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,26.6666666667,-29.9999999999,113.333333333,-120.0,-66.6666666667,-79.9999999999,-46.6666666667,-110.0,46.6666666668,-6.66666666666,-86.6666666668
179.16,43.0303333333,54.5455333333,14.5455333333,79.9999333332,59.3940666667,42.4242,59.3939333333,76.3636666667,41.8180666667,61.8182,55.7576
179.54,23.6666666667,34.6666666667,18.0,44.6666666667,34.6666666667,32.6666666667,27.0,48.6666666667,38.0,45.0,41.0
179.93,12.9412,37.6470666667,12.549,38.4314,24.7058666667,25.8824666667,23.5294666667,33.7254,35.6862666667,25.8822666667,30.5882
180.31,30.5511333333,51.4436,26.2467333334,53.5958,49.1338,54.5932,46.0892,62.5721333333,38.74,50.7087333333,52.8608
180.69,29.2592666667,49.9075333333,25.5554666667,52.8239333333,47.0833333333,54.3979333333,43.6110666667,59.5368666667,38.0556,48.4722666667,50.648
181.07,30.7784,49.9002666667,27.7045333333,50.2595333333,43.7924,51.8562666667,43.473,55.2494666667,40.3594,49.3813333333,49.7804666667
181.45,31.3332666667,50.9412666667,31.2550666667,47.9999333333,42.0391333333,51.7254666667,44.0392666667,53.1764666667,39.9216,50.7057333333,50.6274666667
181.83,33.8240666667,53.3743333333,34.3966666667,50.0614,42.9447333333,55.5418666667,47.3619333333,55.2556666667,40.6135333333,52.2290666667,53.4969333334
182.21,39.9570666667,61.3333333333,40.7312,56.4731333333,49.5054666667,64.0,54.6237333333,61.4624,45.3763333333,59.7419333333,61.1612
182.59,39.8221333333,61.911,40.7555333333,54.7554666667,47.8222666667,64.8444,56.0890666667,60.7556,46.6666666667,62.2223333333,62.2223333333
182.97,37.7639333333,60.2898,39.1718,52.8779333333,46.9564666667,61.8634,56.1904,58.1366,48.1573333333,61.4493333333,61.8634
183.35,32.4,57.4667333333,36.0889333333,50.8,42.5334666667,58.4888,53.2000666667,53.5110666667,48.3111333333,58.5778666667,60.6666666667
183.73,34.1904666667,61.0,37.7142,53.8096,43.3811333333,63.5236666667,57.3810666667,54.5714,52.0952,63.5714,62.6668
184.11,29.774,61.8644,35.9886,55.0282,38.7007333333,63.1637333333,59.9999333333,53.9547333333,53.7854,66.2147333333,63.5594
184.49,28.3673333333,63.7414666667,35.8504,57.7550666667,35.6462,64.0135333333,65.7824666667,54.4216666666,57.4830666667,72.5850000001,68.0952
184.87,38.2992666667,70.6802666667,46.9387333333,66.8027333333,44.694,71.0885333333,76.4625333333,62.8571999999,67.2789333333,84.3538000001,78.3672666667
185.25,42.0071333333,74.8386666667,54.122,72.6166000001,51.7563333333,79.1398666668,84.0143999999,69.7491333333,72.1863333333,89.8207333333,83.5126
185.63,40.6975333333,73.6434666667,52.0154666667,76.1240666667,51.0078,86.4340666666,83.4108666667,72.8684,78.217,92.0155333333,84.3411333333
186.01,47.1861333333,81.2121333334,59.1340666667,86.1471333333,59.4805333333,95.4112666667,92.2077333333,79.3072666666,91.6882666667,103.982733333,92.3809999999
186.39,41.2121333333,69.4372666666,56.0173333333,82.3376666666,51.6882666667,88.8312000001,87.1861333333,72.3809999999,85.8008000001,100.779333333,84.935
