wavelength,Back_SpoSimf,Belly_SpoSimf,Breast_SpoSimf,Crissum_SpoSimf,Crown_SpoSimf,DorTail_SpoSimf,Patch10_SpoSimf,Patch11_SpoSimf,Rump_SpoSimf,Throat_SpoSimf,WingTip_SpoSimf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,1198.95833333,987.500000001,616.666666666,799.999999999,983.333333332,1241.66666667,850.0,758.333333333,976.388888888,791.666666666,966.666666667
179.16,-12.38434375,38.889,28.7035833333,43.5185,-18.5185833333,-16.6666666667,-12.963,36.1111666667,7.09883333332,21.29625,-4.62975000002
179.54,90.4947916666,14.0625,57.2916666668,35.4166666667,67.7083333333,93.7500000001,68.75,67.7083333333,64.9305555556,79.1666666667,88.5416666666
179.93,290.9721875,136.111166667,308.33325,230.555583333,247.222333333,350.0,269.444416666,136.111083333,299.074125,299.999916667,308.333333334
180.31,149.674447917,58.3332916668,91.1456666668,81.2499166667,134.2015,151.5625,121.52775,60.59025,114.641208333,113.02075,130.5555
180.69,132.323729167,55.5769583332,86.0256666666,80.6410833333,119.743583333,132.179583333,113.33325,63.8460833334,106.410236111,101.025666667,116.922916667
181.07,132.627052083,45.7628333334,84.0395000001,84.1807500001,127.118583333,130.64975,121.32775,64.40675,107.297625,107.3445,119.632666667
181.45,121.488177083,50.1785416668,80.9524166667,82.9762500001,114.166833333,115.476083333,111.66675,65.47625,99.1667777779,97.8570833334,109.047666667
181.83,125.841885417,60.7876249999,88.4703333333,92.4658333333,117.694,115.411,113.81275,68.3790833333,100.970319444,104.7945,111.872
182.21,120.134635417,61.4328750001,79.1666666667,89.22775,113.821083333,103.760166667,105.5895,70.8335,94.2241944445,97.8658333332,104.37
182.59,108.1521875,58.4691666667,74.9999166666,78.3513333333,101.902,94.3840833333,93.7499166666,66.9383333333,87.4848611111,91.5761666666,95.6522499999
182.97,106.60075,64.7688750001,82.4258333334,81.6005833333,102.805166667,93.8118333333,98.8449166666,71.2871666666,90.4428888888,91.6666666667,93.0693333333
183.35,104.604166667,65.0833333333,81.1666666667,78.1666666668,103.166666667,96.0833333334,100.166666667,68.4166666667,94.7777777779,91.0833333333,96.5
183.73,106.164072917,68.6855416667,84.0206666668,80.0687499999,110.481,101.89,103.3505,72.5086666667,101.145625,93.7285833334,98.6255833333
184.11,114.776302083,77.2120833334,93.41575,95.4733333334,124.38275,113.580333333,112.962833333,84.5680000001,110.596833333,107.510166667,106.892916666
184.49,111.822385416,77.961875,88.9560833333,97.5903333333,124.0965,114.056333333,111.646583333,84.8394999998,108.517652778,110.441916667,103.6145
184.87,114.391177083,81.1539166666,94.6154166667,98.2050833333,131.6665,120.256416667,114.87175,81.9231666667,116.175291667,115.51275,104.487083333
185.25,103.835197916,77.7776666668,93.9395,90.7827499999,123.484833333,117.676833333,103.787666667,74.7475833333,109.069916667,106.565666667,95.2020833333
185.63,97.9491250001,73.8280833335,91.14575,88.5414999999,126.562416667,118.22925,94.9217500001,73.4374166668,107.074486111,115.104,93.7497499999
186.01,85.53421875,66.6667083333,84.8117500002,80.6450833332,120.833333333,116.801166667,88.3065833335,69.6236666667,100.067277778,108.467833333,84.2742500002
186.39,77.7657916668,70.0430416667,89.5115833333,81.7529166666,117.24125,123.850833334,87.3563333332,73.1322499999,98.7549166666,111.207083333,79.023
186.77,88.7117187501,75.4250833332,102.721083333,101.020333333,136.054416667,143.027333333,95.9183333334,84.3536666667,113.775541667,127.551166667,89.9660833334
187.15,81.8750000001,77.7500000001,100.5,98.6666666667,127.666666667,139.0,88.3333333335,89.6666666666,107.027777778,128.666666666,88.1666666666
