wavelength,Back_SpoTorf,Belly_SpoTorf,Breast_SpoTorf,Crissum_SpoTorf,Crown_SpoTorf,DorTail_SpoTorf,Patch10_SpoTorf,Patch11_SpoTorf,Rump_SpoTorf,Throat_SpoTorf,WingTip_SpoTorf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,33.3333333333,36.1110833333,26.3888333333,27.77775,34.72225,31.9443333332,12.5000833333,30.5555833333,76.3889166667,61.1110833333,52.7778333333
179.16,80.9522500001,60.119,48.8094166667,45.2380833333,48.2141666667,55.9523333333,51.1905833333,65.4761666667,83.3331666666,63.09525,84.5236666667
179.54,62.5,62.5000000002,-229.166666667,-91.6666666668,-91.6666666666,79.1666666668,-16.6666666667,12.5,125.0,8.3333333335,216.666666667
179.93,83.3333333332,94.1666666666,17.5,44.1666666667,40.0,45.0000000001,70.8333333333,63.3333333333,66.6666666667,67.5,89.1666666667
180.31,41.8034166667,43.03275,-11.612,8.06025000003,-6.69383333335,19.2623333333,39.2075833334,11.8853333333,47.67775,42.8963333333,65.8469166666
180.69,39.1929166667,45.1823333333,-5.98941666667,8.9845,-6.64075,19.0105,43.62,11.5885833333,52.2135,45.44275,69.2709999999
181.07,40.8855833333,49.2188333333,-3.64591666665,13.28125,-10.547,14.58325,50.78125,13.4115,55.5989166667,46.09375,75.2604999999
181.45,38.3085,53.8556666667,-0.124333333325,14.5523333333,-5.72141666668,21.5173333334,55.7214166667,17.2883333333,53.607,47.6366666667,71.1440833332
181.83,41.9013333333,55.1644166666,4.69491666666,22.7700833333,4.22533333332,26.5258333333,63.4976666667,17.6056666667,53.87325,54.5774166667,67.7229166667
182.21,38.492,46.8255,-3.04241666665,18.3863333333,1.19041666667,26.1905833333,63.4920833333,2.91008333332,53.7036666667,58.0686666667,61.90475
182.59,25.9469166667,35.0379166667,-31.25,3.03041666667,-15.1515833334,18.3711666667,73.4847500001,-14.015,58.3334166666,53.5984166667,68.5606666666
182.97,43.8887500001,49.2592499999,-5.37041666667,27.222,7.77783333333,42.4073333334,92.7778333333,2.59258333334,79.2591666668,72.5925833334,98.5185000001
183.35,40.8164166668,45.5782499999,-5.442,26.87075,12.0748333332,47.4489166666,84.0135833332,2.04075,80.2721666667,78.5714166667,92.6870833333
183.73,21.7054166668,27.13175,-31.7830833333,3.87591666666,-8.13950000003,35.2714166667,70.3487499999,-26.35675,73.6434166666,65.5038333333,80.8139166668
184.11,2.84558333332,12.3985,-52.6423333334,-16.4634166667,-27.8455833332,19.3089999999,53.6585,-42.8863333333,63.2114999999,53.6584166667,72.9673333333
184.49,18.5000000001,33.1666666667,-32.5,1.50000000003,0.33333333335,32.8333333333,63.0000000001,-21.6666666667,71.3333333334,62.5000000001,79.1666666666
184.87,25.0000833333,40.3061666667,-38.4354166666,3.74133333333,9.69391666665,44.0476666666,68.7075,-15.9864166667,76.1904999999,69.5578333333,86.0544999999
185.25,31.04575,47.0588333333,-31.0458333333,9.47716666668,28.5945833333,59.31375,80.8823333333,-9.80391666667,74.6733333332,76.6340833334,92.1569166666
185.63,14.1666666666,31.1666666667,-44.1666666667,2.33333333333,19.0,45.5000000001,72.3333333333,-29.1666666667,61.0,69.0000000001,86.1666666667
186.01,-2.77783333332,18.8888333333,-36.2500833333,-5.97225,10.6944166667,33.3334166667,50.9720833333,-25.27775,49.02775,49.4445,66.5278333333
186.39,-9.24483333335,14.8436666667,-29.2970833333,-7.68233333335,4.948,25.5208333333,41.7968333333,-16.4061666667,45.4429166667,38.5417500001,66.4064166666
186.77,5.41125,30.4114166667,-2.16458333332,12.33775,22.1860833333,34.95675,44.9134166667,1.29875,54.0043333334,51.6232499999,70.5627499999
187.15,-7.32333333335,22.6009166667,-15.1515833333,6.18675,17.0455,30.3031666667,39.2676666667,-8.45966666665,49.6213333334,46.5909166667,69.6970833334
187.53,-6.94458333333,29.7221666667,-7.91666666665,15.2778333333,23.6111666667,33.1944166667,45.1388333333,2.22225,52.0833333333,51.6665,77.3611666665
187.91,-20.7446666667,25.7090833333,-18.43975,8.86525000001,20.7445833334,32.2695,42.7305,-1.24083333335,43.6170833333,50.3545833332,81.0283333333
188.29,-10.9374166667,39.9303333333,-2.08333333335,22.743,37.6735833333,47.9165833333,51.5625833333,16.84025,56.5970833334,60.2429166668,89.5833333332
188.67,-10.3260833333,38.94925,3.62308333333,23.0073333334,39.1304166666,49.2755,51.2681666667,23.5508333333,56.5216666667,61.77525,91.4854999999
189.05,-38.4145833333,11.7886666667,-17.073,1.21941666668,12.8049166667,23.57725,26.2195,-8.1301666666,37.3984166666,37.3984166667,75.20325
189.43,-54.7916666667,-6.875,-39.1666666667,-8.75,-6.87500000007,6.87500000002,4.58333333333,-26.0416666667,30.0,17.7083333333,61.0416666667
189.81,-87.9309999998,-29.5977499999,-68.1035000001,-32.7585833333,-32.1838333334,-15.51725,-17.8159166667,-57.4714166667,27.0114999999,-5.74708333335,72.1264166668
190.19,-601.666666667,-290.0,-535.0,-293.333333334,-258.333333334,-305.0,-211.666666667,-509.999999999,-1.6666666665,-189.999999999,386.666666667
190.57,211.5385,82.6923333332,207.69225,83.9744166669,53.8460833334,113.4615,37.1795000001,189.102583333,-30.1283333332,51.2819166666,-146.794916667
190.95,138.271666667,82.7161666667,147.531,69.4445,61.7282500001,96.2963333334,35.1852500001,130.555833334,19.7530833333,62.6543333333,-30.8641666668
191.33,171.052666667,99.5614166669,168.421083334,79.3859999998,67.1051666667,112.71925,14.4736666666,153.947333333,-6.14033333342,67.5437499999,-52.193
191.71,146.55175,99.1378333334,144.252916667,79.0229166667,79.3104166668,97.4138333332,27.8735,141.091916667,15.2299166666,70.4023333333,0.57458333335
192.09,191.269833333,115.079333333,189.28575,67.8570833332,95.2381666666,123.412666667,26.5873333333,176.587166667,-24.2064166668,75.7935833333,-14.6825833334
192.47,177.430583333,129.861,179.86125,52.0832500002,97.9167500001,134.722416667,38.889,181.25,-6.25008333333,82.2916666667,16.3195833333
192.85,135.745666667,108.114083333,127.631583333,44.5176666667,86.4033333334,110.7455,44.9561666667,136.622833333,15.3508333333,73.0262500002,31.7981666667
193.23,127.519416667,103.875916667,120.155166666,39.9223333334,78.1007499999,104.069833333,45.1550833333,112.790666667,14.1474166667,68.6047500001,33.9148333334
193.61,104.661083334,90.9605833332,96.6099999999,45.4801666668,69.4915833332,87.5707499999,51.4124166667,86.2995,26.27125,63.55925,47.1750833334
193.99,83.0459999999,73.08425,76.8200000001,36.5901666667,54.1186666667,64.6551666667,41.1878333333,68.1033333333,24.04225,51.3410833333,45.0191666667
194.37,83.7255833334,79.9999999999,75.0980000001,36.0784166667,56.0784166666,63.4313333333,42.6470833333,68.2353333334,25.3921666666,49.1176666667,51.2745833333
194.75,89.1385,87.17225,75.18725,40.7304166667,62.2658333334,66.1985833334,50.8426666667,71.1610833334,34.2696666667,54.588,57.2096666667
195.13,87.8048333333,88.4146666667,74.2886666667,38.92275,59.8579166668,65.2440833334,53.86175,73.1705833334,32.7236666666,55.48775,58.6383333333
195.51,91.2220833332,91.2223333332,73.6666666667,36.8889166667,57.2221666666,62.5555833334,54.0000000001,72.33325,30.2221666667,54.77775,57.2221666667
195.89,97.8535000001,104.67175,74.2425000001,38.8888333334,54.0404166666,64.2678333332,56.81825,75.8838333333,28.6615833333,59.7221666667,59.0909166667
196.27,83.9743333333,100.769166667,61.5384166667,35.513,39.2308333333,51.0258333333,41.4103333333,67.1795000001,22.1793333333,48.4615,48.97425
196.65,80.6763333334,92.9951666668,59.9033333333,35.024,38.2849166666,45.1690833333,34.7826666667,57.7295,22.8259166667,47.3430833333,46.256
197.03,64.0874166668,79.6626666666,53.869,29.9601666667,29.5635833334,35.4166666667,32.9365,47.1229166667,20.8333333333,42.5595833333,40.3768333333
197.40,63.6751666668,80.5555833332,47.86325,20.29925,22.0085833333,30.9829166667,27.8844166667,45.1923333332,17.4145,38.4615,37.6068333334
197.78,52.8806666666,72.2221666666,33.7448333333,4.21808333333,12.7571666666,24.9999166667,19.1355833333,34.6706666666,7.20175,29.9381666667,24.897
198.16,60.863,90.7739166665,33.03575,-8.33333333333,-0.297666666593,30.3570833333,22.3213333333,36.4584166666,1.04158333332,33.7795833333,26.4880833333
198.54,64.7540833333,85.65575,42.0764166667,-2.32241666667,11.3389166668,39.7540833334,26.3660833333,35.5190833334,8.33341666665,50.4099166667,39.7540833333
198.92,70.8332500001,90.1883333334,51.0750833334,6.98925,19.7581666666,46.3710833334,30.2418333333,42.8763333334,16.6665833333,58.4675833333,45.6989166666
199.30,62.71925,78.1796666667,41.77625,9.21033333332,24.12275,39.1449166666,24.5613333333,33.3331666667,20.1755,49.45175,43.7500833333
199.68,58.9744166667,76.0685833334,38.9956666667,7.05133333334,22.1154166668,40.8119166667,25.4275,31.9443333332,22.6495833333,47.54275,41.0256666667
200.06,66.2338333334,76.8399166668,45.12975,11.1470833333,28.7879166667,49.5670833334,32.251,37.3375000001,30.0865833333,56.1688333333,48.5930833333
200.44,80.2083333333,87.8472500001,52.6620833333,13.07875,37.2685,61.9211666668,44.676,47.4535833333,39.9306666667,68.6342499999,56.8286666667
200.82,83.5785,91.6665833335,51.2255833333,11.7646666667,34.19125,63.7253333334,46.3235,49.0196666666,40.8088333333,69.8529999999,59.6813333333
201.19,139.529833333,138.03425,66.2392499999,-2.13675,41.6665833332,99.7863333333,61.11125,63.4614166667,58.3332499999,110.2565,90.5982499998
201.57,130.989583333,126.822916667,50.2604166667,-36.4583333333,16.4062500001,84.8958333333,48.6979166666,52.3437500001,45.0520833332,98.9583333334,81.7708333334
201.95,254.4445,222.22225,105.0,-91.6666666666,-10.5556666667,147.222166667,68.889,128.888833333,70.5555833332,146.110916667,137.222166667
202.33,177.77775,163.888916667,69.84125,-57.1430000001,0.000166666574993,114.682416667,32.1429166668,78.5714166668,51.9841666666,94.4443333335,94.0477500001
202.71,226.041666667,257.291666667,-91.6666666665,-361.458333333,-235.416666667,59.375,-106.25,47.9166666668,-97.9166666667,-23.9583333333,-45.8333333334
203.09,-445.833333333,-491.666666666,264.583333333,854.166666666,502.083333333,14.5833333325,193.750000001,-52.0833333325,212.5,97.9166666665,158.333333333
203.47,-461.111083334,-476.388749999,-40.2779166668,413.888916666,188.888833333,-190.277749999,-101.388916667,-236.111166666,-58.3332500002,-127.77775,-48.61125
203.85,-3175.0,-3216.66666667,-1083.33333333,2275.0,533.333333335,-1350.0,-1225.0,-1958.33333333,-775.000000002,-1066.66666667,-991.666666667
204.22,572.916666666,670.833333334,114.583333332,-714.583333334,-287.499999998,145.833333333,162.5,331.250000001,41.6666666667,66.6666666665,79.166666667
204.60,-388.888833332,-588.889,194.444416668,1183.3335,591.666583334,155.555583335,227.77775,47.2222499982,280.555583333,350.000083333,202.77775
204.98,248.333333333,450.0,-105.0,-608.333333334,-323.333333334,-33.3333333333,-128.333333333,51.6666666665,-86.6666666675,-113.333333333,-71.6666666668
205.36,19.4444166664,198.14825,-100.925916667,-372.22225,-222.22225,-74.0740833336,-138.888833333,12.963,-100.000083333,-116.666666667,-61.1110833333
205.74,-14.5833333332,159.027666667,-75.6944999998,-266.66675,-134.72225,-54.8610833333,-138.194333333,-31.2500833332,-90.2779166665,-70.1388333333,-22.9167500001
206.12,-12.5000000002,106.018416667,-76.3889166667,-177.314916667,-78.2405833334,-62.5000833333,-105.555583333,-58.7962500002,-66.2038333334,-15.2776666667,8.33333250014e-05
206.50,-112.5,84.9999999997,-226.666666666,-435.0,-221.666666666,-285.0,-261.666666667,-226.666666667,-218.333333334,-125.833333333,-103.333333333
206.87,14.3940833333,137.12125,-91.6665833332,-321.96975,-89.3939999999,-175.0,-141.66675,-137.12125,-71.9696666666,-3.78775000015,27.2728333332
207.25,-120.0,220.0,-268.333333333,-771.666666666,-298.333333333,-415.000000001,-406.666666667,-431.666666667,-229.999999999,-63.3333333333,-9.99999999975
207.63,1500.0,-450.0,2000.0,4683.33333333,2475.0,2925.0,2766.66666667,3083.33333333,2041.66666667,1108.33333333,825.0
208.01,365.625,86.4583333333,415.625,700.0,466.666666666,468.750000001,509.375,545.833333334,451.041666666,263.541666667,285.416666667
208.39,221.491333333,92.1051666666,227.631833333,340.789416667,257.456166666,245.613833333,282.017666667,288.157916667,250.000166667,172.3685,182.45625
208.77,1222.22216667,422.222333334,1194.44458334,1980.55558333,1508.33316667,1355.55558333,1580.55558333,1538.889,1347.22225,786.111083333,947.22225
209.14,-3.75299968948e+15,-1.16215047202e+15,-3.12394576425e+15,-6.97290283215e+15,-4.61661609528e+15,-4.36072975284e+15,-4.84051664495e+15,-4.92581209244e+15,-4.26477237441e+15,-2.17503391095e+15,-2.65482080307e+15
209.52,-272.222166667,-86.1111666668,-193.51875,-567.59275,-352.777749999,-344.444583333,-365.740833334,-418.518416667,-313.888833333,-152.77775,-193.5185
209.90,-445.833333333,-193.055583333,-337.5,-869.444416666,-648.611083334,-519.444500001,-583.33325,-719.4445,-470.83325,-322.222333333,-380.5555
210.28,594.444499999,288.88875,402.777916667,905.555583333,723.611333334,527.777666666,627.777833334,787.500083333,533.33325,431.9445,456.944333333
210.66,476.041666667,210.416666666,271.875,664.583333333,523.958333334,325.0,486.458333333,521.875,371.875,286.458333333,289.583333333
211.03,1193.75,591.666666668,745.833333333,1456.25,1225.0,858.333333333,1150.0,1268.75,989.583333335,856.249999999,737.5
211.41,621.296333333,370.370333333,386.111083334,712.962916667,616.666666667,463.888833333,621.296166667,612.963166667,528.70375,454.6295,363.888833333
211.79,333.333333333,220.833333333,232.291666667,389.583333333,329.166666667,270.3125,383.854166667,353.645833333,308.333333333,248.958333333,189.583333333
212.17,182.142833333,125.892833333,129.16675,216.666666667,167.261916667,145.238166667,221.4285,195.833583333,157.738166667,136.607,88.0950833335
212.55,141.66675,93.8172500001,87.6344166667,173.656,121.505333333,97.8495,171.774333333,166.397833333,115.322416667,95.699,45.16125
212.92,123.03925,83.3334166665,76.9606666666,156.86275,107.84325,81.6177499998,155.147083333,155.392083333,102.696,85.5392500002,38.7255
213.30,116.02575,94.391,95.1922499999,140.705166667,115.544833333,95.3525833332,136.37825,147.756416667,105.128333333,91.8269999999,68.7499166667
213.68,102.121166667,81.0605833333,90.9091666667,125.303083333,108.484833333,85.4546666667,130.4545,134.697,100.605833333,81.9696666667,66.21225
214.06,96.1538333332,76.7628333333,97.2756666665,120.833333333,102.083166667,86.2179166665,128.846083333,128.3655,99.3590000001,75.0000833334,55.2883333333
214.44,93.5416666667,76.6666666668,107.083333333,139.166666666,111.666666667,104.375,143.333333333,139.166666667,106.458333333,83.1249999999,46.4583333333
214.81,98.7372499998,80.5555,128.787833333,156.81825,116.414166667,123.232333333,152.525166667,157.82825,124.242333333,100.0,47.7273333334
215.19,96.6666666668,76.6666666667,109.791666667,138.541666667,108.125,109.583333333,131.041666667,135.625,112.291666667,85.8333333332,50.2083333333
215.57,130.050583333,104.545333333,146.71725,175.757583333,141.414083333,139.646583333,164.898916667,173.989916667,146.46475,112.373666667,74.9999166666
215.95,187.333333333,140.333333333,194.0,238.0,197.666666667,177.333333333,206.666666667,221.0,197.666666667,144.666666667,112.333333333
216.32,312.77775,232.778,322.777833333,396.111083333,356.666666667,300.000083333,347.777833333,354.4445,358.888833333,245.0,215.555416666
216.70,271.296333333,196.75925,285.185166666,365.277833333,310.64825,292.129666667,293.981583333,263.426083333,315.74075,239.81475,205.555583334
217.08,534.25925,402.77775,573.148083333,728.70375,630.555583333,597.222166667,564.814916667,531.4815,666.66675,488.888833333,392.592666667
217.46,499.166666667,369.166666667,520.833333334,645.0,530.0,502.5,536.666666666,455.0,604.166666667,470.833333333,374.166666667
217.83,269.333333333,208.0,259.0,319.666666667,251.333333334,261.333333333,261.333333333,237.666666666,302.333333333,258.0,214.0
218.21,242.96875,188.541666667,209.895833334,277.864583333,212.760416667,236.197916666,227.083333333,199.739583333,261.979166667,227.864583333,205.989583334
218.59,290.804583333,212.356333333,239.080416667,306.034416667,240.517166667,271.551666667,265.80475,232.758583333,302.0115,247.988583333,242.241416667
218.97,210.077416667,158.139583333,167.05425,211.82175,175.0,189.14725,198.837333333,175.000083334,204.651166667,168.216916666,178.4885
219.34,228.541666667,178.75,185.416666667,232.5,191.458333333,208.75,228.125,196.875,218.75,185.0,195.625
219.72,552.222166667,397.77775,426.666583333,548.33325,416.111166667,482.777833333,522.222083333,446.111,502.22225,438.889,455.000083333
220.10,732.638833333,529.166583333,575.694583333,695.833333333,541.66675,668.055666666,680.555666667,613.194333334,662.500083334,597.222166667,613.888833333
220.47,1404.16658333,1000.00008333,1062.49991667,1302.77791667,1020.83341667,1318.0555,1290.27783333,1156.9445,1224.99991667,1122.22225,1168.05558333
220.85,2994.44441667,2188.88891667,2241.66675,2697.22208334,2147.22225,2838.88891666,2716.66675,2655.55558333,2569.44441667,2327.77783333,2508.33333333
221.23,850.7575,624.999833333,622.72725,757.575749999,589.393916667,827.27275,723.48475,721.212166667,681.060583333,673.48475,709.848583333
221.61,2058.33333334,1393.75,1283.33333333,1768.75,1306.25,1964.58333333,1577.08333333,1670.83333333,1556.25,1631.25,1591.66666667
221.98,-646.96975,-396.969666666,-351.515083333,-543.939333333,-377.272833333,-593.181833333,-422.72725,-525.000083333,-427.272833333,-480.303083333,-441.66675
222.36,-423.888916666,-239.444416667,-210.000166667,-354.444416666,-256.66675,-371.666666667,-256.111083333,-352.77775,-276.111166667,-296.66675,-285.555583333
222.74,-201.234666667,-112.345666667,-84.8765833333,-177.469083333,-121.29625,-168.21,-122.53075,-176.2345,-115.740833333,-136.111083333,-137.962916667
223.11,-190.476083333,-104.761916667,-79.1667499998,-179.761916667,-120.833416667,-174.107166667,-121.428583333,-172.023833333,-117.262083333,-140.773833333,-133.630916667
223.49,-169.0,-74.3333333332,-32.0,-159.0,-100.666666667,-147.333333333,-93.3333333332,-148.333333333,-98.6666666667,-120.666666667,-119.333333333
223.87,4475.0,2708.33333333,1450.0,4758.33333334,3708.33333333,4616.66666667,3083.33333333,4608.33333334,3158.33333333,3916.66666666,3791.66666667
224.24,1249.99991667,749.999999998,355.555666667,1480.5555,1166.66666667,1336.11108333,952.777833334,1325.0,844.444416666,1161.11108333,1066.6665
224.62,1387.5,654.166666666,229.166666666,1929.16666667,1216.66666667,1400.0,887.500000001,1479.16666667,704.166666667,1204.16666667,1116.66666666
225.00,-195.370333333,-27.7778333333,-5.55566666675,-318.518416667,-199.073916667,-149.999916666,-126.851916667,-171.29625,-45.3705,-150.925833333,-157.407333333
