wavelength,Back_TacDelm,Belly_TacDelm,Breast_TacDelm,Crissum_TacDelm,Crown_TacDelm,DorTail_TacDelm,Rump_TacDelm,Throat_TacDelm,WingTip_TacDelm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,45.5556666667,75.5556,51.389,67.7778,25.5556,75.5555666667,47.1111066667,71.6667333333,41.6667
179.16,-126.666666667,-17.7776,-75.5555333332,54.4444666666,-28.8889333334,36.6667,-27.1110866667,-53.3332666667,-31.1110666667
179.54,24.1024666667,1.02553333334,-1.7949,10.0000333333,10.7692,17.1796666667,11.9999866667,-20.0000000001,12.0514
179.93,-6.66666666668,63.3333333333,5.83333333334,4.99999999994,18.3333333333,59.1666666666,-16.6666666667,29.9999999999,90.8333333331
180.31,51.0,65.6666666667,30.8333333333,73.6666666667,-18.3333333333,129.833333333,75.8666666667,-15.3333333333,9.33333333334
180.69,63.3334,59.8038666667,59.608,74.9019999999,14.3137333335,104.705866667,75.5492,19.6078666666,26.0784
181.07,83.9583333333,56.4583333333,83.3333333333,81.5625000001,33.9583333332,115.0,92.6875,19.1666666667,36.3541666667
181.45,91.1904666667,43.5714,64.5237333333,58.9287333334,19.5238,106.9048,80.33342,5.23806666666,27.2619333333
181.83,160.3704,107.407266667,157.037033333,125.185233333,61.4816666666,216.481433333,159.222313333,51.8516666666,60.1851333333
182.21,147.381,117.381066667,140.952266667,122.619033333,85.7143999999,197.5,136.64284,71.1903333334,95.9524333332
182.59,229.743533333,115.384666667,233.846166667,204.871866667,86.6666,332.564,202.153993333,76.4102666667,124.871766667
182.97,186.410266667,120.0,173.589966667,169.871766667,108.2052,232.692533333,163.820473333,107.179466667,132.436
183.35,177.222266667,100.277666667,171.5279,171.389066667,98.3333333335,247.499966667,156.638846667,98.8887333335,127.3611
183.73,112.0832,79.3056,111.805633333,109.861166667,77.2221333333,144.930566667,101.638893333,82.3611999999,92.4306
184.11,86.5590666667,68.9245333333,93.0106333333,90.2151333334,62.0429999999,118.763266667,79.9677000001,68.4947333334,75.1075999999
184.49,102.127733333,71.3474666667,107.588766667,104.9646,63.2625333333,140.071033333,87.1915399999,74.7517333333,80.7801000001
184.87,109.401666667,83.0768666666,110.4274,118.2907,69.2306666666,157.3504,91.5043733333,74.1878666666,90.5128333332
185.25,147.619,109.5238,141.3096,163.452433333,84.2857333333,219.642933333,121.33342,86.9049333334,124.5237
185.63,129.333333333,105.0,150.0,153.166666667,87.8333333334,197.166666667,130.183333333,86.8333333333,112.5
186.01,129.074133333,103.1482,141.666666667,149.537,69.2592000001,187.963133333,120.481513333,77.5925999999,113.148
186.39,79.9999333333,60.8332666667,94.2361333332,104.583266667,34.3056666667,120.277733333,78.9305666667,41.2499333333,63.5417666666
186.77,73.0302666667,62.1212666667,82.8283333332,88.5856999999,46.0608,100.808166667,68.3939533334,38.0808,54.1414666666
187.15,74.8427333333,57.1068,88.3648000001,91.5723666666,43.0189333334,101.2578,71.0063333333,30.0628,51.1321
187.53,83.7810666666,68.3580666667,88.7563333335,93.4328666668,57.6118,89.4528000001,78.2985266667,42.4875333333,57.2637666666
187.91,95.8586666666,74.0402666667,94.5959666667,103.434366667,62.4242666667,93.4343333334,88.1009800001,44.9494,68.6364333334
188.29,101.3114,85.2459333333,96.1747333333,101.2569,63.6066666667,96.1200999999,92.5028,43.4971333334,69.2895333333
