wavelength,Back_TacSurm,Belly_TacSurm,Breast_TacSurm,Crissum_TacSurm,Crown_TacSurm,DorTail_TacSurm,Patch10_TacSurm,Patch11_TacSurm,Rump_TacSurm,Throat_TacSurm,WingTip_TacSurm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,83.7038000001,93.3332666667,74.8148666667,66.2406533333,69.6297333333,73.7037333333,72.5926000001,75.5554666667,73.3334,62.9628666667,57.4074666667
179.16,119.0476,131.4286,73.3334666667,63.7618699999,78.0953333333,85.7142666666,67.6190666667,83.8095333332,52.3810000001,60.9524666666,50.4761333334
179.54,-73.3333333334,-93.3333333334,136.666666667,51.1666666667,76.6666666668,120.0,43.3333333333,93.3333333334,206.666666667,29.9999999998,96.6666666668
179.93,130.000066667,113.333333333,75.5555333334,93.7222,75.5556000001,62.2222000001,97.7777333332,93.3334666667,72.2221999999,98.8889333333,91.1110000001
180.31,171.5152,178.989933333,55.3536,71.2121200001,82.4241333333,76.9698000001,109.292933333,110.100933333,42.8283333333,75.9596000001,79.394
180.69,179.4594,189.729733333,63.6036666666,79.5855633333,89.1892000001,84.3243333333,120.180066667,117.837866667,55.8557333333,80.3603333333,94.4143333333
181.07,205.2872,212.873533333,45.0573333334,73.5402366667,91.2642666666,80.2298666667,137.011533333,129.885,47.5861999999,80.9195333334,110.3448
181.45,234.782533333,236.231933333,28.6957333333,69.4782733333,90.1449333333,73.9130666667,170.144866667,141.1594,43.4783333333,86.0868666667,132.463733333
181.83,214.7222,232.2222,26.6666,60.8055099999,87.4999333334,77.7778666667,178.611133333,141.111133333,52.7778666667,85.8332666668,137.7778
182.21,177.011466667,201.3792,25.7471333334,50.5174633334,74.2529333335,69.885,147.5862,126.8966,41.8390666667,74.2527333333,120.229866667
182.59,244.333333333,273.0,16.3333333334,53.7666666666,92.6666666665,89.3333333334,185.0,166.0,28.3333333333,99.6666666668,156.0
182.97,343.999933334,355.111066667,53.7777999999,98.3777366666,137.777733333,155.555666667,267.555533333,233.777733333,50.2222,168.000066667,227.111133333
183.35,189.247333333,201.505333333,53.3332666666,75.7204833332,94.1935333334,100.215066667,156.129,136.989266667,47.0968000001,113.5484,138.0646
183.73,141.176466667,149.542466667,62.2221999999,74.47058,84.0522000001,88.4966666666,125.4902,116.2092,61.8299333333,95.1634000001,114.379066667
184.11,160.325266667,171.056933333,66.1788,79.5770833333,90.2438666666,93.3333999999,144.3902,130.7318,65.3657333334,100.975666667,132.357733333
184.49,249.333333333,273.666666667,71.3333333333,88.7499999999,105.0,110.333333333,219.0,194.666666667,67.9999999999,127.666666667,202.666666667
184.87,574.285733333,613.333266667,101.904666667,166.33329,181.904866667,177.142933333,497.142733333,460.952333334,86.6666000001,295.237933333,451.428533333
185.25,-3653.33333333,-3953.33333333,-493.333333333,-1013.0,-759.999999999,-753.333333333,-3160.0,-2820.0,-253.333333331,-1826.66666667,-2866.66666666
185.63,-340.0,-350.0,-31.9999999999,-87.4000000001,-43.9999999999,-19.3333333334,-270.0,-246.666666667,3.33333333334,-140.666666667,-254.0
186.01,-148.5714,-131.428533333,-6.66666666666,-28.7935833334,-7.40005390298e-11,19.3650666667,-98.7302000001,-99.3650000001,16.5079999999,-33.6508666667,-95.2381333332
186.39,-56.8333333333,-33.1666666667,18.8333333334,3.87500000001,25.5,35.8333333333,-32.3333333333,-24.8333333333,23.1666666666,8.3333333334,-22.3333333334
186.77,-28.0,-7.20000000001,26.0,18.0,32.0,39.7333333333,-12.9333333333,-11.0666666667,26.3999999999,20.5333333333,-3.99999999999
187.15,-19.1358,-1.60500000001,33.0865333333,23.8766433333,39.3826666667,46.5432,0.98766666666,-1.60493333334,31.6049333333,29.3826666667,3.20986666667
187.53,-2.09526666668,10.9524,38.2858666667,29.0524166667,45.7143333333,48.9524,11.2381333333,10.4762,31.7143333333,34.0,12.4761333333
187.91,7.52133333332,14.6155333333,40.2564,31.44015,50.6838,47.6922666667,19.0598666667,15.6410666667,34.4443999999,35.812,17.265
188.29,-0.93893333336,1.97186666665,28.8263333333,24.6808066667,42.2534666667,38.0280666667,9.38966666667,3.662,20.9389333333,20.2817333333,6.10333333332
188.67,-2.28573333336,0.571466666652,27.4284,21.32374,43.8094666667,36.6666666667,7.52380000001,3.14286666667,17.1428,14.0952,3.23826666665
