wavelength,Back_TanArgf,Belly_TanArgf,Breast_TanArgf,Crissum_TanArgf,Crown_TanArgf,DorTail_TanArgf,Patch10_TanArgf,Patch11_TanArgf,Rump_TanArgf,Throat_TanArgf,WingTip_TanArgf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.16,10.0,43.3333333333,140.0,3.3333333333,120.0,85.1515151516,93.3333333333,126.666666667,80.0,56.6666666667,3.33333333335
179.54,54.5455,15.1513333333,71.2123333334,43.9391666667,63.6363333333,54.820909091,43.9393333333,63.6363333334,59.0911666666,40.9091666667,27.2726666667
179.93,-150.0,-33.3333333335,-216.666666667,-116.666666667,216.666666666,-164.393939394,-466.666666667,-200.0,-83.3333333335,-250.0,-533.333333334
180.31,37.1585,61.7486666667,120.218666667,34.6996666667,118.8525,87.3694924242,72.6776666666,95.082,122.131166666,74.0436666666,56.8306666667
180.69,30.914,56.1826666666,121.774333333,32.527,119.086166666,86.7547348485,68.0106666667,94.6236666668,120.430166667,68.8171666666,47.8495
181.07,26.2628333333,36.8686666667,109.3435,25.2525,98.4849999999,78.3060681818,57.8281666666,74.7475000001,106.565666666,58.0808333334,29.7978333333
181.45,25.5868333333,38.4976666666,101.4085,24.8825,89.2018333334,70.8921287879,59.3896666667,67.8403333334,104.694833333,49.2958333334,27.4648333333
181.83,20.8888333334,36.2221666666,88.4445,15.1111666666,76.4445,59.7270378788,57.5555,58.4445,97.7778333334,41.7776666666,27.1111666666
182.21,24.2223333334,36.4445,95.7778333335,18.4446666667,71.9998333333,63.3031060606,69.3331666667,67.3333333333,104.444333333,46.4445,38.0001666667
182.59,18.3333333333,34.375,83.75,12.2916666667,56.875,53.134469697,60.4166666667,62.2916666667,93.9583333333,39.7916666667,30.2083333333
182.97,9.33333333334,29.111,76.889,8.22216666667,50.0001666667,46.5961212121,53.3335,62.6666666665,94.8888333333,36.4443333334,28.0
183.35,18.0233333333,28.4883333333,78.4883333333,16.8605,47.4805,52.7835378788,54.2635,68.0233333335,91.4726666665,37.5968333333,31.2016666667
183.73,15.751,19.0475,60.6225,12.271,37.9121666667,46.0705530303,47.6191666667,58.9741666667,79.3041666666,33.6996666667,25.458
184.11,5.96483333334,9.82466666666,38.5963333333,0.17533333335,19.8248333333,28.931439394,33.6841666667,45.4386666666,64.386,19.8243333334,8.07016666665
184.49,9.15749999998,9.34049999998,34.7986666666,-2.38116666665,14.652,24.6003560606,36.4468333333,42.8571666667,59.89,16.6668333333,8.24166666667
184.87,7.70833333335,7.29166666665,33.3333333333,-6.875,9.375,20.8143939394,42.7083333333,45.8333333333,65.8333333333,12.2916666667,7.70833333334
185.25,13.927,13.4701666667,33.5616666666,-7.0776666667,8.904,18.5033030303,44.9771666666,56.1643333334,71.6896666666,11.1873333333,9.36066666667
