wavelength,Back_TanArgm,Belly_TanArgm,Breast_TanArgm,Crissum_TanArgm,Crown_TanArgm,DorTail_TanArgm,Patch10_TanArgm,Patch11_TanArgm,Rump_TanArgm,Throat_TanArgm,WingTip_TanArgm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.16,63.3333333335,8.33333333335,186.666666666,-16.6666666667,93.3333333333,53.3333333332,36.6666666667,103.333333333,106.666666667,73.3333333333,30.0
179.54,51.5153333333,32.5756666667,107.575666667,31.8183333333,46.9696666667,50.0001666668,71.2121666667,74.2424999998,77.2726666669,72.7273333333,33.3333333333
179.93,-316.666666667,-41.6666666667,566.666666667,-416.666666667,-216.666666667,-300.0,-250.0,0.0,33.333333333,-266.666666667,-566.666666667
180.31,59.8361666665,21.9945833334,140.437166667,25.9561666666,67.4863333333,69.6718333334,75.6831666666,88.5246666667,119.672166667,86.0655,62.8415
180.69,57.7956666667,10.6183333334,142.742,18.5483333334,67.2043333334,68.011,74.4623333333,94.6236666668,120.43,86.0215,62.9031666667
181.07,46.2121666667,0.50491666665,121.464666666,3.78783333333,50.2525,50.7575,68.182,89.899,110.858666667,76.01,45.9593333333
181.45,44.3661666667,8.45066666665,109.6245,7.74633333334,43.8968333334,45.3051666667,66.1973333334,86.6198333334,103.2865,70.657,42.7231666667
181.83,40.0,3.33333333335,93.3333333333,-2.66666666667,36.889,36.0000000002,52.222,74.6665,92.0000000001,56.6666666667,38.6666666667
182.21,47.5555,6.11108333335,94.0,-1.33333333333,42.8888333334,40.4443333334,55.3333333333,75.7778333334,101.999833334,60.6666666667,50.0
182.59,42.0833333333,1.66666666665,78.125,-6.25,34.1666666667,38.3333333333,48.75,68.5416666667,95.2083333332,54.375,49.7916666667
182.97,36.0001666667,-1.22225,72.0001666667,-18.222,31.1111666666,32.2223333334,43.7778333334,66.2221666666,95.7776666665,54.8888333334,52.0
183.35,41.4728333334,12.9846666667,72.8683333333,-5.42633333332,36.2401666667,33.1395,45.5428333333,65.6976666667,93.9923333333,56.0076666667,57.3643333334
183.73,30.0366666666,13.3700833333,66.6666666667,-9.70716666665,31.1356666667,25.641,36.2638333333,57.8753333333,78.3883333332,46.7035,47.9853333333
184.11,20.0,4.29825,57.544,-16.4913333333,20.8771666666,13.8595,22.2805,43.6841666667,59.4736666666,28.9475,32.4563333334
184.49,16.8498333333,6.86841666665,55.4946666667,-17.7655,19.5968333333,11.1721666667,19.597,45.6045,57.8753333333,23.6263333333,30.586
184.87,17.0833333333,7.8125,60.625,-23.75,15.625,6.4583333333,14.7916666667,43.75,63.125,22.2916666667,29.5833333333
185.25,18.4931666667,14.9543333334,70.3196666666,-24.201,19.178,6.39283333335,9.1323333333,40.1826666667,71.9178333334,19.178,35.6163333333
