wavelength,Back_TanArtm,Belly_TanArtm,Breast_TanArtm,Crissum_TanArtm,Crown_TanArtm,DorTail_TanArtm,Patch10_TanArtm,Patch11_TanArtm,Patch12_TanArtm,Patch13_TanArtm,Rump_TanArtm,Throat_TanArtm,WingTip_TanArtm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.16,165.0,106.666666667,141.666666667,176.666666667,126.666666667,115.0,160.0,150.0,115.0,178.333333333,148.333333333,130.0,133.333333333
179.54,107.575833334,91.2879583333,95.4545833333,113.636416667,77.2727499999,79.5454999999,78.03025,70.4545,74.4319166667,113.636416666,91.6668333332,68.1818333333,71.9698333334
179.93,500.0,-54.1666666667,333.333333333,650.0,-250.0,233.333333333,-8.3333333335,-66.6666666667,260.416666667,550.0,241.666666667,58.3333333333,-41.6666666666
180.31,150.819583333,143.442708333,144.672083333,161.885333334,96.9945000001,139.20775,141.12025,119.398666667,135.280104167,168.306083333,123.633833333,115.164,103.688666667
180.69,148.5215,149.932916667,146.102083333,168.01075,94.35475,139.784833333,145.43,121.371,133.333416667,168.682833334,126.07525,115.18825,103.763416667
181.07,132.954583333,137.626208333,130.682,152.146416667,81.9445833333,118.686916667,128.661666667,109.217083333,119.9495625,148.3585,109.722166667,101.51525,93.9395
181.45,122.183166667,133.685458334,123.47425,141.07975,78.0515000002,108.333333333,118.661916667,101.29125,110.680895833,135.328666667,102.817,93.7794166667,89.3193333333
181.83,109.777833333,119.4445,110.222083333,125.33325,67.22225,95.33325,108.22225,94.8889999999,102.388979167,120.889,91.4444999999,82.0000833334,81.8889166667
182.21,111.77775,127.944583333,110.22225,124.5555,76.4444166666,96.3332499999,117.444583333,107.5555,109.277875,121.111,94.4444999999,87.4443333334,86.3334166666
182.59,96.5625,117.5,100.520833333,110.104166667,68.2291666666,85.1041666668,107.1875,99.9999999998,97.1093750001,110.416666667,90.4166666667,82.2916666666,80.4166666667
182.97,93.3332499999,111.277833333,102.333333333,109.0,66.1110000001,84.2220833334,104.5555,100.0,93.4166875,107.4445,92.6665833334,80.4444166667,79.22225
183.35,94.7673333332,105.377958333,98.9340833333,105.42625,68.21725,80.52325,97.1899166665,98.8370833333,86.9670624999,101.162666667,90.8915833332,79.0696666666,79.3604166666
183.73,83.1500833332,92.3992083333,88.9195,90.0183333333,61.2636666667,67.0330833334,83.2419166666,86.4469166666,75.6868541667,88.4615833333,85.1649166667,70.4211666666,69.4138333333
184.11,71.1404166667,83.465,73.6841666667,73.7720833333,48.7718333333,50.9650833334,71.5789166667,74.5613333333,63.8158541667,72.3684166667,71.2280833334,54.6490000001,54.7369166667
184.49,73.8095,89.1024166667,73.9925833333,73.2601666666,48.8095,49.4505833333,70.5125833333,74.8167500001,67.261875,73.9010833334,72.4359166667,54.304,50.8241666667
184.87,83.7499999999,95.0520833333,82.8125,76.1458333331,52.2916666667,52.9166666666,76.0416666667,80.1041666666,79.0104166665,88.1250000001,82.5000000001,61.4583333333,53.6458333333
185.25,92.8082500001,104.1095,93.0365833333,79.1095833333,52.05475,56.9634999999,85.5023333332,83.5616666667,88.3562291667,101.027333333,94.7489166666,66.7808333334,51.5983333333
