wavelength,Back_TanCalf,Belly_TanCalf,Breast_TanCalf,Crissum_TanCalf,Crown_TanCalf,DorTail_TanCalf,Patch10_TanCalf,Rump_TanCalf,Throat_TanCalf,WingTip_TanCalf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,375.0,950.0,508.333333333,966.666666669,799.999999999,633.333333334,591.666666667,600.0,516.666666666,1164.58333333
179.16,101.666666667,185.0,158.333333333,191.666666667,191.666666667,168.333333333,148.333333333,166.666666667,103.333333333,210.416666667
179.54,56.6666666666,151.666666667,100.0,121.666666667,160.0,133.333333333,73.3333333333,106.666666667,76.6666666665,185.833333333
179.93,22.6189166667,85.7142499999,46.4285,41.6666666667,67.8571666668,103.5715,41.6667499999,51.1904444444,72.6189999998,113.690625
180.31,68.3984166667,117.532416667,80.9525,96.8616666667,111.147166666,80.3029999999,78.1383333333,86.255361111,92.5324166666,137.932979167
180.69,70.922,116.04625,81.9148333333,96.7199166667,107.624166667,80.5850000001,78.8120833334,87.8840833334,91.4005833332,130.5629375
181.07,72.85925,109.250666667,81.5749166666,88.9906666666,101.223166667,77.3701666666,74.9999166666,83.38425,87.1559166666,120.221729167
181.45,73.9198333333,108.8735,81.2500833333,88.5029166667,100.694416667,74.6139999999,75.84875,81.8415555556,88.9661666668,119.425166667
181.83,72.2700833334,103.232833333,76.43675,88.1465000001,95.2586666668,71.7672499999,75.7184166666,79.1908055555,89.6553333333,112.967020833
182.21,79.4202500001,109.347916666,80.7246666667,95.6522499999,101.159416667,73.2609166668,81.2318333333,84.830888889,96.9563333333,119.402145833
182.59,82.5520833334,109.179583333,82.4869166666,95.4428333333,102.994666667,78.125,84.96075,87.7604999999,98.5675833334,117.740833333
182.97,85.8456666667,109.129833333,87.0098333332,93.0147500001,102.88,80.3309166667,86.7645833333,88.4190833334,96.0785833332,118.121916667
183.35,84.9404166666,106.25,87.3809166666,91.9643333333,101.25,81.5475,86.3689999999,87.4006944443,94.1070833334,116.116125
183.73,86.0892500001,110.49875,88.6484166666,96.3911666667,105.839916667,84.3175833332,87.9921666666,91.0541944445,96.3255000001,119.192854167
184.11,87.2704166668,111.417416667,91.5354166666,97.24425,105.51175,86.5484166667,90.5511666668,95.0350277777,98.2283333333,121.3419375
