wavelength,Back_TanCayf,Belly_TanCayf,Breast_TanCayf,Crissum_TanCayf,Crown_TanCayf,DorTail_TanCayf,Patch10_TanCayf,Patch11_TanCayf,Patch12_TanCayf,Rump_TanCayf,Throat_TanCayf,WingTip_TanCayf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,345.833333333,408.333333333,245.833333334,312.5,451.666666667,266.666666667,275.0,312.5,318.75,267.1875,175.0,362.5
179.16,70.8333333333,40.2776666667,70.8333333333,27.7778333333,15.5555833333,45.83325,31.9443333333,11.1110833333,28.4722916666,46.8749166666,56.9443333332,48.6111666666
179.54,67.5926666667,64.8148333333,88.8889166666,43.5185,25.0000166667,65.7407500001,48.1481666667,43.5185833334,56.4814583334,54.2825625,40.7405000001,51.8518333334
179.93,250.0,175.0,4.16666666657,91.6666666665,330.833333333,-45.8333333334,141.666666666,133.333333333,95.8333333332,171.354166666,104.166666667,120.833333333
180.31,-604.166666669,-874.999999998,25.0,-579.166666667,-1267.5,-102.083333333,-620.833333333,-725.000000001,-780.208333333,-486.197916667,-587.499999998,-508.333333333
180.69,1229.16666667,1858.33333333,-95.8333333333,1158.33333333,2813.33333333,166.666666667,1300.0,1545.83333333,1570.83333333,861.458333332,1162.5,933.333333332
181.07,-464.583333334,-731.25,193.75,-306.25,-1163.33333333,122.916666667,-372.916666667,-556.250000001,-546.875,-202.864583333,-404.166666666,-268.75
181.45,499.999916666,609.722333334,34.7222499998,315.27775,885.55555,54.1666666667,363.888916667,433.33325,470.13875,262.847270833,334.722333334,309.722416667
181.83,221.759166667,265.27775,93.5184166667,144.444416667,327.499833333,81.9444166667,167.12975,197.68525,208.796416667,140.104135417,130.555583333,138.888916667
182.21,170.000083333,199.722333333,104.166583333,135.8335,235.500016666,103.333416667,142.499833333,175.277833333,174.166708333,120.347333334,122.22225,128.055583333
182.59,183.666666667,225.333333334,114.0,151.0,269.266666666,110.0,156.333333333,198.333333334,185.833333333,127.75,115.333333333,139.0
182.97,768.055416666,847.22225,461.111083333,541.666666667,1109.44451667,437.499916667,602.777666666,800.000000001,715.97225,417.013843749,358.33325,525.0
183.35,384.444333334,414.444416667,273.888833333,293.888916667,538.222216667,281.111166666,318.333333333,416.111083334,358.055416667,238.749854167,216.666666667,262.77775
183.73,325.416666667,320.416666667,226.25,268.333333333,425.666666667,248.75,256.25,341.25,270.0,211.041666667,164.166666667,212.916666667
184.11,462.499916668,422.916583333,285.41675,327.083416666,611.527733333,316.666666667,317.361083333,472.916583333,360.069458333,258.420041666,161.8055,240.97225
184.49,269.583333333,247.083333333,167.083333333,193.75,340.083333333,189.583333333,160.0,260.416666667,202.291666667,154.84375,75.4166666666,110.416666667
