wavelength,Back_TanChrf,Belly_TanChrf,Breast_TanChrf,Crissum_TanChrf,Crown_TanChrf,DorTail_TanChrf,Patch10_TanChrf,Patch11_TanChrf,Patch12_TanChrf,Patch13_TanChrf,Rump_TanChrf,Throat_TanChrf,WingTip_TanChrf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,45.2381666667,42.8570833332,10.7141666667,64.2854999998,-7.14291666665,-5.95233333335,36.9046666668,66.6668333332,46.4285,46.4286666667,65.47625,19.0476666667,45.2381666667
179.16,161.458333333,150.0,153.125,150.0,138.541666667,100.0,98.4375000002,171.875,143.75,134.375,160.416666667,140.625,125.0
179.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.93,133.333416667,111.110916667,155.555583333,102.777833333,83.3333333336,52.7778333333,111.111083333,166.666666667,183.333083333,77.7776666667,138.889,108.333333333,197.222
180.31,-591.666749999,-627.777916666,-555.555666667,-800.000000001,-541.666583333,-268.0555,-459.027916666,-531.9445,-590.277750001,-370.833416666,-518.055583333,-526.388916668,-700.000166666
180.69,-2.37761059873e+15,-2.5162157009e+15,-2.26032935843e+15,-3.27854376282e+15,-2.13771715267e+15,-8.63616405818e+14,-1.95113336129e+15,-2.07907653252e+15,-2.45224411528e+15,-1.45535357276e+15,-2.17503391095e+15,-2.25499839297e+15,-2.75077818149e+15
181.07,-4591.66666667,-4391.66666667,-4200.0,-5316.66666667,-4091.66666667,-2008.33333333,-3466.66666667,-3725.0,-4450.0,-2600.0,-3791.66666666,-4183.33333334,-4308.33333333
181.45,-641.666750001,-604.761999999,-564.285583333,-764.285666666,-567.857166666,-301.190583334,-533.928500001,-541.666666666,-682.142916666,-330.952416667,-496.4285,-592.857083334,-584.52375
181.83,-933.333333333,-991.666666667,-919.999999999,-1230.0,-866.666666669,-665.0,-942.5,-918.333333334,-1010.0,-498.333333334,-836.666666667,-965.000000001,-1035.0
182.21,-595.833333333,-603.125,-550.000000001,-786.458333333,-538.541666667,-459.375,-628.645833333,-534.375,-581.250000001,-320.833333333,-533.333333333,-649.999999999,-637.5
182.59,-923.333333332,-864.999999999,-826.666666667,-1243.33333333,-851.666666668,-715.0,-1006.66666667,-928.333333332,-910.0,-513.333333334,-828.333333333,-1078.33333334,-946.666666668
182.97,-368.055666667,-370.833416667,-343.055583333,-516.666666667,-323.611083333,-281.944416667,-426.041750001,-400.694416666,-368.0555,-221.52775,-342.36125,-448.611166667,-359.72225
183.35,-770.000000002,-823.333333333,-711.666666667,-1111.66666666,-668.333333334,-648.333333334,-916.666666667,-939.999999999,-866.666666666,-456.666666668,-811.666666666,-1085.0,-743.333333335
183.73,-1833.33333333,-2125.0,-1545.83333333,-2662.5,-1691.66666667,-1783.33333333,-1997.91666667,-2283.33333333,-2162.5,-1066.66666667,-2145.83333333,-2754.16666666,-1633.33333333
184.11,-1758.33333333,-2137.5,-1770.83333333,-2687.5,-1870.83333333,-1883.33333333,-2106.25,-2529.16666667,-2237.5,-1212.5,-2420.83333334,-2687.5,-1841.66666667
184.49,-572.222249999,-723.611249999,-523.611,-812.500083333,-608.333416666,-611.111083334,-699.999999999,-806.944416667,-715.277750001,-462.499916667,-808.333249999,-883.333416666,-613.888833332
184.87,-233.9285,-339.881,-209.523916667,-352.97625,-279.761916667,-283.928666667,-318.452416667,-359.523833333,-296.428583334,-212.499916667,-331.547583334,-366.666666667,-274.40475
185.25,-90.942,-182.608583333,-92.75375,-196.739083333,-150.362166667,-152.898583333,-169.021708333,-181.159416667,-147.1015,-111.231833333,-163.0435,-190.579833333,-163.767916667
185.63,-8.05566666682,-83.0553333331,-15.5555833333,-88.3334166666,-68.6111666667,-65.2776666667,-70.1388333332,-78.0554999999,-51.1109166666,-41.6667499998,-70.8331666666,-100.000083333,-78.6111666667
186.01,10.4651666666,-31.58925,20.7364166667,-40.1161666667,-23.062,-16.2790833333,-12.693875,-31.00775,-27.7131666667,-3.4883333335,-19.7673333334,-47.6743333333,-27.5193333333
186.39,7.14274999998,-35.7141666666,21.4284999999,-48.6110833333,-29.9604166666,-19.6429166667,-6.15079166675,-47.4205833334,-43.0555833333,1.1903333335,-17.2620000001,-39.4840833334,-25.9922500001
