wavelength,Back_TanChrm,Belly_TanChrm,Breast_TanChrm,Crissum_TanChrm,Crown_TanChrm,DorTail_TanChrm,Patch10_TanChrm,Patch11_TanChrm,Patch12_TanChrm,Patch13_TanChrm,Rump_TanChrm,Throat_TanChrm,WingTip_TanChrm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,44.762,115.714333333,76.1904000001,55.4451637681,103.26527619,60.9522666667,59.0476666667,69.5239333335,41.9047,93.3332666667,95.2379999999,26.6667333333,51.4285333334
179.16,149.166666667,187.083333333,177.5,146.576086957,189.642857143,173.333333333,172.5,197.5,134.583333333,184.166666667,196.666666667,147.5,145.0
179.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.93,168.8888,235.555566667,182.222266667,261.690717391,182.539742857,128.888866667,159.999933333,288.8888,207.777866667,171.111266667,202.222266666,128.888933333,160.0
180.31,-686.666666666,-1093.8889,-791.111199999,-956.062782609,-917.30157143,-779.999866667,-988.888933333,-1090.00013333,-773.888933333,-1046.66666667,-1165.55553333,-636.666600001,-699.999933332
180.69,-2.72518954724e+15,-4.38631838707e+15,-3.15166678469e+15,-3.9399079744e+15,-3.72802030843e+15,-3.31372813491e+15,-4.09418147943e+15,-4.53345303399e+15,-3.28600711448e+15,-4.25197805728e+15,-4.78080983171e+15,-2.61004069313e+15,-2.82327931186e+15
181.07,-4780.0,-7003.33333333,-5313.33333333,-6729.85507246,-6140.0,-5460.0,-6826.66666666,-7666.66666666,-6000.0,-7013.33333334,-7826.66666666,-4640.0,-4933.33333333
181.45,-690.476266667,-992.857266667,-720.952466666,-974.389055073,-847.347028571,-777.142866667,-973.333266665,-1049.52386667,-908.095199999,-983.809533335,-1106.66673333,-692.381066666,-674.285666668
181.83,-1084.0,-1491.33333333,-1045.33333333,-1500.20289855,-1236.57142857,-1190.66666667,-1521.33333333,-1556.0,-1354.66666667,-1457.33333333,-1636.0,-1166.66666667,-1054.66666667
182.21,-667.5,-916.666666666,-640.833333333,-927.916666667,-758.571428572,-748.333333333,-956.666666666,-923.333333334,-847.5,-918.333333333,-1041.66666667,-736.666666667,-624.166666667
182.59,-1012.0,-1424.66666667,-998.666666667,-1486.4057971,-1192.57142857,-1121.33333333,-1508.0,-1366.66666667,-1362.0,-1457.33333334,-1641.33333333,-1170.66666667,-936.0
182.97,-417.7778,-551.666733333,-387.7778,-615.857333333,-511.349228572,-474.4444,-612.777800001,-545.555533333,-559.444433333,-570.5556,-638.888933333,-489.4444,-368.888866667
183.35,-885.333333333,-1220.0,-818.666666666,-1372.37681159,-1118.28571429,-1024.0,-1318.66666667,-1274.66666667,-1258.66666667,-1309.33333333,-1409.33333333,-1049.33333333,-794.666666667
183.73,-2190.0,-2955.0,-1806.66666667,-3260.36231884,-2746.66666667,-2520.0,-3190.0,-3090.0,-3138.33333333,-3126.66666667,-3300.0,-2596.66666667,-2006.66666667
184.11,-2336.66666667,-3106.66666667,-1940.0,-3221.37681159,-2787.61904762,-2460.0,-3190.0,-3203.33333333,-3296.66666667,-2956.66666667,-3410.0,-2750.0,-2126.66666667
184.49,-758.888799999,-1026.1112,-624.4444,-1023.50258986,-891.745990476,-793.333466667,-1065.55566667,-1070.0,-1059.4445,-917.777733333,-1113.33333333,-933.333266667,-726.666666667
184.87,-327.1428,-430.4762,-272.381,-439.358153623,-399.047638095,-311.428666667,-450.952466667,-462.857066667,-442.857066667,-381.9048,-494.285666667,-407.1428,-332.857066667
185.25,-164.3478,-238.695666667,-131.594066667,-238.626395652,-212.215171429,-154.4928,-254.2028,-248.985466667,-231.5941,-198.260866667,-282.318866667,-222.898533333,-183.4782
185.63,-61.1110666667,-128.3334,-36.8889333333,-131.038582609,-105.52387619,-44.4446,-141.3334,-131.3334,-111.000166667,-104.666733333,-158.666733333,-110.444533333,-95.7778666666
186.01,-16.1239999999,-65.8914333333,0.465133333326,-69.9966652174,-55.415247619,-2.17053333334,-74.2634666667,-66.2015333333,-46.9768,-49.9224666667,-76.4341333333,-52.4031333334,-45.7365333334
186.39,-21.9047333333,-66.6665999999,3.5527136788e-16,-66.6666173913,-66.1905238095,-4.92053333333,-81.2698666667,-71.9045999999,-39.9206333333,-53.9682666667,-73.8094666666,-59.0475333333,-63.1746666667
186.77,7.91666666659,-30.6945999999,30.5556,-35.6703507246,-41.3292761904,11.2500666667,-55.9721333334,-50.0000666667,-10.9721666667,-29.0278,-41.2499333334,-27.0833333333,-40.9721333333
187.15,10.5691333333,-31.2193666667,32.5203333333,-36.7445086956,-45.946552381,24.5527333333,-65.3658000001,-58.3740666667,-14.3902,-42.4390666667,-40.3252,-23.9024,-45.3660000001
187.53,5.67366666668,-22.0568,20.8510666667,-33.3455318841,-44.8023714286,19.8583333333,-63.4041999999,-47.0922,-11.2056333333,-35.7446666667,-34.8937333334,-21.5602,-45.1063333333
187.91,28.8887999999,5.06946666674,39.3054666667,-13.6655072464,-20.1191238094,46.1111333333,-41.1110666667,-22.7777333333,20.347,-15.1388666666,-18.75,8.47213333332,-25.4166
188.29,29.9372,12.6416000001,40.6289333333,-11.0254202898,-13.5668857142,45.2830666667,-33.9622,-11.8239333333,29.6854,-15.3458666667,-11.0692,17.8616,-22.3898666667
188.67,30.7104666667,22.8962333333,42.7323333333,-1.67737971014,-7.07272380966,49.0710666667,-19.235,0.65573333334,26.6666666667,-12.6777333333,4.3716,22.5136666667,-11.6940666667
189.05,35.7894666667,32.7632333333,50.6140000001,10.4805594203,10.4510761905,52.5437333333,-3.68406666669,15.7894,38.9912,-1.05266666667,23.9474,31.6665333333,4.29819999999
189.43,34.0085333333,41.5611,52.8270666667,11.5282652174,14.719695238,54.1772,-0.0844,17.0464,39.8311333333,1.09699999999,30.2110666667,34.0085333333,5.73846666667
189.81,25.5286,37.7235,43.6584,4.75254202898,9.73274285713,46.9919333333,-4.79673333334,8.53653333333,35.8536666667,0.731666666666,26.3414666666,28.618,-0.65040000002
190.19,26.0544666667,36.8708,41.5646666667,8.04639275362,14.9950857143,47.0067333333,2.38086666667,13.8095333333,35.4082,6.80280000001,27.143,30.8844,1.08826666667
190.57,33.2231333333,41.9834333333,47.3276666667,15.4941855073,25.7379238095,50.4682666667,13.8844,23.4711333333,37.741,16.8594666667,34.5453333333,38.347,11.7906666667
190.95,23.256,31.9638333333,36.1756,9.48541304347,19.3724761905,43.1008,8.52713333333,16.6408,26.6408,10.5426,24.7546,27.4935333333,2.32546666665
191.33,25.9048,33.4999666667,41.1904,11.5414550725,24.4083047619,42.0951333333,15.4761333333,21.4762,30.2857,17.7142,25.619,27.3810666667,3.28579999999
191.71,23.7352,31.2531,43.7824666667,9.19813478259,24.5457333333,40.4254666667,15.0828,23.1678666667,27.5887,18.3924666667,25.3427333333,24.0189333333,2.22220000001
192.09,18.6567333333,26.2438333333,40.0,1.57146811593,19.1684,33.0845333333,10.597,20.0496666667,18.6069666667,12.4377333333,21.5423333333,17.2636,-2.03993333333
192.47,19.0266666666,29.8783333333,41.4112,1.73708550725,17.6988952381,33.3821333333,12.5548,19.5134,16.6424333333,12.1654666667,21.8978,15.3772,1.16786666668
192.85,18.0047333333,29.854,40.7298666667,-0.652689855088,15.9680095238,32.1655333333,11.1923333333,17.713,17.2992,11.2408666667,21.7031333333,14.1119333333,2.82246666666
193.23,19.9012666667,28.2469333333,42.5185333333,0.03438405798,16.3315714286,33.2346,12.4938,19.5556,14.8394666667,15.4074,21.4320666667,15.7037333333,3.80253333334
193.61,14.2635333333,22.7132333333,37.9327333333,-7.1643173913,11.2808761905,25.6330666667,8.4754,17.1058666667,8.68216666667,11.938,15.2970666667,9.8192,0.62006666668
