wavelength,Back_TanCucm,Belly_TanCucm,Breast_TanCucm,Crissum_TanCucm,Crown_TanCucm,DorTail_TanCucm,Patch10_TanCucm,Patch11_TanCucm,Rump_TanCucm,Throat_TanCucm,WingTip_TanCucm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,61.3333333333,103.333333333,56.6666666667,44.6666666667,65.3333333334,60.6666666666,58.0,88.6666666667,53.3333333333,57.0,22.0
179.16,373.333333333,583.333333333,420.0,450.0,426.666666667,373.333333333,480.0,546.666666667,390.0,468.333333333,196.666666667
179.54,143.333333333,218.333333333,150.0,163.333333333,115.0,112.5,185.0,193.333333333,175.0,142.5,74.1666666667
179.93,10.6666666667,-41.3333333333,-24.0000000001,-7.1054273576e-16,-40.0000000001,68.0,-43.9999999999,-55.9999999999,4.0,-19.3333333333,48.6666666667
180.31,77.3333333333,114.75,95.6666666665,81.8333333333,101.583333333,74.2083333333,105.0,109.916666667,76.8333333334,75.0416666666,56.25
180.69,75.9737333333,107.6568,92.2111333334,77.1618666667,96.5017333333,69.2079666667,97.7558,101.253933333,76.8316000001,74.1254666666,59.0759
181.07,73.5973333333,104.884466667,92.2772666667,74.6534666667,95.3134666667,63.7295333333,95.4456666666,100.132066667,74.8516,71.4852,60.627
181.45,66.4881333333,91.0118666667,83.2736666667,66.6667333333,85.6548000001,54.4939333333,83.9880000001,90.3570666666,68.3333333333,60.4168,57.2022333333
181.83,69.1333333333,97.0666666667,88.2666666667,66.4666666667,94.1333333335,56.8,88.6666666666,96.5333333333,71.0666666666,62.4333333333,57.8333333333
182.21,69.5327333333,96.2616666666,87.3519333333,65.6075333333,92.5235333333,60.2492666667,83.1152000001,95.5138,70.9034666667,59.595,58.9408666667
182.59,80.0702666666,104.631533333,99.5788666666,69.8246,103.719266667,68.0351333333,90.3860666667,108.210466667,79.9297333333,67.2280333333,67.4738333333
182.97,87.4896666666,111.522666667,105.2674,66.7489333334,112.839466667,64.9792666667,98.2715999999,118.271733333,87.9834666667,71.852,77.0369666667
183.35,102.3684,123.596333333,118.421,75.2632666666,128.684133333,69.6490333333,107.280666667,127.543866667,98.8596,83.9472333333,89.8683333333
183.73,109.511,127.111133333,126.8444,82.7556,134.0444,73.8666333333,113.511066667,133.3334,102.488866667,92.5331000001,103.2445
184.11,94.2962666668,111.555466667,110.2222,77.3334,119.629733333,68.9259999999,98.0741333335,117.6296,92.5926666667,82.8146333333,96.5185
184.49,105.352133333,128.169133333,118.309866667,86.5727333332,136.338066667,70.0469333333,112.206533333,132.0188,100.375533333,91.1268333333,113.662133333
184.87,121.538266667,156.794933333,137.692333333,103.589866667,162.6922,77.9487,135.128133333,158.846133333,109.4872,103.974366667,134.9359
185.25,124.113466667,158.865266667,146.9504,110.638333333,170.070933333,75.0354666667,148.085066667,162.9788,111.489333333,111.489366667,144.9645
185.63,140.5128,186.8376,164.7862,122.735,192.136666667,79.2307999999,168.717933333,176.752133333,112.820466667,128.547,166.7522
186.01,130.852666667,168.2172,151.472933333,106.6666,170.8528,62.6357,149.302266667,155.968933334,94.1084666668,109.535033333,165.7364
186.39,147.451066667,184.509866667,162.9412,110.9804,190.392133333,50.1960666667,170.784333333,168.4314,91.1766,124.9999,202.843033333
186.77,150.7692,211.282066666,161.025666667,122.820533333,201.282133333,28.2050666666,184.359,173.076866667,75.6409333334,123.589766667,240.128133333
187.15,119.394,177.575866667,133.5354,109.292933333,148.687,35.5555,137.373666667,130.505,54.7474666667,103.131133333,186.060666667
187.53,143.921466667,298.4314,170.588266667,151.3726,210.196133333,23.9216000001,223.921533333,200.392066667,54.5098666668,154.9018,316.666633333
187.91,-353.333333334,-1096.66666667,-411.666666667,-466.666666667,-650.0,160.0,-691.666666666,-675.000000001,-50.0,-482.500000001,-1245.83333333
188.29,-17.6189333333,-125.000133333,-28.0952000001,-38.5712666667,-44.7619333333,50.4763,-61.4287333333,-54.7618666666,25.7143333334,-55.2380666667,-149.285766667
