wavelength,Back_TanCyom,Belly_TanCyom,Breast_TanCyom,Crissum_TanCyom,Crown_TanCyom,DorTail_TanCyom,Patch10_TanCyom,Patch11_TanCyom,Patch12_TanCyom,Patch13_TanCyom,Rump_TanCyom,Throat_TanCyom,WingTip_TanCyom
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,165.0,208.333333333,185.0,193.333333333,204.285714286,170.833333333,135.0,170.0,210.0,218.333333333,165.0,118.333333333,140.833333333
179.16,9.16666666668,-18.3333333333,-14.1666666667,8.33333333332,-6.90476190475,-10.4166666667,1.66666666665,-23.3333333333,-25.0,-13.3333333333,15.0,40.8333333333,10.4166666666
179.54,23.48475,-14.3941666666,-7.50022266516e-12,7.57583333335,-24.6754761905,26.51525,27.2726666667,-2.27283333332,-9.09100000001,-4.54533333333,15.1516666667,42.42425,43.1819583333
179.93,53.8460833333,23.077,54.16675,32.05125,13.186702381,55.128125,42.94875,51.2820833333,25.6409166667,26.282,48.7180833333,55.1283333333,65.0640416667
180.31,0.456666666675,-23.6300833333,-16.1529583333,-26.1415,-37.8343928572,-12.9567083333,-10.2738333333,-11.644,-30.1368333334,-12.4429166667,-0.114000000025,14.1551666667,21.1757916667
180.69,-18.6566666667,-43.03475,-34.7637083334,-46.8905833333,-57.9780238095,-28.9177916667,-24.12925,-28.7313333334,-49.1293333333,-25.995,-14.5523333333,1.61683333335,12.251125
181.07,-4.06758333333,-23.611,-16.2201666667,-29.8610833333,-36.2103809524,-12.0040833333,-12.40075,-16.865,-28.1745,-7.83750000002,-0.09925,8.631,17.2123333333
181.45,-4.73491666665,-17.14025,-10.8900833333,-28.50375,-31.804547619,-8.66479166668,-14.2045,-9.28041666668,-25.37875,-5.96574999997,1.0415,7.19708333334,14.7728333333
181.83,-12.75725,-20.2674166667,-14.1460833334,-37.9628333333,-35.3909642857,-14.557625,-26.5431666667,-11.7285833333,-34.5679166667,-8.95066666665,-7.40724999997,-3.90958333334,3.343625
182.21,-32.7115000001,-32.9600833333,-32.1516666667,-57.33825,-54.6730714286,-34.3904166666,-48.3829999999,-29.4776666667,-58.7065000001,-19.6519166667,-27.612,-22.76125,-21.14425
182.59,-23.4741666667,-21.0095,-22.4765,-49.9998333333,-44.1147976191,-24.6479583333,-39.78875,-18.7794166667,-49.0609166666,-7.74650000001,-18.1925,-11.3849166667,-16.1972083333
182.97,-19.9754999999,-15.9314166667,-11.1519583333,-46.3235,-34.7688452381,-17.9534583333,-33.9460833333,-6.00483333332,-39.58325,-2.94116666668,-12.6225833333,-3.92158333333,-16.42175
183.35,-38.5220833334,-28.6163333333,-15.4874583333,-67.9244166667,-53.5041785714,-27.1225416666,-58.8050833332,-9.43408333331,-56.1321666666,-12.2643333333,-23.8994166666,-20.1256666667,-35.3773333334
183.73,-57.1895833332,-47.8759166667,-22.7124166667,-80.3920833334,-63.2120595238,-36.6830833332,-75.8170000001,-20.0980833333,-65.5227499998,-23.85625,-34.31375,-29.902,-52.1241250001
184.11,-50.7440833334,-34.2260833333,-15.84825,-62.20225,-50.6803928571,-28.4970416668,-65.7738333334,-14.4346666667,-54.0178333333,-19.3454166667,-28.5713333333,-20.0891666667,-39.0627083333
184.49,-50.3472499999,-36.8056666667,-4.16670833332,-69.2708333333,-52.157654762,-23.0903333333,-74.3054999999,-9.37508333335,-54.861,-20.4860833333,-23.2639166667,-20.3125833333,-46.4411250001
184.87,-18.4722499999,-7.5,18.888875,-37.7778333333,-25.3770595238,-0.902791666675,-51.2500833332,14.72225,-26.6666666667,-0.5555,3.88883333332,1.38875000002,-25.139
185.25,-21.0785000001,-0.163416666668,22.8759166667,-33.9868333333,-20.3080952381,5.964,-56.3725,28.9215,-29.085,1.96075,7.02625000002,7.84316666667,-20.5065
185.63,-30.0813333333,-7.11391666667,20.8334166667,-53.45525,-31.2716309524,7.2154166666,-72.9676666668,27.8456666666,-40.8537499999,4.67491666665,-0.609833333325,-1.01633333335,-25.2031666667
186.01,-23.3332499999,0.476083333342,32.14275,-59.52375,-27.4829880953,19.7619166666,-75.4761666668,40.7143333333,-38.33325,10.238,19.7618333333,10.2380833333,-12.3810416667
186.39,-8.54708333318,12.8205,35.2563333333,-50.6409166667,-7.2955,25.7478750002,-63.6750833333,48.5041666668,-16.4529166667,12.6065833333,34.6153333334,19.8716666667,17.4145416667
186.77,-20.588,14.2155833334,34.191125,-56.3725,-9.06864285705,23.6519166667,-77.6961666667,50.2450000001,-24.7550833334,2.94133333333,43.1373333333,22.5491666667,32.1078333333
187.15,27.8454999999,58.9431666666,58.7398333334,-2.23574999998,28.8325952382,58.8414583335,-28.6585833334,76.2194166666,4.878,35.7724166667,80.0813333334,66.2601666667,74.6949999999
187.53,32.4560833333,71.2719166667,56.9079583333,-3.07008333335,34.7744761904,63.3773750002,-24.5615,78.7279166665,-8.33332499992e-05,28.0700833333,85.7455833334,68.4211666667,72.4781249999
187.91,42.7536666666,120.652083333,67.7536666666,-30.4346666666,50.2070714286,92.5723333333,-49.2754166666,99.2753333335,-33.6955833333,19.9276666667,121.014416667,92.029,114.492666667
188.29,67.8570833333,129.762,83.3333750001,-7.73816666668,70.9608928571,107.58925,-6.8450833334,104.46425,-22.3214166668,34.8215,120.535666667,79.1665833333,113.690666667
188.67,86.1979166667,145.833333333,83.8541666668,2.86458333334,76.6369047619,106.380208333,13.5416666667,92.7083333334,-5.72916666682,47.3958333333,117.96875,88.8020833334,132.161458333
189.05,57.0833333333,104.375,60.625,-13.5416666667,49.9107142858,71.4583333333,14.375,56.4583333333,-17.2916666667,24.1666666667,81.0416666666,63.125,99.5833333334
189.43,45.216,79.6295,47.6850416667,-17.2839166667,29.122702381,42.5925833332,12.1914166667,37.65425,-13.8887500001,12.4999166667,58.3334166666,38.11725,66.743875
189.81,37.1211666667,76.0606666667,35.9848333333,-26.9695833333,15.7143214286,29.0151666667,2.12133333333,24.2424166666,-20.7574999999,-4.24241666665,54.8484999999,27.27275,60.3788333333
190.19,24.1985833334,73.0769166667,20.1122083334,-42.468,2.51822619046,14.6635416667,-17.1475,7.85233333333,-32.8524999999,-25.80125,41.9872499999,13.3014166667,58.4935833333
190.57,14.6341666668,70.122,4.87804166665,-74.1870000001,-14.953547619,2.33725,-45.1219166667,-18.4961666666,-61.1789166666,-50.4064999999,33.3334166666,-4.67475,45.1220416667
190.95,16.6665833332,61.5078333333,7.242,-68.0555833332,-10.6858452381,9.22629166667,-44.2459166667,-18.4524166666,-53.3728333333,-49.2063333333,37.6984166666,-10.119,36.0119166667
191.33,8.24988966031e-11,45.1390000001,-9.95370833334,-106.713083333,-22.8835357143,-4.05108333332,-71.0648333333,-45.3703333333,-78.24075,-83.1019166668,31.0185833333,-45.8334166666,23.4955416667
191.71,10.3174166667,41.6665833334,-2.57929166666,-87.5000833334,-10.9412023809,10.1189166667,-61.9048333333,-36.3095833332,-55.3571666666,-64.2858333334,28.1745833334,-30.3571666667,38.293875
192.09,25.7576666666,48.1815833333,16.28775,-52.2726666666,2.2726190476,21.2878749999,-33.9393333333,-9.84849999998,-19.394,-35.0,40.7574166666,-12.4240833333,45.9849583333
192.47,22.2826666666,48.0072500001,10.2354166667,-73.7317500001,-9.49792857143,8.87683333332,-51.2680833332,-27.1738333335,-29.3480000001,-51.9930000001,38.2245833334,-24.2753333333,45.289875
