wavelength,Back_TanCyvf,Belly_TanCyvf,Breast_TanCyvf,Crissum_TanCyvf,Crown_TanCyvf,DorTail_TanCyvf,Patch10_TanCyvf,Patch11_TanCyvf,Rump_TanCyvf,Throat_TanCyvf,WingTip_TanCyvf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,181.481444444,29.6294444444,-48.1482222221,40.7406666667,-40.740888889,74.074,-14.8148888889,18.5184444443,155.555555555,14.8147777778,-25.925888889
179.16,-20.3703333334,35.1853333333,-35.1853333334,25.9258888889,24.074,-48.1481111111,-64.814888889,-22.2222222222,11.1111111111,-18.5184444444,92.5925555557
179.54,65.5555555554,51.111111111,31.1111111111,27.7777777779,27.7777777778,52.2222222221,20.0,23.3333333333,42.2222222222,48.8888888889,58.8888888889
179.93,-124.444444445,-88.8888888887,-24.4444444446,-162.222222222,-153.333333333,-151.111111111,-84.4444444443,-86.6666666668,-126.666666667,4.44444444467,-113.333333333
180.31,-19.916,-20.126,-2.93499999997,-46.7504444445,-46.9601111111,-23.8993333333,-14.2557777778,-13.4171111111,-25.5765555555,18.2388888889,-45.0733333333
180.69,-16.6664444443,-23.718,-5.55555555557,-54.7007777777,-47.8631111111,-26.4957777778,-19.0171111111,-18.3758888889,-25.2135555556,26.0683333333,-48.5043333334
181.07,-5.47011111113,-5.12833333332,16.9231111111,-32.4785555556,-16.5813333333,-7.3506666667,1.88044444444,5.29911111109,-11.2821111111,38.6323333333,-21.0256666667
181.45,1.58733333333,5.73877777776,15.7508888889,-14.1636666667,1.70922222223,-3.17444444444,4.51766666665,10.8668888889,-3.17466666667,36.0194444445,-1.34299999999
181.83,-1.22122222223,7.57022222221,21.8558888889,-13.0645555555,2.6862222222,-9.52366666665,10.989,14.1638888889,-0.36622222221,39.6826666667,-1.099
182.21,-1.06544444447,3.80511111111,15.9817777778,-17.1995555556,2.8918888889,-17.3514444444,11.1111111111,12.6331111111,-1.82655555553,40.335,-1.36988888887
182.59,2.61444444443,3.26799999998,17.3202222222,-15.8496666667,-1.63400000003,-21.0784444445,6.37244444446,10.9477777778,1.30722222221,33.0065555555,-1.3071111111
182.97,21.9298888889,18.2746666667,32.3101111111,2.48533333333,10.2337777778,-2.193,23.9767777778,16.8128888889,14.1813333333,42.9823333333,11.4034444444
183.35,28.5716666667,22.8327777778,39.8045555556,24.6643333333,20.5127777778,17.7045555556,32.1124444444,35.7752222222,28.083,50.4272222222,27.2282222222
183.73,57.005,42.0291111111,65.9417777778,52.2946666667,46.1353333334,39.1304444444,57.6086666667,63.889,53.8646666667,75.7245555556,51.9324444444
184.11,61.0524444446,47.2512222222,65.2632222222,56.3741111111,50.4092222222,39.6491111111,60.117,67.4853333333,55.0877777778,70.1753333333,56.7251111111
184.49,72.5739999999,46.132,76.6526666667,64.8382222222,47.6792222222,40.9283333333,73.8396666667,76.6527777778,62.5878888889,81.5753333333,61.1815555556
184.87,66.666888889,44.6941111111,75.905111111,59.1762222222,45.1935555555,34.2071111111,75.6553333333,75.0313333333,51.4357777778,70.6616666667,53.6828888889
185.25,64.3347777779,34.8422222222,66.6665555555,53.3608888889,31.6872222222,19.3414444445,66.8038888889,67.6268888888,39.7805555556,65.9807777778,48.0112222222
185.63,74.1666666666,42.2222222222,80.9722222223,59.3055555556,36.6666666667,29.1666666667,78.8888888889,76.5277777779,45.2777777778,70.8333333333,59.3055555555
186.01,81.8181111111,46.4647777778,86.7242222222,67.0996666667,43.29,39.6826666667,80.8081111112,81.2412222223,47.0418888889,74.0261111111,63.6363333333
186.39,79.084888889,46.1437777778,89.5424444442,63.2681111111,40.915,41.9606666667,81.8301111112,79.8693333333,50.5882222222,73.0720000001,63.0065555555
186.77,76.5958888888,53.5461111111,87.352222222,63.9481111111,48.8178888889,43.1441111111,85.5793333333,81.6785555557,48.227,83.9242222223,63.4752222222
