wavelength,Back_TanCyvm,Belly_TanCyvm,Breast_TanCyvm,Crissum_TanCyvm,Crown_TanCyvm,DorTail_TanCyvm,Patch10_TanCyvm,Patch11_TanCyvm,Rump_TanCyvm,Throat_TanCyvm,WingTip_TanCyvm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,44.4443333333,-29.6296666668,-7.40733333357,81.4815555553,122.222444444,-33.3333333333,55.5556666668,-55.5555555557,18.5185555558,29.6296666667,-44.4443333334
179.16,3.70377777767,-22.2221111112,-33.3332222222,11.1112222222,-70.3704444443,85.1852222223,44.4443333333,64.8146666667,-66.6667777778,27.7777777778,53.7036666665
179.54,34.4444444443,40.0000000001,13.3333333333,96.6666666667,67.7777777776,-7.77777777779,-3.33333333336,4.44444444442,5.55555555557,22.2222222222,47.7777777778
179.93,-108.888888889,-91.111111111,-113.333333333,-151.111111111,37.7777777777,-88.8888888888,-175.555555556,-135.555555556,-100.0,-126.666666667,-188.888888889
180.31,-33.962111111,-33.7528888889,-25.9958888889,-19.9161111111,54.2976666667,-60.1674444445,-41.719,-77.777888889,-31.6561111111,-44.0253333334,-89.5177777777
180.69,-34.188111111,-39.9573333333,-26.923,-23.9314444444,63.888888889,-66.0255555556,-45.2991111111,-82.4787777777,-30.7692222221,-47.8632222223,-108.760555555
181.07,-12.1366666666,-10.0854444444,-2.9058888889,-5.29922222221,59.6581111112,-34.8716666667,-18.1195555556,-43.5897777778,-10.4273333333,-25.4701111111,-72.136888889
181.45,-2.6862222222,-1.4652222222,3.17455555556,6.71544444443,44.078,-12.21,-6.22722222223,-18.8033333333,-5.8608888889,-9.52388888889,-44.4444444444
181.83,-0.610444444433,-2.31988888891,9.27977777778,3.05255555555,42.9792222222,-9.646,-1.46533333333,-18.4372222222,-0.244111111123,-8.66899999999,-47.619
182.21,-3.044,-4.26166666666,6.39266666669,8.828,41.2482222222,-21.7655555555,-5.63155555557,-27.2451111111,-4.71844444443,-15.3726666667,-62.4046666665
182.59,-4.0848888889,-3.268,-1.47055555556,8.66011111111,38.5621111111,-24.183,-11.2744444444,-28.7582222222,-4.24833333333,-21.0784444445,-63.8888888889
182.97,14.3272222222,11.4033333334,15.4968888889,18.5673333333,44.8827777778,-4.97066666667,0.438555555567,-11.842,9.50300000002,-8.33322222222,-30.8481111111
183.35,28.5714444445,24.7863333333,27.4726666667,33.9438888889,48.5958888889,15.7511111111,18.1927777778,3.29688888888,18.5593333334,8.66933333337,-7.08188888888
183.73,58.2125555556,56.0384444444,61.8357777778,59.2994444445,76.2078888889,36.2318888889,37.9226666667,21.6183333333,39.2512222222,37.3187777778,17.7535555556
184.11,60.5847777778,59.7660000001,67.4854444445,64.2105555556,71.579,41.1695555556,36.9591111111,22.69,38.5964444444,40.5848888889,24.0934444445
184.49,67.0886666666,63.9943333332,82.7004444446,77.7777777778,83.263,43.8818888889,33.7553333333,34.8804444444,44.1633333333,44.0225555556,28.692
184.87,64.2947777778,58.6765555555,77.7776666667,70.9113333334,73.1585555555,38.7015555556,28.9636666667,31.2111111111,36.5792222222,38.4521111111,37.0786666667
185.25,56.5157777778,43.7587777778,68.9985555556,60.4938888889,68.5872222222,29.9041111111,10.5625555555,17.1466666667,27.4348888889,28.2578888889,29.3553333333
185.63,71.3888888889,51.5277777778,76.9444444444,65.9722222222,83.0555555556,35.6944444445,23.1944444444,26.6666666667,39.5833333333,29.8611111111,37.7777777778
186.01,71.8614444444,58.7301111112,87.7344444445,70.5626666667,84.56,38.961,22.3667777778,28.86,39.2495555556,33.1891111111,41.9914444444
186.39,66.6666666667,57.5163333334,88.2353333334,64.7058888889,83.0065555555,43.1372222222,29.804,34.3791111111,39.8692222222,35.294,44.3137777778
186.77,67.0212222222,61.4655555556,91.253111111,67.0211111111,86.8793333333,48.3451111111,41.2528888889,39.8344444444,49.8816666667,41.9621111111,47.2811111111
187.15,70.9302222222,63.0491111111,88.7596666668,66.6667777778,87.4676666667,46.2533333333,39.1472222222,32.2996666667,42.765,41.0852222222,38.7595555555
187.53,97.7778888887,92.137,131.282111111,91.2820000001,115.897444444,62.3933333333,54.53,52.4784444446,66.1541111111,57.7776666667,59.4872222222
187.91,67.8105555556,66.9933333333,94.1176666668,59.9672222222,89.8691111111,41.83,26.7974444444,33.1699999999,45.4246666666,33.3334444444,36.6014444444
188.29,57.5075555556,59.4595555556,83.3333333331,56.006,84.2341111111,38.2882222222,31.6816666667,32.1321111111,46.9968888889,27.027,35.1352222222
188.67,53.4278888889,60.8746666667,78.7233333333,58.6288888889,68.4395555555,45.39,34.5154444444,34.7515555555,47.2813333333,34.3972222222,36.4066666667
189.05,64.2675555555,76.5152222222,89.3941111112,74.1162222222,79.1665555555,62.3735555556,48.2323333333,44.5707777778,62.6262222222,50.505,45.3283333333
189.43,69.8234444444,84.3435555556,95.7071111111,80.681888889,83.7121111111,61.995,57.8283333333,48.6111111111,66.5404444444,56.1866666666,48.8636666667
189.81,68.0135555555,86.7564444445,101.346777778,84.9607777778,82.267,71.3804444444,58.2491111111,51.515,67.4523333333,60.9426666667,53.7598888889
190.19,69.9414444445,86.3156666667,94.9706666667,79.4152222223,78.2455555555,73.0995555555,51.579,47.0175555556,65.0292222222,57.4268888889,51.9297777778
190.57,68.226,79.6296666666,86.9395555555,73.1967777778,70.3703333333,71.0527777778,49.0254444444,44.4444444444,62.378,52.9241111111,50.6821111111
190.95,75.2294444445,83.3843333333,92.8644444442,79.8165555555,69.7247777778,73.3944444444,45.4638888889,46.9927777778,62.9968888889,58.0021111111,51.4782222222
191.33,87.6543333334,101.358,117.654333334,94.3207777777,81.358,88.0246666666,56.7901111111,66.4197777778,79.9998888889,77.2838888889,67.9012222221
191.71,66.5598888889,80.4486666667,93.4828888889,72.2221111111,62.8205555556,71.9018888889,44.8716666667,49.4656666667,63.9957777778,57.0514444445,48.2906666667
192.09,76.2376666667,83.7184444445,105.940555555,80.1981111111,64.0264444445,79.6477777778,52.9152222222,56.5456666667,70.407,63.1464444445,53.4653333333
192.47,89.3003333333,99.176888889,124.554111111,91.2208888889,65.2947777778,88.7516666666,46.3647777778,63.9232222222,77.3662222222,71.6051111111,60.4936666666
192.85,81.3494444445,90.0793333332,116.534555555,76.5872222223,58.2011111111,81.7460000001,41.5343333333,50.7937777778,69.7091111111,62.1694444445,54.4974444444
193.23,68.5868888889,77.6405555555,110.425333333,57.0645555555,43.347,65.2950000001,26.8862222222,39.7805555556,54.1836666667,43.6213333333,44.0328888889
193.61,63.8243333333,76.4856666667,111.240333333,55.8138888889,41.3436666667,68.3463333334,24.4185555556,40.827,55.0386666667,43.9275555555,42.3773333333
193.99,66.6666666666,89.0804444445,133.525111111,56.7049999999,34.0997777778,65.5171111112,8.0461111111,28.3524444444,62.8353333333,47.8927777778,43.6781111111
194.37,63.2184444445,86.9733333333,136.973111111,60.5364444444,37.931,60.9195555554,19.9234444444,36.3984444444,65.9002222222,48.2758888889,46.5515555556
194.75,70.5216666667,108.163111111,159.864111111,64.1722222222,45.3514444444,75.5103333335,26.0768888889,51.2472222222,71.2019999999,76.1904444443,60.3173333334
195.13,61.8357777778,115.942,154.830888889,40.3381111111,32.8503333333,66.6666666667,21.256,49.0337777778,55.7969999999,69.8066666667,64.2512222223
195.51,57.6226666667,119.121666667,159.690111111,44.7027777778,21.1887777778,74.677,12.6615555556,41.6021111111,64.0825555556,56.8475555557,65.1162222223
195.89,55.1111111111,158.666666667,211.111111111,23.5555555556,-33.3333333333,68.4444444446,-45.3333333332,23.1111111111,55.1111111112,48.4444444443,67.5555555554
196.27,30.4661111111,123.656,158.422888889,16.129,-32.6165555555,57.3477777777,-32.975,8.24377777777,56.9892222222,39.4266666663,75.6274444443
196.65,46.0,104.888888889,121.555555556,33.7777777778,14.0,71.5555555555,13.3333333333,29.5555555556,62.2222222221,52.6666666665,68.888888889
197.03,76.0234444444,162.573,170.760222222,73.0994444444,41.8128888889,114.035222222,43.5672222222,60.8186666666,106.432666667,82.163777778,119.883
197.40,71.7948888889,175.213555556,169.515555555,90.8832222222,45.2991111111,116.239333333,56.1253333333,66.0967777777,112.535777778,94.8716666667,123.361777778
197.78,90.6432222222,308.771888889,283.625888889,143.275,41.5203333333,183.625777778,57.8946666667,81.2865555554,164.327444444,165.497,229.824555556
198.16,80.5555555557,308.333333334,266.666666667,132.777777778,42.2222222223,209.444444444,82.7777777777,115.0,128.333333333,168.888888889,218.888888889
198.54,84.0581111112,277.777666667,214.009666667,110.144888889,50.7246666667,185.507222222,72.4640000002,110.628,110.145,165.700555556,201.932444444
198.92,101.851777778,774.074111112,616.666555556,196.296222222,-20.3704444446,420.370333333,12.9630000003,140.740666666,240.740777778,327.777666667,511.111111111
199.30,32.2751111113,-143.386222222,-114.814888889,0.000222222233334,59.7883333333,-74.6032222222,44.4444444446,21.6932222221,-36.5078888888,-41.798888889,-86.7725555554
199.68,47.4748888889,-242.424222222,-239.394111111,-3.03022222222,108.080777778,-140.404222222,60.6061111109,28.283,-69.697,-101.01,-169.697
200.06,-112.698333334,-296.825555556,-312.698333333,-135.714444445,-53.1746666667,-235.714222222,-76.1903333333,-96.8253333333,-138.889,-194.444444444,-264.285777778
200.44,-1.32277777777,-60.0527777778,-57.4074444444,-16.4021111111,27.5133333334,-43.3862222222,24.6031111111,-0.00011111109,5.82,-21.6931111112,-29.1006666667
200.82,27.1187777778,-14.501,-19.7741111111,21.0923333333,57.8153333333,4.89633333333,45.9511111111,21.0922222222,28.4367777778,8.85122222223,7.5328888889
201.19,37.6624444444,12.8426666667,3.75166666667,38.2395555555,68.831,26.1185555555,59.8845555556,25.5411111111,42.7127777778,23.0881111111,27.7055555555
201.57,32.5301111111,15.5287777778,9.5047777778,38.1526666667,61.9813333333,18.8753333333,57.5635555555,27.3091111111,37.4832222222,22.7575555555,24.498
201.95,24.7537777778,14.4866666667,0.984666666667,35.4428888889,59.6343333334,6.61033333332,54.7116666667,22.0815555556,31.6456666666,22.6443333333,20.675
202.33,20.0511111111,15.3256666667,2.68188888889,36.2706666667,58.7483333333,11.1112222222,54.5337777778,29.6295555556,30.3958888889,27.0753333333,20.3065555555
202.71,27.2924444444,24.4875555555,5.93311111112,36.5696666667,58.576,14.1315555555,52.7507777778,34.412,28.5868888889,33.1176666667,28.1553333333
203.09,32.2463333333,24.8793333333,6.76333333332,35.7486666667,74.3959999999,14.1305555555,58.6956666667,42.3912222222,34.2995555555,36.8357777778,25.6038888889
203.47,42.6144444444,33.5946666667,14.7711111111,39.3463333333,82.7452222223,16.9934444444,72.2875555556,54.2484444444,47.7123333333,44.9674444445,31.2418888889
203.85,41.7695555556,32.7162222222,17.284,35.9055555556,70.5761111111,16.2552222222,65.1235555556,48.7653333333,40.1236666667,42.387,27.8806666667
204.22,55.3167777778,39.9043333333,27.4791111111,45.878,89.4862222222,21.1467777778,79.4504444444,59.9762222222,39.9043333334,45.9975555555,32.6165555556
204.60,63.4444444444,38.3333333333,34.3333333333,49.1111111111,91.1111111111,29.3333333333,73.3333333333,60.2222222222,39.2222222222,46.5555555556,32.1111111111
204.98,54.2993333333,35.7487777778,34.0095555555,39.1304444444,73.9131111111,23.575,62.8985555555,56.425,33.7197777778,39.5168888889,24.4443333333
205.36,47.5555555555,24.4444444444,27.7777777778,33.3333333333,69.3333333333,11.3333333333,53.1111111111,53.2222222222,25.3333333333,30.1111111111,9.11111111112
205.74,57.2984444444,29.3028888889,28.6491111111,35.4027777778,82.353,23.0937777778,61.9824444445,57.6252222222,33.5511111111,39.9782222222,15.2503333333
206.12,63.7254444444,35.6208888889,41.3943333333,41.1763333334,89.7603333334,32.1352222222,68.0828888889,61.5468888889,40.305,49.3464444445,22.4401111111
206.50,73.2547777778,54.769,55.4572222222,51.8191111111,98.2302222222,45.9193333333,76.2045555556,70.2065555555,47.3943333333,57.5221111111,32.4484444444
206.87,73.5404444444,51.1298888889,56.497,51.6006666666,97.1751111111,45.4802222222,75.4237777778,70.5272222222,51.6008888889,55.3673333333,29.2843333334
207.25,63.869,49.4004444445,54.7562222222,48.0415555556,80.5755555557,42.6857777778,64.4284444445,62.6697777778,46.1231111111,49.4004444444,27.1781111111
207.63,54.1948888889,41.3454444445,46.4096666667,40.7407777778,73.6206666667,40.3628888889,52.8344444444,53.2124444445,37.9438888889,41.1186666667,24.7921111111
208.01,60.2338888889,43.08,53.8011111111,38.4014444444,86.8420000001,46.3935555555,55.653,60.7212222222,44.6392222222,48.928,29.2397777778
208.39,61.8546666667,39.6325555556,48.9064444444,34.2956666667,75.4155555555,41.3823333333,50.1312222222,53.7181111111,45.4942222222,48.0313333333,31.2336666667
208.77,57.423,42.2036666666,47.7124444444,33.3334444445,68.4407777778,40.2426666667,53.408,54.9018888889,49.5797777778,47.8991111111,31.2792222222
209.14,65.9668888889,47.0692222222,51.7936666667,38.7575555556,75.4155555556,46.7191111111,58.8802222222,59.4051111111,55.6428888889,57.3054444445,37.7952222222
209.52,72.2224444444,53.7963333333,54.7221111111,38.6112222222,81.0185555557,50.7406666667,69.7222222222,63.7036666667,57.2222222222,63.0555555556,47.1296666667
209.90,66.0376666667,47.5888888889,49.6855555556,26.2053333333,73.3754444446,38.0502222222,60.0628888889,54.2976666667,48.9516666667,54.0881111111,42.0337777778
210.28,54.1543333333,32.6326666667,36.2362222222,12.9127777778,57.0571111111,26.126,42.6426666667,45.3453333333,36.6367777778,42.5424444444,28.4283333333
210.66,53.2493333333,27.2536666667,31.9704444445,8.90977777779,54.822,25.5765555556,37.4214444444,42.4527777778,37.3164444444,41.9286666667,31.4466666667
211.03,43.5644444444,22.8823333333,26.4025555556,2.64022222223,50.8251111111,20.3521111111,32.6731111111,34.2136666667,27.7227777778,40.4838888889,22.7723333333
