wavelength,Back_TanDesf,Belly_TanDesf,Breast_TanDesf,Crissum_TanDesf,Crown_TanDesf,DorTail_TanDesf,Patch10_TanDesf,Patch11_TanDesf,Patch12_TanDesf,Patch13_TanDesf,Patch14_TanDesf,Patch15_TanDesf,Patch16_TanDesf,Rump_TanDesf,Throat_TanDesf,WingTip_TanDesf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-44.0475,-27.3809166666,-79.7619999999,3.57145833334,-13.09525,-50.5952916668,-45.2380833333,-32.143,22.619,-13.0950833333,1.19041666665,2.38091666668,26.1904166667,-24.9999166666,-19.0476666666,-27.976125
179.16,-40.74075,-30.5555833333,-61.1111666667,-10.6481666667,-20.3703333334,-33.3333333334,-36.11125,-55.5555833333,-10.1853333333,-18.5185,0.925999999992,20.3702499999,-1.85175000001,-39.8149166667,-36.11125,-42.12975
179.54,-64.5833333333,-86.4583333334,-106.25,-34.375,-74.9999999999,-90.6250000001,-73.9583333333,-70.8333333334,-47.9166666667,-62.4999999999,-35.4166666667,-55.2083333333,-29.1666666667,-66.6666666667,-73.9583333333,-55.7291666667
179.93,7.29166666675,-1.04166666667,-42.7083333333,42.1875,7.29166666664,-10.4166666668,-10.4166666666,16.6666666666,17.7083333333,9.375,14.5833333333,-2.08333333332,25.0,-30.2083333333,6.25000000002,-16.1458333333
180.31,-69.0059166667,-61.8420833333,-92.2515000001,-3.87424999999,-37.7191666666,-58.5528333333,-60.3800833334,-69.00575,-30.40925,-29.6784166667,-7.45608333333,-11.1110833334,1.31591666666,-48.0995000001,-54.8246666667,-76.3888333334
180.69,-58.81625,-53.38175,-79.46875,-0.966166666667,-27.053,-55.67625,-48.9130000001,-61.2319999999,-23.4299166666,-24.5169166667,-2.41550000001,-3.74391666665,3.50225,-40.82125,-43.5989999999,-67.1497083334
181.07,-41.6666666667,-41.5625,-63.0208333333,5.46875,-14.1666666667,-41.8229166666,-33.5416666667,-46.875,-18.125,-14.0625,9.06250000002,5.41666666666,6.14583333332,-28.5416666667,-30.2083333333,-59.3229166667
181.45,-26.7024166667,-28.13625,-45.6988333333,10.0357916667,-2.06091666665,-25.448,-20.96775,-30.82425,-9.31900000001,-2.32983333335,20.6988333333,12.45525,14.964,-12.1863333333,-18.54825,-46.3262916667
181.83,-15.8415833333,-15.5114166666,-32.92075,18.1519166667,10.8911666667,-9.36466666667,-11.4686666667,-19.4719166666,8.33333325e-05,8.49833333334,29.2904166667,24.3399166667,24.5049166667,-0.57741666665,-5.69308333332,-36.0149166667
182.21,-15.9090833333,-15.1515,-34.7644166667,17.255875,15.06725,-7.870625,-13.2155,-20.11775,1.26258333334,11.6161666667,34.51175,30.4713333333,26.2625833333,5.21883333333,-2.94625,-33.50175
182.59,-9.79949999999,-9.8765,-33.3331666667,17.014,16.2808333333,-4.32095833332,-14.6605,-16.97525,2.54633333333,10.7254166667,32.639,33.0248333332,26.0801666667,8.71908333335,-5.0925,-32.9475416667
182.97,2.16541666666,-0.98425,-22.04725,19.2585416667,18.37275,2.55908333333,-7.87408333333,-5.57749999999,6.62716666666,16.5354166667,35.1706666666,34.777,28.8058333333,15.4856666667,1.31241666665,-25.82025
183.35,-0.512833333315,-1.21783333332,-23.2050833333,15.6409166667,16.6665833333,-0.0641249999925,-7.30775000002,-6.41041666667,1.21808333333,14.5513333333,32.62825,31.795,26.47425,13.2690833333,0.640916666683,-29.9038333333
183.73,-6.87008333335,-3.81691666668,-24.30025,11.7365416667,16.6030833333,-3.72124999999,-9.03308333333,-9.47849999999,0.0636666666692,13.35875,32.1883333333,26.65375,21.1195,12.659,-1.84483333334,-32.4110416667
184.11,-9.17366666668,-11.9048333333,-28.7114166666,8.40341666666,15.6161666667,-8.26316666665,-15.7560833333,-13.7955833333,-3.01125,11.76475,33.0531666667,23.8796666667,20.72825,13.3051666667,-6.09241666668,-37.1499583333
184.49,-4.81308333334,-12.64375,-31.2499166667,6.71683333334,14.0805,-8.72833333332,-19.46825,-12.5716666667,-2.87349999998,14.36775,32.4713333333,21.1925833333,20.8334166667,15.08625,-7.112,-38.46975
184.87,-1.89074999998,-10.0840833333,-24.64975,7.10770833334,15.8263333333,-0.80525,-18.3473333334,-7.14275000002,-1.82075000001,18.9075833333,36.7646666667,22.8290833333,23.9495833333,18.6975833333,-6.23249999999,-36.449375
185.25,-2.25866666667,-12.4610833333,-23.1308333334,6.26945833334,17.28975,2.29750000001,-21.6511666667,-6.07483333335,-3.03741666667,20.2491666667,39.8754166667,25.3895833332,28.3488333333,26.1681666667,-8.64483333333,-40.3815833333
