wavelength,Back_TanDesm,Belly_TanDesm,Breast_TanDesm,Crissum_TanDesm,Crown_TanDesm,DorTail_TanDesm,Patch10_TanDesm,Patch11_TanDesm,Patch12_TanDesm,Patch13_TanDesm,Patch14_TanDesm,Patch15_TanDesm,Patch16_TanDesm,Rump_TanDesm,Throat_TanDesm,WingTip_TanDesm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,28.57125,-7.14283333335,66.6665833334,60.7141666668,-24.0079305556,40.4761666667,-4.762,-1.19033333335,58.3331666667,22.619,8.33350000001,51.1905,3.57141666667,27.8570416667,32.1428333333,14.2857916667
179.16,5.55550000003,1.85183333333,64.8146666667,17.5925,-3.54941666667,17.1297083333,16.6666666667,9.25916666668,33.33325,37.9629166667,-18.5185833333,11.1111666667,6.4815,22.7779083333,12.037,22.6851666667
179.54,4.16666666666,-52.0833333333,4.16666666665,6.25000000001,-48.2638888889,-14.0625,-5.20833333333,14.5833333334,7.29166666665,-1.04166666669,-41.6666666667,-7.29166666665,-12.5,-26.0416666667,-37.5,-49.4791666667
179.93,70.8333333332,22.9166666667,55.2083333333,53.1250000001,5.72916666666,55.7291666667,35.4166666667,60.4166666667,67.7083333333,54.1666666667,32.2916666667,38.5416666667,38.5416666667,35.6249999999,42.7083333333,39.5833333333
180.31,33.7719166667,-9.35683333334,40.7895,29.3858333334,-25.9014166667,25.585,-3.655,25.1460833333,60.5261666668,14.4736666667,-27.924,23.0993333334,10.8185833334,2.00279166665,-0.146083333342,-2.55854166668
180.69,33.3333333333,-7.72958333334,38.0435833333,29.4684166667,-19.6255416667,23.0074166667,2.77775,26.6908333333,54.5895,17.0289166667,-19.4443333333,26.81175,13.7680833333,3.94921666668,4.71016666669,0.36225
181.07,34.5833333333,0.312500000003,35.625,27.0833333333,-9.27083333333,28.6458333333,12.8125,32.8125000001,53.75,20.625,-9.37499999998,27.9166666667,20.4166666667,7.69791666669,9.16666666667,6.19791666668
181.45,38.62,10.0360833333,34.94625,33.154,-1.46356944445,34.363875,17.5626666667,34.1398333334,54.7491666667,22.2220833333,5.28666666665,32.8851666667,25.0895,12.777975,15.5915,11.9625
181.83,44.6369166667,18.6469166667,41.7491666666,39.109,9.33733333333,40.0989166667,24.7525,39.3564166668,59.1583333333,30.2804166667,17.73925,38.9438333333,31.84825,23.63845,26.3200833333,20.8335
182.21,47.138,19.192,44.1919166667,39.7306666667,14.1274027778,43.5605833333,26.5994166667,40.8249166666,63.3838333333,33.8383333334,20.9595,44.02375,34.8485833333,25.1935333333,26.936,23.3585416667
182.59,47.0679166667,20.679,44.0585833333,39.3519166667,14.0174861111,43.248375,24.3825833333,40.2005833333,59.1050833333,33.25625,26.1574166667,41.281,32.8703333333,23.3331416667,23.6110833333,26.35025
