wavelength,Back_TanDowf,Belly_TanDowf,Breast_TanDowf,Crissum_TanDowf,Crown_TanDowf,DorTail_TanDowf,Patch10_TanDowf,Patch11_TanDowf,Patch12_TanDowf,Rump_TanDowf,Throat_TanDowf,WingTip_TanDowf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-15.0,-43.3333333333,-1.6666666667,5.0,-48.3333333333,-30.0,6.66666666665,-30.0,-21.6666666667,-25.0,-31.6666666667,-15.0
179.16,58.3335000001,-11.111,69.4445,138.889,161.111,11.111,36.1111666666,130.555666667,-2.778,88.889,99.9998333332,-41.6666666667
179.54,52.381,29.7618333334,22.619,25.0,32.1428333333,19.0475,61.9046666667,20.2381666666,46.4285,27.3811666667,20.238,13.0953333334
179.93,87.1796666668,99.9999999998,100.0,83.3331666667,96.1538333332,88.4614999998,80.7693333333,89.7435,65.3846666667,69.2306666666,130.769166666,82.0511666665
180.31,106.383,119.858166667,85.4608333332,87.9433333333,53.9008333334,75.1773333334,99.6453333332,52.8366666666,98.2269999998,63.1205,47.5175,100.709333333
180.69,119.728,135.374166667,97.6191666665,100.340166667,65.6463333334,88.7755000002,119.047833333,68.0271666665,119.3875,78.5713333333,68.0273333334,112.245
181.07,144.897833333,153.061166667,112.245,114.966,86.0545,111.904666667,138.435333333,94.5578333335,130.952333333,91.1563333332,90.1359999999,121.428666667
181.45,130.324,123.379666667,101.620333333,112.963166667,89.5835,94.4443333335,125.462833333,95.6019999998,117.129833334,91.2038333335,91.4353333335,98.8425
181.83,167.514333334,150.282666667,127.1185,151.977333333,107.062166666,117.7965,143.785166667,121.469,138.983,107.062,118.926666667,129.096
182.21,222.6495,193.1625,161.111166667,201.709166667,117.094,134.6155,196.581333333,138.889,176.068333333,142.307833334,132.906,157.265
182.59,256.756666666,200.901,167.567833333,229.729666667,124.774833333,162.162333333,210.811,162.162166667,180.1805,156.306166666,149.099166666,190.09
