wavelength,Back_TanFlom,Belly_TanFlom,Breast_TanFlom,Crissum_TanFlom,Crown_TanFlom,DorTail_TanFlom,Patch10_TanFlom,Patch11_TanFlom,Patch12_TanFlom,Rump_TanFlom,Throat_TanFlom,WingTip_TanFlom
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,198.148148148,286.111111111,255.555555556,222.222222222,194.444444444,243.84057971,252.777777778,197.222222222,172.222222222,230.555555556,211.111111111,298.611111111
179.16,-55.5555555553,300.0,522.222222222,444.444444444,311.111111111,563.768115941,666.666666665,366.666666667,-44.4444444443,477.777777778,333.333333333,44.4444444447
179.54,-44.4444444444,-127.777777778,-144.444444444,-130.555555555,-94.4444444447,-225.483091788,-180.555555556,-58.3333333334,-111.111111111,-161.111111111,-136.111111111,-134.722222222
179.93,14.8148148148,80.0,106.666666667,115.555555556,2.2222222222,160.966183575,111.111111111,77.7777777778,104.444444444,140.0,64.4444444446,82.2222222222
180.31,-4.21814814812,1.8518888889,-100.926,-34.8765555555,-19.4442222222,-127.174086957,-84.567888889,-17.9011111111,1.543111111,-104.012333333,-65.7406666668,-44.4443888889
180.69,-0.823222222233,5.1852222222,-82.7160000001,-27.1605555556,-15.3086666666,-113.569483092,-71.111111111,-7.40733333333,-5.92577777777,-93.3332222222,-62.7159999999,-44.9382222222
181.07,9.72240740743,21.4285555555,-60.9127777778,-12.8967777778,-1.38877777777,-85.1018937199,-49.9999999999,-9.32544444443,1.7858888889,-68.8491111111,-44.4443333333,-28.6706666667
181.45,-15.504037037,8.01044444443,-90.9561111112,-37.4678888889,-20.155,-135.782555556,-85.0126666666,-38.5014444444,-23.7726666667,-115.503777778,-85.0130000001,-69.3797777777
181.83,-15.0617037037,14.8146666667,-86.6666666668,-28.8888888889,-18.0246666667,-118.378903382,-70.1233333333,-37.2841111111,-14.5677777778,-111.111111111,-76.0493333335,-58.8888888889
182.21,-20.8174074074,3.44822222222,-76.6283333333,-20.4982222222,-27.5861111111,-98.3425024154,-62.2604444444,-31.9923333333,-18.3908888889,-93.4865555556,-71.2644444444,-50.2872222222
182.59,-13.9918518518,0.617333333331,-86.8313333334,-26.1316666667,-34.5678888889,-100.858903382,-73.2509999999,-34.1564444445,-22.2222222222,-99.7942222222,-77.572,-48.6626666667
182.97,-4.19296296297,5.45077777778,-89.3082222222,-25.9956666667,-40.0417777778,-97.3658309179,-71.9077777778,-34.5912222222,-24.9477777778,-96.4361111109,-79.2453333332,-48.9517222222
183.35,-16.3343703705,-18.2335555555,-134.188,-59.2592222222,-72.6496666668,-149.436405797,-118.803444444,-65.2420000001,-63.8176666668,-153.561333334,-134.472888889,-89.7436111111
183.73,-24.5243333334,-33.3333333333,-144.744666667,-74.1743333332,-88.889,-166.314082126,-145.645555555,-86.1859999999,-89.789888889,-169.969888889,-147.747666667,-96.3963333334
184.11,-47.6543333333,-72.2223333333,-205.185222222,-117.777666667,-120.740777778,-241.04663285,-214.444555556,-129.259333333,-143.703555555,-237.777777778,-217.037111111,-146.296388889
184.49,-138.997814815,-200.000111111,-406.536111111,-273.856333333,-275.816888889,-475.10657971,-457.516333333,-276.470666667,-337.255,-505.228777778,-458.17,-324.8365
184.87,2.40248843758e+15,2.92136907647e+15,5.2314541126e+15,3.58951674846e+15,3.4331417614e+15,5.92648839304e+15,5.75744270544e+15,3.96623830819e+15,4.47801099312e+15,6.2478915285e+15,5.77876656732e+15,3.85961899884e+15
185.25,-1764.81481482,-2250.0,-4005.55555556,-2711.11111111,-2588.88888889,-4625.36231884,-4216.66666667,-2800.0,-3588.88888889,-4994.44444444,-4550.0,-2905.55555556
185.63,-239.885962963,-351.282111111,-646.154,-403.418888889,-410.256555555,-706.317347827,-626.495777778,-411.111111111,-577.777555556,-754.700666667,-683.760777778,-469.658222222
186.01,-179.166666667,-270.833333333,-493.055555555,-344.444444445,-329.166666667,-583.423913043,-520.833333333,-328.472222222,-486.805555555,-607.638888889,-559.027777778,-375.347222222
186.39,-185.432185185,-280.740777778,-514.814888889,-382.222333333,-332.592777778,-609.210845411,-547.407555556,-345.926,-519.259222222,-656.296333333,-579.259222222,-411.111
186.77,-212.592592593,-276.666666667,-447.777777778,-331.666666666,-316.111111111,-526.062801932,-447.777777778,-322.222222222,-458.888888889,-562.777777778,-516.666666667,-391.944444445
187.15,-186.243444445,-229.761777778,-336.904666667,-251.190333333,-247.222111111,-417.529289855,-347.222333333,-265.079444444,-362.698111111,-429.365111111,-386.904888889,-311.904611111
187.53,-150.877111111,-176.315888889,-253.801,-190.935777778,-191.520444444,-313.806111111,-269.590666667,-196.198888889,-285.672555556,-329.532333334,-299.122666666,-239.766111111
187.91,-176.803148148,-202.631444445,-274.269111111,-224.853777778,-219.005777778,-328.642222222,-282.456333333,-222.222444444,-310.526222222,-351.461888889,-331.578888889,-271.929777778
188.29,-143.981592593,-163.425777778,-207.407333334,-178.935222222,-171.759222222,-252.908763285,-213.425666667,-180.324111111,-245.370333333,-281.018555555,-264.351888889,-220.601833333
188.67,-169.323555556,-196.135444444,-227.053222222,-199.033777778,-190.338111111,-281.117478261,-234.782666667,-214.976,-265.942,-306.038666667,-285.990333333,-248.792388889
189.05,-111.84062963,-139.730555555,-152.862,-136.700333333,-138.047111111,-188.127806763,-163.636222222,-147.306333333,-179.461222222,-207.575777778,-197.643111111,-177.777722222
189.43,-131.234666667,-157.963,-169.074,-150.185222222,-160.925888889,-207.334975845,-194.074,-162.962888889,-204.259222222,-226.296333333,-222.036888889,-202.222333333
189.81,-163.398666667,-186.928222222,-201.960777778,-176.688555555,-195.206888889,-243.82889372,-243.573111111,-198.692888889,-247.494555555,-267.973888889,-271.241666667,-231.045777778
190.19,-186.0,-217.555555555,-224.222222222,-192.666666667,-217.333333333,-267.053140097,-269.333333333,-229.555555556,-279.555555556,-287.555555556,-297.555555556,-265.777777778
190.57,-166.880333334,-203.418888889,-201.923222222,-169.017111111,-199.145444445,-243.747657005,-244.230666667,-225.641,-262.393444445,-265.384666667,-278.632555556,-243.055555556
190.95,-150.740740741,-196.666666667,-186.444444445,-156.444444445,-178.444444444,-230.086956522,-241.555555555,-218.666666667,-252.888888889,-251.555555556,-259.555555556,-228.666666667
191.33,-147.971925926,-209.788333333,-189.418111111,-167.460111111,-182.275222222,-238.509434783,-257.936444444,-231.746222222,-283.597888889,-280.952333333,-293.915333333,-244.444611111
