wavelength,Back_TanFucf,Belly_TanFucf,Breast_TanFucf,Crissum_TanFucf,Crown_TanFucf,DorTail_TanFucf,Patch10_TanFucf,Patch11_TanFucf,Patch12_TanFucf,Patch13_TanFucf,Rump_TanFucf,Throat_TanFucf,WingTip_TanFucf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,73.0158888889,51.5873333333,74.6032222223,67.4603333333,66.6666666667,56.9595726496,73.0156666667,75.3968888889,79.365,85.7142222222,57.1427777778,62.6983333333,35.7142222222
179.16,43.3333333334,-5.55555555556,40.0,22.2222222222,44.4444444444,21.9658119658,68.8888888889,77.7777777778,57.7777777778,53.3333333333,36.6666666667,42.2222222222,4.44444444446
179.54,18.5183333333,-48.1481111111,-43.2098888889,4.93833333334,-7.40733333337,-28.9646965812,27.1604444445,27.1603333333,-1.23466666666,13.5802222222,-14.8147777778,-49.3825555556,-41.9751111111
179.93,48.6111111111,-31.9444444444,2.7777777778,20.8333333333,33.3333333333,0.0534188034333,44.4444444445,80.5555555556,8.33333333332,25.0,-19.4444444444,8.33333333333,-30.5555555556
180.31,62.3093333333,-18.7363333333,18.7363333333,46.4051111111,59.9127777778,9.47726495726,70.8061111112,94.3355555556,57.0806666667,56.2093333333,23.9651111111,4.57511111113,-0.000111111109999
180.69,52.2634444444,-26.9546666667,11.3168888889,42.5927777778,52.2633333333,-7.1936965812,67.6955555557,84.9793333332,50.000111111,39.7117777778,7.61322222221,-1.0287777778,-5.55544444447
181.07,40.0463333333,-44.676,-10.8796666666,32.6387777778,44.4444444445,-32.6566239316,59.4907777777,76.6203333334,40.9722222221,18.9815555556,-19.2131111111,-14.1204444444,-12.7314444444
181.45,49.0514444444,-49.8645555555,-16.8021111111,44.1734444444,51.4906666667,-43.7877820513,66.1246666667,80.4876666667,51.2194444443,31.4362222222,-26.5582222222,-17.8862222222,-8.67199999997
181.83,63.6637777777,-37.2373333333,-6.60644444433,59.4594444444,63.964,-42.8852008547,84.0841111112,92.7928888888,60.9610000001,48.0481111111,-22.2221111111,-3.0028888889,1.80166666667
182.21,62.678111111,-25.071,-2.2791111111,66.0967777778,61.5384444444,-41.7487264957,85.755,75.7834444443,63.2477777777,40.7407777778,-13.96,-3.7037777778,12.8204444445
182.59,52.2222222222,-15.2777777778,1.66666666667,66.111111111,67.2222222222,-43.6752136752,87.2222222221,71.1111111111,78.3333333332,40.8333333333,-6.38888888889,-3.33333333332,10.5555555556
