wavelength,Back_TanGyrf,Belly_TanGyrf,Breast_TanGyrf,Crissum_TanGyrf,Crown_TanGyrf,DorTail_TanGyrf,Patch10_TanGyrf,Patch11_TanGyrf,Patch12_TanGyrf,Patch13_TanGyrf,Rump_TanGyrf,Throat_TanGyrf,WingTip_TanGyrf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,60.4166666667,68.7499999999,68.75,52.0833333333,70.8333333333,91.6666666668,55.2083333333,114.583333333,87.5000000001,88.5416666667,50.0,22.9166666667,60.4166666667
179.16,45.2381666667,40.4760833333,97.6190000001,77.3810833333,53.5713333332,70.2380000001,55.3572083333,66.66675,48.8095833334,54.7617916667,79.7618333333,59.5238333333,44.0478333332
179.54,188.333333333,263.333333333,218.333333333,166.666666667,225.0,182.5,192.5,205.0,203.333333333,236.666666667,210.0,175.0,183.333333333
179.93,408.333333333,333.333333333,433.333333333,266.666666667,191.666666667,41.6666666667,483.333333333,466.666666667,241.666666667,283.333333333,383.333333333,191.666666667,275.0
180.31,361.111166667,280.555666667,361.111166667,186.805583333,282.638833333,179.513833333,376.041583333,453.472083333,338.1945,244.791791667,348.611,200.694333333,356.9445
180.69,721.4285,520.238166666,671.428583333,367.857083334,586.904666668,376.190541667,727.976208333,846.428583332,671.428750001,453.571333333,676.190333333,390.476166667,682.142833333
181.07,-530.555583333,-336.110916667,-500.926,-244.444416667,-418.518666666,-268.518625,-533.333333333,-609.259250001,-462.037,-262.037166667,-516.66675,-266.666666667,-482.407416667
181.45,-362.5,-224.999916667,-305.357083333,-152.976166666,-269.047666667,-149.999916667,-346.428708333,-413.6905,-326.190416667,-118.154833333,-326.1905,-155.357166667,-332.14275
181.83,-156.41025,-62.1793333335,-112.179416667,-29.1666666665,-95.1924166667,-40.7051666666,-145.67325,-173.397416667,-132.051416667,-7.2115,-131.410416667,-40.0640833333,-144.551416667
182.21,-186.0,-77.6666666667,-126.0,-43.0,-128.666666667,-68.3333333334,-171.166666667,-194.666666667,-164.333333333,-14.9999999999,-153.0,-66.3333333335,-189.333333333
182.59,-239.583333333,-125.0,-178.75,-65.4166666665,-169.583333333,-115.416666667,-240.0,-258.333333333,-230.0,-28.1250000001,-212.916666666,-108.333333333,-261.666666667
182.97,-173.958333333,-76.3889166665,-121.527666667,-25.6945,-123.611166667,-82.118125,-171.006916667,-179.861,-155.90275,3.81950000007,-159.374916667,-58.3334166668,-193.402666667
183.35,-141.66675,-46.5276666667,-93.0554999999,5.55549999993,-99.9999166667,-48.0900416666,-122.916666667,-138.54175,-109.02775,36.9792916668,-120.138833334,-38.5416666665,-149.305583333
183.73,-60.9525,-3.80958333332,-36.9046666666,28.3334166667,-40.0000833333,-1.19045833333,-51.4285833333,-57.1428333334,-46.6666666668,39.4045833334,-53.8094166667,8.5714166666,-67.3809166666
184.11,-128.75,-36.2499999999,-96.2499999999,14.1666666667,-98.75,-35.625,-129.166666667,-132.5,-101.666666667,32.9166666668,-133.75,-22.0833333334,-159.166666667
184.49,-96.3333333332,-25.3333333332,-83.6666666667,11.0,-80.9999999999,-34.8333333333,-115.5,-120.333333333,-90.9999999999,19.3333333333,-105.666666667,-25.6666666665,-130.0
184.87,-51.0416666668,20.4860833332,-55.2083333332,49.65275,-35.4165833334,-3.99304166657,-90.4512083333,-91.3193333333,-49.3055833334,57.4652916667,-72.2221666668,24.3055000001,-101.041666667
185.25,-302.77775,-47.2222499998,-320.8335,87.4999166667,-286.111083333,-92.3610833332,-556.944541667,-480.555583333,-276.388833333,50.6944583333,-374.999916667,-55.5555000002,-543.055499999
185.63,-24.65275,42.7083333335,-35.4165833334,83.6805833333,-38.1944166667,21.7012916666,-95.6597083333,-73.2639166666,-5.55549999992,20.3123333333,-56.25,26.0415833333,-92.7082500001
186.01,-10.8974166667,59.6153333333,-41.3461666666,82.0514166668,-35.5769166668,33.0127500001,-88.3012916667,-74.0384166667,1.28208333342,23.237125,-39.4230833333,27.8846666666,-81.73075
186.39,14.1666666667,58.75,-18.75,72.9166666667,1.87499999999,35.1041666667,-37.0833333333,-36.0416666667,19.375,36.3541666667,-1.45833333336,40.4166666667,-27.5
186.77,16.6665833333,55.9523333334,-5.95241666665,57.1429166667,6.99416666667,29.0179166667,-22.8422083334,-17.2619166666,23.0654166666,47.024,9.375,30.8035833333,-10.5655833333
187.15,28.4615833333,62.0513333333,9.23074999998,56.9229999998,23.0770833333,37.3718333333,-8.333375,-1.02558333335,27.9486666667,54.166625,23.4615833333,33.2050833333,4.10274999998
187.53,10.69825,44.7073333332,2.92799999999,38.5135833333,11.26125,21.0020833333,-17.398625,-12.4999166667,17.22975,37.2747916667,12.9504166667,23.874,-6.64408333333
187.91,-1.71566666667,39.3382499999,-4.41175,33.0881666667,1.71575000003,8.027,-23.9581666667,-21.0784166667,10.2940833333,33.8235833333,4.53433333332,16.1765,-19.9755
188.29,1.51525000001,37.6893333333,4.26141666666,33.5226666667,8.14391666668,7.95441666668,-11.4584583333,-8.04933333334,16.76125,33.1912083333,12.9733333333,17.1401666666,-12.1213333333
188.67,-9.53941666665,40.5701666667,3.1798333333,30.3728333333,6.46933333333,4.11175,-14.144625,-14.0351666667,17.21475,32.456125,10.9649166667,14.9123333334,-19.0789166667
189.05,-10.1745833333,32.3644166667,6.00766666666,23.3526666667,7.84883333331,3.14929166667,-11.3373333333,-12.1124166667,15.7945,28.052375,10.7558333333,7.75199999999,-21.6086666667
