wavelength,Back_TanHeim,Belly_TanHeim,Breast_TanHeim,Crissum_TanHeim,Crown_TanHeim,DorTail_TanHeim,Patch10_TanHeim,Rump_TanHeim,Throat_TanHeim,WingTip_TanHeim
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-28.0,38.6666666666,-44.0000000001,40.0000000001,93.3333333335,69.3333333333,-35.9999999999,-26.6666666667,10.6666666667,16.0000000001
179.16,73.3332666667,-8.88886666646,91.1110666667,-15.5554666667,-93.3332666667,-2.22213333346,51.1111333333,-6.6665333332,53.3332666667,68.8888000001
179.54,-42.9630666667,-11.1112,-43.7037333333,-28.148,-34.0741333333,-4.4444,-73.3332666666,-24.4443333333,-43.7036666666,-17.7776
179.93,56.0,56.3333333333,46.3333333333,43.6666666667,62.3333333334,54.0,45.3333333333,57.3333333333,40.0,50.3333333333
180.31,-30.8696666667,-11.5941333333,-24.2028666667,-4.05793333334,14.4928,-2.31900000001,-42.7535333333,-0.579666666646,-19.7100666667,-34.6377333334
180.69,-7.29560000001,-0.50306666666,-8.67926666668,12.5785333333,32.3270666667,15.849,-19.1195333333,12.3271333333,-6.16359999999,-11.195
181.07,-1.23439999999,-5.18526666668,-2.963,12.4690666667,24.6912,10.7406666667,-16.7902,11.111,-9.3826,-15.1851333334
181.45,11.5741333333,8.24073333333,14.5369333333,19.5370666667,33.1481333333,19.4443333334,7.49993333333,21.2962,5.74073333334,7.12960000001
181.83,13.7634666667,4.30106666667,15.9138666667,19.8924666667,33.0107333333,17.8494,13.3333333333,22.1506,12.4732,0.967666666674
182.21,-0.812999999986,-22.2764666667,2.4392,17.8862,32.8454,5.52840000002,-2.27646666666,9.756,5.85386666667,-19.0244
182.59,20.7273333333,8.72733333333,18.6666,34.0606,49.5756666667,24.6059333333,20.4848666667,22.1819333333,35.2728,12.1212
182.97,30.8333333333,12.2222666667,24.5834,45.9722,56.1110666667,31.25,24.5832,20.4166,47.7776666667,22.0832
183.35,38.1562,3.82966666668,20.7092666667,40.8509333333,57.8723333333,21.5603333333,22.1277333333,20.0,42.1276,25.5319333333
183.73,52.5000666667,15.1191333333,20.1190666667,44.6428666667,59.2857333333,29.2856666667,23.4524,31.3095333333,43.8096,35.9524
184.11,61.9881333333,23.5086666667,39.2984,58.2456,67.8363333334,39.0643333333,34.6199333333,43.6256666667,50.4093333333,54.0351333333
184.49,37.0,-9.99999999999,4.0,35.3333333333,44.1666666667,13.6666666667,9.99999999999,27.0,24.0,31.3333333333
184.87,12.8070666667,-27.3684666667,-14.3859333333,11.2280666667,24.7369333333,-7.89486666667,-5.78946666666,15.2632666667,11.4035333333,1.92979999999
185.25,17.8616666667,0.7546,-1.00626666666,20.1258,31.9496,11.1949333333,17.7358,25.7861333333,27.5472,16.6037333333
185.63,11.6668,-11.9444666667,-18.3334666667,5.27773333334,11.3888666667,-1.38893333333,-9.1668,8.05553333334,19.3056,-0.13886666666
186.01,21.9231333333,-8.07699999998,-14.7436,8.58973333334,19.1025333333,-1.0256,-2.56406666668,5.51273333334,14.6153333333,11.5385333334
186.39,28.5186,8.05566666667,-1.94446666667,12.6852,15.5555333333,8.05553333333,13.6110666667,13.0556,19.2592,18.4259333334
186.77,20.4762666667,-12.9761333333,-24.2855333333,-4.52386666667,-9.64293333332,-11.1904666667,-13.2143333333,-11.1903333333,-1.19053333332,-5.71426666667
187.15,25.122,3.08940000001,-6.34146666666,6.50413333334,2.683,5.20313333333,-0.1626,2.19526666664,10.813,5.77233333334
187.53,29.0980666667,10.9019333333,-2.74493333333,12.6274,8.3138,16.2353333333,6.58813333333,6.43133333334,18.1176,10.6667333334
187.91,31.4166666667,10.3333333333,1.08333333333,9.83333333333,9.83333333332,17.75,9.25000000001,8.41666666665,22.4166666667,9.00000000001
188.29,26.2698,8.01580000001,0.317466666673,4.12693333333,10.3174666667,14.7619333333,8.73026666665,-1.11113333332,16.9048,-1.66653333336
188.67,34.2954,14.0894,12.3711333333,10.3778,17.6632,21.0995333333,19.5876666666,2.54299999999,28.2474666667,7.354
189.05,38.1132,18.7422,14.8427333333,14.6540666667,19.8742,21.0063333333,22.2642,7.10686666665,34.8428,10.8176666667
189.43,32.25,-1.75000000001,-1.33333333333,-4.33333333334,2.16666666668,1.75000000001,1.83333333333,-12.3333333333,21.5,-10.5
189.81,14.4,-44.6666666667,-33.3333333333,-31.3333333333,-28.9333333333,-29.6,-29.0666666667,-45.3333333333,-1.06666666667,-52.4
190.19,11.3978,-72.2581333333,-43.4408666666,-56.5590666667,-46.2365999999,-48.1720000001,-60.6451333333,-70.9678666666,6.6668,-97.2042000001
190.57,-96.1904666667,-257.1428,-169.0476,-216.190333334,-181.9048,-206.666666667,-233.809466667,-224.761933333,-36.1904666667,-285.2382
190.95,-141.666733333,-266.111133333,-210.555533333,-256.666733333,-197.2222,-251.111133333,-201.1112,-228.333266667,-30.5556666667,-331.111133333
191.33,129.523866667,220.9524,161.2698,206.666733333,165.714333333,193.333266667,150.793666667,159.3652,63.1745333333,239.047666667
191.71,121.6666,206.111,158.3334,193.0556,151.944466667,189.722333333,143.055666667,151.944466667,64.1666666666,222.499866667
192.09,151.724133333,232.8736,191.724133333,234.2528,191.494066667,220.919533334,174.482866667,188.046,128.965533333,233.103533333
192.47,100.000066667,136.666733333,128.709533333,140.967733333,125.914,133.0108,107.419333333,110.645133333,85.9137999999,133.226
192.85,91.6338,140.6536,138.692666667,144.4444,129.673066667,132.418333333,105.882333333,103.790866667,81.5686,130.980466667
193.23,100.9876,144.320866667,135.679,151.357866667,141.357866667,131.234533334,116.172933333,113.5802,96.2963333333,132.592533333
193.61,82.9239333334,119.181266666,105.380066667,125.614066667,116.958933333,106.432866667,93.2162666668,82.8069333333,70.2924,102.690066667
193.99,137.777866667,230.476266667,202.857133333,281.269866667,229.2064,200.634866667,161.9048,162.222333333,99.6826000001,201.5872
