wavelength,Back_TanIctf,Belly_TanIctf,Breast_TanIctf,Crissum_TanIctf,Crown_TanIctf,DorTail_TanIctf,Patch10_TanIctf,Patch11_TanIctf,Rump_TanIctf,Throat_TanIctf,WingTip_TanIctf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,86.8685555554,28.2827777778,101.010222222,117.171666667,73.7374444446,36.3636666667,79.7979999999,83.8382222222,81.8181111111,86.8687777778,70.707
179.16,94.074,49.6295555556,86.6667777777,112.592777778,86.2962777779,74.074,72.5926666667,62.2222222222,81.4815555556,97.7778888889,71.851888889
179.54,172.222222222,66.6666666667,116.666666667,206.944444444,138.888888889,68.0555555556,95.8333333332,105.555555555,145.833333333,150.0,83.3333333334
179.93,117.777777778,45.5555555556,82.2222222223,94.4444444446,66.1111111111,40.0,44.4444444444,82.2222222223,100.0,108.888888889,55.5555555554
180.31,162.284777778,60.5635555555,110.954444444,160.563333333,139.749555556,87.7935555556,79.3426666668,111.111222222,112.206555556,152.582111111,81.3769999999
180.69,154.583333333,55.0,103.055555556,150.138888889,130.763888889,81.3888888889,78.1944444446,102.777777778,101.111111111,144.722222222,75.0
181.07,172.791888889,73.9315555557,113.960111111,167.521444444,147.720777778,103.703666667,87.6067777777,116.666666667,115.242111111,160.256333333,83.0483333333
181.45,202.735,84.9573333333,128.205111111,190.769111111,175.555611111,119.316222222,98.8034444445,137.777777778,133.333333333,185.811888889,87.6924444444
181.83,178.538888889,77.777888889,117.655888889,164.840222222,161.872111111,114.003111111,89.9542222222,125.114111111,112.329,168.036555556,79.4521111112
182.21,172.011333333,77.6371111112,112.236222222,161.040555556,155.907222222,113.783333333,87.2012222222,118.987333334,104.782,162.166,78.4810000001
182.59,188.011666667,83.4795555555,125.438555556,177.777777778,164.839222222,126.754555556,97.3684444443,128.070222222,116.958888889,174.707555555,86.8420000001
182.97,219.734777778,88.3914444443,136.318444444,198.507333333,181.343222222,134.825888889,116.915444444,133.830888889,128.524111111,202.653555556,92.5374444446
183.35,194.522888889,66.5101111111,118.153333333,175.899888889,159.311388889,117.214444444,110.641666667,120.187666667,116.744888889,181.377111111,77.6212222221
183.73,179.810333333,68.0215555556,114.769666667,167.750666667,148.848277778,111.924,110.840111111,116.395777778,113.821111111,166.124666667,89.9726666666
184.11,162.046333333,68.7566666667,107.810777778,148.294777778,133.443555555,105.610666667,103.080222222,111.991222222,109.571,148.515,92.5192222223
184.49,161.267,73.4163333333,109.968888889,145.898111111,134.475666667,109.761,107.061333333,115.368555555,113.603444444,146.729,99.0653333332
184.87,179.648,86.1386666667,123.762222222,165.786444444,148.955,125.852555555,120.352111111,129.812888889,131.023111111,162.816111111,112.651222222
185.25,178.327888889,83.3884444445,125.082555556,160.505888889,145.049555556,122.002333333,121.012222222,129.702888889,131.683111111,162.596222222,117.271777778
185.63,176.012555555,84.3198888889,126.272111111,160.955333333,143.302388889,122.533888889,124.402777778,130.841,133.021777778,160.540111111,122.429888889
186.01,193.602555555,92.5927777778,136.363555555,179.798,153.759944444,134.68,140.516444444,143.322111111,152.300666667,177.665444444,138.608222222
186.39,220.767333333,102.248777778,152.777888889,204.894222222,173.611,151.719666666,164.285555556,162.962888889,178.571222222,204.629555556,160.185222222
186.77,193.567222222,94.1521111111,134.620111111,183.158,154.444555555,135.906444445,150.409555556,145.263222222,159.766111111,187.719444445,147.251333333
187.15,182.359666667,90.4925555556,128.407777778,180.527,150.630055555,135.051444444,142.153444444,139.748,154.41,179.610555556,143.642666667
187.53,192.270666667,100.362333333,138.768111111,188.768111111,158.635166667,144.323666666,147.705333333,148.429888889,161.473555555,192.512222222,156.159555556
187.91,234.585222222,116.744888889,166.040666667,222.848222222,188.810666667,170.422444445,179.342777778,179.342777778,197.339666667,233.802777778,183.098444445
188.29,288.461666667,127.136777778,202.136777778,277.350555555,227.777777778,201.923222222,225.854666667,215.812,238.675333333,290.384555555,218.376
188.67,260.536333334,111.877222222,187.547777778,255.172222222,211.589888889,183.524888889,207.662888889,195.785444445,216.666666667,262.069,207.854444444
189.05,229.738555556,103.431333333,170.098,223.039222222,193.300666667,163.398555556,188.562111111,179.084888889,199.346333333,232.352888889,188.235333333
189.43,216.329888889,87.7103333334,152.356888889,209.427666667,185.185277778,145.959666667,182.491444444,160.269444444,185.016888889,218.855333333,168.518444445
189.81,209.401666667,83.0770000001,152.478555556,200.171,172.478611111,143.760555556,179.316222222,147.863333333,179.999777778,222.222333333,162.222222222
190.19,270.833333333,98.3797777778,196.990666667,251.157444444,220.370277778,175.231555556,229.166666667,193.287,231.249777778,291.203666667,197.685111111
190.57,239.766111111,94.1518888889,181.286555556,224.171666667,206.140388889,167.446444444,210.526444445,176.608222222,205.458111111,262.378222222,183.041
190.95,286.111111111,117.129666667,217.361222222,264.814888889,250.115722222,200.000111111,254.629555555,208.796333333,243.75,306.018333333,213.889
191.33,290.277777778,126.157444445,229.861111111,264.351777778,252.199055556,203.009111111,265.740666666,219.675777778,245.138888889,314.120444444,223.611
191.71,276.709444444,126.709222222,219.658,249.145444445,243.482777778,195.726444444,249.786333333,207.051333334,233.547,293.162444445,209.615444445
192.09,258.134777778,132.142777778,211.904777778,235.317555556,232.4405,189.285666667,243.254111111,196.825333333,229.166555556,287.698222222,206.150888889
192.47,255.345888889,141.090222222,213.417222222,236.478,240.461222222,199.790333333,249.475888889,200.628888889,239.203444444,301.257888889,212.368888889
192.85,287.121333333,161.868666667,236.868777778,266.666444445,265.782944444,231.565444445,285.606,234.343333334,286.363666667,358.585888889,244.444666667
193.23,288.611111111,168.333333333,257.222222222,281.666666667,288.194444445,251.944444445,303.611111111,244.722222222,295.0,380.277777778,261.388888889
193.61,356.228888889,221.212111111,317.845222222,361.616111111,363.467944445,335.016888889,369.696888889,313.804666667,374.074222222,473.064,365.319666667
193.99,541.666666667,330.0,448.333333333,563.333333333,568.888888889,493.888888889,556.111111111,493.888888889,547.777777778,709.444444444,590.0
194.37,329.749222222,215.770666667,264.157555556,361.290333333,352.867333333,321.505222222,346.595,302.867666666,339.068222222,439.426333333,401.792333333
194.75,422.727333333,286.363555555,320.202,459.596,449.999944444,410.606111111,442.929333333,388.888888889,441.414111111,563.636333333,532.323222222
195.13,359.111111111,260.0,277.777777778,390.666666667,374.888888889,353.777777778,381.777777778,332.0,386.222222222,459.111111111,481.777777778
195.51,443.333333333,348.888888889,358.888888889,493.333333333,465.0,433.888888889,479.444444444,420.555555555,511.666666667,546.111111111,587.777777778
195.89,525.490444444,452.287555555,456.862666667,611.764555556,571.241944445,541.176444444,626.143555556,527.451,626.797555555,653.594888889,735.294222223
196.27,594.444333334,492.857333333,509.523888889,709.524,665.873111111,652.380888889,708.730111111,601.587333333,692.857222222,706.349222221,864.285666667
196.65,795.959555556,667.676777778,676.767777778,925.252444446,886.868777778,828.282777778,932.323222222,803.030333333,886.868777778,867.676666668,1128.28277778
197.03,736.363777778,634.343444444,657.575555555,840.404111112,850.505166666,729.292888889,877.777888889,747.474888889,824.242666666,785.858666665,1035.35366667
197.40,1861.11111111,1577.77777778,1561.11111111,1991.66666667,1984.72222222,1719.44444444,2213.88888889,1958.33333333,2133.33333334,2011.11111111,2655.55555556
197.78,-6222.22222222,-5255.55555556,-5633.33333333,-6533.33333333,-6772.22222223,-5844.44444444,-8044.44444445,-6977.77777778,-7400.0,-7455.55555555,-9122.22222221
