wavelength,Back_TanInof,Belly_TanInof,Breast_TanInof,Crissum_TanInof,Crown_TanInof,DorTail_TanInof,Patch10_TanInof,Patch11_TanInof,Rump_TanInof,Throat_TanInof,WingTip_TanInof
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-39.5833333333,-35.4166666666,-95.8333333333,-33.786083878,-46.875,-45.8333333333,-20.8333333333,-83.3333333333,-86.4583333333,-77.0833333333,-60.4166666667
179.16,212.5,137.5,207.291666667,159.381808279,131.25,193.75,145.833333334,210.416666667,231.25,187.5,193.75
179.54,-350.0,-350.0,-306.25,-136.737472767,-189.583333333,-283.333333333,-216.666666666,-325.0,-541.666666666,-233.333333333,-208.333333333
179.93,-65.2778333333,-97.22225,-53.4722083335,-12.118751634,-66.6666666668,-67.3610416667,-4.16666666675,-101.38875,-118.055583333,-63.8889583333,-11.111
180.31,-90.6505,-115.0405,-101.219583333,-60.296211329,-62.1951249999,-50.8129166666,-29.878,-137.601416667,-147.561,-92.4799166666,-98.3739999998
180.69,-114.31625,-141.02575,-120.085291666,-91.4774956428,-83.5471666668,-68.8033333334,-50.8546666667,-170.7265,-182.478666667,-120.726333333,-127.136666667
181.07,-355.8825,-423.529333334,-353.18625,-306.973257897,-271.813708333,-254.1665,-218.6275,-493.137166666,-488.725583333,-361.274583334,-369.607916667
181.45,-385.555583333,-498.888833333,-406.666666667,-344.800314815,-320.5555,-261.389,-252.22225,-578.33325,-555.0,-430.000083333,-426.666583333
181.83,-505.555666667,-635.41675,-537.499916667,-481.220388072,-442.708333333,-370.833375,-358.333416667,-754.861166667,-666.666666667,-585.763875,-603.47225
182.21,-1020.83308333,-1290.27775,-1106.94433333,-1032.04887146,-881.944291666,-697.91675,-773.611083333,-1505.55558333,-1325.0,-1189.5835,-1245.83333333
182.59,-1560.41666667,-1989.58333333,-1485.41666667,-1655.91639433,-1251.04166667,-1092.70833333,-1204.16666667,-2218.75,-1902.08333333,-1733.33333333,-1906.25
182.97,-1293.33333333,-1683.33333333,-1187.5,-1467.72875817,-1003.33333333,-956.666666666,-1055.0,-1881.66666667,-1581.66666666,-1390.83333333,-1570.0
183.35,1722.91666667,2258.33333333,1614.58333333,1999.36002179,1411.45833333,1357.29166667,1485.41666666,2487.5,2093.75,1940.625,2085.41666666
183.73,-852.380916666,-1134.52391667,-792.261875,-1065.21558279,-730.952458332,-700.595166668,-759.523833333,-1319.0475,-1059.52383333,-1008.92845833,-1094.0475
184.11,3.87028092977e+15,4.99511464352e+15,3.38516307218e+15,4.82703243818e+15,3.31852600383e+15,2.71879238868e+15,3.53443010529e+15,5.70413305076e+15,4.74455926653e+15,4.40071199384e+15,4.54198257874e+15
184.49,661.111000001,837.962916666,599.537,793.845388072,514.351791666,393.981416667,540.740666667,893.518666666,786.111333333,744.907458333,705.555416666
184.87,894.444416668,1177.77775,877.777624999,1089.02041177,653.472125001,468.055375,712.5,1294.44441667,1097.22225,979.861166666,956.944416666
185.25,-146.014583333,-209.057916667,-125.543541667,-200.137393246,-89.8550000001,-12.4999166666,-79.7102500001,-224.2755,-198.913083333,-158.152166667,-165.942166667
185.63,-97.1265,-138.218333333,-67.385125,-148.862783224,-44.9713749999,2.01129166675,-41.66675,-142.816083333,-133.045916667,-92.09775,-106.034416667
186.01,-20.9184166667,-47.9592499999,-1.44554166666,-60.9289123093,6.63270833333,35.2040833332,13.26525,-56.4625000001,-54.9319166667,-23.2993333333,-22.2790833333
186.39,-13.7255,-35.1306666667,9.64054166665,-50.5484558824,16.5033333333,37.6634583333,21.40525,-49.9999166667,-41.1765,-15.0327916667,-17.3203333333
186.77,6.81816666666,-3.91416666666,14.83575,-18.5143755447,27.4620416666,50.5051666668,32.0706666666,-21.5909166667,-17.5505833333,1.83087500001,0.757499999992
187.15,15.7291666667,7.29166666665,19.53125,-0.412581699353,28.6458333333,51.9791666667,36.4583333333,-7.08333333332,-2.08333333334,5.62500000001,9.79166666667
187.53,19.4064166667,11.0730833334,25.4565,8.39223665577,41.3243333333,61.7579999999,46.5754166667,-0.799083333332,3.53891666668,8.39033333334,16.7808333333
187.91,16.8675,10.2409166667,24.6487083333,17.5858643791,43.1725833333,59.3874166667,46.6866666667,1.20483333335,6.72691666666,14.9597916667,20.5823333334
188.29,13.8889166667,5.75408333333,22.5198333334,16.4553069172,38.0455833333,47.8175833333,44.5435833333,-1.38891666667,6.05158333333,7.04345833333,13.8889166667
188.67,8.9285,7.99316666667,17.7295,13.4346486928,28.2314583333,37.7974583333,33.5033333333,-8.33325000001,3.40133333333,3.10370833333,8.67341666667
189.05,3.74625,6.49850000001,14.3731666667,13.8144741285,22.477125,29.4343333333,26.7583333333,-7.56891666665,4.89291666667,-2.675875,7.87458333333
189.43,8.11008333333,8.55658333334,16.8899583333,18.3257314815,26.0788333333,29.2784583333,27.0088333333,-5.65474999998,9.3005,-1.78570833333,7.9615
189.81,10.5190833333,11.5436666667,20.7650416666,23.0314877451,29.6447916667,33.0259166667,29.5764166667,-0.20508333335,12.9096666667,3.92754166668,9.76766666667
190.19,-2.52099999999,-2.52108333333,10.0839583333,16.3956816449,20.0979583333,25.66525,18.9075,-8.05316666667,4.34166666666,-5.49729166666,-4.55174999998
190.57,-9.36575,-5.30966666667,4.461625,15.0328131808,12.3895,21.75525,15.413,-12.16825,0.368666666675,-8.33333333334,-10.6194166667
190.95,-12.4601666667,-7.30149999999,3.8095,14.6526053922,8.73016666667,18.33325,15.6349166667,-17.3015833333,-2.93666666668,-10.079375,-13.96825
191.33,-6.43933333333,1.59083333332,11.8559583334,17.6616631264,15.947,22.7649166666,22.0454166667,-11.1363333333,1.43933333334,-1.74229166668,-8.2575
191.71,-6.82475000001,1.86783333335,10.0575,10.653208061,10.6679583333,17.0259166667,17.31325,-10.9914166667,2.37074999999,-0.215499999993,-11.4225833333
192.09,-20.1178333333,-7.74408333332,1.30479166665,-2.55022984748,-2.69358333336,5.51354166665,6.734,-30.13475,-10.7744166667,-17.7189583333,-26.8518333333
192.47,-18.0556666667,-0.898583333325,-2.53270833335,-0.647781045767,-2.28754166667,4.12570833333,7.18949999999,-32.3529166667,-11.2745,-17.688,-26.7974166667
192.85,-15.9721666667,3.03824999998,-2.34370833333,-2.138667756,1.25875,3.03837499998,11.28475,-29.8610833333,-7.72558333335,-17.1442083333,-28.47225
193.23,-12.77775,9.81475,4.76841666665,0.189357298475,2.17583333335,6.4815,15.64825,-30.4630833333,-7.49999999999,-15.4167083333,-30.2775833334
193.61,-11.83125,16.5638333333,13.014375,4.3397772331,6.94437499997,11.7797499999,20.782,-29.2180833333,-1.33741666666,-11.2655833333,-22.3250833333
193.99,-15.5251666667,13.0135833333,6.62104166667,0.404160130733,-0.3425,3.48187499992,14.6119166667,-40.98175,-4.22366666665,-18.1507916666,-23.8584166667
194.37,-8.19666666665,23.0874166666,4.16666666668,0.513434095875,1.50291666668,2.2541666666,14.0710833334,-52.32225,-4.09850000001,-18.3059999999,-25.40975
194.75,-1.95466666669,18.3126666667,4.423875,-0.047753267975,7.150125,4.68095833334,10.2879166667,-35.90525,-1.74900000001,-12.6544166667,-14.3003333333
195.13,-6.25000000001,15.5303333333,1.32579166665,-3.8899719499,2.93562500003,-6.62870833335,1.89391666666,-34.659,0.947083333335,-15.0569583333,-11.9316666667
195.51,-8.42383333331,10.5070833334,-5.797125,-7.58536846405,-4.166875,-12.6810416666,-2.71741666667,-38.7681666667,-3.62324999999,-21.0145833333,-14.0398333333
195.89,-8.09741666665,10.0629166667,-6.01416666667,-1.64471786493,-5.89620833335,-9.78775000002,-5.10999999999,-36.94975,-5.97483333332,-21.3835833333,-12.8931666667
196.27,-3.31724999999,12.37875,-7.52425,1.4343540305,-2.75075,-6.79624999999,-7.84799999998,-31.71525,-6.06783333332,-17.3139166667,-11.3268333333
196.65,0.494416666675,13.983,-0.24708333335,3.65570397604,1.024,-1.730125,-5.64983333334,-24.50575,-2.048,-7.66233333333,-4.37858333334
197.03,7.8125,15.4513333333,9.69345833333,10.6013543028,5.324125,5.15045833333,1.21533333334,-13.1943333333,3.993,3.24066666667,5.90249999999
197.40,6.73508333332,11.5866666667,6.90629166668,9.46950027232,6.84924999998,2.19741666668,0.91316666665,-11.1300833333,3.539,4.73741666666,8.96116666668
197.78,0.627916666675,2.96808333332,-1.85516666668,3.0342815904,-0.513625000025,-5.65074999999,-6.44983333333,-19.29225,-5.70775,-2.53995833332,3.13925
198.16,0.107666666682,3.97841666667,-1.93545833334,2.07329112201,-1.82791666667,-7.63433333332,-7.15058333333,-19.6235833333,-7.95700000001,-3.46762500002,0.32266666666
198.54,-6.80291666668,0.850416666675,-4.16670833333,-0.567036492365,-5.18708333332,-10.317375,-12.0748333333,-22.8458333333,-11.2811666667,-8.07820833333,-1.87066666668
198.92,-1.52058333333,10.2189166666,4.98791666667,6.64452750544,0.912374999975,-5.41358333333,-7.11675,-20.1336666667,-6.44775,-3.61929166667,3.95383333332
199.30,2.40608333332,9.44841666665,9.85908333335,9.27808169935,5.252375,0.7335,-5.16433333335,-18.3098333333,-4.98841666666,-3.66795833332,3.932
199.68,5.43758333334,13.6525833333,12.7954166667,15.6461688453,9.01325,3.69395833332,-3.95966666665,-12.7069166667,-0.945666666675,0.620541666668,7.44691666668
200.06,6.57549999999,12.6301666667,12.1093333333,14.4553311547,8.82175000003,-1.334625,-5.59891666665,-16.08075,-1.82283333334,3.28783333332,7.16149999999
200.44,11.33325,19.16675,17.1667916666,18.2445917756,12.999875,2.30545833334,1.11125,-5.72233333333,6.61116666666,10.1387916667,12.9999166667
