wavelength,Back_TanJohf,Belly_TanJohf,Breast_TanJohf,Crissum_TanJohf,Crown_TanJohf,DorTail_TanJohf,Patch10_TanJohf,Patch11_TanJohf,Patch12_TanJohf,Rump_TanJohf,Throat_TanJohf,WingTip_TanJohf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,147.222166667,125.0,112.5,170.833333333,152.77775,218.576328125,180.5555,184.722166667,218.055583333,169.444583333,229.166583334,194.444583333
179.16,78.3333333333,42.2222222222,56.6666666666,1.74997794034e-11,-73.3333333334,-9.375,-43.3333333333,-4.99999999998,51.6666666667,63.3333333333,-24.1666666667,103.333333333
179.54,-11.4583333333,-39.5833333333,9.375,-27.0833333333,-45.8333333333,-83.7239583334,-54.1666666667,-70.8333333335,2.08333333332,-4.16666666665,-30.7291666667,2.08333333325
179.93,591.666666667,-150.0,125.0,483.333333334,575.000000001,912.499999999,808.333333334,833.333333334,608.333333333,541.666666666,720.833333333,541.666666667
180.31,-6.08983333335,-7.47872222223,-46.1537500001,-128.52575,-137.820416667,-208.493651042,-163.782166667,-162.49975,-88.7820833336,-96.7948333334,-196.794958333,-83.0129166667
180.69,-23.8096666667,-5.95244444447,-62.7976666666,-139.583416667,-150.595166667,-216.387635417,-183.630916667,-170.535833333,-100.000166667,-108.03575,-218.601083334,-81.2499166666
181.07,27.2916666667,40.2777777778,-11.875,-56.25,-67.5,-105.442708334,-88.125,-77.0833333332,-19.1666666667,-32.5,-109.583333333,-0.208333333425
181.45,-7.09875000002,54.3211666668,-49.3827499999,-105.246916667,-110.802416667,-178.742197917,-158.024916667,-151.234666667,-59.8763333334,-74.0741666667,-192.129541667,-45.0617499999
181.83,15.27775,75.4633333334,-11.3426666667,-55.324,-53.70375,-96.8460833333,-95.3702499998,-79.8611666667,-28.47225,-35.8796666667,-113.541625,-3.47233333332
182.21,35.4935833333,62.7570555554,8.64191666657,-19.9075833333,-12.3456666667,-41.7244479166,-42.4383333334,-27.3146666667,0.462916666675,-10.1851666667,-50.6944166667,18.0558333333
182.59,14.9570833333,53.7037777779,-15.59825,-60.2562500001,-47.22225,-89.3695781249,-87.1794166667,-66.4530833333,-31.4103333333,-45.9403333333,-104.80775,-12.8204166667
182.97,15.196,47.1676666667,-3.10458333333,-37.0916666667,-26.3071666667,-63.8173854167,-65.196,-40.8496666667,-11.9280833333,-27.6145,-72.4672916668,-9.64058333336
183.35,28.1418333334,52.3682222222,10.2459166667,-16.3934166667,-2.86883333335,-33.6406302083,-44.9453333333,-14.3441666667,-0.1365,-3.552,-39.4807916666,6.28391666668
183.73,43.9613333333,64.4121666667,31.7631666667,0.72458333335,13.4056666666,-11.60171875,-25.9663333333,2.8985,11.59425,5.07249999998,-17.572625,18.7196666667
184.11,51.4651666667,66.7278888888,44.9634166667,16.0255833333,28.8461666667,13.530171875,-1.00733333333,21.0621666667,28.0218333333,16.0255833333,5.723375,29.304
184.49,39.2858333333,59.1836111112,37.5850833333,10.2040833334,22.4489166667,15.0617135417,-7.05783333333,17.2618333333,21.7688333333,11.7348333333,-3.06129166665,24.40475
184.87,39.2720833333,54.406,37.83525,6.22608333335,19.6359166667,10.3687708333,-10.4405833333,15.1341666667,16.0920833333,4.21449999999,-6.70508333332,15.1340833333
185.25,29.8958333333,48.263888889,34.5833333333,-0.9375,10.9375,2.81901041667,-20.2083333333,5.20833333334,3.64583333332,-3.95833333333,-16.1979166667,-0.625
185.63,34.70675,39.8046666667,36.7215833333,3.38825,14.2856666667,6.79936979166,-8.51658333336,10.5311666667,8.33333333333,-2.93050000002,-10.8057916667,3.66308333335
186.01,24.87175,31.1968333333,24.8718333333,-18.0768333334,-4.10258333336,-11.8269322917,-33.8461666666,-12.30775,-15.8973333333,-34.48725,-48.2692499999,-25.8975833333
186.39,14.0070833333,26.0046111111,11.52475,-44.8580833333,-24.4680833334,-28.911703125,-58.8651666667,-33.5105,-39.1843333333,-50.532,-95.3016249999,-52.3049166667
186.77,26.8939166667,27.6096111111,23.4848333333,-15.404,-3.40916666668,-1.46786458332,-20.83325,-4.41916666667,-8.45958333332,-16.41425,-45.5177916667,-21.5909166667
187.15,12.755,11.9046666667,2.55100000001,-45.74825,-22.1088333332,-18.4205364583,-44.3877499999,-26.0204166667,-37.0749166667,-42.3470833333,-77.3809583333,-39.7959166666
187.53,-26.5151666667,-23.5691111111,-27.0201666666,-105.05025,-75.5052500001,-72.3169166667,-96.4646666666,-69.1919166666,-95.2020000001,-108.585916667,-161.237291667,-96.4646666668
187.91,-36.4941666667,-54.7891666667,-62.0689999999,-130.459666667,-91.6664999999,-80.10059375,-112.069,-83.3334166666,-115.804583333,-132.183833333,-188.362083333,-118.678416667
188.29,-101.851833333,-125.000111111,-168.055583333,-248.611166667,-167.129666667,-152.343744792,-236.111083333,-181.481416667,-220.3705,-247.222166667,-342.129541667,-227.77775
188.67,-450.0,-936.111111112,-1083.33333333,-1708.33333333,-1108.33333333,-1026.04166666,-1716.66666667,-1300.0,-1725.0,-1908.33333333,-2672.91666667,-1787.5
189.05,52.0,9.55555555553,1.0,-64.3333333333,-0.33333333325,13.6458333334,-59.3333333333,-33.9999999999,-44.3333333334,-61.0000000001,-137.333333333,-60.0000000001
189.43,67.3911666666,-5.55555666673e-05,-14.855,-79.7100833332,-3.98541666668,19.9275625001,-79.3477499999,-36.2318333334,-43.1159999998,-87.3189166666,-144.565291667,-55.4345833332
189.81,111.111166667,-9.259388889,-77.7779166666,-188.194333333,-24.3056666667,24.783,-171.527833333,-68.0555833331,-118.055583333,-186.8055,-298.611041667,-127.77775
190.19,139.102666667,6.4102222221,-46.1536666667,-168.589916667,-16.6666666666,47.956734375,-125.641083333,-19.8717499999,-49.3590833335,-132.05125,-248.397416666,-120.51275
190.57,356.249999999,-77.7777777777,-81.2499999999,-570.833333332,-102.083333332,101.953125,-452.083333334,-141.666666667,-191.666666667,-622.916666667,-742.708333332,-468.749999999
190.95,-0.793666666593,74.8677222222,61.9047499999,199.99975,86.5079999998,46.5525677085,152.77775,92.8569999999,103.1745,188.095166667,199.404791667,144.047666667
191.33,-20.8334166667,36.3246666667,10.8975833334,137.500083333,54.8076666666,12.6202708333,93.5896666668,50.3205833333,60.57675,141.346,138.942333333,104.166583333
191.71,-12.619,21.9047777778,25.0000833333,94.0476666667,42.6189999999,2.72327083324,66.1904166667,31.4285,37.3808333333,98.8095833332,92.0239166666,69.2858333333
192.09,18.1818333333,32.4494444444,29.9243333333,77.0833333334,45.6438333334,8.73580208333,54.92425,33.1440833333,42.0455,86.7424166667,73.768875,64.0150833335
192.47,28.7179166666,43.5041666667,27.0510833333,69.23075,50.2563333333,19.655546875,45.641,32.1795,39.2306666667,64.7436666667,57.7562500001,56.2820833333
