wavelength,Back_TanJohm,Belly_TanJohm,Breast_TanJohm,Crissum_TanJohm,Crown_TanJohm,DorTail_TanJohm,Patch10_TanJohm,Patch11_TanJohm,Patch12_TanJohm,Rump_TanJohm,Throat_TanJohm,WingTip_TanJohm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,153.703666667,199.999888889,112.962888889,146.296222222,180.0,96.2962222222,175.925888889,98.148111111,211.111111111,133.333333333,181.481555555,185.185222222
179.16,17.7777777778,-80.0,75.5555555555,-40.0000000001,-25.7777777778,93.3333333334,46.6666666666,59.9999999999,77.7777777779,13.3333333331,-33.3333333333,-55.5555555553
179.54,-33.3333333333,-83.3333333333,-45.8333333334,-19.4444444444,-25.8333333333,23.6111111111,-4.16666666667,2.7777777778,-20.8333333333,-5.55555555557,-4.16666666667,-36.1111111112
179.93,566.666666667,988.88888889,244.444444444,577.777777778,782.222222221,-166.666666667,500.0,11.111111111,522.222222221,255.555555556,633.333333332,444.444444444
180.31,-55.9831111111,-205.983,-9.8288888889,-66.2393333332,-139.230844444,-5.55544444443,-76.0684444445,-1.70933333343,-117.094,-48.7179999999,-99.5726666667,-151.282222222
180.69,-67.4604444443,-209.523666666,-15.0793333333,-72.6190000001,-145.000111111,-11.1111111111,-94.0475555556,-14.285777778,-116.269666667,-61.5078888889,-104.365111111,-158.730111111
181.07,-10.5555555556,-105.833333333,31.3888888889,0.833333333333,-59.388888889,31.9444444445,-19.4444444445,19.1666666667,-35.0,-11.1111111111,-30.0,-70.8333333333
181.45,-42.3867777777,-169.135666667,13.5801111111,-8.6421111111,-109.0534,14.8147777779,-56.790111111,-11.111111111,-86.8312222223,-51.851888889,-52.2634444443,-133.744666667
181.83,-5.24677777779,-95.3705555557,41.9752222222,20.679,-58.0863555556,42.2838888888,-22.8395555556,18.8272222222,-40.432111111,-22.5308888889,-18.2097777778,-80.8643333333
182.21,16.6665555555,-39.7117777777,43.6213333333,36.0081111111,-9.62962222223,34.7737777778,5.34977777777,24.4855555555,-13.9917777779,-0.617444444433,9.46522222222,-43.209888889
182.59,-14.8146666667,-73.2195555557,19.658,9.68655555557,-48.0342,18.8032222222,-30.1994444444,-0.284888888867,-41.5954444444,-40.4558888889,-3.13399999999,-85.7549999997
182.97,-3.486,-44.6624444444,19.8256666667,7.18966666667,-23.9214666667,18.7363333333,-24.8365555556,1.96077777777,-26.3617777777,-26.7974444444,5.22888888889,-54.0305555557
183.35,6.9216666667,-12.9326666666,32.2404444445,16.0292222222,2.98715555557,29.8724444444,-9.83622222223,23.8614444445,-0.910888889,-5.28222222221,20.5828888889,-36.0654444443
