wavelength,Back_TanMexf,Belly_TanMexf,Breast_TanMexf,Crissum_TanMexf,Crown_TanMexf,DorTail_TanMexf,Patch10_TanMexf,Patch11_TanMexf,Rump_TanMexf,Throat_TanMexf,WingTip_TanMexf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-40.5555999999,6.11106666665,-15.5556,-16.6667333333,-25.5554666667,-22.7777333333,-13.8888666667,-43.3332666667,-22.2222,-27.7777333333,-38.3334
179.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.54,486.666666667,423.333333333,416.666666667,580.0,650.0,416.666666667,396.666666667,530.0,433.333333333,420.0,700.000000001
179.93,118.666666667,92.0000000001,120.0,118.666666667,141.333333333,98.6666666666,122.666666667,132.0,100.0,160.0,129.333333333
180.31,150.107466667,114.623666667,131.182733333,150.967866667,165.591466667,141.935466667,123.440933333,184.9462,149.892466667,146.236466667,183.010733333
180.69,155.833333333,122.5,127.083333333,148.125,163.333333333,145.833333333,132.291666667,189.791666666,152.708333333,153.125,183.125
181.07,97.2788000001,91.1564666667,86.8027333333,102.177066667,104.626,93.1972666666,86.8026,123.537466667,99.9999333335,102.449,114.557733333
181.45,102.9456,102.7906,97.0542666667,110.542733333,106.9768,99.9999999999,99.6900000001,134.7286,110.232533333,113.643266667,119.844866667
181.83,95.4956000001,105.045,89.3693333333,99.4594,90.6305333333,94.2341333334,92.9730000001,135.495533333,105.5856,113.873933333,104.324266667
182.21,116.266666667,141.066666667,116.0,122.666666667,109.333333333,122.666666667,104.266666667,185.333333333,126.133333333,146.933333333,129.6
182.59,206.666666667,240.0,195.833333333,207.5,184.166666667,207.5,171.666666667,308.75,202.083333333,255.833333333,204.166666667
182.97,291.1112,379.2592,286.666533333,297.778,267.407333333,299.2592,226.666666667,494.074,277.037,405.1854,265.926066667
183.35,541.666666666,675.000000001,506.666666667,516.666666667,445.0,501.666666667,238.333333334,915.0,426.666666666,716.666666666,378.333333333
183.73,412.380933334,469.523666667,387.619133333,415.238066667,355.238133333,367.619,193.333266667,614.285733333,335.238000001,536.190399999,286.666733333
184.11,1900.0,2700.0,1973.33333333,2613.33333333,1986.66666667,2006.66666667,880.000000002,3586.66666667,1853.33333333,3433.33333333,1513.33333333
184.49,449.333333333,758.666666667,608.000000001,658.666666666,533.333333333,553.333333334,325.333333333,885.333333333,517.333333333,878.666666668,401.333333333
184.87,513.333200001,1117.77773333,937.777800001,942.222266667,779.999866666,833.333199999,299.999933334,1404.44446667,695.555666667,1213.33333333,466.6666
185.25,477.7778,1148.889,1039.99986667,908.888866667,820.000066668,897.777800001,284.444533333,1486.66673333,753.3334,1202.22226667,428.888933332
185.63,155.000133333,330.000066667,281.111133333,266.111133333,239.999866667,256.666733333,91.1110000001,424.999933333,223.3334,329.999866667,145.000066667
186.01,120.0,214.0352,195.438733333,183.5088,159.649133333,178.596533333,78.9474,293.333466667,163.859533333,217.5438,114.385866667
186.39,87.5861333333,136.5516,119.540133333,126.896533333,109.425266667,125.287333333,59.7700666666,200.919466667,126.6666,143.218533333,85.0573333333
186.77,87.4510000001,118.8236,118.235333333,120.980466667,112.745133333,126.666666667,71.3725333333,189.607866667,126.0784,125.294266667,86.2744666666
187.15,107.096733333,146.021533333,142.3656,148.817266667,145.806533333,160.860133333,95.0536666667,221.505533333,147.526933333,148.817133333,101.935466667
187.53,91.5556,143.7778,134.444533333,139.555533333,139.111066667,158.0,97.3332666667,235.333266667,141.111,151.111133333,96.4444
187.91,81.2821333333,156.1538,126.4102,140.7692,146.1538,168.205066667,103.3334,267.948666667,134.6154,151.794866667,102.564133333
188.29,131.4286,256.190466667,213.809533333,240.476133334,253.809533333,302.381000001,171.904666667,499.999999999,215.2382,251.4286,167.619066667
188.67,223.333333333,304.761999999,259.047733333,288.094999999,311.428533333,363.809666666,221.904866666,573.333333333,265.714266667,313.333266667,237.619
189.05,322.777733334,382.777599999,321.666733333,377.2222,394.444333334,458.333333334,276.111133333,687.222133333,339.999933333,392.222200001,321.666600001
189.43,351.111200001,379.444466666,292.2222,370.0,400.5556,467.222266667,288.333400001,682.222266666,311.111066667,381.6668,372.222333333
189.81,1175.55553333,1200.0,786.666666665,1093.33346667,1346.6666,1604.4444,797.777866667,2386.66673333,864.444400001,1166.6666,1271.11113333
190.19,334.545466667,364.848466667,249.697133333,317.575733333,413.333266666,479.394066666,247.272733333,662.424333334,238.787933333,360.6062,381.8182
190.57,286.666666666,345.333200001,251.999933334,277.777733333,371.111066667,421.333333334,241.777799999,544.0,224.444533333,317.333266666,329.333199999
190.95,335.714333334,442.380933334,302.857199999,324.761933334,430.000066667,469.999933334,284.285666667,624.761933333,287.142999999,380.476133333,386.666666666
191.33,267.575599999,330.302999999,233.333266666,248.484933333,306.6668,338.484866666,230.909066667,445.7576,235.4546,277.878933333,294.2424
191.71,274.321,314.320933333,244.444466667,236.543333333,305.679,326.4196,236.296333333,399.259333333,239.0124,266.172733333,294.321066667
192.09,222.592533333,256.2962,215.370333333,187.222266667,245.1852,263.703733333,205.740866667,307.963066667,205.5556,220.0,241.666733333
192.47,192.907666667,225.815466667,186.808533334,158.2978,212.907733333,224.397266667,182.5532,256.595733333,175.602933333,191.773133333,207.0922
192.85,206.515266667,248.485066667,206.818066667,180.909,234.6968,250.909066667,208.0304,284.091066667,193.7878,212.727266667,221.515133333
193.23,208.888933333,247.500133333,212.6388,183.194533333,236.527866667,249.0276,214.722333333,280.416666667,196.8056,215.694466667,220.972333333
193.61,271.228133333,311.052666667,277.543866667,231.9298,303.157933333,321.929866667,279.824533333,348.772,247.894666667,276.666666667,267.719266667
193.99,282.438933333,312.845466667,295.7724,242.926866667,309.756066667,329.268333333,301.7886,358.536533333,259.187,283.252133333,273.008066667
194.37,693.777799999,747.999933333,711.111133333,580.444533333,764.444466666,834.222333332,734.6666,897.333266665,629.3334,663.555466666,643.555533333
194.75,5120.0,5336.66666667,5186.66666666,4210.0,5440.00000001,5956.66666667,5419.99999999,6463.33333333,4443.33333333,4689.99999999,4473.33333334
195.13,-2533.33333333,-2616.66666667,-2601.66666667,-2100.0,-2681.66666667,-3035.0,-2768.33333333,-3218.33333333,-2146.66666667,-2328.33333334,-2253.33333333
195.51,-871.515199999,-886.060599999,-921.8182,-701.212200001,-939.393933333,-1029.09086667,-938.787866667,-1113.9394,-695.757533334,-792.727333333,-757.575800001
195.89,-665.416666667,-665.000000001,-668.333333334,-531.25,-692.083333333,-746.666666666,-700.833333334,-805.000000001,-538.749999999,-580.000000001,-572.083333334
196.27,-170.314466667,-159.496866667,-161.760933333,-124.1508,-175.471666667,-194.968466667,-166.0378,-206.415,-122.8932,-131.195066667,-133.584733333
196.65,-132.473133333,-119.569933333,-126.021466667,-90.2151999999,-133.871066667,-147.2042,-126.774333333,-164.838733333,-98.2794666667,-94.7313333335,-101.075266667
197.03,-98.2456666666,-83.3332666667,-88.7718,-56.1402666667,-96.7543333333,-104.473666667,-89.6490666666,-119.912266667,-66.8421333333,-59.8246000001,-74.386
197.40,-63.7452666667,-51.6854,-60.8238,-32.7341333334,-64.3446000001,-66.2921333333,-62.8464666667,-86.2172666667,-41.4232000001,-35.4306666666,-48.0898666666
197.78,-63.4432,-56.1172,-58.5349333334,-33.9926,-64.9817333333,-66.0073333333,-63.5898666666,-88.4981333333,-46.5933999999,-37.6557333333,-51.6482000001
198.16,-41.4954000001,-39.0654666667,-40.1869333333,-19.6260666667,-44.9844,-41.3083333333,-42.0560666666,-61.8069333333,-29.0966,-22.6791333334,-33.5201333333
198.54,-58.1698666667,-59.2157333333,-59.4118000001,-34.379,-61.3072,-54.5098666667,-59.4118666667,-78.0392,-43.1372,-42.3528666666,-47.1894666666
198.92,-59.142,-58.2178666667,-57.9537333333,-33.7294,-61.1881333334,-53.2672,-60.7921999999,-76.8978,-41.1221333334,-42.7063333334,-48.3828000001
