wavelength,Back_TanMexm,Belly_TanMexm,Breast_TanMexm,Crissum_TanMexm,Crown_TanMexm,DorTail_TanMexm,Patch10_TanMexm,Patch11_TanMexm,Rump_TanMexm,Throat_TanMexm,WingTip_TanMexm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,41.5277333333,38.0554666667,26.1110666667,40.7822210526,50.1388,20.2776666667,43.6110666667,36.25,54.5833333333,46.8054666667,-5.00000000001
179.16,5.71426666666,2.38093333334,2.381,2.56611111112,3.33333333334,-1.4285,-1.90473333333,2.85713333334,17.6190666667,1.9048,9.99993333334
179.54,97.0000000001,118.333333333,83.3333333334,130.898635478,70.3333333334,83.6666666668,25.0,93.3333333331,92.6666666667,31.6666666667,371.0
179.93,15.4871333333,1.79486666666,-4.3077333334,-6.4774534113,7.58973333326,13.2307,-39.3846000001,-22.8718,-17.6410666667,-44.3076666666,78.8718
180.31,-43.1744000001,-50.7262333333,-19.7535999999,-72.6284709551,-50.9691999999,-13.9409333334,-114.2294,-64.0550000001,-57.2852666667,-88.7628666667,106.691733333
180.69,-50.6534666667,-52.7331,-22.9196666667,-86.1346631579,-67.0144,-32.6363333332,-128.700533333,-75.003,-67.6213333335,-103.178933333,105.773333333
181.07,-29.7055999999,-27.7878666667,-5.546,-52.0090539962,-35.9640666667,-17.7717666667,-79.0642666667,-46.5826,-36.7087333334,-65.006,70.8219999999
181.45,-40.6036666667,-30.0863000001,-12.0476666668,-63.2438736841,-40.9606000001,-20.9395666668,-91.9101333335,-61.8618000001,-45.3154666668,-77.2056,72.9465333335
181.83,-65.5950666667,-54.9533666667,-31.959,-92.0485011696,-61.1912,-41.6965000001,-123.492,-85.332,-67.2230666667,-104.062866667,70.1204
182.21,-121.880733333,-95.1507999999,-73.7684,-155.589905848,-122.273666667,-74.5052000001,-199.1298,-145.487733333,-118.175466667,-169.0246,91.8035333333
182.59,-189.404066667,-148.765666667,-131.783133333,-220.602415595,-193.947133333,-118.091333333,-314.045666667,-224.381733333,-187.580666667,-247.4462,137.1416
182.97,-406.743333334,-326.4368,-294.227266666,-446.610920467,-413.563199999,-299.386933333,-634.942600001,-468.710066667,-393.128933333,-507.509599999,188.888933334
183.35,-1071.66666667,-873.4884,-860.193800001,-1141.13240994,-1123.91473333,-852.054233333,-1512.40306667,-1187.24806667,-1040.31013333,-1300.69773333,234.031000001
183.73,-530.476266666,-466.536766666,-400.692533333,-564.234061209,-557.575733333,-402.857099999,-738.181866665,-539.7402,-514.458933334,-662.164600001,197.835466667
184.11,-4208.26086667,-3876.6666,-3442.60873334,-4016.51834757,-4476.52173333,-3321.3044,-5587.82613334,-4131.01453334,-4247.82606667,-4990.00006667,800.144866667
184.49,-649.818199999,-570.666666667,-502.0,-586.310521638,-675.030333333,-507.666666668,-915.999933334,-630.666666667,-667.818200001,-830.424266667,381.939400001
184.87,-1180.22213333,-1091.55563333,-947.333466667,-1031.55931969,-1096.0,-768.000066668,-1521.3334,-1099.99993333,-1246.44453333,-1466.0,542.2222
