wavelength,Back_TanNivf,Belly_TanNivf,Breast_TanNivf,Crissum_TanNivf,Crown_TanNivf,DorTail_TanNivf,Patch10_TanNivf,Patch11_TanNivf,Patch12_TanNivf,Rump_TanNivf,Throat_TanNivf,WingTip_TanNivf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,70.9877222222,86.4197777777,86.4196666667,112.345555556,135.802555556,56.7903333333,25.926,72.8393333333,87.6542222221,75.3087777778,70.3704444446,69.1358888888
179.16,-716.666666667,-594.444444444,-766.666666667,-566.666666667,-1355.55555556,-455.555555555,-244.444444444,-622.222222222,-644.444444444,-733.333333334,-644.444444446,-600.0
179.54,40.7407777778,54.6297777778,25.9258888889,-14.8148888889,127.777777778,1.8518888889,-11.111,27.7776666667,50.0,103.703666667,62.9627777778,70.3704444443
179.93,294.444444444,300.0,400.0,172.222222222,566.666666667,216.666666667,272.222222222,294.444444444,355.555555556,383.333333333,322.222222222,477.777777778
180.31,311.111333333,383.333388889,363.888777778,347.222111111,699.074,199.074,176.851888889,395.370444445,394.444666667,373.148222222,401.851888889,387.962777778
180.69,206.597222222,281.597222222,260.416666666,213.888888889,520.833333333,130.555555556,124.305555556,277.777777778,271.527777778,272.916666667,292.361111111,304.166666667
181.07,1286.11111111,2030.55555556,1761.11111111,1183.33333333,3733.33333333,627.777777777,883.333333333,1950.0,1805.55555556,1988.88888889,2172.22222222,2372.22222222
181.45,293.518611111,615.740777778,462.963,305.555444444,1016.66666667,92.5927777778,255.555777778,650.000111111,537.037111112,587.03711111,624.074222222,783.333444444
181.83,-141.666666667,-665.277777778,-458.333333333,-152.777777778,-1175.0,172.222222222,-152.777777779,-736.111111111,-555.555555555,-511.111111112,-619.444444445,-916.666666668
182.21,9.2592777779,-345.370222222,-207.407444445,5.55555555533,-635.185,175.926,-14.814888889,-366.666888889,-266.666444444,-235.185222222,-316.666666667,-559.25911111
182.59,916.666666667,-1338.88888889,-188.888888888,1266.66666667,-2588.88888889,1911.11111111,933.333333333,-1322.22222222,-722.222222223,-700.000000001,-1055.55555556,-2777.77777778
182.97,-503.70361111,225.925944444,-192.592555555,-959.259333335,537.037222222,-922.222333332,-596.296333334,100.0,-51.8517777777,14.81477778,-29.6295555557,737.037111113
183.35,2472.22222222,461.111111112,1433.33333333,4455.55555555,-422.222222222,3611.11111111,2666.66666667,299.999999999,1100.0,544.444444447,1300.0,-1055.55555555
183.73,-848.148166666,-107.407222222,-529.629777778,-1562.96288889,77.7777777779,-1314.81477778,-840.740555555,-77.7777777778,-507.407444445,-240.740777778,-374.074111111,433.333333337
184.11,-135.947777778,8.16994444447,-78.4312222222,-280.392,-6.5360000001,-239.215666667,-140.522777778,-20.2614444445,-79.7386666668,-43.790888889,-43.1372222221,119.607888889
184.49,-107.4785,-18.3761111111,-72.6494444445,-205.983,-34.188,-176.495777778,-99.5726666667,-28.205111111,-60.2563333333,-43.5897777778,-47.8631111112,63.248
184.87,-109.953666667,-19.2128888889,-87.037,-224.074,-50.926,-194.907333333,-111.574111111,-39.351888889,-48.1481111111,-56.9445555557,-49.5368888888,59.7223333333
185.25,-63.0115555556,-14.766,-45.3215555555,-141.227888889,-40.6431111111,-116.958888889,-62.8653333333,-20.1754444443,-28.0702222221,-28.0701111111,-27.193,40.3510000001
185.63,-49.4151111112,-6.43283333333,-40.3508888889,-134.210666667,-29.5321111111,-100.584777778,-48.2455555557,-24.5613333332,-24.8537777777,-20.4678888889,-14.9122222222,37.1345555555
186.01,-25.731,15.6432777778,-31.8715555555,-107.894777778,-24.2691111111,-81.2864444444,-29.5322222223,-6.14044444433,-10.234,4.67822222223,6.14022222223,49.7076666667
186.39,-90.2776666667,-18.5187777778,-116.203777778,-215.277777778,-97.2222222222,-194.907444444,-86.1112222222,-49.074111111,-63.4259999999,-35.1853333332,-31.0186666667,9.25933333333
186.77,-447.222333333,-188.889,-581.481333334,-950.000000001,-511.111111111,-892.592555554,-355.555555555,-209.259333333,-318.518777778,-214.814888889,-187.037111111,-40.7406666667
187.15,361.805555556,199.305555556,501.388888889,679.166666667,434.722222222,679.166666667,283.333333333,170.833333333,255.555555556,179.166666666,165.277777778,72.2222222223
187.53,438.888888889,134.722222222,855.555555557,1113.88888889,763.888888889,1138.88888889,302.777777777,236.111111112,313.888888889,136.111111111,100.0,-8.33333333333
187.91,1188.88888889,-561.11111111,2677.77777778,3922.22222222,2888.88888889,3566.66666666,477.777777778,833.333333333,588.888888889,-700.0,-133.333333334,-633.333333334
