wavelength,Back_TanNivm,Belly_TanNivm,Breast_TanNivm,Crissum_TanNivm,Crown_TanNivm,DorTail_TanNivm,Patch10_TanNivm,Patch11_TanNivm,Patch12_TanNivm,Rump_TanNivm,Throat_TanNivm,WingTip_TanNivm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,94.0741333334,88.1480666666,82.9629333333,95.5556666666,80.0000000001,60.8112603174,106.666733333,89.6296666667,60.7406,91.1112,77.7778000001,104.148106667
179.16,-680.0,-746.666666665,-533.333333333,-886.666666667,-620.0,-566.349206349,-773.333333333,-780.000000001,-446.666666667,-826.666666667,-760.000000001,-1103.16666667
179.54,84.4445333333,61.1111333333,54.4444666667,124.4444,34.4444666666,55.1322698413,88.8888000001,41.111,25.5556,86.6665999999,66.6666000001,99.2500999999
179.93,450.0,460.0,376.666666667,493.333333333,393.333333333,293.968253968,433.333333333,260.0,286.666666667,433.333333333,420.0,403.75
180.31,478.888866667,469.4444,408.888933333,569.999933334,398.333266667,381.005409524,563.3334,442.777866667,297.222266667,445.000066667,400.0,459.111146667
180.69,353.75,336.666666667,299.166666666,410.416666667,288.333333333,271.408730159,410.0,311.25,216.666666667,321.25,282.083333334,330.239583334
181.07,2433.33333333,2480.0,2130.0,2930.0,2156.66666667,1998.41269841,2913.33333333,2250.0,1546.66666667,2190.0,1893.33333333,2351.66666667
181.45,753.333266667,770.000066667,672.222333333,851.111066665,647.7778,651.587342857,849.999933334,665.555533333,443.333133333,629.999933332,512.222199999,625.916581667
181.83,-846.666666667,-928.333333334,-751.666666667,-903.333333335,-710.000000001,-782.857142859,-943.333333334,-745.000000001,-318.333333334,-596.666666667,-465.0,-632.541666667
182.21,-532.2222,-512.222333333,-447.777866667,-507.7778,-346.666666667,-470.952292063,-540.0002,-474.444466667,-164.444466667,-329.999933333,-194.444466667,-347.19436
182.59,-2186.66666666,-2020.0,-1966.66666667,-2180.0,-1180.0,-2111.42857143,-2513.33333333,-2333.33333333,193.333333333,-1226.66666667,-479.999999999,-1378.0
182.97,377.7778,313.333266667,433.3334,344.444466667,77.7778000002,351.534479365,528.888866667,513.333266667,-419.999933335,11.1111333347,-142.222266667,283.666601667
183.35,-153.333333334,233.333333335,-166.666666666,-93.333333334,813.333333333,34.920634922,-800.000000001,-519.999999998,2266.66666667,1153.33333333,1453.33333333,-27.1666666654
183.73,-35.5554666666,-324.4444,26.6666666668,106.666800001,-279.999999999,-111.428628571,131.111266668,71.1111999986,-742.222133332,-386.666733333,-475.555399999,4.1667033334
184.11,8.62746666669,-49.4118666668,3.92153333319,36.4705333334,-48.2352666666,-20.1867206349,28.6275333333,13.3332666666,-122.745066667,-49.0196000001,-67.4508666666,18.0881600001
184.49,-2.8204666666,-49.7435333332,-19.4872666667,9.7437333334,-55.1282666666,-32.6008063492,1.02566666667,-13.5897333335,-92.3076666665,-44.3590666667,-63.3333333334,-4.26918833334
184.87,-4.7221333334,-38.3331999999,-23.0554,14.7222666668,-70.2777333333,-32.6190857143,13.8889333333,-5.83333333354,-96.3888666668,-45.0000666667,-66.9444,-1.54167000014
185.25,6.1404,-18.7718666667,-18.4210666667,17.3682,-51.5790000001,-14.945615873,15.9648,0.87733333328,-56.3158666666,-22.1052666667,-33.3334666667,0.60969833334
185.63,13.158,-20.3508666667,-15.0877333333,32.4559999999,-54.7368666667,-10.6182063492,29.6489333333,11.579,-47.7192666666,-20.0000000001,-22.8070666666,6.27186166668
