wavelength,Back_TanPalf,Belly_TanPalf,Breast_TanPalf,Crissum_TanPalf,Crown_TanPalf,DorTail_TanPalf,Patch10_TanPalf,Patch11_TanPalf,Patch12_TanPalf,Rump_TanPalf,Throat_TanPalf,WingTip_TanPalf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-172.222222222,-312.345679012,-338.888888889,-11.111111111,-144.444444445,-211.111111111,-83.3333333333,-144.444444445,-255.555555556,-261.111111111,-161.111111111,-111.111111111
179.16,-151.851777778,-47.3250679012,-181.481444444,66.6666666666,-125.926,-74.0741111111,-70.3703333333,11.111111111,-168.518611111,-22.2221111111,-85.1852222221,-140.740777778
179.54,-12.6984444445,-2.64550000013,-39.6825555555,-26.9841111111,-55.5555555554,-7.93655555556,7.93666666664,-20.6347777778,-30.9524444444,23.8095555556,25.3967777778,-20.6347777778
179.93,11.1112222222,21.1826481482,12.2806666667,31.5788888889,23.9765555556,32.7484444445,31.5788888889,19.2983333333,11.9883333333,26.9005555555,31.5788888889,7.01744444447
180.31,-14.337,-5.1507654321,-24.4922222222,29.3905555555,-3.94266666667,10.2747777778,12.5447777778,20.6688888889,-10.5735555555,12.3058888889,14.8146666667,-10.2747777778
180.69,-8.22666666667,-2.2436234568,-19.124,33.6538888889,0.320444444443,11.9658888889,17.6282222222,22.1154444445,-4.91438888887,13.8888888889,17.9486666667,-6.94444444443
181.07,-7.86622222223,0.928574074067,-14.8476666667,31.3666666667,0.786666666667,11.4061111111,14.356,23.1071111111,-5.50633333333,13.0776666667,18.2891111111,-7.66966666668
181.45,2.57044444443,6.78112962963,-3.81411111112,35.4893333334,8.37477777777,17.3298888889,20.3152222222,24.2122222222,3.85583333334,18.8226666667,24.6268888889,4.5603333333
181.83,3.7581111111,6.61761111111,-4.00322222223,38.5623333333,8.33333333333,18.9543333333,18.9541111111,25.8986666667,4.69766666667,17.9737777778,24.428,6.37244444447
182.21,7.56855555557,9.89898148148,-0.161,40.4993333333,10.789,22.3833333333,20.2897777778,29.2271111111,10.1045555556,20.773,28.9047777778,11.3526666667
182.59,8.90533333333,13.8072283951,0.572111111113,40.6862222222,13.6437777778,21.5686666667,21.8953333333,33.4151111111,14.2973888889,25.9805555556,32.435,15.8497777778
182.97,12.0372222222,13.1328209877,-1.389,44.2592222222,16.389,19.7223333333,18.7963333333,34.4443333333,14.8147777778,28.2407777778,32.5,18.5185555556
183.35,17.4103333333,15.1015493827,2.44944444445,42.1697777778,19.8602222222,21.7846666667,20.2974444445,34.3832222222,14.7857777778,31.146,34.6455555556,21.2597777778
183.73,20.3202222222,16.5942654321,-0.400444444443,42.943,21.5214444445,24.2242222222,16.5165555556,30.6305555556,13.2132222222,34.6345555555,36.8366666667,17.9177777778
184.11,18.5186666667,11.3167839506,-5.6528888889,39.8635555556,13.3526666667,23.0018888889,11.8908888889,25.7308888889,8.38205555555,33.1383333333,32.4562222222,14.2302222222
184.49,21.0692222222,9.98138888887,-6.39422222223,40.7757777778,12.6833333333,25.1571111111,7.75677777777,25.3668888889,9.74827777778,31.3417777778,32.1803333333,10.7968888889
184.87,15.1322222222,9.1007037037,-11.746,37.0372222222,8.88900000001,22.328,4.33866666667,20.4233333333,7.88361111111,31.5344444444,33.1217777778,8.78311111109
185.25,20.101,11.0045061728,-7.67688888889,38.5857777778,13.2322222222,23.8383333333,10.505,20.8081111111,14.9495555555,38.6868888889,33.9393333333,13.8385555555
185.63,18.3214444444,8.5501358025,-15.9574444444,33.3332222222,8.62888888888,16.903,4.2552222222,17.1395555556,13.6524444444,37.5887777778,32.2694444444,3.90088888889
186.01,22.4444444444,16.8456790124,-5.33333333332,35.8888888889,20.5555555556,21.4444444444,11.1111111111,22.7777777778,20.7777777778,44.4444444444,38.2222222222,9.55555555557
186.39,20.3481111111,15.0603518519,-13.253,36.4121111111,17.403,14.324,6.15799999999,19.4111111111,16.7335555555,50.6023333333,35.2073333333,5.62233333331
186.77,6.4956666667,8.80327160483,-32.8205555555,30.9403333333,0.34188888891,3.24788888889,-7.35055555556,1.0258888889,3.41900000001,47.3504444444,27.1796666667,-11.6241111111
187.15,-7.89844444444,12.896,-26.3721111111,23.4268888889,-7.76422222221,3.21277777779,-7.2288888889,3.2128888889,2.075,27.0414444445,24.7656666667,-16.0642222222
187.53,-17.6296666667,17.3909444445,-35.8518888889,20.7407777778,-17.6296666667,-5.33344444444,-14.3703333333,-4.88866666667,-3.62966666667,16.7407777778,24.4444444444,-20.4445555556
187.91,-9.98577777777,26.3949691358,-23.7693333333,26.3008888889,-8.71999999999,6.61033333333,-3.79744444443,9.28277777777,-2.74244444443,24.4726666667,38.5374444444,-1.2658888889
188.29,-6.32722222221,41.1007160495,-17.4384444445,25.9258888889,-0.771555555567,11.7285555556,-3.70366666667,14.1972222222,3.70372222223,35.4937777778,52.3148888889,8.64200000001
188.67,7.91822222223,43.9478456791,-4.85322222222,24.9041111111,16.2198888889,16.2196666667,6.89666666665,20.562,14.7508888889,40.7406666667,58.1097777778,17.8798888889
189.05,11.995,37.1844320987,-3.91400000001,21.2122222222,16.6665555556,14.6465555556,-0.1262222222,22.096,11.6793333333,39.7726666667,54.4192222222,13.8888888889
189.43,12.8205555556,51.8708580248,-5.81199999999,24.1025555556,20.8547777778,23.4187777778,-5.64111111112,24.6154444445,13.9317222222,48.3761111111,77.4361111112,11.4531111111
189.81,-0.231444444467,67.6182407409,-7.6388888889,32.6388888889,29.6296666666,32.6388888889,-18.0555555556,22.2223333332,10.8796666667,64.1205555557,103.472111111,12.9628888889
190.19,-15.0326666668,89.0340740741,-23.8563333332,37.9083333332,19.2811111112,26.7973333332,-45.7516666667,6.20922222223,-1.47038888887,51.3071111111,123.856111111,-1.634
190.57,-15.0537777778,101.91137037,-31.5412222223,47.6703333333,15.4121111111,29.032111111,-58.0645555557,-0.716777777667,-11.4695555555,37.6344444443,145.519777778,-15.7706666668
190.95,31.4815555556,117.558314815,-1.8518888889,75.0000000001,39.8147777779,48.7654444444,-30.8641111111,20.061888889,3.8581111111,53.7036666668,154.321,13.2715555555
191.33,78.6787777779,141.958438272,26.7268888888,99.0992222222,73.5734444446,77.7777777777,-0.300111111133,29.4295555557,25.2251666667,101.801888889,188.288222222,50.7507777779
191.71,125.777777778,195.308641975,52.0,146.666666667,111.555555556,111.111111111,5.33333333333,36.8888888888,38.6666666667,153.777777778,263.111111111,73.7777777778
192.09,127.240222222,187.3755,83.8709999999,148.028333333,126.523333333,110.035777778,35.1254444444,47.6701111112,69.534,148.745555556,239.426555555,72.7595555556
192.47,114.102777778,192.711283951,74.3590000001,137.179333333,124.786222222,92.7351111111,20.5127777778,19.6579999999,55.7691666667,146.153888889,254.273444444,38.4615555557
192.85,127.513333334,227.92487037,89.9471111113,175.661333334,122.751444445,89.4182222221,4.23300000003,10.0527777776,57.4073333334,179.894,278.835888889,42.857111111
193.23,259.259111111,413.209876543,228.888888889,314.815,231.851777778,222.222333333,82.963,77.7777777778,155.925833333,322.963111111,460.0,151.851777778
193.61,140.860222222,223.83495679,123.297555556,177.777888889,139.785,125.448,51.6127777778,44.0861111112,85.4838333333,168.458777778,241.218555556,99.2831111111
193.99,109.692666667,151.680925926,87.7066666667,115.602777778,86.2884444444,91.0166666666,41.6074444444,44.2080000001,67.3759444446,108.510888889,164.539222222,77.777888889
194.37,118.75,148.328111111,89.3517777778,100.231555556,87.7313333334,86.5741111111,44.6758888889,51.1574444446,66.7823888888,123.379555556,163.888777778,78.0092222222
194.75,114.814777778,160.534851852,91.3578888887,84.1975555558,89.6297777779,80.7406666668,44.1973333333,49.8764444443,67.1605,130.864222222,161.481555556,78.5184444444
195.13,97.2788888888,144.368851852,85.941111111,62.3583333331,82.086111111,67.5736666667,37.6418888889,47.1656666667,64.512611111,119.954555556,144.671333333,69.1611111111
195.51,118.421111111,169.49317284,94.7367777778,70.467888889,86.5496666666,59.0642222223,28.3625555556,57.309888889,72.6609444446,138.304222222,161.111111111,69.5906666667
195.89,120.228111111,173.045333333,91.1681111113,62.6782222223,85.4699999999,49.2876666668,18.5184444444,52.1367777778,63.1054444444,142.735222222,159.544333333,63.5326666667
