wavelength,Back_TanParf,Belly_TanParf,Breast_TanParf,Crissum_TanParf,Crown_TanParf,DorTail_TanParf,Patch10_TanParf,Patch11_TanParf,Patch12_TanParf,Patch13_TanParf,Rump_TanParf,Throat_TanParf,WingTip_TanParf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,11.1111166667,34.8147333333,41.4815333334,5.99996496931e-11,1.48140000001,1.48159999998,25.1852,17.7779333333,-34.0741333333,55.5556,7.40746666668,-9.62960000001,-31.1111333333
179.16,-171.666666667,-373.333333334,-273.333333333,-6.66666666734,180.0,146.666666667,-113.333333333,146.666666667,346.666666667,-480.0,173.333333333,99.9999999998,366.666666667
179.54,-60.0000666666,14.4444000001,-25.5556666666,-88.8889999999,-61.1110000001,-94.4444666667,-13.3334666666,-64.4444,-82.2222000001,-18.889,-53.3333333334,-76.6665333333,-138.888733333
179.93,36.6666666667,200.0,183.333333334,20.0,33.3333333334,-70.0,-56.6666666665,3.3333333332,-33.3333333334,100.0,90.0,13.3333333334,-50.0
180.31,-95.8332333333,116.666666667,30.5554666668,-187.777666667,-129.4444,-311.666733333,-191.111133333,-157.7778,-281.111133333,104.444466667,-167.222333333,-150.5556,-416.111133333
180.69,-123.125,52.9166666666,-17.5000000001,-198.333333333,-151.666666667,-303.333333333,-205.0,-181.666666667,-281.666666667,37.9166666667,-172.083333333,-172.5,-394.583333333
181.07,-1278.33333333,173.333333334,-409.999999998,-1776.66666667,-1510.0,-2780.0,-2023.33333333,-1800.0,-2376.66666667,-60.0000000014,-1576.66666667,-1636.66666667,-3446.66666667
181.45,-520.277799999,-73.3332666674,-210.0,-677.777733334,-546.666600001,-1005.5556,-787.777666667,-674.444400001,-836.666666667,-126.666666667,-589.999933332,-624.444533335,-1167.77773333
181.83,1027.08333333,448.333333333,631.666666666,1226.66666667,1036.66666667,1706.66666667,1568.33333333,1258.33333333,1443.33333333,443.333333334,1171.66666667,1201.66666667,1931.66666667
182.21,768.611116667,357.778000001,567.777866667,851.111000001,764.444466666,1187.77773333,1094.4444,896.666666666,1031.111,345.555533333,875.555600001,829.999933334,1380.00006667
182.59,5658.33333333,3046.66666666,4573.33333334,5913.33333334,5566.66666666,7919.99999999,6993.33333333,6360.00000001,7353.33333334,3306.66666666,5846.66666667,5900.0,8799.99999999
182.97,-2199.44448333,-1313.33333333,-1762.2222,-2188.88886667,-2164.44453333,-2897.77773333,-2600.0002,-2444.44446667,-2711.11106667,-1393.33326667,-2195.55546667,-2364.44453333,-3137.77773333
183.35,7906.66666667,4946.66666667,6153.33333334,7546.66666666,7460.0,9600.00000001,8799.99999999,8526.66666666,9213.33333333,5199.99999999,7319.99999999,7993.33333332,10106.6666667
183.73,-2644.44443333,-1666.66666666,-2073.3334,-2486.66666667,-2491.11113333,-3251.1112,-2875.5556,-2882.22213333,-3200.00006667,-1891.111,-2468.88886667,-2842.22233333,-3546.66666667
184.11,-468.921466667,-293.333266667,-356.470533333,-432.1568,-434.117733333,-562.353,-506.2746,-495.686333333,-580.784266666,-320.000066667,-434.117666667,-512.156933333,-618.823333334
184.49,-317.243566667,-206.666733333,-248.2052,-294.871733333,-298.7178,-376.410266667,-350.769333334,-350.769266666,-407.179533333,-229.743533333,-302.3076,-352.820466667,-407.435866667
184.87,-345.2778,-221.388866667,-271.388933333,-321.6666,-323.055466667,-402.222266667,-383.055533333,-380.0,-433.055466667,-255.000066667,-331.9444,-383.333333333,-418.055466667
185.25,-213.94735,-128.5966,-176.140333333,-207.894733333,-202.280733333,-252.456133333,-234.0352,-238.421066667,-269.8246,-162.105133333,-212.456133333,-245.965066667,-249.649066667
185.63,-204.4298,-113.859666667,-168.070133333,-201.929933333,-190.175466667,-244.035066666,-216.315866667,-225.4386,-268.771933333,-161.403466667,-205.964933333,-238.2456,-251.052733334
186.01,-181.5791,-82.1053333331,-136.140333333,-182.807,-168.070266667,-219.8246,-182.280733333,-206.1404,-253.6844,-144.386,-185.789533333,-215.964866667,-228.0702
186.39,-323.680583334,-163.611133333,-246.9444,-343.888933333,-309.1668,-401.388866667,-328.0554,-374.166666667,-445.0,-278.0556,-332.499866667,-391.944333333,-400.0
186.77,-1302.77781667,-632.222533334,-1015.55553333,-1406.6666,-1256.6666,-1648.88893333,-1381.11113333,-1538.8888,-1788.88893333,-1098.8888,-1400.0,-1520.0,-1643.33333333
187.15,942.499999999,444.166666667,755.833333333,1051.66666667,962.499999999,1234.16666667,1067.5,1164.16666667,1376.66666667,813.333333334,1048.33333333,1047.5,1190.0
187.53,1570.41666667,619.999999999,1253.33333333,1803.33333333,1640.0,2160.0,1788.33333333,2046.66666667,2450.0,1378.33333333,1871.66666667,1860.0,2101.66666667
187.91,5055.0,1580.0,4039.99999999,6293.33333333,5613.33333333,7386.66666666,5960.0,6959.99999999,8513.33333334,4300.0,6540.0,6280.0,6906.66666667
188.29,-476.833333333,-142.666666667,-404.666666667,-604.666666667,-518.666666666,-699.999999999,-521.333333333,-691.333333333,-774.0,-396.0,-641.333333333,-598.0,-630.0
188.67,-454.259283334,-88.8887333334,-402.962933333,-599.999866667,-540.000066667,-733.333533334,-486.666666667,-716.296333333,-771.110999999,-376.296333333,-664.444466667,-578.518533333,-654.074133333
