wavelength,Back_TanPerf,Belly_TanPerf,Breast_TanPerf,Crissum_TanPerf,Crown_TanPerf,DorTail_TanPerf,Patch10_TanPerf,Patch11_TanPerf,Rump_TanPerf,Throat_TanPerf,WingTip_TanPerf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,70.3703333333,74.0743333333,-33.333,100.0,-7.40766666667,33.333,7.40733333333,18.5186666667,61.4816666667,0.0,11.111
179.16,-150.0,33.3333333333,-383.333333333,50.0,-350.0,-300.0,-266.666666667,-83.3333333333,-133.333333333,-483.333333333,-250.0
179.54,133.333333333,-13.3333333333,146.666666667,90.0,226.666666667,120.0,126.666666667,0.0,-6.66666666667,246.666666667,90.0
179.93,116.666666667,66.6666666667,200.0,25.0,300.0,450.0,150.0,83.3333333333,-20.0,483.333333333,-25.0
180.31,286.111,80.5556666667,500.000333333,225.0,611.111,325.0,347.222,266.666666667,194.444533333,713.889,266.667
180.69,243.859333333,77.193,378.947666667,142.1055,454.386333333,242.105,271.929666667,212.281,159.6492,500.000333333,228.9475
181.07,177.083333333,71.875,236.458333333,104.6875,289.583333333,162.5,180.208333333,136.458333333,122.291666667,318.75,137.5
181.45,170.588,63.7253333333,215.686333333,100.0,264.706,141.176,164.706,126.470333333,108.627266667,281.372333333,116.1765
181.83,142.735,62.3933333333,186.325,96.1535,235.042666667,120.513,142.735,126.495666667,99.9999333333,239.316333333,102.564
182.21,120.155,37.9846666667,144.961333333,82.558,208.527333333,97.674,120.155,106.976333333,91.3178,207.752,93.0235
182.59,91.6666666667,16.0253333333,108.974,62.5,171.795,82.692,91.0256666667,71.7946666667,82.3074,169.871666667,73.077
182.97,100.585,18.1286666667,100.0,69.2985,169.005666667,92.982,96.491,75.4386666667,92.8655333333,171.345,93.86
183.35,80.0,17.7776666667,72.0,52.0,129.333,77.333,78.6666666667,56.889,77.2444666667,140.0,80.6665
183.73,84.8486666667,28.1383333333,78.355,51.948,123.809666667,87.013,81.385,71.4283333333,86.2335333333,141.991333333,89.6105
184.11,73.7373333333,10.6063333333,81.818,43.9395,124.242666667,86.364,77.273,64.6463333333,76.9697333333,147.98,81.0605
184.49,53.5516666667,-6.557,73.224,29.5085,116.393333333,80.328,65.027,65.0273333333,67.8690666667,139.890666667,82.787
184.87,47.4576666667,2.26,66.1016666667,44.0675,120.339,88.136,62.712,70.0563333333,65.4235333333,137.288333333,72.8815
185.25,52.688,10.215,61.2903333333,57.258,120.43,98.387,58.0646666667,77.957,68.0645333333,123.656,82.258
185.63,47.9796666667,24.2423333333,59.091,65.1515,115.151333333,101.515,56.566,84.8486666667,77.374,114.646666667,93.9395
186.01,52.1503333333,37.6343333333,75.8066666667,67.742,106.989333333,96.774,69.355,92.473,105.376466667,124.193666667,108.871
186.39,71.8953333333,69.9346666667,119.608,95.0985,122.876,109.804,81.0453333333,125.490333333,135.0324,148.366,139.216
186.77,103.921666667,137.255,190.196,164.706,182.353,155.882,104.902,203.921666667,192.549066667,175.490333333,207.353
187.15,118.840666667,217.391333333,288.406,247.826,221.739333333,239.13,111.594333333,271.014666667,246.377066667,221.739333333,256.522
187.53,541.666666667,1275.0,1600.0,1462.5,1033.33333333,1125.0,541.666666667,1533.33333333,1233.33333333,1191.66666667,1375.0
187.91,-1433.33333333,-4666.66666667,-6066.66666667,-6950.0,-4533.33333333,-3700.0,-1866.66666667,-6000.0,-4520.0,-4666.66666667,-4800.0
188.29,-176.666666667,-563.333333333,-603.333333333,-710.0,-510.0,-430.0,-193.333333333,-686.666666667,-477.333333333,-466.666666667,-500.0
188.67,-200.0,-438.461666667,-502.564,-596.154,-400.0,-369.231,-197.435666667,-515.384666667,-362.051466667,-415.384333333,-315.3845
189.05,-256.666666667,-556.666666667,-633.333333333,-810.0,-450.0,-440.0,-186.666666667,-630.0,-490.666666667,-600.0,-355.0
189.43,-220.513,-497.436,-594.872,-696.154,-382.051333333,-284.615,-200.0,-551.281666667,-427.692066667,-561.538333333,-292.3075
189.81,-420.0,-790.0,-926.666666667,-990.0,-646.666666667,-430.0,-340.0,-796.666666667,-656.0,-923.333333333,-405.0
190.19,-270.588333333,-472.549,-523.529333333,-605.8825,-413.725333333,-247.059,-135.294333333,-449.019666667,-317.646933333,-525.490333333,-214.706
190.57,-529.63,-988.888666667,-1044.44466667,-1244.4445,-907.407,-455.556,-388.889,-948.148,-711.111,-1096.296,-511.111
190.95,-309.524,-635.714333333,-680.952333333,-785.7145,-552.381333333,-257.143,-264.285666667,-609.524,-461.4286,-742.857333333,-371.4285
191.33,-625.0,-1045.83333333,-1216.66666667,-1487.5,-1116.66666667,-462.5,-500.0,-1162.5,-896.666666667,-1350.0,-681.25
191.71,-1375.0,-2191.66666667,-2608.33333333,-3237.5,-2425.0,-950.0,-1050.0,-2483.33333333,-1923.33333333,-2550.0,-1550.0
192.09,972.222333333,1633.333,1727.77766667,2208.3335,1605.55533333,583.333,650.0,1666.66666667,1306.6668,1622.22233333,1183.3335
192.47,400.000333333,684.444666667,722.222333333,950.0,626.666666667,206.667,251.111,657.777666667,554.666866667,686.666666667,530.0
192.85,310.0,565.0,570.0,745.0,465.0,150.0,195.0,526.666666667,461.666666667,516.666666667,517.5
193.23,333.333666667,629.824666667,640.350666667,810.5265,480.702,131.579,228.070333333,577.193,495.0878,549.123,628.9475
193.61,521.212,1030.303,927.272666667,1277.273,727.272666667,190.909,251.515,839.393666667,743.030333333,821.212333333,1013.6365
193.99,5033.33333333,10400.0,9133.33333333,13750.0,6600.0,2100.0,2733.33333333,8666.66666667,7666.66666667,7533.33333333,10800.0
194.37,-2483.33333333,-5300.0,-4566.66666667,-7125.0,-3083.33333333,-1750.0,-1216.66666667,-4600.0,-4086.66666667,-3566.66666667,-5325.0
194.75,2950.0,5550.0,4583.33333333,7425.0,3066.66666667,2500.0,1183.33333333,4716.66666667,4220.0,3533.33333333,5225.0
195.13,285.185,464.197333333,354.321,590.741,254.321,181.481,112.345666667,355.555666667,344.691133333,296.296333333,372.222
195.51,221.875,416.666666667,288.541666667,475.0,180.208333333,150.0,95.8333333333,286.458333333,303.333333333,234.375,314.0625
195.89,231.182666667,432.258,289.247333333,495.1615,162.365666667,183.871,113.978333333,278.494666667,313.978466667,233.333333333,291.9355
196.27,961.111333333,1994.44433333,1344.44433333,2291.6665,588.888666667,733.333,361.111,1311.111,1384.44453333,927.777666667,1083.333
196.65,-1308.33333333,-2858.33333333,-1833.33333333,-3125.0,-691.666666667,-1025.0,-466.666666667,-1941.66666667,-1770.0,-1075.0,-1237.5
197.03,-2350.0,-5650.0,-3600.0,-6575.0,-1750.0,-2400.0,-1016.66666667,-4150.0,-3753.33333333,-2133.33333333,-1800.0
