wavelength,Back_TanPerm,Belly_TanPerm,Breast_TanPerm,Crissum_TanPerm,Crown_TanPerm,DorTail_TanPerm,Patch10_TanPerm,Patch11_TanPerm,Rump_TanPerm,Throat_TanPerm,WingTip_TanPerm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,14.8146666667,-7.40733333333,-7.40733333333,-22.2223333333,-48.1483333333,-11.111,3.70366666667,44.4443333333,3.70333333333,55.5556666667,-3.70366666667
179.16,-150.0,-166.666666667,-366.666666667,-450.0,-400.0,-250.0,-50.0,-50.0,-283.333333333,-283.333333333,-266.666666667
179.54,106.666666667,146.666666667,200.0,153.333333333,80.0,140.0,-60.0,20.0,206.666666667,26.6666666667,226.666666667
179.93,216.666666667,266.666666667,133.333333333,250.0,66.6666666667,300.0,-100.0,-233.333333333,216.666666667,-50.0,216.666666667
180.31,352.778,419.444333333,658.333666667,566.667,483.333333333,358.333,38.889,-116.666666667,508.333333333,105.555333333,713.889
180.69,266.666666667,314.035,477.193,415.789333333,364.912333333,236.842,33.3333333333,-78.9473333333,354.385666667,96.4913333333,524.561
181.07,183.333333333,191.666666667,316.666666667,259.375,212.5,131.25,26.0416666667,-32.2916666667,221.875,72.9166666667,322.916666667
181.45,176.470666667,178.431666667,291.176333333,235.294,187.255,111.7645,17.647,-39.2156666667,216.666666667,49.0196666667,290.196333333
181.83,158.119333333,145.299,258.974,207.692333333,185.47,75.641,17.9486666667,-40.171,170.085333333,35.8973333333,236.752333333
182.21,137.984333333,131.007666667,254.263666667,179.069666667,164.341,44.186,12.403,-29.4573333333,146.511666667,21.7056666667,203.100333333
182.59,113.461333333,103.846,207.051333333,133.974666667,136.538666667,25.9615,13.4616666667,-30.128,121.154,20.5126666667,169.871666667
182.97,135.087666667,101.169666667,194.152,124.561666667,147.953333333,29.8245,35.088,-17.544,121.637333333,18.1286666667,174.269333333
183.35,107.999666667,80.8886666667,153.777666667,107.555333333,120.0,33.333,32.0,-8.44466666667,90.667,9.77766666667,131.555333333
183.73,111.255333333,82.684,167.532333333,115.151666667,124.675333333,44.156,40.6926666667,-2.36847578587e-15,91.342,5.62766666667,123.809666667
184.11,112.626333333,74.2423333333,177.272666667,116.666666667,136.869,32.5755,28.7876666667,-8.08066666667,81.313,-22.222,106.565333333
184.49,102.185666667,59.0163333333,178.142,113.114666667,134.426333333,23.7705,8.74333333333,-15.3003333333,77.049,-38.798,97.2673333333
184.87,112.429,52.5423333333,185.311,119.774,138.418,33.051,12.9943333333,-10.7343333333,84.746,-35.0283333333,100.565
185.25,112.903333333,57.527,179.032,129.032333333,145.161,52.419,24.1936666667,-10.215,93.5483333333,-17.2043333333,101.075333333
185.63,113.131333333,49.495,187.878666667,128.788,148.485,55.303,28.283,-11.111,91.4143333333,-11.616,110.606
