wavelength,Back_TanPref,Belly_TanPref,Breast_TanPref,Crissum_TanPref,Crown_TanPref,DorTail_TanPref,Patch10_TanPref,Patch11_TanPref,Rump_TanPref,Throat_TanPref,WingTip_TanPref
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.16,6.66666666669,-6.66666666667,72.0,-10.6666666667,-9.33333333333,-30.6666666667,8.66666666666,25.3333333333,-4.66666666666,-13.3333333333,-28.6666666667
179.54,-126.666666667,-333.333333333,-296.666666667,-356.666666667,-156.666666667,-226.666666667,-330.0,-250.0,-266.666666666,-236.666666667,-323.333333334
179.93,-46.6666666667,70.6666666666,28.0,6.66666666667,-21.3333333335,65.3333333333,36.0000000001,110.666666667,27.9999999999,44.0000000001,-30.6666666665
180.31,175.172266667,174.7126,158.620666667,191.7242,166.206733333,149.1954,149.885,147.816,151.494066667,161.1496,169.885133333
180.69,161.960733333,169.411666667,152.352933333,172.941266667,160.196133334,145.8824,146.078466667,147.843133333,153.333266667,139.607866667,162.9412
181.07,139.523666667,157.301533334,136.190466667,164.761933333,155.2382,142.698333333,139.206333333,136.6666,143.809466667,131.5874,149.999933333
181.45,127.719266667,140.350866667,145.0292,144.327533333,141.520466667,123.391866667,133.9182,134.035,134.268933333,122.456066667,130.994266667
181.83,125.263066667,128.304133333,128.888933333,126.432866667,137.660866667,112.1638,122.456266667,122.573133333,123.040933333,114.737,120.350866667
182.21,112.291466667,121.2498,117.708266667,113.645666667,121.249866667,103.749866667,117.603933333,117.916666667,113.749733333,109.270733333,103.0206
182.59,102.3232,106.666666667,94.7474666666,96.0606666666,100.101133333,90.9090666666,101.414,104.0404,97.8787333333,105.151533333,95.7575999999
182.97,101.581866667,105.310533333,85.5365999999,80.5648000001,96.4972000001,95.3672666667,96.7232666666,99.2090666667,92.7683999999,110.169533333,98.5311333333
183.35,88.0000000001,101.888933333,75.2222000001,71.3333333334,89.5555333333,83.8888666667,90.1111333333,93.5554000001,85.3333333334,96.8888666667,93.0
183.73,95.9090000001,110.9092,80.1515333333,66.5151333333,94.2424666667,101.060666667,92.4242000001,99.091,92.7272666667,103.333333333,96.9696666667
184.11,199.487266667,218.974333333,143.5898,113.3334,178.9744,190.256466667,201.025733333,250.769266667,191.282133333,215.897533333,222.564066667
184.49,-41.2499999999,-76.6666666665,-21.2500000001,35.0000000001,-58.7500000001,-22.5000000001,-62.5000000001,-107.083333333,-45.4166666665,-39.5833333333,-87.9166666667
184.87,-12.1839333333,-20.4597333333,-7.58619999999,28.9656,-16.7816666667,-0.91946666668,-24.3678666667,-56.3218666666,2.06893333335,-34.2529333333,-45.2874
185.25,-20.9999999999,-29.5,-12.8333333334,18.3333333333,-22.1666666667,-6.0,-21.0,-47.8333333333,-12.3333333333,-32.0,-37.1666666667
