wavelength,Back_TanPunm,Belly_TanPunm,Breast_TanPunm,Crissum_TanPunm,Crown_TanPunm,DorTail_TanPunm,Patch10_TanPunm,Patch11_TanPunm,Patch12_TanPunm,Rump_TanPunm,Throat_TanPunm,WingTip_TanPunm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,48.3333333333,27.5,52.4999999999,29.1666666666,30.8333333333,54.1666666666,48.3333333333,40.0000000001,25.8333333333,16.7708333333,54.1666666667,43.75
179.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.54,96.1904666666,55.2380666667,71.4285333333,77.1429999999,55.2381333334,121.4286,60.9522666665,88.5714666667,93.3334666667,43.69035,82.8570666667,70.0001000001
179.93,44.6666666667,16.6666666667,11.3333333333,18.0,45.3333333333,41.0000000001,40.6666666667,30.0,40.0,17.0833333333,10.0,18.3333333333
180.31,48.655,2.80706666667,6.78360000002,20.7019333335,25.9648666667,48.2456,36.959,22.5732,24.0936,22.0174583333,20.5848666667,6.31583333326
180.69,52.1088,1.49660000007,-4.89800000001,16.7347333333,17.8232000001,48.7753666665,32.9250666667,16.8708000001,19.5917333333,20.3741666667,20.5443333333,-2.38079999999
181.07,53.0303333333,1.21219999998,-14.8484,19.0909333332,13.1818000001,41.2878000001,31.5152000001,8.03026666666,19.3940666667,25.30305,16.3636,-4.31823333339
181.45,54.1844,10.2127333333,-10.7801333333,16.0284000001,18.7233999999,43.9006666666,30.9220000001,7.80139999992,22.9789333334,30.6382166667,30.0709333333,0.354699999934
181.83,25.0793333333,-16.3491333333,-52.5398,-18.4127333334,-8.88893333326,8.57146666666,5.71433333333,-23.492,-16.6666666666,7.36112499998,-2.22233333334,-45.0
182.21,21.3008,-17.7235333335,-63.7398666667,-15.6098666667,-17.7236666667,4.55283333326,-5.691,-32.3577333333,-33.3333333333,2.560975,1.62613333333,-61.5449
182.59,43.8095333333,24.5238,-21.5476,8.92853333334,9.99993333333,24.0475333333,19.4048,5.23813333333,3.92853333333,21.4732166667,30.4764,-23.8690666667
182.97,56.7212,41.8579999999,-2.62286666666,27.9781333333,22.8416000001,37.2131333334,33.7704,23.7158,23.2786,32.3086666667,47.7596000001,-7.92343333334
183.35,53.8461333333,40.7178666667,2.05126666667,25.3334666667,19.5898000001,31.7948666666,28.8206,25.9488,15.8975333333,26.0897,43.8974000001,-4.87180000001
183.73,66.3415333333,47.4796666667,-15.4470666667,21.1381333333,4.3904,23.4147666667,14.3089333333,16.4228,4.87799999998,18.5570416667,40.3252666667,-37.3983
184.11,87.7775333333,65.5555333334,-7.46033333331,37.3014666667,15.7142666667,39.0477333333,28.254,28.7304,11.7458666667,25.9721583333,53.6508666667,-18.0953
184.49,85.6666666667,64.8333333334,-19.8333333333,31.0,1.33333333339,25.0833333333,20.1666666667,26.5,2.66666666668,21.1041666667,43.3333333333,-13.9166666667
184.87,77.61,63.2704666666,-0.50313333334,39.1194,11.4465333334,37.7359666667,30.1888,37.3586,14.5912,31.3836416667,42.3899333334,5.7862
185.25,77.1427333333,61.5476666666,-2.85706666665,33.4524,8.21420000001,42.6190333333,27.381,41.5477333333,9.64300000002,22.9166916667,44.762,-6.72613333334
185.63,85.4165333333,67.9166666667,-12.5,42.9167333334,-2.7777333334,44.0276999999,25.9721333333,42.4999333333,-6.11113333332,18.4548416667,37.3612,-18.6805333333
186.01,99.7280000001,84.3537999999,4.89793333332,54.2856666667,2.7211333334,62.1767333334,34.4216666667,53.8776666666,4.62580000002,28.7074,54.4217333333,4.35373333334
186.39,161.866666667,143.2,-22.1333333334,71.2,-38.1333333333,83.6000000001,33.8666666667,70.1333333332,-16.2666666667,22.8,78.9333333335,-8.79999999994
186.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187.15,-659.999999999,-796.666666665,1426.66666667,390.000000001,1873.33333333,18.3333333333,796.666666667,313.333333333,1706.66666666,1280.0,226.666666667,1281.66666667
187.53,-155.5556,-193.3334,561.111066667,222.2224,694.444466666,119.999866667,394.444466667,206.666733333,607.777866666,525.694425,140.000000001,508.333333332
187.91,47.619,-84.7618666668,597.142933333,294.285666667,700.952399999,202.380933333,466.6666,255.238066667,634.285733334,571.66665,177.142733333,517.142866667
188.29,111.428666667,11.4285999999,363.809466667,212.381,451.428666667,183.809366667,337.1428,222.857133333,372.8572,372.857225,159.999933333,349.285833333
188.67,1240.0,-246.666666665,4760.0,2720.0,6013.33333333,2196.66666667,4493.33333333,2946.66666667,4966.66666667,4799.16666667,2006.66666667,5196.66666667
189.05,883.333333333,153.333333333,2560.0,1620.0,3060.0,1423.33333333,2560.0,1843.33333333,2670.0,2808.33333333,1256.66666667,2996.66666667
189.43,1.62914304702e+15,4.60595416436e+14,3.50564289176e+15,2.5162157009e+15,4.11124056893e+15,2.25819697225e+15,3.67196901436e+15,2.70386568537e+15,3.68902810386e+15,3.82763320603e+15,2.14091573195e+15,4.08565193468e+15
189.81,-1440.0,-433.333333334,-2763.33333333,-2143.33333333,-3246.66666667,-1888.33333333,-2830.0,-2073.33333333,-2896.66666667,-3214.58333333,-1706.66666667,-3421.66666667
190.19,-135.925866667,-36.2963333333,-280.7408,-210.740866667,-327.407533333,-222.4073,-292.963,-222.963133333,-293.703666666,-338.425816667,-191.481466667,-368.148033333
190.57,-30.6666666667,7.66666666667,-98.3333333332,-76.3333333332,-114.0,-72.5,-105.666666667,-64.3333333333,-104.0,-125.75,-63.4999999999,-140.166666667
