wavelength,Back_TanRuuf,Belly_TanRuuf,Breast_TanRuuf,Crissum_TanRuuf,Crown_TanRuuf,DorTail_TanRuuf,Patch10_TanRuuf,Patch11_TanRuuf,Rump_TanRuuf,Throat_TanRuuf,WingTip_TanRuuf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-169.444444444,-125.641025641,75.0,-154.166666667,7.1054273576e-15,-250.0,-116.666666667,33.3333333332,183.333333333,-83.333333333,-185.0
179.16,641.666666666,417.948717949,541.666666667,395.833333334,525.000000001,-50.0000000001,425.0,175.0,283.333333333,308.333333333,407.5
179.54,75.0000000001,-4.16666666658,54.1666666664,37.5,-20.8333333334,120.833333333,-116.666666667,-33.3333333332,100.0,120.833333333,-37.0833333333
179.93,50.6945,47.5960128204,37.5,38.54175,34.7220833333,57.6388333333,-1.38883333333,48.6111666667,15.9721666667,45.1389166667,44.1667833333
180.31,-30.3030277777,-73.6596794873,-118.182,-1.51508333333,-84.0908333332,90.1514166667,-293.939333333,-59.0909166668,-231.818166667,-20.4545833334,24.0910333333
180.69,218.055555555,254.038461539,296.666666667,183.75,263.333333333,58.3333333332,518.333333333,222.5,439.166666667,180.833333333,132.916666667
181.07,114.222222222,127.0,143.0,98.8333333333,135.0,44.6666666667,237.0,94.0000000002,200.666666667,93.3333333334,76.8666666667
181.45,60.5994166668,87.972275641,101.534833333,67.4341666667,87.28075,33.772,162.719333333,72.1491666668,151.535,67.9823333333,63.11395
181.83,59.2912222222,94.2970128206,112.931166667,64.5114999999,86.4940833333,17.5286666667,184.482916666,52.8735,176.43675,62.9310833333,55.7758083333
182.21,36.7475,62.1661346153,81.0763333334,43.6631666667,55.72925,19.7916666667,119.270833333,36.6319166667,117.361166667,39.7569166667,41.0764
182.59,20.9040277778,42.2535576923,56.4971666667,28.248625,35.87575,4.80233333333,94.0675833334,28.1075833333,91.3842499998,16.3841666667,32.4718666667
182.97,29.2075,47.3509935897,62.2548333333,42.7084166667,41.9119166667,11.6421666666,93.2598333333,34.68125,93.0146666667,27.941,45.29405
183.35,32.0046666667,45.8658782051,65.0966666667,41.1834166667,37.8019166667,8.69583333332,85.1449166667,33.8165,90.7005000001,29.58925,42.1498416666
183.73,25.0421111111,41.6861217949,58.8384166666,39.5201666667,40.27775,8.33325,83.9645833334,24.9999166667,82.9546666665,26.515,38.71205
184.11,29.7491111111,46.794974359,62.9031666666,48.1181666667,45.7885833334,24.6416666667,73.5661666667,30.4660833333,79.3905833333,35.215,45.3855166667
184.49,22.0061666666,35.8332820513,56.9444166667,40.7408333333,39.6296666667,17.0370833333,67.963,18.88875,71.6666666667,28.0555833333,37.6944
184.87,10.1352222222,27.8758846154,54.3919166667,31.813125,34.68475,3.60350000001,64.9774166667,9.79733333334,67.0046666667,19.1440833333,29.222875
185.25,-13.5011944445,18.2766282051,55.4263333333,10.562125,20.7365,-23.062,80.4264166667,-8.33325,70.3488333332,-0.19375,23.4303333333
185.63,-32.8372777778,-1.51102564105,43.4524166668,-18.1547083334,-0.892833333325,-60.4165833334,93.45225,-55.0595833333,64.2858333335,-29.7620833333,-5.26775833333
186.01,9.46972222223,28.336448718,51.3256666667,12.8789166667,28.2196666667,-8.90141666668,80.3030833334,5.87141666665,71.5908333334,14.9620833334,22.0833916667
186.39,33.2819444444,49.8574679487,61.2653333334,31.9444166667,45.83325,13.11725,76.8517500001,27.6233333333,75.0000833335,35.1851666667,43.7190666667
186.77,41.4311666667,52.6074230769,72.1751666666,34.8164166666,47.5989166666,25.2825,74.01125,22.7399166667,74.0112500001,42.0904166667,47.019575
187.15,33.1291111111,42.2888269231,55.2695833333,22.487875,35.6616666666,23.03925,50.0,18.9951666667,61.0292499999,34.4364166667,34.8161666667
187.53,17.3146944445,36.9231089744,43.6111666667,10.0695,22.7776666667,9.58325,44.5833333333,8.88900000001,47.7777499999,22.5,29.6388166667
187.91,13.96725,30.7693653846,38.9669166667,2.816875,14.43675,1.52583333333,29.2255833333,10.094,37.4413333334,11.8543333333,24.2489416667
188.29,4.52669444443,17.0346730769,26.8519166667,-16.1266666667,-4.93825,-20.6789166667,22.3765833334,1.23466666667,23.6111666667,-7.87033333333,14.2746083333
