wavelength,Back_TanRuum,Belly_TanRuum,Breast_TanRuum,Crissum_TanRuum,Crown_TanRuum,DorTail_TanRuum,Patch10_TanRuum,Patch11_TanRuum,Rump_TanRuum,Throat_TanRuum,WingTip_TanRuum
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-125.0,75.0,-41.6666666665,-83.3333333332,275.0,-133.333333334,183.333333333,8.33333333325,183.333333333,150.0,-146.428571428
179.16,533.333333334,600.0,83.3333333331,675.0,391.666666667,250.0,541.666666666,516.666666667,491.666666667,395.833333333,580.952380952
179.54,-54.1666666665,12.4999999998,99.9999999999,-150.0,83.3333333334,191.666666667,-79.1666666668,-95.8333333333,-50.0,77.0833333333,-88.0952380952
179.93,36.8055833333,50.0,38.8889166667,10.4166666667,5.55566666668,6.24983333332,18.7500833333,26.3888333333,27.0833333333,28.1249166667,35.2183452381
180.31,-210.606083333,-154.545583333,30.3029999997,-245.454416667,-242.424416667,-61.3636666665,-215.151583333,-89.3939166668,-213.63625,-166.666708333,-117.965482143
180.69,395.833333333,334.166666667,112.5,411.666666667,442.5,230.0,424.166666667,254.166666667,417.5,378.75,285.773809524
181.07,198.333333333,143.0,65.6666666667,187.0,195.333333333,114.0,194.666666667,135.0,197.0,173.0,133.809523809
181.45,134.42975,93.4210833333,42.5440000001,113.81575,139.693083333,74.1227499999,132.675333333,87.0614166668,138.596583333,131.030833333,88.204952381
181.83,153.161,94.2529166667,27.2989166667,112.931,166.66675,73.56325,145.68975,78.44825,160.344666667,139.511458333,95.1969940477
182.21,102.604,69.9652500001,19.09725,75.5209166667,100.34725,41.4929999998,90.1041666665,46.52775,106.4235,95.1390416667,62.5123392858
182.59,71.0450833333,50.9884999999,4.94341666665,53.6722500001,70.1976666666,21.1865000001,69.3504166667,26.2711666667,79.0960833334,70.0564166667,47.3970297619
182.97,70.3430833334,48.2842500001,18.3823333333,55.1470833333,68.2599166666,27.0834166666,70.8333333333,33.2108333333,80.7596666667,69.3015,53.2389047619
183.35,66.5459166666,43.4781666667,22.5845,47.46375,64.97575,24.879,64.2513333333,31.4008333333,76.8116666667,71.7992916667,50.3535892857
183.73,63.8889166665,36.6160833333,14.394,45.3283333334,64.0151666666,18.6869166668,61.3636666667,27.7778333334,75.0,68.8760416667,41.9373154763
184.11,60.4839166666,42.1146666667,28.8529166666,50.8960833333,61.828,28.7635833333,59.1399166667,37.4553333333,71.0574166667,62.903125,46.3839345238
184.49,51.75925,32.7779166667,20.185,36.6665833333,51.574,17.9628333333,51.2963333333,32.1296666667,66.29625,49.5834583333,42.3744464286
184.87,44.2568333333,17.5676666667,10.8106666667,30.1801666667,45.38275,3.71599999991,42.22975,24.2116666666,64.1890833333,40.9345416666,36.1004047619
185.25,25.9690000001,1.74416666667,-18.0233333334,9.30216666658,33.721,-31.2015833334,27.5194166667,-3.10075,65.8915833332,36.6278333333,28.3775892856
185.63,-2.6786666666,-37.4999166668,-48.2143333334,6.5475,7.738,-70.2381666665,14.58325,-31.84525,83.6307500001,11.0119999999,13.1803333333
186.01,17.9924166668,4.92433333333,4.73483333333,28.9773333331,35.6059166667,-14.9620833333,36.5530833333,3.78783333335,89.0151666667,50.8521666666,32.7109166667
186.39,32.7159166667,23.9198333333,27.7775833334,31.7900833333,52.00625,5.86425000003,49.6915,24.5370833334,90.74075,59.7993333334,43.2758988095
186.77,42.2316666668,25.4236666667,37.99425,32.6272500001,52.11875,13.842,48.4464166667,27.6835,90.5366666666,57.9096249999,38.8720178572
187.15,28.1863333333,20.956,28.5539166667,23.4066666667,40.3185833333,6.86291666665,38.1125833333,20.5883333333,76.9607500001,41.054,26.7419642857
187.53,17.2224166666,2.639,16.2501666667,16.111,28.47225,-10.6945,26.6665833333,6.25016666667,73.0555833334,21.6667916667,12.1824642856
187.91,4.46,1.05658333332,13.84975,3.52116666666,20.4226666667,-11.7369166667,13.615,1.64333333332,57.7464166667,10.7395833333,8.22452976192
188.29,-18.2098333334,-18.6729166667,-0.926083333325,-24.6915000001,2.62333333334,-37.96275,8.33333424997e-05,-19.5986666667,55.4010833334,-6.01854166665,-8.78505952382
188.67,-6.80733333333,0.469416666675,6.57275,-7.15974999998,11.6198333333,-22.1831666666,5.63383333336,-5.75124999998,55.28175,3.11033333332,2.23845238097
189.05,-15.0,-7.38091666668,-1.30966666666,-18.0951666667,-0.238166666675,-34.5238333333,-3.92858333333,-17.9761666667,44.7619166667,-2.20233333335,-9.80438690475
189.43,-2.95383333332,-3.48116666667,8.54433333335,-2.32075,14.2405833334,-23.7343333334,5.37975,-7.17308333334,49.789,5.64354166667,2.27541071427
189.81,-4.49558333333,-8.33341666667,12.28075,-15.899,13.04825,-26.2060833333,3.2895,-9.649,39.0350833334,3.07008333335,-3.88452380953
190.19,-0.396833333317,-13.29375,16.5675,-15.1785,8.53191666665,-23.8094166667,1.98416666668,-5.95250000002,31.2499166667,4.51404166667,-7.44057142858
190.57,-15.9522500001,-36.1905,10.0000833333,-31.5474166667,-7.97616666665,-42.2619166666,-15.3571666667,-19.0476666667,25.47625,-10.238,-18.681875
190.95,-18.4830833333,-29.0599166667,5.66233333332,-29.7009166668,-3.84591666667,-35.2564166667,-12.7135833333,-15.705,26.0685,-1.81629166667,-15.7664166667
191.33,2.19766666665,-10.8974166666,20.5129166666,-16.20875,13.7363333334,-9.89033333332,3.022,2.10616666668,33.5164166667,13.6904583333,-1.94281547618
191.71,10.9849166667,1.81816666668,24.5454166667,-9.394,21.4395833333,1.06058333335,11.13625,10.7575833333,36.591,21.1740833333,8.02486904761
192.09,10.0961666667,-2.2435,24.0385833333,-8.65391666665,19.23075,-2.80441666665,12.4198333333,6.81083333333,39.6634166667,24.3589583333,3.33686904761
192.47,16.3075,1.14933333335,27.5861666667,-2.51433333332,24.2816666667,7.112,14.6551666666,14.799,39.0805,27.6222083333,3.87405952383
192.85,23.45125,0.368666666643,36.2094166667,2.72858333333,29.6458333333,13.4954166667,21.46025,21.5339166667,45.72275,35.582625,7.75369642858
193.23,27.6081666667,9.41483333333,37.3409166667,9.35116666666,32.37925,19.5929166667,24.6820833333,24.6183333334,47.07375,34.73275,13.6270297619
193.61,27.5463333333,10.3009166667,37.2106666666,8.50683333335,28.5301666667,20.65975,24.3055,22.9166666667,43.8078333333,32.9860833333,14.3063571429
193.99,30.4545,17.97975,35.8080833333,15.90925,31.111,25.2019166667,24.7979166666,26.0099166667,46.6665833333,34.5706666667,19.2495416666
194.37,28.2009166666,16.94275,33.9956666667,14.2384166667,30.0221666667,25.7174166667,23.0133333333,24.9999166667,48.1236666667,28.945875,18.4286369048
194.75,27.4331666667,17.7615,32.84675,14.2338333333,29.6228333333,24.5743333333,23.2360833333,24.3916666667,47.2019166667,28.8321666667,15.9149464286
195.13,28.0841666667,15.0919166667,37.0734166667,14.7639166666,29.5931666667,24.3436666667,18.7663333333,27.559,45.86625,26.443625,14.9232559524
195.51,13.863,-1.71333333332,27.1808333333,3.73833333333,15.88775,9.03425,5.52958333335,16.19925,39.8755,19.704125,1.50754761904
195.89,6.14583333335,-12.2916666667,29.0625,1.25,12.6041666667,8.75,-3.4375,14.4791666667,42.7083333333,18.0208333333,-5.2380952381
196.27,10.9155833333,-13.3803333333,31.22075,-1.17366666667,15.72775,11.3849166667,-2.23016666667,22.06575,46.3615,20.6572916667,-2.339
196.65,-1.04166666667,-23.8095,31.1011666667,-14.5833333333,1.9345,-8.33333499983e-05,-17.55975,10.4165833333,45.5355833333,14.062625,-11.0120178571
197.03,-31.1404166667,-48.6843333334,17.9825,-53.9473333334,-22.8069999998,-26.9737500001,-49.5614166668,-12.5000833334,34.6490833333,-4.93429166675,-49.3422083334
197.40,-47.2916666667,-60.4166666668,9.16666666665,-71.25,-36.0416666668,-33.9583333333,-56.2499999999,-15.0,16.25,-25.8333333332,-61.1904761905
197.78,-47.91675,-56.6288333334,-2.27266666668,-71.7804166667,-43.1818333333,-32.9545833333,-54.9242500001,-11.17425,2.27266666668,-34.5643333333,-67.0318690477
198.16,-165.909083334,-187.121166667,-57.5757499999,-216.287916667,-162.499833333,-121.21225,-171.590916667,-72.3483333333,-64.01525,-144.507708334,-199.025994048
198.54,-124.166583333,-131.666583333,-45.0000000001,-156.38875,-120.555666667,-77.4999999999,-127.5,-49.1666666666,-53.3333333333,-102.77775,-155.059369048
198.92,-78.5087500001,-83.5525833335,-10.5263333333,-100.4385,-66.4473333334,-24.9999166668,-82.8948333334,-14.693,-17.7631666667,-61.294,-99.3891904761
199.30,-117.241416667,-123.8505,-27.5859999999,-151.149333333,-102.8735,-34.7701666668,-114.65525,-39.0805833333,-43.9655833333,-100.718416667,-140.743119048
199.68,-168.47825,-188.405833333,-61.5941666666,-219.9275,-164.855166667,-78.2608333335,-177.536333333,-84.058,-110.869583333,-169.021916667,-207.58275
200.06,-243.333333334,-266.666666667,-105.0,-310.833333333,-237.083333333,-134.166666667,-234.166666667,-138.333333334,-166.666666667,-210.833333333,-306.339285714
200.44,-115.540583333,-121.621416667,-27.4775833333,-143.017916667,-104.5045,-34.4594166668,-104.72975,-50.0000833333,-71.1711666666,-94.4820416666,-143.018053571
200.82,-98.8636666668,-107.765166667,-24.0531666667,-112.121333333,-88.4469166665,-27.0833333333,-86.7424166666,-37.5000833333,-55.303,-77.2727083334,-118.222380952
201.19,-69.3333333334,-80.8333333333,-4.33333333332,-86.3333333333,-62.3333333334,-7.83333333342,-65.3333333334,-15.1666666667,-42.3333333333,-54.25,-85.0952380951
201.57,-232.222333333,-290.555583334,-56.1111666668,-307.777666667,-225.5555,-31.6668333335,-251.66675,-80.0000833333,-187.222166667,-191.111333333,-300.714416667
201.95,-90.4760833332,-122.222083333,46.8254166666,-140.079416667,-76.5874999998,51.1904999999,-122.619,13.0950833332,-45.2380000002,-71.23025,-136.536244048
202.33,-42.8161666666,-61.4942499999,63.793,-61.4941666667,-18.9655,51.1495,-68.3907500001,24.1379166667,-23.5631666667,-20.2584583332,-71.2850416667
202.71,-55.8332500001,-62.7777500001,45.5556666666,-77.7778333333,-34.7222499999,29.4445,-93.6111666667,5.8334999999,-44.1667500001,-41.3888333335,-83.8889226191
203.09,-70.3124999999,-87.4999999999,8.59375,-97.9166666667,-57.8124999999,-8.33333333325,-113.541666667,-26.3020833333,-71.0937500001,-70.1822916667,-108.444940476
203.47,-72.3333333332,-83.3333333333,17.6666666666,-89.0000000001,-62.0000000002,7.33333333325,-125.0,-10.3333333334,-74.3333333333,-76.3333333335,-115.809523809
203.85,-55.3333333333,-60.9999999999,41.6666666667,-48.0000000001,-42.0,34.3333333332,-100.333333333,4.3333333334,-38.9999999999,-50.1666666667,-85.0952380953
204.22,-8.59375000007,-3.12499999993,72.9166666667,5.72916666658,3.12499999992,64.84375,-41.1458333334,36.9791666667,-3.12499999998,-18.3593750001,-22.5074404761
204.60,12.0370000001,6.17291666657,103.395166667,23.7655000002,8.33333333332,87.3456666666,-44.4444166666,49.3826666667,-1.85200000007,-17.7469583332,-17.0192916668
204.98,41.0257499999,-10.8973333333,191.666666667,36.5384166667,19.23075,175.641083333,-146.153916667,81.41025,-80.7693333333,-88.1410833333,-78.2508750001
205.36,183.333333334,338.888916667,-508.333333332,-30.555583335,277.77775,-524.999999999,994.444583333,24.9998333332,697.22225,687.499916667,693.650857143
205.74,89.8809166667,124.40475,-74.4047499999,-6.54758333326,104.166583333,-56.5475,284.523833333,62.5001666667,189.285833333,202.380875,199.192166667
206.12,89.0740833333,104.444416667,42.5926666667,53.1482499999,103.333416667,30.9258333332,145.185083333,72.4074166667,123.333333333,117.314833333,125.198363095
206.50,67.5779166667,80.4684166666,36.979,46.2237499999,82.4217500001,26.0413333334,108.072666667,61.3279166666,98.4373333334,81.445,95.0240178572
206.87,50.0,66.9914999999,30.303,35.1731666666,64.3939166667,19.0477500001,80.7359166668,46.645,80.41125,61.471875,75.1855654761
207.25,41.7875,50.60375,14.8551666667,22.2223333333,57.1254999999,1.57008333342,71.7391666667,35.0241666667,74.8792499999,46.7994166667,71.4112500001
207.63,49.3334166667,56.7777499999,21.33325,30.7777499999,64.2221666666,14.5555833335,74.6665833334,43.77775,82.1110833332,51.6666666667,78.9364345237
208.01,61.4584166668,63.7730833334,33.3334166667,47.1065833333,79.6295833333,22.3379166668,83.9120833334,51.6203333333,96.6435833333,62.5002916667,94.7337976191
208.39,57.9602500002,69.2785833333,37.56225,55.0995833332,86.3184166668,23.0099999999,89.6764166668,53.3581666667,102.86075,64.4278333333,100.684059524
208.77,70.1299166667,74.6754166667,52.2728333333,68.7229166668,95.0215833334,40.4761666667,90.5844166666,64.1774999999,106.926416667,73.2684166667,107.629785714
209.14,68.5184999998,70.5760833333,52.6748333334,71.2962500001,94.6503333334,43.4157499999,86.0082499999,61.7284166666,99.2799166666,70.7305,101.513684524
209.52,76.0964999999,82.4560833333,65.0219166667,86.29375,110.964916667,52.4122500001,92.6535000001,71.4910833334,116.666666667,81.3049583334,118.992797619
209.90,89.3333333333,97.4999999998,70.3333333333,107.0,139.666666667,49.3333333332,99.3333333333,76.1666666667,154.333333334,94.5000000001,151.488095238
210.28,66.9696666668,72.1210833333,50.7575,85.303,106.060583333,40.0,73.1818333334,66.3636666668,133.484833334,74.999875,123.787916667
210.66,67.7304166666,77.4821666667,54.43275,94.6809166667,120.567416667,51.2410000001,89.1843333333,74.1134166667,150.8865,102.127583333,148.315690476
211.03,62.1528333332,70.4860833333,49.6528333333,86.9791666667,116.493166667,45.8334166667,86.1109999999,70.1388333333,144.791666667,95.4860416668,137.710851191
211.41,74.7024999999,88.3929166667,66.6666666667,98.5120833334,132.440333333,63.2441666667,97.3213333332,87.0535833333,149.999916667,115.252958333,138.063369048
211.79,72.8175833333,100.396833333,71.4285833334,115.079333333,156.944416667,67.6588333332,117.261833333,98.61125,175.991916667,139.6825,161.862130952
212.17,44.55125,69.8716666668,45.03225,81.5704166666,112.1795,45.5126666665,85.7370833332,68.1089166667,127.40375,109.695458333,115.556327381
212.55,50.8455,60.1449166667,43.3575833333,63.2848333332,96.9806666666,46.6184166667,77.1739166667,63.1643333333,104.4685,93.3574999999,96.9289821429
212.92,37.9629166667,53.2408333332,35.9954166667,49.18975,89.0045833333,39.3517499999,73.7268333334,58.4490833333,99.8842500001,84.1435416667,85.4496845238
213.30,36.6438333334,52.7398333333,37.443,41.3239999999,87.3289166666,39.8401666666,68.9498333333,61.3014166667,97.26025,78.3674999999,82.9826726191
213.68,40.2582499999,57.2769166666,35.0938333333,39.0843333333,84.3894999999,40.9624999999,70.7746666667,67.7230833333,94.3661666666,78.8732916667,76.0982261904
