wavelength,Back_TanSchf,Belly_TanSchf,Breast_TanSchf,Crissum_TanSchf,Crown_TanSchf,DorTail_TanSchf,Patch10_TanSchf,Patch11_TanSchf,Patch12_TanSchf,Patch13_TanSchf,Patch14_TanSchf,Patch15_TanSchf,Rump_TanSchf,Throat_TanSchf,WingTip_TanSchf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,77.5758,53.0304333333,73.3333333333,102.121133333,44.2424,70.3030666667,60.6060666666,57.5756,63.0303999999,79.3939333333,75.7577333333,61.8180666667,75.7575333333,71.5151333333,59.7305851852
179.16,78.3333333333,40.4166666667,56.6666666667,106.666666667,22.5,47.5,20.8333333333,55.8333333333,64.1666666667,71.6666666667,79.1666666667,62.5,79.1666666667,73.3333333333,68.7962962962
179.54,81.5384666666,62.8205,77.9487333333,95.3845999999,50.2564,52.3076666667,72.8204666666,60.5129333333,65.1283333333,61.5384666667,53.3333333333,73.846,82.0512,91.2820666666,68.3762185185
179.93,63.3333333335,25.8333333333,1.39998235227e-10,51.6666666666,-71.6666666666,33.3333333333,91.6666666665,73.3333333331,29.9999999999,65.0,13.3333333333,28.3333333333,93.3333333334,73.3333333333,7.3148148148
180.31,63.7992,49.6415333333,63.3692666667,77.3477000001,35.8423333333,60.9318,65.5913999999,56.4158,49.2474666667,69.6056666667,61.7203333333,57.5626,76.7742666666,65.3764,65.4480777778
180.69,63.1614666667,48.6256,63.2303333333,78.4878666667,34.983,58.6255333333,65.1546000001,52.3023333333,46.3229333333,71.409,63.0241333334,58.6940666667,77.4569333334,68.5910666667,61.0004037036
181.07,58.8372,41.7442666667,58.062,73.9923,29.4574666667,52.5580666667,61.3954666667,47.4418666667,37.8294666667,69.7675333333,59.2248,55.7363333333,78.3720666667,67.7520000001,56.3221814815
181.45,58.0721333333,45.0200666667,60.3213333333,75.1003666667,31.0844666667,59.9197333333,68.3534000001,51.8876666667,40.4016,69.3975333333,60.7229333333,56.2249333333,80.9638000001,74.2973333334,60.058037037
181.83,63.0159333334,55.1190666667,69.6826666667,80.3174333333,40.5556,68.7300666667,77.1428,61.746,48.3333333333,79.7618666667,70.3968,63.492,90.9523333333,81.9840666668,71.878562963
182.21,56.4166666667,53.625,67.9166666667,77.9166666667,38.3333333333,67.6666666667,73.75,55.8333333333,43.6666666666,75.75,68.4166666667,61.0833333333,91.0833333333,81.2500000001,69.4999999999
182.59,60.9662,57.8744666667,72.4638,77.6811333333,39.9033333333,67.5363333333,75.4589333332,55.2656,43.5748666667,74.8792666667,74.2995333333,63.5749333333,94.1062666666,87.0531333334,64.8576407407
182.97,63.8094,65.8095666667,78.9524666667,81.5238,46.5713333333,70.1906,84.3810666667,64.8569999999,48.2858,83.9999333332,81.6191333332,69.7143333333,96.0,94.0951999999,70.5925481482
183.35,72.2666666666,81.8000000001,98.0,107.933333333,63.7333333333,88.1333333334,113.6,83.0666666667,58.6666666666,108.933333333,109.733333333,94.2666666667,123.733333333,130.0,85.3185185186
183.73,83.4920666668,95.5555000001,113.174533333,129.206433333,82.5396666666,90.9523999999,132.222266667,98.0953333333,77.7777333334,126.6666,133.8096,111.428666667,144.761866667,160.476066666,102.292640741
184.11,115.128133333,129.487266667,161.538466666,191.9231,95.3846666666,127.948733333,190.512866667,141.794933333,103.076933333,180.0,191.538466667,152.8204,210.000066667,238.9742,128.960114815
184.49,146.0,162.0,207.666666667,257.166666667,129.0,180.0,253.333333333,196.666666667,144.666666667,247.333333334,255.666666667,200.666666667,285.666666667,308.0,169.851851852
184.87,162.456066667,184.736866667,225.6142,273.684233333,162.1054,207.719533333,270.5264,239.649066667,159.298133333,259.999933333,270.1754,212.280666666,299.2982,324.912333333,211.968844444
185.25,145.384533333,163.3333,193.846133334,220.128166667,150.5128,190.256466667,226.923066667,206.6666,145.128266667,213.846133333,220.5128,189.230666667,231.794866667,256.666666667,180.256277778
185.63,251.25,255.833333333,320.416666667,347.5,266.25,301.25,371.25,320.833333333,226.666666667,358.75,365.416666667,317.916666667,371.666666666,388.75,283.703703704
186.01,-287.272733333,-246.969666667,-353.939266667,-386.6666,-308.485,-329.090866667,-434.545466666,-362.424133333,-221.212133333,-396.9696,-432.727133333,-340.6062,-374.5456,-469.090933333,-279.932633333
186.39,-169.999866666,-128.181833333,-197.272733333,-211.9697,-185.454533333,-166.3636,-228.181866667,-200.000133333,-140.9092,-211.212333333,-241.5152,-184.8484,-176.363666667,-236.969666667,-148.215377778
186.77,-115.3704,-88.4259666667,-135.740733333,-140.740833333,-127.222066667,-107.963066667,-151.851866667,-139.0742,-96.6668,-137.777733333,-154.999933334,-116.852,-125.000066667,-151.481533333,-103.456855555
