wavelength,Back_TanVarf,Belly_TanVarf,Breast_TanVarf,Crissum_TanVarf,Crown_TanVarf,DorTail_TanVarf,Patch10_TanVarf,Patch11_TanVarf,Rump_TanVarf,Throat_TanVarf,WingTip_TanVarf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-11.1112222222,-46.2962222222,-16.6665555556,-79.6296666667,-48.1481111112,7.40744444443,-51.8517777777,-35.1851666667,-12.9628888889,-12.963,-37.9629444445
179.16,105.555777778,137.037111111,164.814888889,162.963,185.185222222,120.370333333,148.148111111,187.962777778,77.7776666667,120.370333333,157.407388889
179.54,-288.888888889,-203.703666667,-211.111,-288.888888889,-262.963,-107.407444444,-233.333222222,-235.185166667,-129.629555556,-137.037111111,-292.592555556
179.93,955.555555554,822.222222222,755.555555557,722.222222223,1100.0,544.444444444,1033.33333333,949.999999999,633.333333333,744.444444445,877.777777778
180.31,-262.963,-209.876444444,-260.082333333,-241.563666667,-271.604888889,-203.292111111,-292.181,-269.341666667,-167.489666667,-220.576111111,-234.156444444
180.69,-171.164111111,-129.629666667,-171.693222222,-160.053,-179.100555555,-128.571444444,-186.243333333,-177.777833333,-106.084555556,-138.095333333,-148.544944445
181.07,-178.030222222,-128.030333333,-172.222222222,-153.282777778,-173.737333333,-138.131333333,-180.808111111,-180.934333333,-104.040555556,-140.151555555,-146.085833333
181.45,-133.123777778,-83.438111111,-121.593333333,-110.482333333,-119.496777778,-99.5807777777,-143.396222222,-130.188666667,-73.1655555557,-99.5806666668,-95.3878333333
181.83,-83.3333333333,-50.8418888889,-78.451111111,-68.5185555555,-79.2927777779,-69.1917777778,-95.4543333333,-87.4580555556,-43.9392222222,-64.478111111,-55.0503888889
182.21,-87.3015555555,-55.7317777779,-86.7724444443,-72.8395555556,-82.3634444445,-80.9524444443,-97.1781111112,-92.6808888889,-48.3245555556,-69.3122222222,-59.1712222222
182.59,-94.8997777777,-65.2096666668,-101.639444445,-86.1567777777,-96.7212222224,-91.9854444446,-110.928888889,-105.191388889,-69.5810000001,-87.4316666668,-76.9579444444
182.97,-120.043555556,-81.4814444444,-127.015222222,-107.625333333,-134.422555556,-108.714444444,-143.790777778,-123.856111111,-101.089333333,-110.021777778,-102.069611111
183.35,-132.575666667,-81.565888889,-137.878888889,-116.414,-141.919111111,-112.373666667,-152.272666667,-127.272611111,-105.808,-118.686777778,-101.641444444
183.73,-115.129888889,-56.5012222223,-110.165444444,-98.818,-114.893666667,-103.309666667,-123.877111111,-108.274277778,-84.6336666667,-94.3261111111,-78.4872222222
184.11,-101.033444444,-40.5685555556,-104.134444444,-87.0801111111,-95.0904444445,-99.4831111113,-105.684666667,-95.0903888889,-65.6329999999,-73.1265555557,-60.5943888889
