wavelength,Back_TanVasf,Belly_TanVasf,Breast_TanVasf,Crissum_TanVasf,Crown_TanVasf,DorTail_TanVasf,Patch10_TanVasf,Patch11_TanVasf,Rump_TanVasf,Throat_TanVasf,WingTip_TanVasf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-112.5,-115.277916667,-99.9999166666,-145.833416667,-115.277666667,-88.8888333332,-62.4999166668,-126.388916667,-91.9444666667,-118.055416667,-141.666666667
179.16,250.0,233.33325,240.277666667,258.333416667,245.83325,251.388833333,176.388833333,218.055583333,195.833333334,227.77775,254.166666666
179.54,-330.5555,-391.666666667,-322.222333333,-330.5555,-411.111083333,-400.000083334,-363.888916667,-358.333333333,-324.44445,-436.111083333,-375.000083333
179.93,1091.66666667,1100.0,1291.66666667,1525.0,1158.33333333,1533.33333333,1075.0,1283.33333333,1351.66666667,1275.0,1166.66666667
180.31,-374.38275,-369.13575,-387.654333333,-471.9135,-442.283916666,-439.1975,-337.345833333,-441.666583333,-411.7901,-425.92575,-418.51825
180.69,-245.238,-258.13475,-256.5475,-321.42875,-297.02375,-291.865083333,-221.4285,-298.214333333,-271.90465,-281.150833333,-277.777583333
181.07,-233.333333333,-256.628666667,-243.37125,-307.197,-285.984833334,-288.82575,-217.424333333,-290.1515,-268.257583333,-278.97725,-269.69675
181.45,-171.85525,-195.283083333,-181.91825,-234.748416667,-217.13825,-225.786083334,-162.107,-224.84275,-208.1447,-219.025166667,-204.559833333
181.83,-118.939333333,-138.005166667,-128.535416667,-169.949416667,-153.661583333,-158.838166667,-106.187,-163.131416667,-154.545516667,-149.747333333,-146.717333333
182.21,-123.67725,-145.76725,-133.862416667,-178.968333333,-167.063583333,-164.94725,-111.507916667,-173.41275,-160.105816667,-156.61375,-154.76175
182.59,-135.928916667,-163.661166667,-144.8085,-191.530083333,-188.388083333,-179.50825,-123.770583333,-188.79775,-167.185816666,-174.453583333,-173.633916667
182.97,-163.562083333,-199.836583333,-175.980416667,-237.254916667,-227.614333334,-223.856166667,-158.660083334,-231.535916667,-205.71895,-213.235083333,-225.490166667
183.35,-175.189333333,-221.022583333,-188.447083333,-259.659166667,-243.939416666,-240.719666666,-178.219833333,-249.621166667,-225.492516666,-245.265333333,-249.052916667
183.73,-155.141666666,-192.7305,-158.687833333,-222.517666667,-204.432666667,-203.723416666,-150.531916666,-217.1985,-195.49645,-217.021416667,-216.134666667
184.11,-155.620166667,-196.7055,-144.961166667,-214.922666667,-197.868333333,-193.410833333,-138.565833333,-212.79075,-181.66665,-214.922416666,-212.403
184.49,-129.365166667,-165.277916667,-122.02375,-185.119083333,-165.27775,-161.3095,-101.587416667,-177.976083333,-146.825416667,-191.666666667,-181.944416667
184.87,-292.916666666,-335.0,-272.5,-398.75,-360.416666667,-369.583333333,-234.166666667,-381.25,-330.5,-440.0,-411.666666667
