wavelength,Back_TanVirf,Belly_TanVirf,Breast_TanVirf,Crissum_TanVirf,Crown_TanVirf,DorTail_TanVirf,Patch10_TanVirf,Patch11_TanVirf,Patch12_TanVirf,Rump_TanVirf,Throat_TanVirf,WingTip_TanVirf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.16,276.515166667,249.2425,240.151583334,237.373555556,271.969833333,235.055045455,244.697,251.515083334,271.969666667,254.650716435,259.091,250.7575
179.54,-473.333333333,-461.666666667,-420.0,-357.777777778,-436.666666667,-380.303030303,-445.0,-481.666666666,-446.666666667,-425.648148148,-493.333333334,-435.0
179.93,-379.166583333,-393.055666667,-351.389083333,-385.185111111,-372.222166667,-272.411708333,-336.111083334,-430.5555,-361.111,-340.354981481,-451.388916667,-368.055583333
180.31,-631.1905,-620.23825,-565.476166667,-544.761888889,-613.095166667,-521.764136364,-559.523833333,-631.428583334,-632.142833333,-544.22618287,-670.952333333,-546.666666667
180.69,-786.290333333,-778.494666667,-698.924666667,-682.078777777,-763.440916667,-648.643723485,-705.1075,-791.9355,-790.053916667,-682.780799769,-835.483916667,-681.98925
181.07,-860.119083333,-843.749833333,-747.916666667,-735.317444446,-824.999916667,-699.864734848,-763.98825,-858.035666667,-853.273916666,-742.270138889,-905.357083333,-747.619
181.45,-483.680583333,-473.263833333,-417.361083334,-408.796222222,-453.47225,-393.102871212,-426.388833333,-482.986,-479.340166667,-411.14008912,-506.597166667,-414.756833334
181.83,-450.0,-435.457583333,-388.398833333,-381.699444444,-422.222166667,-363.643825758,-391.993583333,-449.183,-451.470416667,-383.360570602,-471.568916667,-383.496666667
182.21,-410.8025,-399.845666667,-350.1545,-341.358,-385.031,-341.42805303,-355.246833334,-406.635833333,-418.36425,-350.278556713,-427.93225,-345.215916667
182.59,-445.666666667,-429.833333333,-380.666666666,-362.444444444,-419.833333333,-371.992424242,-387.0,-443.166666666,-450.666666667,-383.719907407,-460.166666666,-374.166666667
182.97,-368.785416666,-359.322083333,-317.796666667,-297.363444444,-352.259833333,-311.511215909,-327.825,-369.774083334,-370.480166667,-317.814138889,-382.3445,-317.372916666
183.35,-323.383083333,-319.527583333,-290.2985,-267.329888889,-309.82575,-273.739310606,-289.179083333,-329.1045,-327.238666667,-281.58175,-343.65675,-288.059583333
183.73,-290.639333334,-287.100333333,-261.187333333,-245.662111111,-274.200833333,-245.501325758,-259.36075,-293.264833334,-291.21,-256.088237268,-316.438416666,-261.415583333
184.11,-314.251166667,-301.207833333,-280.917833334,-264.090222222,-288.164,-262.066306818,-279.830916667,-311.231916667,-307.729333333,-276.687350694,-336.232083333,-279.830916667
184.49,-319.485416667,-295.343083333,-286.029416666,-263.888888889,-293.13725,-264.126712121,-285.294083333,-313.970666667,-311.519583334,-281.605831019,-341.544,-282.598083333
184.87,-253.658583333,-227.540666667,-228.861833333,-206.910555556,-230.284666666,-207.391018939,-223.57725,-243.29275,-244.410583333,-222.926480324,-273.57725,-225.711583333
185.25,-191.41925,-172.359583333,-176.402666667,-158.085666667,-177.39275,-157.474568182,-172.68975,-185.6435,-187.788666666,-168.434934028,-214.5215,-170.792083333
185.63,-190.75,-170.333333333,-175.083333333,-157.333333333,-180.666666667,-151.231060606,-171.583333333,-183.916666667,-186.25,-163.357638889,-217.833333333,-171.083333333
186.01,-165.046333333,-144.444416666,-148.45675,-136.419666667,-155.555583334,-129.082704546,-150.848916667,-160.571,-159.722166667,-136.446479167,-191.435333334,-149.92275
186.39,-177.508166667,-150.404666667,-162.29775,-148.651666667,-168.6085,-136.841670455,-167.152166667,-174.5955,-170.954833333,-148.370583333,-207.686083333,-165.129333333
