wavelength,Back_TanXacm,Belly_TanXacm,Breast_TanXacm,Crissum_TanXacm,Crown_TanXacm,DorTail_TanXacm,Patch10_TanXacm,Patch11_TanXacm,Patch12_TanXacm,Rump_TanXacm,Throat_TanXacm,WingTip_TanXacm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,52.2222222222,47.7777777778,83.3333333333,95.5555555556,74.4444444444,105.555555556,81.6666666668,72.7777777778,80.0,76.6666666667,77.7777777777,76.1111111111
179.16,-48.8888888888,-56.543222222,-95.5555555556,-57.2838888888,-39.5062222222,-107.901111111,-125.679111111,-118.765444444,-163.950666667,-85.432111111,-44.4443333334,-78.2716666668
179.54,40.7232222222,47.2088888889,36.47,19.5108888889,19.5107777778,13.3972222222,3.18977777777,10.9516666667,1.06344444443,37.6927777779,14.035,23.3918888889
179.93,140.740777778,-29.6296666667,-7.40744444433,135.185222222,107.407333333,-9.25933333333,307.407333333,-70.3704444443,-29.6295555558,222.222222222,-59.2592222223,-55.5555555543
180.31,551.245222223,304.310444444,339.655222222,730.747111112,587.931,937.164777779,1062.64355556,654.501888889,1035.249,811.206777777,647.701222223,672.653222222
180.69,350.044111111,171.693111111,227.932,449.063,355.423333333,567.614555557,602.116444445,404.475222222,576.807666667,465.388,415.255666667,399.933888889
181.07,336.31688889,175.308666667,185.699555556,438.168777778,352.674888889,511.625722222,554.938222221,365.637888889,529.320888888,428.086555556,427.983333333,348.045277778
181.45,152.284,69.9095555555,71.5348888888,170.987666667,136.839444444,191.617444445,190.831222222,123.444555556,179.835444444,175.794111111,173.07,123.691333333
181.83,127.398,74.3543333333,74.1714444443,129.817277778,106.125333333,130.498555555,133.152888889,97.9512222223,125.489111111,134.627222222,127.431111111,108.608833333
182.21,114.877555555,77.4953333334,79.3784444444,124.199666667,102.824888889,125.235444444,121.657222222,101.600666667,124.764666667,126.365444444,122.598888889,106.873833333
182.59,103.879555555,76.5293333334,82.8510000001,114.581888889,101.083555555,120.289944444,112.811222222,101.794777778,120.528111111,118.983666667,116.178222222,100.106666667
182.97,98.9401111111,65.646888889,70.4747777778,106.737833333,96.0584444443,113.635388889,108.117444444,97.1596666667,114.074,116.153666667,108.329,93.2411666667
183.35,101.152,69.8215555556,76.6723333333,107.845,92.6462222223,123.1225,108.059111111,95.9006666668,112.749111111,115.870888889,111.841444445,96.7554444444
183.73,110.809222222,77.6204444443,85.0342222223,121.697111111,104.603,141.806722222,125.102222222,109.683555556,120.147222222,133.666666666,126.422777778,101.688333333
184.11,94.3378888889,71.0236666667,79.3913333334,109.6995,91.1412222221,114.518222222,108.312888889,94.1550000001,108.812666667,110.505,112.568888889,81.9602222222
184.49,90.0445555558,70.8194444445,78.4914444445,110.746777778,86.534,103.626444445,101.686,93.1795555555,107.215222222,111.910222222,110.727,77.9323888889
184.87,78.7472222222,67.1298888889,70.4226666667,97.924611111,81.5507777778,88.1251666667,96.1396666668,90.8404444443,102.431777778,108.636666667,102.479666667,65.9338888889
185.25,68.134,58.5968888889,63.3193333332,83.6098888888,72.9096666666,82.2638888889,91.363,87.9574444445,92.4511111112,106.721777778,88.3306666667,60.6718333333
185.63,52.8762222222,47.7337777778,61.0157777777,78.6938333333,67.4745555555,76.6234444445,92.2094444444,87.1521111112,85.9390000001,101.482222222,80.5546666667,59.9071666667
186.01,41.5915555555,44.7002222222,48.8344444445,70.8902222222,51.8703333333,66.2987222222,83.5509999999,71.314888889,71.8541111111,88.2219999999,70.7522222222,38.0543333333
186.39,23.6733333333,31.0574444444,29.8401111111,56.3927222222,30.3695555556,45.1597222222,68.7621111111,50.1818888889,56.053111111,75.5897777779,56.4756666667,14.8696666667
186.77,16.7324444444,24.2317777778,22.6137777778,46.4539444444,15.7235555555,32.9403888889,62.3207777779,35.911,44.5299999999,70.8191111111,50.08,12.7878888889
187.15,7.0396666667,23.1661111111,11.9425555556,44.6987777779,2.45744444443,16.7300555556,66.0943333333,22.8287777778,41.0748888889,73.4890000001,50.0706666667,2.92694444447
187.53,-7.78622222222,19.8863333333,1.57833333333,46.6961666666,-11.4477777778,3.409,67.6978888888,12.2474444444,44.6336666667,76.7676666665,46.7171111111,-4.33516666668
187.91,-25.2354444445,-2.81922222223,-17.6402222222,29.7272777777,-27.4225555555,-14.2765,59.2469999999,-1.6012222222,40.9054444445,66.112888889,37.1263333333,-20.3762777778
188.29,-58.3332222221,9.7222222221,-83.101888889,56.8287777779,-133.796222222,-115.046111111,70.1388888888,-61.574111111,40.2777777778,50.2314444443,33.3334444446,-67.4768333333
188.67,24.024,-193.743555556,279.379444445,-207.507333333,410.660666666,351.901833333,-44.844888889,232.332333333,-42.1422222223,192.642777778,-28.7787777778,125.875888889
189.05,-9.9928888889,-51.7204444443,74.2724444446,-53.3798888889,99.906888889,69.9892222222,13.19,44.4444444444,4.13633333336,101.612888889,6.52333333333,18.9246666666
189.43,-4.26144444434,-38.7545555555,82.2587777779,-53.0128888889,100.006111111,59.0446111111,14.4751111111,34.5482222222,11.1113333333,100.158777778,7.32011111113,12.3291666667
189.81,12.0158888889,-13.0682222222,71.2265555557,-23.309,84.8213333332,56.426,26.6143333333,32.9436666667,30.5285555556,91.7276666666,25.5391111111,10.2861666667
190.19,2.97577777778,-27.3498888889,63.1225555554,-36.689,83.5886666666,45.2648888889,17.7393333334,30.4086666668,27.2988888888,87.0817777777,15.9513333333,8.44516666667
190.57,10.6451111111,-17.5125555556,71.0679999999,-29.4050555556,99.8206666666,42.2329444444,25.6988888889,44.3226666665,37.0751111111,87.8136666668,21.7778888889,19.7205
190.95,36.7905555554,5.037,86.9967777779,-5.33088888889,120.445222222,53.4200555556,47.225,60.8341111112,55.5222222221,103.933111111,34.6678888889,35.7179999999
191.33,51.5582222222,-2.90033333337,123.391222222,-29.7906111111,181.948111111,85.7649444446,30.736,106.248111111,36.378111111,102.842777778,41.01,67.4674999999
191.71,49.4443333333,11.8954444445,129.901888889,-26.2417777778,202.843111111,98.758111111,35.3594444444,115.784333333,39.4118888889,109.607777778,44.3792222222,83.8562222222
192.09,44.5503333333,20.5114444444,146.329555555,-25.2425555556,203.844666667,88.2855000001,34.2167777778,122.744666667,41.3277777778,122.968555555,47.8475555556,102.488555555
192.47,43.4801111111,32.0895555555,109.839666667,-5.3667222222,150.095222222,58.2271666667,40.1387777778,85.2804444444,20.0633333333,98.3355555557,46.4652222222,85.5523333332
192.85,44.8684444444,35.5264444445,75.2715555556,4.56905555553,103.882555555,47.7830555556,35.2167777778,63.6967777779,13.7532222222,78.6923333333,41.1,59.6012777779
193.23,41.4244444445,34.3092222222,69.7814444446,2.79911111113,93.3266666667,47.4628888889,37.0876666667,62.7561111112,11.4297777778,75.7444444443,44.765,57.4309444444
193.61,33.5082222222,33.4842222222,51.7883333334,8.64644444446,73.5785555557,39.5358333333,37.0812222222,51.3421111111,22.6697777778,68.2326666667,39.4063333333,49.3896111111
193.99,28.0394444444,33.9217777778,48.3253333333,9.60044444446,69.0884444443,34.1956111111,39.55,47.7546666667,25.6943333333,64.9355555556,37.0312222222,47.2419444444
194.37,26.5533333333,35.8491111111,47.8616666666,8.61966666668,66.8311111111,35.837,39.1447777778,46.5885555555,24.3361111111,62.1162222222,35.5323333333,45.0901666667
194.75,28.4353333333,34.7445555556,44.6431111111,9.6645,58.6226666667,33.6216111111,36.152,44.5544444445,23.0585555556,59.0212222222,35.0672222222,39.9616666667
195.13,20.3832222222,26.5087777778,37.9575555556,2.55894444444,48.843,23.1193333333,31.0683333333,36.1568888889,16.0188888889,52.2363333333,30.2261111111,34.0543888889
195.51,23.5052222222,28.0528888889,37.5718888889,6.1711111111,47.0807777778,20.479,34.4714444444,36.5386666667,15.7735555555,53.3021111111,29.9403333333,32.7633333333
195.89,17.7053333333,21.2816666667,29.675,-0.934611111123,40.9082222222,13.3546666667,28.494,31.7734444444,6.82666666667,48.5155555556,24.8636666667,28.5631666667
196.27,13.0735555556,13.9612222222,21.4862222222,-4.1918888889,32.2437777778,7.7995,22.4242222222,25.6711111111,-3.70844444444,40.7648888889,17.3451111111,20.5051666667
196.65,-1.71622222223,-1.37699999999,9.8291111111,-24.0468333333,20.9807777778,-12.081111111,9.73399999999,11.7487777778,-18.1183333333,31.5288888889,5.4672222222,2.8016111111
197.03,-9.06433333333,-6.37155555557,4.47866666667,-29.3646111111,16.6502222222,-20.4053333334,2.70700000001,4.92866666667,-23.667,26.1247777778,-4.27433333331,-6.02466666667
197.40,-5.05533333333,-3.47955555557,6.7638888889,-30.1819444444,19.795,-20.4672777779,1.01399999999,3.15866666667,-28.0873333333,22.2674444444,-8.80466666666,-4.68422222223
197.78,8.01555555557,5.23744444443,17.505,-17.7667777778,26.8514444443,-12.675888889,1.47699999999,7.69622222223,-28.1686666667,32.6256666665,-2.435,2.90444444443
198.16,11.7462222221,9.001,14.622,-13.5946111111,26.7787777779,-16.5825555557,-0.690666666657,4.79922222223,-33.4638888889,34.2482222222,-1.34444444446,2.36222222223
198.54,13.2803333333,8.62566666667,13.1619999999,-9.56833333333,23.4233333333,-26.1707222223,1.22733333336,7.52466666667,-34.067,31.5244444444,1.18455555556,-0.4621111111
198.92,11.5915555555,11.0776666668,14.6168888888,-7.7878888889,25.8611111112,-29.6558333333,-3.23455555556,3.73344444443,-37.2885555556,30.699111111,-0.46299999999,-1.766611111
199.30,10.3467777778,11.6707777779,10.4586666665,-5.29088888887,24.633888889,-35.398111111,-4.70055555556,7.3968888889,-35.5281111111,30.7735555557,-3.2862222222,-4.59566666667
199.68,2.8381111111,11.7037777778,6.527111111,-3.65,25.4465555557,-45.8061666667,-9.43577777779,2.9618888889,-36.2607777778,27.998111111,-7.74688888891,-5.22733333333
200.06,1.76766666667,11.2513333334,8.2351111111,-5.99044444447,23.0779999999,-47.6429444443,-5.696,5.20488888887,-29.3912222222,20.622888889,-7.53355555558,-3.3951111111
200.44,8.62177777777,22.683,18.0104444445,1.74711111113,31.069,-38.8371666667,6.82544444443,14.3392222222,-8.84088888889,29.077,0.946333333322,11.1157222222
200.82,6.62377777779,24.8255555556,20.2747777778,5.09855555557,30.7342222222,-39.7647222223,7.9816666667,17.3167777778,-7.92022222224,30.5342222222,1.37111111113,15.0357777778
201.19,5.9258888889,27.2428888889,22.5926666667,4.19738888888,36.8312222222,-36.5740555554,10.1027777778,25.2467777778,-9.87644444443,35.9465555556,9.1768888889,19.7223333333
201.57,3.55666666663,23.2378888889,18.4052222222,5.91100000001,32.9228888889,-38.5560555557,13.8832222222,25.8977777778,-5.9858888889,38.0036666667,9.65099999999,16.5736111111
201.95,-3.30877777778,22.9975555556,12.537,-2.28133333333,31.1013333333,-47.3311666666,14.1103333333,19.0271111111,-4.4322222222,34.8031111111,4.05377777778,11.477
202.33,-12.5496666667,18.5017777778,6.9402222222,-7.45766666667,27.6937777778,-45.5267777779,12.5865555555,20.8407777778,-9.26277777777,31.7268888889,-1.0251111111,6.13377777779
202.71,-11.8956666667,21.0472222222,11.7292222222,-5.13083333333,34.0921111111,-32.7824999999,15.3287777778,21.6483333333,-11.7121111111,39.0785555555,0.556888888867,9.92511111113
203.09,-9.78666666667,29.7632222222,13.0347777778,0.02472222222,38.4061111111,-27.4595555557,22.8781111111,25.0595555556,-12.0594444445,47.8608888889,5.02077777777,17.7101111111
203.47,-13.3993333333,32.5113333333,12.5885555556,-1.43711111111,40.4794444445,-19.1454999999,21.5033333333,24.6541111111,-16.0661111111,48.7882222222,8.19044444443,19.8661111111
203.85,-16.4796666667,30.6297777778,4.69322222222,-12.4518888889,32.2268888889,-24.3585555557,12.0318888889,23.3805555555,-33.1761111111,41.2641111111,0.816888888877,12.7585
204.22,-14.4987777778,28.9688888889,1.57522222222,-8.4156111111,28.3163333333,-33.5897777779,9.17377777779,19.0476666667,-39.4044444445,45.2123333333,-6.62322222221,0.347222222233
204.60,-16.5016666667,20.301,-4.16922222222,-13.2041111111,27.7812222222,-42.8913333332,1.69766666667,15.6398888889,-57.4424444443,40.4385555556,-17.1825555555,-15.4763888889
204.98,-7.80366666667,23.8241111111,-5.11388888887,-8.3661111111,26.0194444444,-32.4513333332,7.63188888888,19.6976666667,-54.9573333332,39.9615555556,-13.5594444444,-12.7056111111
205.36,-17.0892222222,14.2846666667,-21.4037777778,-17.7669444444,13.6003333333,-50.4292777778,0.979444444433,10.1516666666,-70.216,34.5075555556,-28.4486666667,-26.7377777778
205.74,-18.786,19.0535555556,-23.0657777778,-22.0986666667,21.4404444444,-60.5762777778,-5.9258888889,17.7983333333,-84.6502222221,32.0575555556,-36.501888889,-37.4896666667
206.12,-22.467,25.4574444445,-22.1264444444,-34.4189444444,22.7968888889,-73.1480000001,-18.8698888889,30.7578888889,-117.326777778,21.9774444444,-42.0923333333,-41.5494444444
206.50,-36.5215555556,5.174,-41.263,-54.4882222222,12.0974444444,-102.904611111,-31.3272222222,21.5668888889,-138.635777778,14.8868888889,-63.9241111111,-67.6123333333
206.87,-153.324555556,-111.046333333,-190.188555556,-212.4755,-72.5795555556,-322.828611111,-134.979444444,-20.901,-325.146333333,-57.1365555556,-214.078444444,-243.794777778
207.25,90.9764444443,202.457888889,183.366888889,168.619444444,112.356888889,246.481444444,87.9461111113,68.8887777777,148.148111111,121.515111111,171.582555556,255.084333333
207.63,25.0841111113,104.882222222,84.0068888887,77.357,61.1952222221,113.846833333,39.1413333331,35.1851111111,54.7137777777,70.2018888889,76.851777778,124.873611111
208.01,27.8156666667,105.290888889,68.8964444446,75.4723888888,45.1246666667,114.512333333,34.5804444444,26.5306666667,45.3514444447,67.9515555554,75.8504444447,114.172444445
208.39,27.731,116.333666667,66.9777777778,82.4742777778,44.2514444443,120.205388889,39.221888889,32.7916666666,41.4567777777,73.3457777778,71.6402222221,112.673388889
208.77,50.7594444443,118.812333333,78.0643333331,94.731111111,54.8025555556,130.338388889,56.0862222222,41.6635555556,63.2866666667,74.7357777778,81.1404444447,117.860222222
209.14,53.823,119.506888889,69.6984444446,96.8558888888,53.5732222222,122.609333333,52.5822222222,39.9383333333,56.63,80.6596666668,71.2061111111,114.371888889
209.52,64.5390000001,127.087444444,81.5082222221,110.375888889,62.6004444444,136.959777778,61.8629999999,42.1655555556,70.7944444447,89.4184444444,75.6880000002,133.418555555
209.90,64.3991111113,116.666666667,83.2955555558,106.273666667,62.1693333335,131.519166667,56.5381111112,47.619,67.1201111113,86.6213333334,69.4255555557,121.277666667
210.28,76.1334444444,110.504555555,85.696,104.298388889,61.5021111112,136.003555555,59.4347777777,44.2687777778,83.7643333337,85.8796666667,79.6536666669,118.5825
210.66,70.0583333336,102.063111111,71.2963333332,93.7602222222,54.8611111111,122.654944444,51.1272222223,40.3382222222,66.9485555557,85.1447777777,65.4287777779,96.3164444443
211.03,95.8605555557,111.503222222,84.3137777778,106.394277778,55.8824444445,168.148277778,71.6776666668,30.3486666667,106.318,97.1678888889,94.5753333333,116.884611111
