wavelength,Back_TerVirm,Belly_TerVirm,Breast_TerVirm,Crissum_TerVirm,Crown_TerVirm,DorTail_TerVirm,Rump_TerVirm,Throat_TerVirm,WingTip_TerVirm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,62.5926333333,59.6297333333,53.3335333333,43.7036666667,74.4444666667,57.4074666667,54.8149333333,50.5554666667,47.2221666667
179.16,90.4762000001,51.4286,48.5714,47.6191333333,82.8572666665,61.9047333333,35.238,44.7618,71.9047
179.54,91.9999999999,61.9999999999,69.3333333333,57.3333333334,86.6666666666,74.0,59.3333333333,53.3333333333,93.3333333333
179.93,61.3889999999,54.4445333334,31.1112,23.3334,17.7777333333,38.8888666667,33.3334,26.6667,45.2779
180.31,74.6323333333,61.8137999999,52.5982,45.2452666667,56.3724666667,60.9802666667,55.9313333333,55.6127666667,64.4608666667
180.69,71.2854,59.2592666667,51.3724666667,44.0523333333,54.7277333333,59.4334666667,53.1153333333,55.1634666667,61.4378
181.07,68.4614333333,54.9144666667,48.2906,43.7606,50.2138,58.0768,52.0512666667,52.8844666667,57.7136333333
181.45,64.6584999999,52.1285333333,47.5902,43.3334,48.9557333333,54.5782,52.6908666667,53.0322333333,53.6747
181.83,63.533,54.7306666667,49.0218666667,45.1497333334,49.7804666666,54.0917333333,54.0518666667,55.9082333333,52.7945
182.21,64.4576999999,54.4980666667,52.2892,47.269,54.2972666667,55.6224,55.5019999999,58.5542666667,54.5179333333
182.59,61.7825666667,53.7254666667,53.8680666667,46.0962,52.9054,52.9768666667,51.5508666667,55.294,52.4064666667
182.97,59.5017333333,53.0927333333,54.5359333333,45.7044666667,53.5051333333,52.9210666667,51.2028666667,54.4329333333,49.8282
183.35,60.6154,53.2991333333,55.9657333333,47.2821333333,54.2564666667,52.4444666667,51.5213333333,54.9915333333,49.4700666667
183.73,59.8508,52.2388,55.5224666667,47.2636666667,51.3763333333,50.5473333333,49.5191333333,53.5988,48.408
184.11,57.1451,49.5693333333,52.4401333333,46.0606,48.8677333333,48.5486666667,46.7942666667,52.2329,45.1834666667
184.49,51.4505,45.1235333333,47.7777333333,42.6853333333,45.8642,44.3827333333,41.3272666667,48.2562666667,41.8826666667
184.87,52.9147333333,45.2092666667,48.5581333333,42.6665333333,45.8604,44.093,41.9845333333,48.2635666667,42.4341666667
185.25,51.9457666667,44.2232,47.6018,40.8747333333,44.3439333334,41.086,40.0302,47.9939333333,42.6546666667
185.63,51.2571,45.5933333333,47.9379333333,41.6667333333,44.8870666667,42.9096666667,39.5762,47.7260666667,45.1413666667
186.01,50.9065333333,43.4588,46.3040666667,40.6136,42.9289333333,40.8926,38.9679333333,44.5466333333,44.4631333333
186.39,53.9480333333,45.7104666667,47.2951333333,42.4317333333,43.3333333333,42.1584666667,41.6666666667,45.9017,45.0136333333
186.77,53.5704,44.9372666667,46.081,43.7657333333,43.5146,42.371,44.0167333333,47.3499666667,44.0864
187.15,55.9854,46.4637333333,46.4058,47.0434666667,44.8406,43.3914,46.087,48.8986,46.2175
187.53,52.7522666667,44.7579333333,43.8726666667,45.4218,42.9323333333,41.9917333333,44.6748666667,46.0303666667,44.7581333334
187.91,51.9646666667,44.309,42.3036,44.7967333333,42.9809333333,40.5961333333,43.9837333333,44.9727,42.832
188.29,55.5830666667,47.9561333333,45.487,48.8889333333,46.7762666667,41.8380666667,46.7214666667,45.9809,45.8986333333
188.67,57.4197,51.1855333333,48.4797333333,51.2134,48.4517333333,43.3750666667,49.4001333333,46.6945333333,47.9776666667
189.05,52.8551333333,47.4202,44.4638666667,48.116,44.2319333333,38.0869333333,45.2464,42.1449,43.3767666667
189.43,56.3693333333,50.6729333333,48.4821333333,51.0797333333,46.8856666667,40.5634666667,47.5430666667,42.9108666667,46.5103666667
189.81,58.6699666667,50.8044666667,48.3415333333,51.4284666667,45.8785333333,40.2298666667,48.1444666667,42.5451666667,45.0903666667
190.19,55.5928333333,48.3012666667,45.5768666667,47.8205333333,42.2756666667,38.3011333333,42.9166666667,40.2723,39.1987
190.57,50.9594333333,45.0081333333,43.5447333333,45.2682666667,39.6748,35.8374666667,38.6666666667,37.3170333333,37.1219333333
190.95,48.9660666667,43.7432666667,42.2104,43.2798666667,35.9715333333,33.4046,33.5115333333,34.0107666667,34.6345333333
191.33,47.4529333333,41.5384666667,41.265,40.2733333333,33.8119333333,30.3590666667,30.3247333333,33.8633666667,33.0597666667
191.71,46.5438,39.5086666667,37.8948,39.649,32.7368,27.6142,28.4210666667,32.7894666667,32.5262666667
192.09,47.1704333333,40.2713333333,38.411,39.3798,31.2791333333,27.2868,28.1782,31.6473666667,34.1278666667
192.47,46.0287,37.9012666667,37.8188,38.0246666667,27.9424666667,26.2141333333,26.6666666667,30.6377666667,32.7571333333
192.85,44.1200666667,34.6999333333,36.7288,37.8468,27.6191333333,25.9213333333,22.4431333333,28.9855,29.7928666667
193.23,48.6094666667,39.0592,41.9223333333,43.3129333333,34.1511333334,31.9428,27.9754,32.3721333333,34.5398333333
193.61,49.0643,42.0273333333,43.5089333333,45.8868666667,37.3488666667,35.0487333333,30.6043333333,36.1793333333,35.9258333333
193.99,50.7805,43.7553333333,46.3290666667,47.173,38.7762666667,33.9662666667,30.8016666667,36.3080333333,36.9832
194.37,52.4114666667,46.5722,49.5508666667,51.1112,41.2764666667,34.8463333333,33.5696666667,39.0778666667,40.8037333333
194.75,51.5366333333,46.5722,45.7683333333,53.0496,41.3238,33.8061333333,35.2245333334,38.9125,39.3143666667
195.13,51.228,46.9172666667,43.1579333333,52.9824666667,41.6542,29.8747333333,37.594,37.5688666667,40.5012666667
195.51,45.8717333333,45.9325333333,40.6727333333,51.4372,37.5534666667,23.3026666667,36.0856,30.7950666667,37.1560666667
195.89,47.8333333333,50.0666666667,47.9333333333,52.0666666667,40.7333333333,22.8666666667,38.6,29.4333333333,37.2666666667
196.27,42.6,44.8666666667,42.5333333333,47.6,39.0666666667,21.2,37.2,26.2333333333,31.3333333334
196.65,36.2092,39.3463333333,37.8431333333,39.8693333333,36.3398,15.9476666667,32.745,21.8301333333,23.5948333333
197.03,33.9007333334,38.2269333333,33.8298,34.681,33.546,6.95033333334,34.8935333333,18.6878,17.8723333333
197.40,34.0824,41.423,32.0599333333,33.1835333333,33.7828,6.96626666667,37.5281333333,16.4793666667,16.6666
197.78,21.7269,34.1364666667,23.3734,26.506,23.775,1.04406666669,35.5823333333,6.50596666667,4.97993333333
198.16,0.6896,17.8542666667,2.98853333335,13.9464,8.19939999998,-11.7242,24.2910666667,-10.1531666667,-7.81603333333
198.54,-8.53933333333,7.19106666667,-4.79413333334,3.89506666667,1.04859999999,-17.6028,17.1536,-18.9137666667,-11.6103333333
198.92,-32.4242666667,-11.5150666667,-15.3246,-16.0172666667,-17.8354666667,-38.7012666667,-4.58880000001,-39.3507333333,-30.6061
199.30,-40.926,-21.0185333333,-20.9258,-21.5742,-26.2036666667,-44.5371333333,-16.1111333333,-49.6759666667,-39.3518666667
199.68,-26.0000666667,-11.7647333333,-11.9215333333,-9.01966666665,-15.5296,-28.3922,-5.09793333335,-35.7647666667,-25.4511333333
200.06,-28.0487666667,-15.2032,-16.0160666667,-12.7642,-18.6178666667,-27.7236666667,-9.02446666667,-39.6747,-29.6342333333
200.44,-38.9955333333,-28.3106,-19.726,-23.9269333333,-30.2282,-41.5525333334,-22.5571333333,-56.8949000001,-40.3652666667
200.82,-37.8354333333,-25.8008666667,-13.9393333333,-20.0866666667,-27.3593333333,-37.4891333333,-22.8571333333,-53.2033666667,-38.4417
201.19,-45.2991333333,-33.9317333333,-19.0599333333,-24.4444,-38.1197333333,-38.5468000001,-32.3077333333,-60.8975,-46.4530666667
201.57,-64.4144999999,-49.4594666667,-29.3694666667,-34.6846666667,-53.3334666667,-51.9819999999,-48.2882,-70.9009000001,-63.2883333333
201.95,-70.9131000001,-63.5616000001,-40.8218666667,-46.6666666667,-65.2968666666,-67.7625333333,-68.3104666667,-84.9314333333,-73.0593333333
202.33,-77.5955666667,-75.4099999999,-40.3278666667,-55.7377333333,-78.907,-77.9234,-85.4645333333,-96.1202333333,-83.3881
202.71,-108.3332,-106.507866667,-52.2222000001,-76.508,-111.111066666,-105.5554,-119.365133333,-135.635,-122.618866667
203.09,-97.0635666667,-97.9365999999,-49.0476666667,-69.6826,-110.158866667,-89.8412666667,-102.222266667,-128.412633333,-114.3651
203.47,-86.7407333334,-83.9999333334,-30.6667333333,-60.7406666667,-92.5926666667,-74.0739333334,-82.2221333332,-109.777766667,-101.037166667
203.85,-102.147966667,-97.4816000001,-44.8889333333,-65.1852000001,-94.6666666665,-83.2590666666,-92.4444000001,-120.370266667,-111.9259
204.22,-228.333433333,-218.3332,-119.761866667,-152.619066667,-212.857066667,-189.762066667,-196.428666667,-239.642833333,-234.166633333
204.60,-566.666666667,-537.948733333,-341.538466667,-372.820533334,-532.820466667,-462.051266667,-483.077,-546.153999999,-567.948766667
204.98,528.2354,505.4902,376.470533333,367.843,500.3922,441.176533333,463.9216,505.0981,506.274533333
205.36,336.091833333,311.7242,246.206866667,244.8276,304.3678,288.9654,294.252866667,320.689566667,313.103333333
205.74,258.75,244.166666666,201.166666667,198.333333333,240.0,229.666666667,225.5,260.416666667,241.0
206.12,181.269833333,167.830533333,146.666733333,140.529133333,167.089866667,161.587266667,155.5556,184.391433333,168.624366666
206.50,195.000066667,173.218333333,158.160933333,149.195533333,177.8162,169.3104,169.425333334,198.390866667,182.068933333
206.87,234.2,202.266666667,195.866666667,180.8,212.133333333,208.133333333,210.0,238.733333333,215.066666667
207.25,215.696933333,178.666533333,180.605933333,168.121133333,188.363666666,192.969666667,193.2122,222.0001,199.090966667
207.63,206.075133333,178.172066667,177.419133333,163.978533333,188.4946,193.010733333,186.0216,210.537766667,194.731233334
208.01,179.343433333,156.666666667,153.4344,146.7676,166.4646,176.767666667,161.111066667,184.7981,170.909166667
208.39,226.737633333,191.773066667,189.361666667,175.744733333,200.141733333,216.737666667,198.865333333,231.914733333,209.574433333
208.77,330.0,270.833333333,269.791666667,245.0,279.583333333,311.25,279.166666667,340.625,298.75
209.14,377.619,317.8572,314.5238,283.333466667,323.095333333,356.9048,318.809533333,394.285833333,343.3333
209.52,568.958333333,495.833333334,477.916666667,411.25,478.333333333,525.416666667,470.833333333,602.5,517.5
209.90,-4.95993027143e+15,-4.24771328491e+15,-3.95344399107e+15,-3.33078722441e+15,-4.10697579655e+15,-4.51212917212e+15,-3.97476785294e+15,-5.31177399232e+15,-4.45028997269e+15
210.28,-1095.23813334,-911.428533333,-811.428599999,-711.428733334,-902.857133333,-994.285800001,-818.095333333,-1113.80956667,-960.476066667
210.66,7960.0,6773.33333333,5860.0,5273.33333333,6413.33333333,7466.66666667,6086.66666667,7946.66666667,7423.33333333
211.03,-442.142833333,-393.333333333,-303.809466667,-229.523733333,-353.3334,-410.9524,-308.571466667,-447.619033333,-433.333266667
211.41,-505.555666667,-443.3334,-345.0,-240.555533333,-390.5554,-466.6666,-338.333266667,-509.999933333,-478.888933333
211.79,-382.857066667,-332.8572,-250.952266667,-142.857066667,-264.7618,-341.904866667,-239.523866667,-402.142866667,-365.2382
212.17,-272.0,-246.333333333,-177.0,-106.0,-193.666666667,-220.666666667,-199.0,-300.0,-269.833333333
212.55,-881.428466667,-831.428533334,-625.714466667,-472.380866667,-698.095266667,-777.1428,-699.047533333,-992.857099999,-937.1428
212.92,-467.575733333,-408.484866667,-286.666666667,-193.3332,-316.9696,-415.151466667,-359.999933333,-535.151566667,-524.848366667
213.30,-231.666666666,-178.333333333,-109.0,-87.6666666666,-151.333333333,-203.666666667,-173.666666667,-265.166666667,-277.0
213.68,-704.814833333,-544.444466667,-385.925933333,-341.4816,-540.0,-634.814866667,-565.185266667,-753.703466667,-795.925833333
214.06,-615.666666667,-490.0,-359.333333333,-275.333333333,-439.333333333,-553.333333333,-534.0,-631.333333333,-695.666666667
214.44,-366.9047,-280.000066667,-178.571666667,-110.0,-209.523733333,-320.4762,-313.809666667,-358.333333333,-406.9048
214.81,-1358.33333333,-1000.0,-676.666666667,-456.666666665,-831.666666666,-1165.0,-1166.66666667,-1301.66666667,-1458.33333333
215.19,946.190466667,720.952533333,509.523666667,441.904733333,627.619,805.714133333,848.571399999,903.333400001,983.809466666
215.57,407.0587,334.509666667,245.098,202.352866667,292.549133333,363.921666667,393.7256,390.588133333,429.607866667
215.95,494.444333333,388.0,279.555533333,259.555666667,351.555533333,447.111133333,467.5556,490.888933333,511.777666667
216.32,242.702866667,186.486533333,142.882933333,139.819866667,176.036133333,222.702666667,218.558466667,231.351433333,247.2072
216.70,243.619033333,180.381066667,133.523733333,128.381,177.9048,218.857066667,223.428533333,234.857133333,243.333433333
217.08,255.946033333,201.261133334,147.7476,147.207066667,204.684666667,216.936933333,236.3964,255.4054,252.252233333
217.46,253.603566667,214.414466667,158.017933334,146.666733333,207.927866667,218.198333333,231.891933333,263.783833333,245.946066667
217.83,272.4445,242.888866667,175.333333333,162.2222,214.6666,245.777733333,251.7778,296.777733333,262.3333
218.21,277.5,240.833333333,176.666666667,182.083333334,226.041666667,260.416666667,245.0,300.208333333,261.770833333
