wavelength,Back_ThlInom,Belly_ThlInom,Breast_ThlInom,Crissum_ThlInom,Crown_ThlInom,DorTail_ThlInom,Rump_ThlInom,Throat_ThlInom,WingTip_ThlInom
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,50.0,50.0,55.0,78.3333333334,69.1666666667,59.1666666667,45.0,36.6666666667,63.3333333333
179.16,64.5833333333,72.3958333333,76.0416666667,86.1979166667,89.5833333333,68.75,58.3333333333,61.9791666666,90.1041666667
179.54,31.0605833333,38.2575833333,51.515,45.07575,42.803,50.7575,40.3408333333,42.2349166667,53.0303333333
179.93,46.25,36.6666666667,39.5833333333,53.9583333333,56.6666666667,41.6666666667,42.5,34.375,68.3333333333
180.31,67.6441666667,68.319375,68.0168333333,81.0054166667,77.6536666667,64.9906666667,67.4813333333,59.7764166667,77.9329166667
180.69,67.3400833333,66.5404583334,67.5925,78.3249166666,76.80975,63.51025,66.18275,59.3014166666,75.6734166667
181.07,69.2810833333,67.361125,68.25975,78.32925,76.5523333333,62.41825,65.9517916666,62.0508333333,75.9395833333
181.45,75.21925,72.7850416667,74.43,84.5833333333,81.6665833333,67.1490833333,69.9560416667,68.9472916667,80.307
181.83,85.8425833333,82.2918333332,80.7763333333,93.5843333333,90.9090833334,73.3429166666,77.2490416667,77.2254166667,86.17425
182.21,94.35475,91.2902916667,87.3656666667,100.376375,99.3549999999,78.60225,82.9030833333,84.1666249999,91.1290833333
182.59,92.215,89.0897499999,83.49775,95.8606250001,97.69725,73.1360833334,76.452875,81.6063333333,83.8817499999
182.97,98.1120833334,94.6614583332,86.5233333334,102.115833333,103.32025,76.10675,78.2552083333,89.5182916668,88.8020833334
183.35,102.04675,98.574375,88.8158333333,102.668125,107.30975,76.4619166666,77.9604583333,88.7060833333,87.7924166667
183.73,111.819666667,107.185416667,96.1734166665,108.24825,116.411416667,80.35725,79.2942916667,96.0460833332,92.262
184.11,107.549166667,104.901875,91.8628333334,97.8922500001,114.313666667,72.549,69.41175,93.9217499999,83.2353333333
184.49,133.196833333,127.937125,114.34425,119.0575,147.131083333,89.7541666666,80.1912916667,114.139458333,92.0765000001
184.87,146.45375,143.971416667,120.922083333,130.585083333,167.198583333,96.0993333333,78.1027500001,122.606416666,87.234
185.25,185.294166667,190.931375,159.313833333,162.132416667,226.2255,126.960833333,103.063708333,144.975333334,103.921666667
185.63,149.561333333,144.736875,117.982333333,119.517666667,180.70175,84.4299166667,79.4956666667,98.6841666666,65.1315833333
186.01,144.72225,143.888875,109.72225,109.02775,190.555583333,62.2223333333,62.7777083334,75.694375,43.6111666667
186.39,101.709416667,98.9314166667,80.5554166667,82.4785416667,132.264916667,41.4528333334,41.55975,53.632375,8.54708333333
186.77,115.1785,133.92875,106.249916667,104.464083333,161.607166667,48.5119166667,54.1667916667,70.5355,-9.22625000001
187.15,99.0196666668,118.137208333,93.3822499999,87.8677083333,126.470416667,48.28425,61.6422083332,55.2695833334,-9.06874999998
187.53,78.5715000001,94.3454166666,75.5951666666,64.5832916667,89.4840833332,38.6905,50.793625,49.4047499999,-8.9285
187.91,63.1944999999,77.343625,67.1876666668,52.4304583333,70.3125833334,22.7430833333,36.1978333334,36.458375,-15.4515
188.29,66.0256666666,73.3972916666,78.9744166667,58.7820416667,69.8719166666,31.9231666667,44.6795833334,40.7050416667,5.64108333332
188.67,63.0824166667,70.8333333334,69.534,58.1989583333,60.6630000001,37.2759166666,49.2384583333,44.4444583333,21.1469166667
189.05,64.6635,73.077,73.3975,60.176375,58.9742499999,38.141,52.9646666667,48.3574166667,30.5288333333
189.43,55.4454166666,72.9373333332,68.06925,57.0131666667,50.5775833334,30.0329166667,45.9983333334,45.17325,24.9174166667
189.81,52.3333333333,76.4583333333,65.5,52.5833333333,46.8333333334,30.75,47.1666666667,47.9583333333,21.25
190.19,52.2935,74.4265416667,65.90225,52.1789166666,42.5075833333,31.9571666667,48.0887083333,46.2537083334,19.57175
190.57,56.59425,78.1522083333,68.9131666666,53.8405833333,45.7971666667,36.2318333333,54.6375833333,49.0217083333,26.2319166667
190.95,55.1169166667,75.1827499999,67.2515,49.78075,42.3245000001,33.7718333333,54.714875,44.8099166667,26.5349166666
191.33,54.2753333333,71.8840833334,66.7391666667,47.6085416666,41.4493333332,34.2029166667,50.579625,40.072625,23.8404166667
191.71,56.47375,72.1418333332,67.0109166667,48.3127916667,43.113,36.2945833333,50.3788333334,38.9809583333,24.8621666667
192.09,59.00525,72.6814583332,67.5403333333,45.8332916667,44.1532499999,38.3738333333,52.4865833333,38.4744583334,24.3950833333
192.47,59.0276666667,71.6321249999,62.77775,43.8194583333,42.0140000001,38.6805833334,51.250125,36.979125,22.0834166667
192.85,56.5635,70.3169999999,61.2830833333,38.5325,40.7817500001,36.2833333334,47.7875416667,35.54575,19.02675
193.23,57.0388333333,72.9368333334,58.00975,36.9740416667,37.7831666666,37.4595833333,48.0987083333,36.5695,13.5923333333
193.61,62.8333333333,68.2083333333,59.75,34.7083333333,37.75,41.6666666667,54.6666666667,35.7083333333,9.75000000002
