wavelength,Back_ThlOrnf,Belly_ThlOrnf,Breast_ThlOrnf,Crissum_ThlOrnf,Crown_ThlOrnf,DorTail_ThlOrnf,Rump_ThlOrnf,Throat_ThlOrnf,WingTip_ThlOrnf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,100.0,163.333333333,60.0000000001,313.333333333,123.333333333,273.333333333,240.0,203.333333333,213.333333333
179.16,34.4444666666,72.2223333333,68.8888666667,65.5555333333,25.5554000001,86.6666,62.2222,86.6667333333,28.8888666666
179.54,61.9047333334,74.7619333333,53.3334,77.1428,57.1428,89.0476666668,94.2856666667,60.4762666667,45.2379333333
179.93,25.7144,6.6666,42.8572,56.1906,31.4285333333,15.2381333333,75.2381333333,40.9523999999,6.66680000003
180.31,49.6774666667,40.4302,63.8708666668,93.7633999999,12.9031333334,84.7310666667,93.3331999999,53.9786,-6.45159999995
180.69,27.1795333335,27.9487333333,49.2307333335,96.1538666667,-18.4614666667,84.8718,82.3077333333,40.7692,-47.9488666667
181.07,-19.0475333333,-18.0951999999,13.9682666667,54.6030666667,-86.0315333333,35.5553333333,33.0157999999,-14.9205999999,-117.777733333
181.45,970.0,1013.33333333,796.666666668,76.6666666666,1700.0,513.333333333,463.333333333,976.666666667,2040.0
181.83,162.2222,160.444466667,132.888933333,45.7778,259.1112,116.0,113.777733333,144.444466667,282.666733333
182.21,121.3888,111.111133333,113.333266667,51.111,195.833266667,95.0000666667,114.722066667,111.6668,188.055466667
182.59,84.5238666667,85.9524666667,90.7143333333,30.2382,161.4286,49.9999333333,98.5715333333,80.4762666667,141.9048
182.97,135.111133333,122.222333333,161.333333333,52.8887999999,279.111133333,63.9999999999,176.444533333,135.5556,236.000066667
183.35,97.7778,68.4444666668,152.888866667,33.7778666668,248.888866667,33.7777333333,155.111133333,83.9999333334,171.111133333
183.73,67.0174666666,57.5438666667,156.1404,39.9998,196.140466667,25.9649333333,142.105333333,43.5086666667,129.473666667
184.11,71.0145333333,43.7680666667,151.884,34.4927333333,166.3768,40.8695333333,141.739133333,36.2318666667,106.087066667
184.49,103.950533333,65.1851999999,173.580066667,59.0122666666,170.1236,75.3086666667,159.753,64.4444666666,94.0740666667
184.87,121.6,78.9333333334,197.066666667,83.2000000001,189.066666667,103.466666667,180.8,77.3333333333,86.4000000001
185.25,135.2778,78.0555333333,209.166533333,96.3888666669,195.8334,92.7778666666,185.0,74.9999999999,89.1668
185.63,-83.0768666667,45.1282666668,-209.230733334,-15.3844000001,-188.717933333,7.69240000014,-161.025533333,13.3333333333,29.7437333335
186.01,-255.555466666,-54.8148666668,-408.148133333,-122.963,-384.444466667,-180.740733333,-388.1482,-131.851866667,-71.8519333333
186.39,1286.66666667,359.999999999,1876.66666667,746.666666667,1920.0,1006.66666667,1873.33333333,723.333333332,443.333333333
186.77,225.555533333,95.5555333333,251.481466667,142.2222,289.259333333,217.407466667,278.148133333,148.1482,111.111066667
187.15,140.571466667,68.0000666667,144.571466667,75.4285333333,170.476133334,139.618933333,147.619,97.5237333333,70.4762666667
187.53,142.926866667,77.7236000001,133.333333333,73.8211333333,152.8456,145.853666667,140.3252,108.617933333,84.3902666666
187.91,133.900733333,69.7871333334,110.921866667,61.9857333334,129.787266667,127.8016,122.978733333,105.5318,77.1630666667
188.29,121.547666667,72.6191333333,97.8570666666,67.0238666667,117.023733333,121.7858,112.738066667,101.547666667,76.1906
188.67,105.277866667,68.8889333334,80.0925333333,62.6852666667,101.759333333,104.7222,94.8146666667,84.8148666666,74.7222666667
189.05,84.2352,57.5685333333,62.2745333333,48.7842666666,86.7450666667,85.0197333333,76.5492000001,69.647,63.1370666667
189.43,69.7318,49.1188666667,49.5019333333,39.6168666667,77.3179999999,79.9233333333,69.1955333333,58.5440666667,55.8620666666
189.81,58.4374,46.5104666667,43.7501333333,40.4167333333,65.5209333333,68.8019333333,61.9272,49.7396,51.9272666667
190.19,52.9679333333,45.9817333333,41.3698,40.9590666667,62.3744666666,61.4613333334,57.8081333333,45.7534666667,49.4062666667
190.57,54.6853333333,45.1749333333,40.0,40.5128,60.0932666666,59.8134666667,56.9696,45.5012666667,50.3496666667
190.95,57.5756,49.2562,43.5262,42.204,62.6445999999,62.4241333333,60.4407999999,47.2727333333,54.6557333333
191.33,54.2076,47.1584,39.7814666667,44.7541333333,56.5573999999,57.377,59.8908000001,43.1146666667,52.3496666667
191.71,46.3131333333,41.8686666667,35.5051333333,44.0403333333,53.0809333333,52.8282,55.4544666666,37.8787333333,47.2223333333
192.09,41.8572666667,36.6189333333,30.1904666667,38.7618666667,48.4762666667,52.3808,49.9047333333,32.8096,42.6667333333
192.47,40.2415333333,33.2368,27.6811333333,33.3333333333,48.4540666667,52.2705333333,46.3284666667,29.3719333333,38.1642666667
192.85,35.2525333334,30.4545333333,24.4948666667,29.3940666667,46.1111333333,49.293,43.1312666667,26.4141333333,32.7776666667
193.23,34.074,28.4936666667,25.4815333333,29.4816,42.6172666667,49.6789333333,43.7036,24.0493333333,30.5184666667
193.61,37.7608666667,30.1781333333,28.4987333333,29.2110666666,40.7124666667,49.9744,45.4961333333,25.1399333333,29.5674666667
193.99,38.2539333333,29.2063333333,29.947,28.0952666667,38.3068,47.6190666667,43.9153333333,24.6560666667,25.6085333333
194.37,36.7816,23.2759333333,25.5172666667,19.9425333333,32.5862,42.931,39.7699333333,18.7357333333,18.6780666667
194.75,35.2648,22.0560666667,26.0436666667,14.0186666667,31.8380666667,44.6728666666,40.3737333333,16.5730666667,15.4517333333
195.13,38.5754,20.9116666667,27.5214,15.3276666667,34.2451333333,44.2165333333,43.3048666667,18.4614666667,15.2706666667
195.51,41.7544,20.8772666667,32.5147333333,14.503,36.3742,48.8888666667,45.6725333333,16.959,15.3216666667
195.89,45.9259333333,22.2895333333,32.6598666667,10.1010666667,36.2289333333,49.8991333333,47.7442,16.2289333333,13.4006
196.27,47.9725333333,23.6427333333,34.914,11.6150666667,38.5567333333,48.6597333334,50.8590666667,15.1202666667,11.7526666667
196.65,55.7855333333,29.6551333333,39.6168666667,18.8505333333,41.6092,51.1876666666,58.6206666667,16.2450666667,21.0727333333
197.03,61.8105333333,29.5473333333,47.2428,26.4197999999,46.1727333333,56.9546,68.6419333333,17.3662666667,26.1728666666
197.40,75.1244,32.9352666667,53.9304666667,31.7412666666,55.6220000001,65.0744666667,78.3084666666,20.1991333333,28.5572
197.78,67.0222,26.0444666667,48.7109999999,27.5555999999,50.7555333333,57.9555333333,67.5555333333,17.1555333333,25.9555333333
198.16,68.3091333333,27.9228,48.1159333333,26.5700000001,53.0435333333,62.2222666667,72.7536666666,13.0434666667,26.3766666667
198.54,78.6274666667,40.5882,56.1764666667,39.8038666666,65.1958666668,69.2156666667,83.7255333333,24.1176,35.8824
198.92,80.8546666667,44.7865333333,58.5470666666,51.2820666666,67.1795333333,66.4102666667,79.4872666666,30.3418666667,41.624
199.30,82.7618666667,48.4761333334,54.8571333333,51.8094666667,63.9047333334,67.8094,75.7143333333,24.0000666667,41.7143333333
199.68,74.5455333332,45.7143333333,45.1082666667,49.7835333333,59.0475333334,59.9998666666,68.4848666667,25.1947333333,38.2685333333
200.06,68.0001333334,36.7059333334,36.1569333334,45.5686666666,51.2157333333,53.7254666667,58.3527999999,18.9019333333,30.9019333333
200.44,63.1706666667,31.7886,32.2764666667,44.2275999999,49.2683333334,45.1218666667,49.6748,14.7153333333,25.0407333333
200.82,52.6516666666,24.1666,27.1969333333,35.7576,39.8485333334,36.8938,40.7574666667,6.9696,14.1666666667
201.19,47.8135333333,18.7096,16.0573333333,29.5339333333,31.2542666667,32.4730666667,32.7597333333,3.01079999998,4.30113333333
201.57,34.4762666667,12.1271333333,9.90473333333,20.0634666667,20.5079333334,22.0952,23.0476666666,-1.58726666667,-1.20626666667
201.95,29.2134,6.36713333333,-0.5244,15.6554666667,13.4831333333,18.7266,16.2546666667,-11.161,-14.2322666667
202.33,25.7028,0.56226666668,-8.3534,11.1646666667,6.82746666666,15.5019333333,12.2892666666,-13.4136,-20.2408666667
202.71,3.96386666666,-19.2792666667,-29.4594,-3.78386666666,-15.7658,0.720599999994,-6.8467333333,-35.9458666667,-42.4324666667
203.09,-32.5144666667,-54.1521333333,-79.9999333334,-38.3626,-60.4677999999,-29.0057333333,-39.6491333333,-78.1286,-93.0992666667
203.47,-50.9942666667,-68.8888666666,-89.5905333333,-47.6024666667,-76.9591999999,-47.9532666667,-51.8128666666,-90.5261999999,-115.321666667
203.85,-104.186133333,-119.6898,-148.682133333,-90.8528000001,-126.2016,-93.7984666666,-90.5425999999,-154.1086,-181.550466667
204.22,-112.666666667,-118.5,-147.666666667,-89.8333333333,-129.333333333,-107.333333333,-84.8333333333,-157.166666667,-187.5
204.60,-100.454466667,-98.6365333334,-126.818133333,-68.6364666668,-110.757533333,-81.8180666667,-55.3031333333,-136.363733333,-159.696933333
204.98,-130.0,-121.833333333,-159.333333333,-92.4999999999,-143.0,-107.833333333,-75.1666666666,-165.833333333,-186.833333333
205.36,-145.4386,-127.3684,-166.666666667,-101.403533333,-154.210533333,-128.0702,-83.1579333333,-178.947466667,-188.2456
205.74,-197.9488,-167.948733333,-232.307733333,-137.9488,-223.333266667,-191.7948,-99.4870666666,-241.7948,-263.8462
206.12,-322.5,-267.083333333,-369.583333333,-221.25,-361.25,-340.416666667,-155.0,-366.666666667,-435.833333333
206.50,-1028.0,-826.666666667,-1218.66666667,-682.666666666,-1210.66666667,-1145.33333333,-554.666666666,-1228.0,-1412.0
206.87,-479.166666667,-375.833333333,-620.833333333,-327.5,-638.333333333,-583.333333333,-211.666666667,-577.5,-763.333333333
207.25,-643.333399999,-470.000066667,-765.555533335,-429.999999999,-812.222399999,-761.111200001,-248.888866667,-735.555599999,-951.111200001
