wavelength,Back_ThlPecm,Belly_ThlPecm,Breast_ThlPecm,Crissum_ThlPecm,Crown_ThlPecm,DorTail_ThlPecm,Patch10_ThlPecm,Rump_ThlPecm,Throat_ThlPecm,WingTip_ThlPecm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,188.888777778,44.4444444444,137.037222222,133.333222222,55.5556666667,74.0742222222,151.851888889,218.518444444,159.259222222,296.296333333
179.16,115.555555556,51.111111111,108.888888889,126.666666667,155.555555556,57.7777777778,195.555555556,193.333333333,97.7777777777,157.777777778
179.54,255.555333334,248.148111111,251.852,237.036777778,270.370333333,207.407444444,199.999888889,262.963,174.074,303.703777778
179.93,9.25922222223,68.5184444444,-29.6296666665,12.9628888888,-31.4815555555,3.70366666668,18.5185555554,-7.40733333334,1.85177777777,-70.3703333334
180.31,167.973777778,65.3595555556,167.320111111,142.483444444,207.189555556,127.451,185.621,235.947666667,87.5816666667,345.098
180.69,241.269888889,123.809444444,275.396888889,198.412666667,316.666666667,226.190444444,283.333333333,327.777888889,150.793666667,487.301666667
181.07,245.238,164.285777778,301.587444445,223.016,369.047555556,269.047666667,305.555555556,361.904888889,184.126888889,491.269888889
181.45,-417.777777778,-322.222222222,-660.0,-335.555555556,-851.111111112,-606.666666668,-604.444444443,-733.333333333,-377.777777778,-1180.0
181.83,-462.222222222,-304.444444444,-631.111111111,-275.555555556,-922.222222221,-651.111111112,-608.888888889,-722.222222222,-384.444444443,-1237.77777778
182.21,1107.40722222,855.555555554,1266.66677778,651.851666667,1781.48144444,1333.33322222,1325.926,1451.852,988.888888888,2196.29655556
182.59,417.171777778,304.040555556,432.323222222,269.696888889,622.222111111,468.686888889,453.535333333,483.838333333,385.858555556,711.111333333
182.97,347.619,240.476444444,350.000222222,265.873111111,525.396888889,388.888777778,403.968222222,402.380888889,341.269777778,575.396777778
183.35,2383.33333333,1677.77777778,2527.77777778,1961.11111111,3844.44444445,2677.77777778,3094.44444444,2783.33333333,2311.11111111,3950.0
183.73,-6411.11111111,-4588.88888889,-6811.11111111,-5177.77777778,-9133.33333332,-7100.0,-7977.77777779,-7000.0,-6666.66666667,-9633.33333334
184.11,-316.111111111,-201.666666667,-318.888888889,-257.777777778,-459.444444444,-327.222222222,-413.333333333,-348.333333333,-323.888888889,-458.333333333
184.49,-553.968333333,-341.269888889,-513.492111111,-465.079333333,-745.23811111,-545.238111111,-681.746111111,-586.508,-553.174555556,-746.031777778
184.87,-310.144888889,-148.792111111,-256.521666667,-245.410555556,-418.840555555,-295.169222222,-385.990333333,-333.333333333,-288.888888889,-408.212555556
185.25,-312.5,-159.259333333,-267.129777778,-258.333333333,-432.407555556,-319.444333334,-402.777777778,-339.814777778,-293.518444444,-414.352
185.63,991.111111113,577.777777778,798.888888889,870.0,1255.55555555,996.666666668,1172.22222222,1098.88888889,895.555555554,1204.44444445
186.01,573.856222222,324.183111111,479.084888889,537.908666666,740.522777778,601.307111111,699.999888889,681.045666667,544.444333333,715.032666667
186.39,444.949444445,239.394,357.070777778,427.777888889,581.818222222,463.636333333,547.474777778,540.404111111,417.171555556,567.676888889
186.77,281.081111111,160.360333333,222.522555556,251.051,350.750666667,283.483333334,337.237333333,331.831888889,254.654666667,336.936777778
187.15,207.201666667,125.514555556,166.666666667,177.983666667,248.354,205.967111111,237.448444444,243.621666667,188.065888889,239.300555556
187.53,175.518,100.188333333,141.996,148.964111111,222.033777778,181.167555555,202.636555556,216.572555555,166.666666667,207.156222222
187.91,146.268666667,89.2205555557,112.769666666,135.157555555,194.361555555,154.228777778,178.275444445,188.723,145.439444444,176.948444444
188.29,116.140333333,76.9591111111,95.3216666666,113.918111111,149.239777778,125.614111111,135.204888889,149.356888889,121.403555556,137.777888889
188.67,118.641888889,80.2471111112,99.506111111,122.469222222,156.172888889,130.246888889,138.271666667,158.642111111,124.938111111,137.901222222
189.05,109.465,79.6296666666,90.2263333334,117.798333333,140.637888889,118.312666667,122.325111111,142.180888889,116.358111111,123.251
189.43,103.249444445,72.1175555556,78.0922222223,111.215888889,129.664555555,107.652,114.151,131.446555555,107.023111111,110.167666667
189.81,107.228777778,74.699,78.5807777779,119.812555556,142.704111111,113.654666667,130.254333333,138.420444444,116.733555556,114.859333333
190.19,113.386888889,80.856888889,80.3212222222,125.301222222,145.247777778,113.654555556,141.499111111,138.955777778,124.497888889,114.993555556
