wavelength,Back_ThlRufm,Belly_ThlRufm,Breast_ThlRufm,Crissum_ThlRufm,Crown_ThlRufm,DorTail_ThlRufm,Patch10_ThlRufm,Rump_ThlRufm,Throat_ThlRufm,WingTip_ThlRufm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.16,111.111,144.444333333,118.0555,166.66675,115.277833333,123.611166666,74.9999999999,91.6667499999,86.1111666667,140.277833333
179.54,38.8889166666,-5.55558333332,70.8333333333,-18.0555833333,-25.0,69.4444166666,54.1666666666,26.389,-12.5000833333,11.1110833333
179.93,-169.444583333,111.111333333,-11.111,83.3333333333,49.9999166667,-116.666666667,16.6667499999,-27.7777500001,47.22225,91.6667499999
180.31,708.333333334,1.66666666675,240.0,-323.333333334,4.99999999975,389.999999999,343.333333334,213.333333333,375.0,-258.333333333
180.69,370.0,-26.6666666667,66.6666666667,-200.0,-40.833333333,195.0,109.166666666,45.0000000001,156.666666667,-145.0
181.07,658.333333331,-76.6666666668,88.3333333332,-408.333333333,-211.666666667,388.333333334,43.3333333333,35.0000000001,318.333333333,-286.666666667
181.45,430.208333333,-31.2499999999,17.7083333333,-254.166666667,-145.833333333,247.916666667,-27.0833333333,6.24999999999,197.916666666,-203.125
181.83,-243.333333333,126.666666667,132.5,340.0,225.0,-24.1666666667,180.833333333,137.5,-83.3333333332,298.333333333
182.21,-77.0833333333,121.875,131.25,266.145833333,194.270833333,77.0833333334,166.145833333,130.729166667,0.520833333325,242.1875
182.59,11.4583333332,94.0104166667,120.572916667,167.708333333,125.0,92.96875,120.052083333,108.072916667,43.75,159.635416667
182.97,19.5945833334,90.09,127.252333333,156.531416667,127.026916667,99.7749166668,123.873666667,101.801833333,45.9458333334,150.67575
183.35,53.3333333334,134.166666667,190.555416667,219.4445,181.388916667,163.888833333,173.611,145.833333333,84.1665000001,203.611083333
183.73,110.52625,232.894833333,328.508666667,374.12275,319.29825,299.561416667,297.807,249.5615,148.684166667,333.771833334
184.11,170.833416667,293.452333333,440.47625,488.690416667,436.904833333,420.833333333,406.547666667,327.380916667,214.881083333,448.214333334
184.49,144.444416667,216.203666667,338.425916666,373.611166667,340.740833333,330.092583333,322.22225,270.833333333,183.796333333,335.18525
184.87,120.3125,186.979166667,315.104166667,377.083333333,325.520833333,343.229166667,292.1875,246.875,153.645833334,330.729166667
185.25,208.333416667,373.8095,711.90475,841.666666667,639.285666667,755.952333334,585.714166667,529.761833333,334.523666666,717.85725
185.63,104.166666667,150.0,315.625,335.416666667,298.4375,358.333333333,270.833333333,262.5,148.4375,311.979166666
186.01,555.555666668,611.111083332,1594.44441667,1561.11108333,1408.33316667,1749.99983333,1336.11108333,1277.77775,574.999999999,1525.00008333
186.39,-1258.33333333,-1516.66666667,-5158.33333334,-4325.0,-3958.33333333,-5066.66666667,-3966.66666666,-3925.0,-1375.0,-4408.33333333
186.77,-3.7880000001,-21.2120000001,-181.81825,-142.045333333,-138.257666667,-185.606166667,-149.242333333,-136.742583333,-6.81816666667,-153.030333333
