wavelength,Back_ThrAbbm,Belly_ThrAbbm,Breast_ThrAbbm,Crissum_ThrAbbm,Crown_ThrAbbm,DorTail_ThrAbbm,Patch10_ThrAbbm,Patch11_ThrAbbm,Patch12_ThrAbbm,Rump_ThrAbbm,Throat_ThrAbbm,WingTip_ThrAbbm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,76.9698000001,78.182,67.2727333333,106.0606,46.0607333333,96.9697333334,81.8181333333,93.9393333334,111.212133333,84.2424666666,74.2424333333,107.272633333
179.16,246.666533333,231.111,208.888933333,433.3334,171.111066666,308.889,268.8888,240.0,212.2222,255.555533333,298.888866667,251.1112
179.54,-35.238,-22.8571333333,-36.1904666667,-92.3808666666,-27.6189999999,-94.2857333333,-47.6189333333,-72.3810000001,-38.5712000001,-56.1906666667,-49.9999666667,-65.238
179.93,87.4074666667,63.7035999999,77.7778666666,75.5555333333,65.9259333334,73.3332666667,97.0370666667,94.8148,78.8888999999,80.7406666667,82.9629333333,92.9628666667
180.31,94.4086,60.4299333333,47.3118666667,168.3872,39.7851333333,141.075266667,124.085933333,89.0322666667,61.0751666666,83.8710000001,74.7312333333,124.5161
180.69,89.9999333333,57.7778666667,42.4445333333,174.222333333,28.4445333333,141.333533333,114.888866667,85.7778000001,53.2222666667,76.6665333333,77.2221333334,130.111166667
181.07,68.1481999999,18.8888666666,2.96293333326,207.7778,-28.8888666666,140.740733333,117.777666667,55.1851333334,-6.48156666666,33.3334,41.4815333333,126.481466667
181.45,-19.5238666666,-67.6191333332,-101.9048,148.095133334,-137.619,77.1431333333,40.0000000002,-35.7142666666,-109.761966667,-73.8095333333,-46.6667666668,72.6190999999
181.83,-192.0,-232.0,-322.666666667,15.3333333334,-350.0,-82.6666666667,-142.666666667,-204.666666667,-304.333333333,-272.0,-224.333333333,-29.6666666668
182.21,953.3334,988.888799999,1393.3332,197.7778,1473.33326667,582.222133333,811.110933332,968.888866666,1285.55553333,1206.66666667,1151.11103333,369.999933333
182.59,232.222266667,215.5556,314.444333333,28.8889333332,323.8888,138.888733333,197.778066667,215.5556,257.2223,268.888866667,288.333466667,46.6666666664
182.97,173.725466667,144.313866667,219.215733333,14.1177333334,215.686266667,123.137266667,142.745066667,146.274533333,180.784333333,189.019533333,198.039166667,29.6077999999
183.35,209.259333333,167.4074,225.925933333,65.926,245.925933333,177.037133334,165.185266667,157.407266667,188.1481,221.111066667,210.5556,53.8889333332
183.73,131.954,103.678133333,127.586333333,58.1609333334,158.1608,110.5746,96.7814666666,92.6436666667,125.0573,156.321866667,124.3678,39.0806
184.11,120.784266667,97.0588666667,106.8628,60.7844,147.058866667,95.0979333333,80.5881999999,74.1176666667,110.980233333,139.411733333,106.372666667,34.1176666665
184.49,109.008933334,88.4685333333,94.9549999999,52.0720000001,141.982,89.9097999999,70.4504666667,62.5223999999,99.1892666667,125.405466667,100.1802,19.8198000001
184.87,93.0433999999,80.2898666666,80.1449999999,47.1014666666,118.115933333,80.5798000001,62.1738,49.2752666667,87.3188999999,106.3768,91.8116333333,18.4782
185.25,92.8681999999,79.8450666667,80.3101333333,53.1783333333,120.620266667,78.6045999999,62.6357333334,45.2714000001,95.2711999999,105.426266667,90.6202666668,12.4029666666
185.63,108.205133333,99.3161999999,94.1880000001,70.4273333333,143.247866667,100.170933333,87.5214000001,52.8205333334,112.478733333,127.5214,112.136733333,8.20503333339
186.01,100.333333333,89.1666666667,81.1666666667,66.8333333333,144.333333333,101.5,79.1666666665,56.3333333334,109.0,122.666666667,113.166666667,3.66666666672
186.39,125.370266667,115.926,102.962933333,96.2962666667,175.370333333,125.185133333,111.296266667,78.5185333333,130.833333333,157.222066667,126.2039,10.5554666665
186.77,130.090133333,127.207133333,110.450333333,110.991066667,190.630666667,130.2702,132.072066667,94.0541333333,143.243333333,174.234266667,130.9911,21.3512999999
187.15,101.951266667,109.756133333,86.8294000001,96.0976,165.853666667,104.715466667,124.390333333,83.5772666666,118.211366667,152.195133333,112.113666667,9.5936333334
187.53,85.5127333333,88.5898666665,74.4871999999,77.4359333334,138.076933334,85.7692,114.3588,74.2308666666,103.397433333,122.179533333,93.7179333333,10.3205666667
187.91,86.0416,82.6041333334,72.1874,73.8540666667,121.3542,87.4998666666,108.124933333,73.4373333332,90.7810666667,108.437466667,88.75,16.2499
188.29,91.3228000001,84.7618666667,77.2486000001,79.5766666666,119.365066667,97.4602666666,123.8096,79.1533999999,87.6719666667,114.9208,91.2697666667,20.3175
188.67,95.2238666665,89.1542,80.3980000001,87.7612666667,118.905466667,101.293533333,134.825933333,84.8757333335,91.4426666667,116.218933333,91.2439666667,30.1991333333
189.05,96.2188666667,88.6567333334,80.7959333333,87.6617333333,119.1044,100.099466667,140.2986,91.2437999999,87.3135666666,116.517333333,89.1540666667,32.1889666667
189.43,77.6256666668,71.6893999999,64.8401333333,69.4062666667,95.5250666666,82.0089999999,125.570866667,75.7990000001,63.9270333335,95.9817333333,65.662,18.3561666667
189.81,58.8443333333,48.1777333333,43.3778,52.2666000001,70.5777999999,57.6000000001,99.0222666668,59.6446000001,40.8444333333,74.2223999999,47.1556666666,5.19996666666
190.19,50.6139333333,41.9298666667,32.3684666667,41.4034666667,54.1228666667,42.6316,88.7717333333,50.0000666667,27.7192,66.7544666667,33.7719666667,1.35963333334
190.57,43.4847999999,32.9545333333,25.6818,29.6212,42.0453999999,34.5454666667,73.3332666667,43.4848666667,21.7802000001,55.7575333333,29.8484666667,2.68926666666
190.95,40.8333999999,31.2498666667,21.4584,24.3749333333,36.4582666667,34.3056,64.1666,38.0555333333,19.0626333333,49.7221333333,27.6042666667,3.26376666666
191.33,43.7037333333,27.5556,19.8519333333,20.8889333333,36.8889333333,35.0370666667,63.1853333333,36.5926,17.0001666667,53.7036666667,27.3334666667,6.29646666666
191.71,38.6111333333,23.9582666667,14.9305333333,17.7778,30.1389333333,33.5416666667,58.1250666667,34.3055333333,7.9167,50.2776666667,20.5208,6.28476666667
192.09,26.0241333334,9.79926666668,1.7672,7.55013333334,18.4739333333,24.8995333333,54.7791333333,25.2208,-7.71086666666,46.5864,5.70256666668,-5.34133333334
192.47,19.0476666666,0.8658,-0.69266666668,1.29873333334,15.671,18.355,50.7362,27.4458666667,-14.4153333333,45.7143333333,-6.01726666667,-12.0346
192.85,24.5022000001,0.8658,-0.77926666666,2.42426666667,14.4588,20.7792666667,47.0994,33.2468,-15.2380333333,50.2164666667,-4.0692,-11.2988
193.23,24.8204666667,-1.64113333334,-3.5896,3.38466666665,14.1539333333,26.5642,48.8206,33.641,-16.6153666667,60.9231333333,-5.17946666659,-15.3335
193.61,45.6337333334,18.8732666667,12.3943333333,22.723,33.2395333333,42.5352666667,61.1267333333,50.5165333333,5.16426666666,81.3146,12.5820333333,11.4084666667
193.99,48.8067333334,24.6913333333,19.9178,32.1810666667,37.3661333333,48.2304,65.2674666667,50.2880666667,15.1027666667,76.2140666667,15.0617333333,21.7284666667
194.37,49.6201333333,27.5106,23.4598666667,38.9874000001,40.0843333333,52.0675333334,67.5104666667,52.2362666667,17.173,81.2658666666,14.1771333333,24.5569666667
194.75,44.5,25.8333333333,17.1666666667,39.9166666667,35.0833333333,49.5833333333,64.5833333333,43.0833333333,18.5833333333,75.0833333334,6.375,22.2083333333
195.13,49.8360666667,15.519,10.6010666667,47.4316,35.847,54.2076666667,72.1310666667,46.0108666667,11.093,84.8087333333,-7.97823333342,20.9836333333
195.51,54.1334,29.1556,24.1777333333,55.5554666667,40.5334,63.7331999999,71.9112,48.5333333333,19.6001666667,78.4888666667,4.7111,26.7111333333
195.89,57.0939333333,34.017,27.3505333333,63.1622666667,44.5299333333,63.5898,74.8718,45.8974666667,25.8547,75.641,13.0343666667,36.0684
196.27,53.9517333333,37.5257333333,30.103,58.8316,44.6048,56.3574666666,70.0342,40.1375333333,29.3472,64.9484666667,20.9622666667,37.6288666667
196.65,46.3768,34.8406666667,25.6810666667,50.0868666667,38.0869333333,52.0,60.0,32.6377333333,27.826,54.3768,22.3187333333,33.6812666667
197.03,47.0832666667,39.4642666667,30.2976,54.3452,40.5356666667,57.5593999999,67.0237333333,34.7023333333,32.887,54.3452,25.7738,40.0
197.40,39.3331333333,31.389,23.4999333333,49.5,32.8333333333,48.6666666667,57.5553333333,28.9444666666,23.2221666667,42.7222666667,19.0834333333,35.8333333334
197.78,28.0357333333,22.7974666667,15.8928666667,42.2025333333,20.893,43.2738,47.1428666667,18.8096,11.6368333333,28.5713333333,8.21423333333,23.9284333333
198.16,15.2469333333,15.1234,3.39506666666,30.3704,8.88866666668,33.7036,33.5185333333,6.97533333333,-1.23459999999,17.7777333333,-5.58633333333,14.5060333333
198.54,-4.62586666667,-5.5102,-17.3470666667,11.7007333333,-9.45573333333,18.2314,14.4898,-14.1497333333,-22.7211333333,-4.14973333333,-24.5578666667,-3.70753333333
198.92,-9.59719999999,-10.7693333333,-21.2454666667,7.03300000002,-13.2601333333,13.1868,9.9634,-16.9963333333,-34.1392666667,-8.42486666666,-30.8791666667,-8.75449999999
199.30,-5.38706666665,-3.16513333332,-13.3334,7.94606666667,-6.32993333335,13.7373333333,12.3232,-12.3232,-29.899,-2.96306666666,-25.8249333333,-2.02026666667
199.68,-13.7632666667,-11.8998,-24.0860666667,-0.214999999994,-17.2759333333,-0.43006666666,6.09313333335,-21.0035333333,-40.5736,-13.5484666667,-38.8172999999,-7.99283333334
200.06,-32.5001333333,-37.2917333333,-50.8335999999,-22.9167333333,-42.7085333334,-21.8751333334,-13.6458666667,-46.6668000001,-75.6772999999,-42.6042666667,-78.5418000001,-31.3021
200.44,-35.5975333333,-42.3899333334,-61.2577333334,-27.0440666667,-50.4401333333,-24.4025333332,-22.6414666667,-53.5848666666,-97.7360666668,-49.5597333334,-100.691966667,-32.8930333333
200.82,-57.8378666667,-79.0991333334,-108.828866667,-45.9460666667,-84.3243333335,-54.4144666667,-47.9279999999,-90.2703333334,-170.270133333,-81.982,-161.7118,-54.5045333333
201.19,-165.641,-205.3846,-241.794933333,-147.1794,-203.077,-172.564,-135.384733333,-212.564266667,-348.974166667,-194.102466667,-317.3077,-162.435833333
201.57,-180.0,-214.4,-254.4,-163.466666667,-229.333333333,-195.466666667,-140.8,-230.933333333,-376.0,-197.866666667,-349.333333333,-187.333333333
201.95,-202.029,-244.637666667,-283.1884,-186.087066667,-264.6376,-227.246266666,-150.7248,-251.014533333,-411.304333333,-214.782533333,-374.492833333,-201.594166667
202.33,-520.000066667,-660.740666667,-706.666666667,-494.074066667,-671.8518,-587.407399999,-385.9258,-663.703666666,-1091.85183333,-568.148133334,-921.851833333,-565.1851
202.71,-198.823533333,-272.941333333,-285.4902,-186.666733333,-295.6864,-241.176466666,-105.098,-268.235266667,-493.921633333,-224.706,-403.725566667,-227.8432
203.09,-321.025533333,-398.461533333,-447.692466667,-281.5386,-439.487066667,-363.077,-179.4872,-395.897333333,-680.000066667,-364.6154,-553.333299999,-329.4872
203.47,-727.619,-821.904733333,-936.190466666,-578.095333333,-949.523866666,-785.714466667,-456.190533333,-832.381,-1319.99993333,-802.857133334,-1079.99996667,-674.285766667
