wavelength,Back_ThrBonm,Belly_ThrBonm,Breast_ThrBonm,Crissum_ThrBonm,Crown_ThrBonm,DorTail_ThrBonm,Patch10_ThrBonm,Patch11_ThrBonm,Rump_ThrBonm,Throat_ThrBonm,WingTip_ThrBonm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,114.666666667,88.0,36.0,135.333333333,50.6666666665,160.0,134.666666667,117.333333333,83.9999999999,88.6666666666,86.4444444445
179.16,65.3968,56.5080666667,45.0794,62.5396333333,41.9046666667,60.6350666667,59.0476,56.5078666667,61.5872,46.5078,66.7195111111
179.54,63.8095333334,47.6190666666,60.9524,91.9048999999,38.0953333333,65.7142,33.3334,50.4760666667,58.0953333333,10.0000333333,68.8888777778
179.93,92.5,105.0,88.3333333333,107.708333333,99.9999999999,104.583333333,95.4166666667,112.916666667,112.916666667,92.2916666666,104.166666667
180.31,75.8913999999,73.062,71.3954,83.1976333333,63.5658666667,78.9147333333,71.4728,74.1472666667,79.6898666667,65.3296,81.3630888889
180.69,75.6756666666,72.5765333333,70.8468,83.1532333333,62.8829333333,78.018,70.3423333333,74.0902000001,78.8468666667,64.0540666667,78.6545888889
181.07,76.8070666666,72.8771333333,74.4208666667,82.7895666667,63.5086666666,77.9296,70.0701333333,74.5264,80.5964,65.2105666667,81.1228666667
181.45,77.8359333333,74.1708666667,75.9163333333,84.6946666667,66.7365333333,78.883,71.1344666667,75.5322,82.0246,68.6212666667,82.9609
181.83,77.2727333333,74.5791333333,74.074,82.5084,68.2829333333,78.4848666667,72.1212,74.9158,83.4678666667,69.1414333333,83.3557111111
182.21,74.2199333334,70.6076,72.0198,77.619,65.5501333333,74.8112,69.6880666667,71.4286,78.3252,66.1905666667,81.2808
182.59,71.1400666667,67.0129333333,68.6869333333,71.4431,61.9912666667,70.3319333333,66.5512666666,67.6191333333,72.7272666667,64.3289666667,78.8695888889
182.97,72.9269999999,68.5096,69.6207333333,72.2087666666,64.7154,71.2467333333,69.2683333333,69.9458666667,75.1490666667,65.7588,80.7544222222
183.35,75.3192666666,70.3829333334,72.5957333333,74.9221666667,69.2199333333,74.2979333333,73.7304,73.7873333334,77.8724,68.3827666667,83.0212777778
183.73,75.0639333333,70.0424666667,70.4680666667,72.4681,70.4113333333,73.0778666667,72.5957333333,73.5886666666,76.454,67.5461333333,81.3334111111
184.11,74.6665999999,68.943,69.9187333333,72.6991666667,70.5040666667,74.9918,72.8128666666,75.4472,76.8779333333,64.7642666667,81.4200333334
184.49,74.6032000001,67.4780666667,68.148,73.6507333333,70.6171333333,74.6384,74.7442,76.1198666667,78.9066,63.6859666667,82.4397444444
184.87,77.3627333333,68.3149333333,71.0256666667,75.3297,74.1391333333,76.9964,78.4982,78.7913333333,82.1245333333,65.7874333333,87.0023777777
185.25,75.7302666667,67.1909333333,67.9401333333,75.0188,73.7078,75.3557333333,77.3409333333,77.1535333334,80.7116666666,62.9587333333,86.3792444445
185.63,74.0740000001,62.2633333333,64.8970666667,72.6955333333,73.2921333333,73.7860666666,76.7078,76.5843333333,78.8476666667,58.3127333333,84.2867666667
186.01,76.5078666667,61.814,66.9841333333,75.1927,75.6916000001,74.4218,79.6824666667,79.6370666666,78.9569333333,57.0068666667,86.8179222222
186.39,79.8093999999,62.6666,67.6190666667,78.1429333333,75.4762666666,75.4762000001,81.9047333333,78.9523333334,81.4761333333,55.3094666667,89.4206333333
186.77,85.9649333333,63.4503333333,68.3625333333,87.6608666667,79.2981333333,80.8186666667,88.5380666667,86.4911999999,90.5263333333,53.0409,96.0820222222
187.15,87.742,61.3619333333,66.0931333333,93.2257333334,81.9354666665,81.5054,89.6056000001,90.8244666667,91.2544666666,49.2472,102.843466667
187.53,87.0128666667,52.0346666667,57.922,93.3767666667,74.2857333335,77.5757333335,85.0216,87.0995333333,90.1299333334,39.2207,111.385244444
187.91,114.909,66.9091333333,74.5454666665,126.545366667,97.4546000001,108.969733333,118.5454,118.545533333,117.454466667,50.7272666666,147.333233333
188.29,113.202666667,65.7516000001,72.0261333333,122.483833333,102.745266667,109.803866667,121.829933333,117.777733333,109.673066667,54.3136999999,151.939
188.67,127.555533333,69.9259333333,84.7407333334,125.5556,117.629666667,118.814733333,132.740533333,131.555466667,113.777866667,62.4443999999,170.098744444
189.05,133.889066667,68.7037333334,73.3334666667,124.537,118.1482,125.7406,141.8518,144.629733333,111.4814,58.7963333335,194.382666667
189.43,133.148133333,69.6296666668,70.3703333333,117.3149,128.518533334,128.518466667,142.592666667,142.777733333,115.185133333,69.9999666668,185.5864
189.81,184.999933333,122.8572,101.190333333,156.7856,173.571466667,187.619,197.619066666,204.762,167.618933333,112.023733333,265.793722222
190.19,141.014466667,105.217333333,82.3188666667,116.521766667,125.2174,142.898666667,145.5072,157.246466667,128.6956,102.9709,195.773055555
190.57,238.666666667,170.133333333,130.933333333,188.933333333,208.266666667,238.4,241.066666667,284.266666667,217.6,168.8,331.066666666
190.95,328.627333333,241.960666667,188.627466667,246.0784,296.078333333,319.2156,334.1176,416.078466667,274.1176,253.1373,462.483533333
191.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191.71,-391.282066667,-278.9742,-214.358866667,-211.5385,-303.076933333,-376.4104,-366.153866667,-491.282200001,-280.0,-264.102466667,-508.974288889
192.09,-175.3624,-105.217266667,-84.3479333334,-61.884,-120.869533333,-152.753733333,-159.130333333,-222.318733333,-119.420266667,-115.072333333,-243.429911111
192.47,-251.481533333,-163.7036,-138.148266667,-98.3332999999,-180.0,-226.6666,-227.7778,-337.7778,-198.888866667,-192.777833333,-340.987733333
192.85,-105.066666667,-57.8666666666,-24.0000000001,4.39999999994,-46.1333333333,-92.8000000001,-87.7333333333,-161.6,-70.3999999999,-67.7333333333,-163.155555556
193.23,-46.4762666667,-10.0954000001,1.3334,30.0953333333,-5.33326666664,-34.2858,-37.9048666667,-88.5714666666,-18.6667333333,-23.7143333334,-86.5714777777
193.61,-21.9857333333,5.6738,12.0567333334,38.3688000001,10.6382666667,-2.69500000002,-23.2624,-58.1560666665,5.67379999998,-1.41853333328,-55.9337111111
193.99,-12.3164666667,13.5592666667,7.45773333334,30.5084333333,12.6554,7.68359999999,-12.5424,-43.5030000001,11.4124666667,4.68943333334,-41.7891000001
194.37,11.8804,29.7435333333,18.8888,38.6751333334,26.0684666667,20.9400666667,8.54686666666,-14.2735333333,27.094,22.0942,-8.36188888888
194.75,5.99993333331,27.3333333333,15.4443333333,42.0555666667,23.0,17.4444,2.88893333335,-25.1112,30.4445333333,14.9445333333,-15.7591555555
195.13,-18.4000000001,9.33333333334,-4.66666666667,32.0666666667,0.26666666666,-9.59999999999,-28.4,-52.5333333332,8.53333333338,-8.0,-41.911111111
195.51,-17.5000000001,9.0277333334,-1.52773333335,38.4722,-6.38893333334,-10.5555333333,-34.0277333333,-52.6389999999,8.33340000001,-14.2359666667,-35.3704444444
195.89,-16.3637333333,11.3635333333,-6.51513333333,34.9244333333,-15.9090666667,-20.4543333333,-46.8181333333,-62.7273333333,6.81826666666,-24.0150666666,-40.5303666667
196.27,1.59999999992,29.4666666667,14.0,41.0666666667,2.13333333334,-1.86666666667,-20.7999999999,-41.4666666666,25.6,-1.73333333332,-15.6888888888
196.65,10.8475333333,36.4972,26.2145333333,46.0451333333,17.7401333333,10.0564666667,-5.76260000006,-18.0790666667,35.1411999999,17.4012666667,-2.9754555556
197.03,12.255,38.4312666667,28.1372,44.3627333333,20.0,7.64706666667,-3.13733333334,-7.94119999998,32.6470666666,19.4118,-0.21245555554
197.40,4.44446666666,31.01,21.4142,38.3333666667,14.9494666667,-5.05053333333,-5.65660000006,-12.5252,22.9293333333,13.0808,-5.3028666666
197.78,4.95493333333,23.6036,17.4774,36.126,16.0360666667,-8.1082,-0.36033333332,-15.2254,23.2432,13.2432333333,1.09605555554
198.16,15.5250666667,30.3196,26.1188,51.5067333333,27.9453333333,-0.36526666666,9.22373333334,-4.84013333332,37.3516,21.1872666667,18.2953888889
198.54,13.4127333333,28.4126666667,23.3332666667,52.2222,25.3968,3.41259999999,11.746,-1.1905333333,37.1428666666,18.2144333333,18.7699333333
198.92,31.1504666667,41.2388666667,37.4632,61.0914666667,39.8819333333,21.2980666667,28.9675333333,16.8731333333,48.4366,32.2418333333,33.8543222222
199.30,45.8333333333,52.6110666667,52.7224,75.3054666667,57.8334,38.7221333333,46.5554666667,32.3889333333,63.8888,48.6111,48.9721
199.68,46.8670666667,55.9900666667,54.0852666667,75.4134333333,58.2456,40.351,48.8720666667,34.3859333333,63.8094666667,51.9798333333,48.8972222222
200.06,41.4034666667,51.8797333333,53.233,75.4136333333,57.3935333333,35.5891333333,44.7118,31.3784666667,60.0,49.5488666667,46.3491666667
200.44,43.8096,53.4921333333,55.0265333333,83.2009666667,62.4338666667,36.3491333333,45.8200666667,32.3808666667,64.9204666667,54.1004,47.8835555556
200.82,44.3217333333,54.5746666667,53.7932,81.1264333333,61.7011333333,42.069,45.9770666667,35.6781333333,64.3678,56.2989,51.0420111111
201.19,39.2544666667,49.9562,47.3684666667,75.6579,56.4035333333,39.0350666666,42.4122666667,30.3070666667,58.8596,50.2633,45.7016444444
201.57,40.7842666667,49.586,48.7145333333,76.5577,55.5555333333,40.1743333333,43.3551333333,30.6754,61.6122,51.5469,47.1242888889
201.95,40.8218666667,51.4611333333,48.4474666667,78.7214666667,57.9452666667,39.5434,44.6576,34.3378666667,64.1552,51.0958666667,45.7915777778
202.33,41.6894,51.0958,48.3562,78.3333333333,58.1734666667,37.8082666667,46.5296,35.6164666667,63.6072,52.9453,45.7686555555
202.71,44.0740666667,56.8518666667,49.9074666667,79.8380333333,61.0184,39.7223333333,50.0926,38.7038,66.9908666667,57.2453333333,47.3996
203.09,44.0860666667,54.7526,46.5807333334,75.1613666667,57.0321333333,37.2043333333,48.3012,37.5915333333,62.7096666667,53.7421333333,44.7669777778
203.47,41.5041333333,51.3414,39.8781333333,69.2073666667,50.3252,31.9105333333,45.0407333333,34.9593333333,55.9756,47.7439666667,43.1232666667
203.85,40.2667333333,48.3112,35.0222,69.1555666666,49.2000666667,28.7111333333,43.7778,32.1333333333,54.8889333333,43.4222666667,44.5556444445
204.22,46.7111333333,50.8001333333,37.7777333333,72.5555333333,54.311,35.1109333333,49.2444,36.8443333333,57.2,47.3555666667,49.5332555556
204.60,41.5286,45.9024,31.1250666667,64.1614,46.1572,29.3418,44.2038666667,34.0127333333,49.4692666667,39.2143666667,44.5011111111
204.98,32.0896,35.1244,20.4478,55.2239,38.6070666667,15.8706,35.9702666667,23.7812,42.4378,26.4924666667,35.9204
205.36,33.6782666667,34.0229333333,19.5402666667,57.9022,41.7240666667,13.1033333333,38.5632,22.0114666667,43.9656,26.4655333334,38.5632444445
205.74,27.1946666667,30.8910666667,12.1452,57.8547666667,38.6138666667,6.20459999999,33.6632666667,15.9735333333,41.4520666667,20.7260666667,36.7437555555
206.12,32.7878,36.7273333333,22.7272666667,61.3333666667,41.6364666667,17.2122,37.6362666667,23.9392,44.7272,27.606,43.4544777778
206.50,34.3104,40.4024,25.8620666667,61.8676666667,44.0230666666,22.2988666667,38.3332,28.4482666667,46.4941333333,31.2069,44.2626333334
206.87,36.4226666666,39.3495333333,29.8644666666,62.5474333333,46.6126,27.1544,39.5122,29.3767333333,46.7208,31.3007333333,48.3921111111
207.25,40.2898,44.2029333333,34.7101333333,74.7826,52.3188,28.7680666667,42.6088,30.5795333333,51.8116,33.7318,62.4396555555
207.63,37.5945333333,38.3504,33.677,67.7662666667,46.8041333333,27.0104666667,37.5257333333,27.6976666667,48.7972,32.6461,55.120311111
208.01,37.5627333333,37.9928666667,38.3512666667,69.0681,44.5878666667,30.2508666667,38.208,29.9642666667,48.3871333333,35.9138,52.6284000001
208.39,33.6231333333,36.8842,37.1740666667,64.8914,35.5798,27.3188666666,31.8116,28.1884,48.7682666667,32.1376333333,49.9637888889
208.77,38.217,35.5039333333,39.5348666666,72.0931333333,41.0853333333,31.8605333333,35.5814,30.6977333333,52.9457333333,34.9612,51.8475
209.14,55.7517333333,52.3529333333,52.8757333333,82.9412666667,55.7515333333,48.1698666667,52.5491333333,46.4705333333,64.3138,47.8105666667,64.7385888889
209.52,49.782,50.9655333333,49.2833333334,76.1994,47.1651333333,45.0467333333,46.3550666667,43.8007333333,59.6884666667,42.9594333333,60.6750444444
209.90,47.0801333334,46.7701333333,46.305,68.2428666666,43.7726,42.8940666667,40.5685333333,40.5684666667,50.6978,38.1912666667,53.4884666667
210.28,48.3698,45.9366666667,43.8442,66.3504333333,43.0171333333,41.2650666667,39.6107333333,38.4913333333,47.9805333333,38.1508666667,52.4005888889
210.66,44.4624,43.7634,39.9463333333,66.5054,37.4194,38.2258,35.3762666667,30.8065333333,43.5483333333,31.3978666667,48.6737666667
211.03,44.4884,39.0758666667,37.3598,68.4488333333,36.5017333333,33.9934,27.4586666667,28.8448,41.7822,28.4159666667,44.8405
211.41,37.4775333333,33.2733333334,29.2494,59.2794,32.4925333334,29.4896,22.4024666667,27.2672666667,35.5557333333,25.2252,34.0941
