wavelength,Back_ThrCypm,Belly_ThrCypm,Breast_ThrCypm,Crissum_ThrCypm,Crown_ThrCypm,DorTail_ThrCypm,Patch10_ThrCypm,Patch11_ThrCypm,Rump_ThrCypm,Throat_ThrCypm,WingTip_ThrCypm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,46.6666666666,-106.666666667,-426.666666667,-526.666666667,-233.333333333,-113.333333333,-153.333333333,-286.666666667,-213.333333333,126.666666666,233.333333333
179.16,-118.0,-97.3333333333,-110.666666667,-76.6666666666,-122.666666667,-120.0,-114.0,-97.3333333335,-117.333333333,-132.666666667,-123.333333333
179.54,323.333333333,175.0,288.333333333,181.666666667,283.333333333,310.0,291.666666667,211.666666666,276.666666667,261.666666667,350.0
179.93,-29.1228666667,5.26313333332,-18.9474,-1.05266666667,-5.61393333335,6.31586666668,-5.26313333331,10.1756,-9.47373333335,-4.91233333332,-7.36846666666
180.31,-134.8,-78.8,-93.8666666667,-45.0666666667,-81.8666666667,-82.6666666667,-73.2000000001,-64.0,-90.4,-125.866666667,-127.466666667
180.69,-148.627466667,-88.8888666668,-113.0718,-57.6471333333,-88.1045333333,-99.0849333333,-82.2220666666,-74.7712666666,-96.8628000001,-139.085,-145.882466667
181.07,-191.884133333,-132.898466667,-171.594066667,-108.260933333,-141.304266667,-152.318933333,-127.971066667,-124.782533334,-143.1884,-194.202866667,-194.782666667
181.45,-223.7838,-153.513533333,-204.324266667,-126.666733333,-155.315333333,-177.837866667,-140.3604,-143.603666667,-160.5406,-222.882933333,-224.864866667
181.83,-195.9648,-140.701733333,-183.158,-110.000133333,-120.877066667,-148.9474,-107.543733333,-125.4386,-126.4912,-195.964933333,-192.6316
182.21,-377.777866667,-287.619,-362.857133333,-224.127,-230.1588,-320.634933333,-225.079333333,-277.460266667,-253.6508,-385.3968,-392.0634
182.59,-1079.16666667,-865.833333335,-1059.16666667,-705.000000001,-725.833333333,-961.666666667,-723.333333333,-864.166666666,-788.333333334,-1135.0,-1141.66666667
182.97,-1233.3334,-1000.9524,-1212.38093333,-826.666733333,-820.000000001,-1124.7618,-850.4762,-954.285666667,-889.5238,-1255.23813333,-1340.9524
183.35,931.333333333,776.000000001,963.333333334,667.333333334,666.666666667,881.333333333,670.666666668,760.666666667,664.666666666,943.333333333,986.000000001
183.73,272.222133333,222.777666667,281.111,193.703733333,202.4074,263.3332,186.8518,229.629733333,185.926,258.333333333,286.110933333
184.11,1534.44433333,1282.22233333,1600.0,1142.2222,1155.55553334,1558.88886667,1014.4446,1272.22213333,1020.0,1492.22226667,1645.55553333
184.49,1362.85706667,1182.85706667,1462.85713333,1057.1428,1042.85706667,1440.95233333,958.095333332,1220.9522,953.333266666,1336.19053333,1523.8094
184.87,407.4358,367.179466667,418.718,322.3078,335.897333333,433.076933333,303.3334,383.5898,300.0,406.923066667,452.820466667
185.25,394.358933333,332.5642,396.410266667,295.641,287.948733333,382.564066667,265.1282,343.8462,274.871733333,358.4614,415.897466666
185.63,473.333333333,401.4494,472.753533333,368.405866667,362.8986,458.840666667,336.521733333,419.999933333,334.4926,433.913133333,512.7536
186.01,332.0,278.2858,329.904733333,261.142733333,271.047733333,325.1428,246.285733333,299.428533333,252.1904,313.5238,362.857266667
186.39,232.956,203.396266667,229.0566,190.3144,196.1006,225.911866667,176.226466666,208.5534,174.9686,222.389933333,252.578533333
186.77,181.9488,161.2308,185.230733333,151.795066667,150.9744,175.5898,141.2308,167.179533333,135.692333333,173.948666667,194.8718
